Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,ALKEM,2905.0,2950.0,2840.05,2846.4,67951
2020-08-20,ALKEM,2857.0,2872.95,2832.55,2862.55,140668
2020-08-21,ALKEM,2874.7,2888.7,2826.0,2844.3,193254
2020-08-24,ALKEM,2873.0,2873.0,2781.0,2800.15,93638
2020-08-25,ALKEM,2824.0,2840.0,2776.75,2798.7,74477
2020-08-26,ALKEM,2823.6,2839.9,2790.8,2822.45,96184
2020-08-27,ALKEM,2821.1,2894.0,2821.1,2873.45,123841
2020-08-28,ALKEM,2895.0,2895.0,2851.0,2873.45,133446
2020-08-31,ALKEM,2875.0,2889.25,2705.55,2722.7,85295
2020-09-01,ALKEM,2729.0,2835.0,2688.1,2805.95,95509
2020-09-02,ALKEM,2810.0,2858.8,2785.0,2843.35,112445
2020-09-03,ALKEM,2856.0,2900.0,2840.0,2875.45,68951
2020-09-04,ALKEM,2818.0,2866.95,2790.0,2804.95,27327
2020-09-07,ALKEM,2814.95,2863.0,2790.0,2819.75,39892
2020-09-08,ALKEM,2829.0,2871.0,2820.25,2841.9,163358
2020-09-09,ALKEM,2800.0,2880.0,2799.05,2861.55,156300
2020-09-10,ALKEM,2875.0,2947.35,2852.4,2923.6,96487
2020-09-11,ALKEM,2943.0,2967.0,2857.0,2900.9,140823
2020-09-14,ALKEM,2922.0,2940.0,2891.25,2909.2,124188
2020-09-15,ALKEM,2922.0,2932.0,2833.75,2851.7,96540
2020-09-16,ALKEM,2872.9,2872.95,2812.0,2823.8,97488
2020-09-17,ALKEM,2832.0,2854.95,2821.0,2840.95,32323
2020-09-18,ALKEM,2855.0,2930.0,2826.25,2874.85,134588
2020-09-21,ALKEM,2888.0,2900.1,2829.8,2863.4,76417
2020-09-22,ALKEM,2870.0,2875.0,2745.35,2802.5,117694
2020-09-23,ALKEM,2825.0,2848.0,2724.15,2748.35,116472
2020-09-24,ALKEM,2738.9,2987.9,2682.0,2788.45,316953
2020-09-25,ALKEM,2762.0,2825.0,2762.0,2802.35,72259
2020-09-28,ALKEM,2881.0,2898.0,2749.2,2775.45,159958
2020-09-29,ALKEM,2806.95,2830.0,2765.0,2775.45,84149
2020-09-30,ALKEM,2780.0,2814.35,2766.0,2777.95,90790
2020-10-01,ALKEM,2784.0,2800.0,2727.25,2742.1,53018
2020-10-05,ALKEM,2769.0,2769.0,2714.1,2755.05,19684
2020-10-06,ALKEM,2777.0,2795.0,2743.0,2774.1,74323
2020-10-07,ALKEM,2770.0,2823.0,2720.0,2731.55,153072
2020-10-08,ALKEM,2746.95,2759.0,2725.0,2731.55,50544
2020-10-09,ALKEM,2741.0,2753.0,2705.55,2723.8,42962
2020-10-12,ALKEM,2743.25,2743.25,2700.0,2707.8,21157
2020-10-13,ALKEM,2706.0,2730.0,2662.0,2685.4,71709
