Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,BEDMUTHA,16.1,16.1,14.9,15.0,8375
2020-08-20,BEDMUTHA,15.35,15.5,14.3,15.1,13699
2020-08-21,BEDMUTHA,14.95,15.45,14.55,15.3,2542
2020-08-24,BEDMUTHA,15.3,16.05,15.3,15.9,19661
2020-08-25,BEDMUTHA,15.85,16.05,15.7,15.85,4893
2020-08-26,BEDMUTHA,15.9,16.0,15.9,15.9,1642
2020-08-27,BEDMUTHA,16.05,16.6,16.05,16.05,3273
2020-08-28,BEDMUTHA,16.05,16.85,16.05,16.5,25186
2020-08-31,BEDMUTHA,16.5,16.5,15.7,15.85,2740
2020-09-01,BEDMUTHA,15.7,16.45,15.1,15.1,6151
2020-09-02,BEDMUTHA,14.4,15.8,14.35,15.4,1554
2020-09-03,BEDMUTHA,15.15,15.95,14.65,14.9,10736
2020-09-04,BEDMUTHA,15.3,15.6,14.95,15.5,9686
2020-09-07,BEDMUTHA,15.6,15.6,15.0,15.0,1016
2020-09-08,BEDMUTHA,14.6,15.6,14.4,14.65,11048
2020-09-09,BEDMUTHA,14.75,15.35,14.1,15.35,9175
2020-09-10,BEDMUTHA,16.1,16.1,16.1,16.1,14262
2020-09-11,BEDMUTHA,16.9,16.9,16.9,16.9,13027
2020-09-14,BEDMUTHA,17.65,17.7,17.0,17.7,15338
2020-09-15,BEDMUTHA,18.55,18.55,17.1,18.4,19199
2020-09-16,BEDMUTHA,18.8,19.25,18.15,18.65,8572
2020-09-17,BEDMUTHA,17.95,19.0,17.9,18.65,18622
2020-09-18,BEDMUTHA,17.75,19.55,17.75,19.1,11149
2020-09-21,BEDMUTHA,18.2,19.65,18.2,19.0,10369
2020-09-22,BEDMUTHA,18.15,18.9,18.05,18.05,4350
2020-09-23,BEDMUTHA,17.25,18.35,17.25,18.0,7100
2020-11-10,BEDMUTHA,18.4,18.6,18.2,18.5,3200
2020-11-11,BEDMUTHA,18.0,18.55,18.0,18.0,891
2020-11-12,BEDMUTHA,17.2,18.85,17.15,18.85,1572
2020-11-13,BEDMUTHA,18.85,18.85,18.0,18.2,1023
2020-11-14,BEDMUTHA,18.9,19.1,18.5,18.7,2503
2020-11-17,BEDMUTHA,19.4,19.4,18.6,19.1,23782
2020-11-18,BEDMUTHA,19.5,20.0,18.3,19.85,19157
2020-11-19,BEDMUTHA,20.0,20.8,19.25,20.25,13428
2020-11-20,BEDMUTHA,19.7,20.6,19.35,19.65,927
2020-11-23,BEDMUTHA,20.45,20.6,18.7,19.9,22539
2020-11-24,BEDMUTHA,19.4,20.0,19.4,19.75,1731
2020-11-25,BEDMUTHA,19.3,20.45,19.0,19.55,6987
2020-11-26,BEDMUTHA,19.1,20.35,19.1,19.95,906
2020-11-27,BEDMUTHA,20.35,20.85,19.55,20.35,2213
2020-12-01,BEDMUTHA,20.35,21.35,20.35,21.35,14690
2020-12-02,BEDMUTHA,22.35,22.4,20.8,22.4,13476
2020-12-03,BEDMUTHA,23.5,23.5,22.6,23.5,23762
2020-12-04,BEDMUTHA,24.65,24.65,22.7,23.75,20754
2020-12-07,BEDMUTHA,22.75,24.9,22.75,24.9,12311
2020-12-08,BEDMUTHA,25.5,25.5,24.95,25.05,15428
2020-12-09,BEDMUTHA,26.25,26.25,24.1,25.0,10511
2020-12-10,BEDMUTHA,24.15,24.95,23.75,23.75,5711
2020-12-11,BEDMUTHA,24.0,24.5,23.6,23.85,10146
2020-12-14,BEDMUTHA,24.9,25.0,24.0,25.0,20999
2020-12-15,BEDMUTHA,26.0,26.25,25.25,26.25,44372
2020-12-16,BEDMUTHA,27.55,27.55,27.55,27.55,14277
2020-12-17,BEDMUTHA,28.9,28.9,26.3,27.6,59996
2020-12-18,BEDMUTHA,26.6,28.6,26.25,27.25,27235
2020-12-21,BEDMUTHA,27.5,27.9,26.0,26.65,20655
2020-12-22,BEDMUTHA,26.5,27.45,25.55,26.65,8244
2020-12-23,BEDMUTHA,26.1,26.8,25.7,26.7,6510
2020-12-24,BEDMUTHA,26.1,27.0,25.8,26.05,3735
2020-12-28,BEDMUTHA,27.0,27.2,26.1,26.95,9331
2020-12-29,BEDMUTHA,26.75,28.2,26.75,28.0,11001
2020-12-30,BEDMUTHA,28.2,28.75,27.45,27.9,6647
2020-12-31,BEDMUTHA,28.0,28.7,27.3,27.5,7514
2021-01-01,BEDMUTHA,28.5,28.5,27.3,27.9,3218
2021-01-04,BEDMUTHA,27.9,28.0,26.6,27.3,9641
2021-01-05,BEDMUTHA,26.0,28.2,26.0,27.6,7707
2021-01-06,BEDMUTHA,28.0,28.55,26.7,26.95,20045
2021-01-07,BEDMUTHA,27.45,27.6,26.25,27.1,19969
2021-01-08,BEDMUTHA,28.4,28.45,26.5,26.9,9067
2021-01-11,BEDMUTHA,26.4,27.55,25.8,26.65,10557
2021-01-12,BEDMUTHA,26.75,27.3,25.35,26.8,22875
2021-01-13,BEDMUTHA,27.95,27.95,26.3,26.5,5443
2021-01-14,BEDMUTHA,27.4,27.5,25.2,25.8,15817
2021-01-15,BEDMUTHA,25.4,26.3,25.0,26.0,8557
2021-01-18,BEDMUTHA,26.25,27.3,26.25,27.3,38007
2021-01-19,BEDMUTHA,27.85,28.65,27.1,27.75,30058
2021-01-20,BEDMUTHA,27.75,28.0,26.7,26.95,8245
2021-01-21,BEDMUTHA,26.55,27.0,26.05,26.65,3372
2021-01-22,BEDMUTHA,26.6,27.8,26.1,26.1,11137
2021-01-25,BEDMUTHA,26.7,27.4,25.65,26.65,9018
2021-01-27,BEDMUTHA,27.3,27.5,26.05,26.45,7183
2021-01-28,BEDMUTHA,26.95,26.95,26.2,26.75,8481
2021-01-29,BEDMUTHA,26.8,26.8,26.0,26.35,2984
2021-02-01,BEDMUTHA,26.8,27.4,26.75,27.1,5781
2021-02-02,BEDMUTHA,27.0,27.0,25.75,25.75,10840
2021-02-03,BEDMUTHA,24.9,25.75,24.5,24.65,4784
2021-02-04,BEDMUTHA,24.35,24.75,23.45,24.15,17114
2021-02-05,BEDMUTHA,23.2,24.7,23.2,23.65,5780
2021-02-08,BEDMUTHA,23.55,23.7,22.5,23.0,9950
2021-02-09,BEDMUTHA,23.0,24.15,22.9,24.15,2891
2021-02-10,BEDMUTHA,24.85,25.35,23.75,25.3,7742
2021-02-11,BEDMUTHA,25.45,25.45,24.65,24.85,3220
2021-02-12,BEDMUTHA,25.2,25.2,23.95,24.0,8015
2021-02-15,BEDMUTHA,24.0,24.0,23.1,23.6,2956
2021-02-16,BEDMUTHA,24.0,24.25,23.0,24.05,5438
2021-02-17,BEDMUTHA,25.2,25.2,23.0,24.3,389
2021-02-18,BEDMUTHA,23.3,24.8,23.3,23.85,1882
2021-02-19,BEDMUTHA,23.9,24.15,23.0,23.0,5467
2021-02-22,BEDMUTHA,24.0,24.15,23.3,24.05,5395
2021-02-23,BEDMUTHA,24.9,24.95,23.6,24.1,6201
2021-02-24,BEDMUTHA,23.4,24.95,23.4,24.95,1078
2021-02-25,BEDMUTHA,24.2,24.9,23.9,24.25,6810
2021-02-26,BEDMUTHA,24.05,24.05,23.05,23.35,7846
2021-03-01,BEDMUTHA,23.35,23.85,23.25,23.35,3491
2021-03-02,BEDMUTHA,23.8,24.25,22.85,23.6,8427
2021-03-03,BEDMUTHA,24.5,24.55,23.4,23.45,8661
2021-03-04,BEDMUTHA,22.7,23.7,22.65,22.85,13537
2021-03-05,BEDMUTHA,22.4,23.95,22.4,23.05,7142
2021-03-08,BEDMUTHA,22.8,23.85,22.75,23.8,3690
2021-03-09,BEDMUTHA,24.6,24.9,23.5,24.85,12736
2021-03-10,BEDMUTHA,25.35,25.35,24.05,24.7,655
2021-03-12,BEDMUTHA,23.85,24.45,23.5,23.75,9619
2021-03-15,BEDMUTHA,23.95,24.1,22.95,23.6,2193
2021-03-16,BEDMUTHA,24.15,24.15,23.15,24.0,1054
2021-03-17,BEDMUTHA,24.25,24.45,23.0,23.5,2008
2021-03-18,BEDMUTHA,23.0,23.55,22.35,22.35,2609
2021-03-19,BEDMUTHA,22.0,23.45,21.3,22.2,6814
2021-03-22,BEDMUTHA,22.6,23.0,22.1,22.85,2316
2021-03-23,BEDMUTHA,23.05,23.05,22.45,22.8,842
2021-03-24,BEDMUTHA,23.65,23.8,21.8,22.2,6215
2021-03-25,BEDMUTHA,21.5,22.4,21.25,21.95,4064
2021-03-26,BEDMUTHA,22.0,22.25,20.9,21.4,7714
2021-03-30,BEDMUTHA,22.25,22.25,20.55,20.95,18923
2021-03-31,BEDMUTHA,20.7,21.65,19.95,20.1,8469
2021-04-01,BEDMUTHA,20.2,21.1,20.2,21.0,921
2021-04-05,BEDMUTHA,21.7,22.05,20.7,22.0,3401
2021-04-06,BEDMUTHA,22.0,22.0,21.35,21.75,7953
2021-04-07,BEDMUTHA,22.0,22.3,21.1,21.8,7232
2021-04-08,BEDMUTHA,21.95,23.95,21.8,23.95,17391
2021-04-09,BEDMUTHA,25.2,26.3,22.75,26.3,41415
2021-04-12,BEDMUTHA,25.55,26.9,23.7,24.5,26059
2021-04-13,BEDMUTHA,25.35,26.95,24.75,25.65,9301
2021-04-15,BEDMUTHA,24.95,26.6,23.45,24.45,8564
2021-04-16,BEDMUTHA,23.55,25.0,23.55,23.9,3624
2021-04-19,BEDMUTHA,24.5,24.5,22.5,23.25,7412
2021-04-20,BEDMUTHA,21.7,25.5,21.7,23.4,2454
2021-04-22,BEDMUTHA,23.7,24.7,21.3,23.7,11109
2021-04-23,BEDMUTHA,24.25,24.7,22.35,24.45,4716
2021-04-26,BEDMUTHA,25.5,25.9,23.0,25.25,11652
2021-04-27,BEDMUTHA,25.85,27.7,25.3,25.6,16578
2021-04-28,BEDMUTHA,25.85,26.0,24.8,25.1,2205
2021-04-29,BEDMUTHA,25.6,26.25,24.15,25.45,5015
2021-04-30,BEDMUTHA,25.15,27.0,24.5,25.65,9588
2021-05-03,BEDMUTHA,25.0,26.75,25.0,26.05,8378
2021-05-04,BEDMUTHA,26.15,26.2,24.75,24.95,13460
2021-05-05,BEDMUTHA,24.7,26.25,24.0,24.5,4253
2021-05-06,BEDMUTHA,23.9,25.35,23.85,24.15,2585
2021-05-07,BEDMUTHA,24.95,25.0,23.45,24.05,10498
2021-05-10,BEDMUTHA,25.4,26.45,23.5,25.2,15644
2021-05-11,BEDMUTHA,24.5,26.4,24.3,25.75,9062
2021-05-12,BEDMUTHA,24.55,26.5,23.65,23.95,21713
2021-05-14,BEDMUTHA,25.6,25.6,23.65,23.95,21491
2021-05-17,BEDMUTHA,24.0,24.5,23.7,24.35,4667
2021-05-18,BEDMUTHA,23.75,25.0,23.0,23.3,16900
2021-05-19,BEDMUTHA,23.05,23.8,22.85,23.15,22454
2021-05-20,BEDMUTHA,23.75,23.75,22.7,23.0,21776
2021-05-21,BEDMUTHA,23.8,23.8,22.4,22.9,19605
2021-05-24,BEDMUTHA,24.0,24.0,22.25,23.35,9420
2021-05-25,BEDMUTHA,23.25,23.65,22.9,23.1,4319
2021-05-26,BEDMUTHA,23.85,24.0,22.75,23.6,24871
2021-05-27,BEDMUTHA,24.0,25.95,24.0,24.45,19243
2021-05-28,BEDMUTHA,26.55,26.55,23.0,23.45,9156
2021-05-31,BEDMUTHA,24.55,24.7,23.3,23.5,6073
2021-06-01,BEDMUTHA,24.2,24.2,22.7,22.95,7785
2021-06-02,BEDMUTHA,22.25,24.0,22.25,23.75,13320
2021-06-03,BEDMUTHA,24.1,24.5,23.35,23.7,16024
2021-06-04,BEDMUTHA,23.3,23.9,22.3,23.45,26154
2021-06-07,BEDMUTHA,25.0,28.1,23.65,28.1,182947
2021-06-08,BEDMUTHA,29.0,33.7,29.0,33.7,199607
2021-06-09,BEDMUTHA,36.4,37.05,34.6,36.85,220560
2021-06-10,BEDMUTHA,37.95,40.5,34.2,39.9,213408
2021-06-11,BEDMUTHA,42.1,43.0,36.75,38.75,179525
