Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,BFINVEST,308.95,312.0,305.5,307.2,26711
2020-08-20,BFINVEST,305.35,313.5,303.1,307.45,9536
2020-08-21,BFINVEST,309.3,329.0,308.6,320.9,47038
2020-08-24,BFINVEST,323.4,330.0,313.05,315.65,32570
2020-08-25,BFINVEST,317.0,323.0,309.0,310.35,15511
2020-08-26,BFINVEST,310.0,317.05,308.15,311.25,16112
2020-08-27,BFINVEST,312.8,348.85,309.65,334.8,84323
2020-08-28,BFINVEST,337.0,337.0,316.4,318.4,26388
2020-08-31,BFINVEST,320.0,323.45,302.0,306.0,23276
2020-09-01,BFINVEST,306.0,311.55,299.0,300.9,7991
2020-09-02,BFINVEST,302.45,311.65,301.1,308.15,5695
2020-09-03,BFINVEST,307.0,317.0,305.2,307.2,8693
2020-09-04,BFINVEST,303.0,314.0,298.0,300.75,12145
2020-09-07,BFINVEST,302.2,306.4,300.1,301.75,5150
2020-09-08,BFINVEST,302.0,306.5,297.1,298.8,4589
2020-09-09,BFINVEST,296.1,297.65,291.25,293.2,6053
2020-09-10,BFINVEST,294.7,311.0,294.7,299.6,7151
2020-09-11,BFINVEST,300.95,306.1,298.0,299.65,6505
2020-09-14,BFINVEST,302.0,305.05,294.3,296.65,8072
2020-09-15,BFINVEST,298.0,307.0,295.2,299.75,6063
2020-09-16,BFINVEST,301.0,304.35,296.0,298.35,8375
2020-09-17,BFINVEST,297.45,303.0,295.75,297.15,3820
2020-09-18,BFINVEST,298.4,302.6,295.0,295.75,4259
2020-09-21,BFINVEST,296.6,300.95,276.0,283.45,7728
2020-09-22,BFINVEST,286.0,286.8,264.0,273.9,5443
2020-09-23,BFINVEST,278.0,282.7,267.0,270.1,3366
2020-09-24,BFINVEST,265.0,269.45,261.55,262.55,3220
2020-09-25,BFINVEST,263.9,272.55,258.3,266.9,5158
2020-09-28,BFINVEST,270.4,284.6,270.4,282.7,4677
2020-09-29,BFINVEST,284.15,285.55,275.1,280.0,3414
2020-09-30,BFINVEST,281.4,283.5,277.5,278.9,1727
2020-10-01,BFINVEST,282.0,284.9,272.55,275.4,2864
2020-10-05,BFINVEST,276.8,296.8,276.8,291.8,10185
2020-10-06,BFINVEST,292.0,306.85,289.25,305.0,21166
2020-10-07,BFINVEST,305.0,313.05,293.05,295.2,6804
2020-10-08,BFINVEST,301.6,319.0,285.0,289.2,23725
2020-10-09,BFINVEST,290.35,292.0,282.5,285.25,3236
2020-10-12,BFINVEST,286.65,287.6,271.8,275.15,5555
2020-10-13,BFINVEST,276.55,281.55,271.8,273.25,2393
2020-10-14,BFINVEST,272.95,300.0,268.9,288.75,10714
2020-10-15,BFINVEST,289.5,293.85,275.1,278.5,5803
2020-10-16,BFINVEST,276.05,284.3,259.2,270.85,12440
2020-10-19,BFINVEST,272.25,287.0,272.25,273.95,5265
