Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-09-17,HAPPSTMNDS,350.0,394.95,350.0,370.95,19037078
2020-09-18,HAPPSTMNDS,376.0,380.95,357.0,358.7,3106798
2020-09-21,HAPPSTMNDS,354.0,374.5,330.3,349.4,2729573
2020-09-22,HAPPSTMNDS,350.0,358.6,335.0,353.95,974865
2020-09-23,HAPPSTMNDS,358.2,362.25,343.1,352.3,687245
2020-09-24,HAPPSTMNDS,344.0,349.0,335.0,337.3,763494
2020-09-25,HAPPSTMNDS,342.9,386.0,340.2,363.4,2422109
2020-09-28,HAPPSTMNDS,368.7,376.4,365.05,367.1,617548
2020-09-29,HAPPSTMNDS,368.45,370.45,348.05,351.45,744101
2020-09-30,HAPPSTMNDS,350.0,365.0,344.1,348.85,684339
2020-10-01,HAPPSTMNDS,352.9,354.6,340.0,342.8,782381
2020-10-05,HAPPSTMNDS,345.0,350.7,339.0,345.5,443243
2020-10-06,HAPPSTMNDS,347.0,352.85,343.35,350.05,511186
2020-10-07,HAPPSTMNDS,350.0,351.7,343.1,345.2,303749
2020-10-08,HAPPSTMNDS,350.15,360.8,348.0,357.3,861380
2020-10-09,HAPPSTMNDS,355.0,359.3,350.0,350.75,304837
2020-10-12,HAPPSTMNDS,352.0,352.0,342.0,344.25,354976
2020-10-13,HAPPSTMNDS,342.95,355.0,342.5,348.3,339833
2020-10-14,HAPPSTMNDS,349.15,365.8,347.3,354.15,554858
2020-10-15,HAPPSTMNDS,350.0,355.8,339.1,340.6,2152186
2020-10-16,HAPPSTMNDS,343.6,344.5,323.1,325.45,1365048
2020-10-19,HAPPSTMNDS,329.0,330.7,321.65,324.3,1237809
2020-10-20,HAPPSTMNDS,326.4,329.7,323.0,324.4,273843
2020-10-21,HAPPSTMNDS,325.55,327.5,317.45,319.3,432739
2020-10-22,HAPPSTMNDS,320.25,324.4,318.0,320.2,500509
2020-10-23,HAPPSTMNDS,322.45,323.65,319.0,319.85,266817
2020-10-26,HAPPSTMNDS,321.4,323.05,315.1,317.2,379584
2020-10-27,HAPPSTMNDS,314.2,315.7,307.0,308.8,346722
2020-10-28,HAPPSTMNDS,309.95,329.05,309.0,320.2,772203
2020-10-29,HAPPSTMNDS,318.0,335.6,312.65,332.15,584146
2020-10-30,HAPPSTMNDS,337.5,344.0,322.65,338.95,852149
2020-11-02,HAPPSTMNDS,339.8,344.9,335.25,340.55,496818
2020-11-03,HAPPSTMNDS,343.7,346.0,335.15,339.3,514055
2020-11-04,HAPPSTMNDS,338.9,353.0,337.8,349.85,623663
2020-11-05,HAPPSTMNDS,337.25,340.9,326.0,330.3,801083
2020-11-06,HAPPSTMNDS,330.95,334.8,325.0,326.05,405914
2020-11-09,HAPPSTMNDS,330.0,330.0,321.0,322.1,365735
2020-11-10,HAPPSTMNDS,321.0,322.5,311.1,312.05,1178128
2020-11-11,HAPPSTMNDS,310.0,321.9,310.0,315.55,281981
2020-11-12,HAPPSTMNDS,317.0,322.0,316.0,318.5,227076
2020-11-13,HAPPSTMNDS,318.0,323.85,317.5,321.1,180032
2020-11-14,HAPPSTMNDS,324.8,325.5,323.1,324.55,180358
2020-11-17,HAPPSTMNDS,327.8,328.7,323.55,324.8,242808
2020-11-18,HAPPSTMNDS,324.6,325.5,321.95,323.45,193717
2020-11-19,HAPPSTMNDS,321.8,325.8,317.0,317.85,415470
2020-11-20,HAPPSTMNDS,318.0,322.65,317.25,320.55,271037
2020-11-23,HAPPSTMNDS,320.55,321.95,314.05,318.5,210007
2020-11-24,HAPPSTMNDS,319.9,327.8,319.0,321.15,249570
2020-11-25,HAPPSTMNDS,323.5,323.8,317.0,317.95,253615
2020-11-26,HAPPSTMNDS,318.25,320.85,310.5,311.85,1249451
2020-11-27,HAPPSTMNDS,313.8,318.1,312.0,313.95,324875
2020-12-01,HAPPSTMNDS,315.7,317.95,314.0,315.9,239877
2020-12-02,HAPPSTMNDS,316.9,333.7,316.05,331.35,982848
2020-12-03,HAPPSTMNDS,335.0,337.4,326.0,327.3,399706
2020-12-04,HAPPSTMNDS,328.0,329.6,324.2,325.8,229064
2020-12-07,HAPPSTMNDS,327.9,333.3,324.3,326.45,358915
2020-12-08,HAPPSTMNDS,326.3,331.6,320.0,323.7,370629
2020-12-09,HAPPSTMNDS,325.4,326.8,322.0,322.65,268037
2020-12-10,HAPPSTMNDS,322.35,324.25,320.05,321.0,256758
2020-12-11,HAPPSTMNDS,322.8,327.35,321.25,322.45,300406
2020-12-14,HAPPSTMNDS,324.0,326.9,320.0,320.7,269392
2020-12-15,HAPPSTMNDS,321.7,324.5,320.0,320.8,150308
2020-12-16,HAPPSTMNDS,323.0,327.8,321.5,323.7,248227
2020-12-17,HAPPSTMNDS,325.0,331.4,322.35,325.25,383759
2020-12-18,HAPPSTMNDS,326.5,345.95,326.0,341.45,1862050
2020-12-21,HAPPSTMNDS,343.55,353.0,311.0,323.1,1130652
2020-12-22,HAPPSTMNDS,327.1,339.9,315.1,335.85,515378
2020-12-23,HAPPSTMNDS,339.5,365.0,338.0,358.9,1543882
2020-12-24,HAPPSTMNDS,358.9,361.7,341.7,347.05,510215
2020-12-28,HAPPSTMNDS,349.4,358.3,348.0,354.75,506938
2020-12-29,HAPPSTMNDS,357.4,357.4,346.0,348.1,343174
2020-12-30,HAPPSTMNDS,350.9,351.0,340.2,344.65,238770
2020-12-31,HAPPSTMNDS,346.45,349.9,342.0,344.25,232659
2021-01-01,HAPPSTMNDS,345.8,350.0,334.1,338.35,519037
2021-01-04,HAPPSTMNDS,339.0,345.8,338.2,342.55,438994
2021-01-05,HAPPSTMNDS,341.85,345.7,338.55,342.5,407296
2021-01-06,HAPPSTMNDS,345.0,348.9,333.25,338.2,604135
2021-01-07,HAPPSTMNDS,341.5,341.85,333.65,335.65,312104
2021-01-08,HAPPSTMNDS,338.55,346.7,338.25,344.9,414193
2021-01-11,HAPPSTMNDS,348.8,358.4,347.1,353.4,1545901
2021-01-12,HAPPSTMNDS,353.75,353.9,347.5,349.55,344368
2021-01-13,HAPPSTMNDS,351.9,351.9,338.15,342.5,326155
2021-01-14,HAPPSTMNDS,344.0,361.0,340.2,354.1,1061691
2021-01-15,HAPPSTMNDS,354.1,382.0,348.35,377.5,2732718
2021-01-18,HAPPSTMNDS,383.0,395.9,355.0,368.2,1773676
2021-01-19,HAPPSTMNDS,370.65,380.0,368.15,376.6,453337
2021-01-20,HAPPSTMNDS,376.0,381.65,373.3,377.65,371449
2021-01-21,HAPPSTMNDS,380.0,385.0,358.0,364.5,484743
2021-01-22,HAPPSTMNDS,365.5,382.75,355.6,371.95,604445
2021-01-25,HAPPSTMNDS,375.5,375.5,355.6,359.75,230386
2021-01-27,HAPPSTMNDS,358.5,369.8,355.0,358.05,336586
2021-01-28,HAPPSTMNDS,354.0,363.5,353.6,356.5,285698
2021-01-29,HAPPSTMNDS,360.0,363.5,345.0,347.15,276930
2021-02-01,HAPPSTMNDS,350.5,350.9,340.7,345.3,959198
2021-02-02,HAPPSTMNDS,348.3,354.5,347.1,348.85,277063
2021-02-03,HAPPSTMNDS,351.85,356.65,348.7,350.15,247610
2021-02-04,HAPPSTMNDS,351.4,352.8,347.65,349.05,213725
