Date,Symbol,Open,High,Low,Close,Deliverable Volume
2021-02-02,INDIGOPNTS,2607.5,3129.0,2436.05,3117.15,5456304
2021-02-03,INDIGOPNTS,3239.0,3329.95,2831.25,2924.25,521407
2021-02-04,INDIGOPNTS,2948.85,2967.95,2853.0,2873.75,105294
2021-02-05,INDIGOPNTS,2866.0,2900.0,2603.0,2630.05,181430
2021-02-08,INDIGOPNTS,2590.0,2736.0,2551.0,2677.05,106863
2021-02-09,INDIGOPNTS,2680.0,2824.9,2665.0,2704.85,121297
2021-02-10,INDIGOPNTS,2706.2,2730.0,2641.0,2666.25,38885
2021-02-11,INDIGOPNTS,2666.0,2684.9,2641.0,2649.4,21488
2021-02-12,INDIGOPNTS,2649.3,2667.85,2585.0,2610.75,36665
2021-02-15,INDIGOPNTS,2600.0,2650.0,2565.05,2595.65,44212
2021-02-16,INDIGOPNTS,2600.0,2617.1,2557.0,2564.55,25501
2021-02-17,INDIGOPNTS,2564.0,2724.0,2545.95,2642.5,65731
2021-02-18,INDIGOPNTS,2660.05,2709.6,2625.0,2641.6,41682
2021-02-19,INDIGOPNTS,2636.0,2660.0,2563.7,2572.6,27205
2021-02-22,INDIGOPNTS,2597.95,2612.95,2535.0,2542.7,20401
2021-02-23,INDIGOPNTS,2550.0,2588.0,2501.05,2510.95,17668
2021-02-24,INDIGOPNTS,2524.3,2533.4,2480.0,2487.95,15468
2021-02-25,INDIGOPNTS,2499.0,2516.0,2492.3,2499.7,48177
2021-02-26,INDIGOPNTS,2484.5,2574.1,2475.0,2522.2,27766
2021-03-01,INDIGOPNTS,2544.0,2546.85,2490.0,2506.15,292561
2021-03-02,INDIGOPNTS,2529.0,2717.7,2508.0,2640.5,72440
2021-03-03,INDIGOPNTS,2661.0,2709.9,2595.0,2618.3,55244
2021-03-04,INDIGOPNTS,2609.95,2653.95,2583.3,2589.25,17263
2021-03-05,INDIGOPNTS,2595.0,2602.15,2513.05,2525.5,101466
2021-03-08,INDIGOPNTS,2547.4,2629.0,2492.55,2548.6,65198
2021-03-09,INDIGOPNTS,2548.6,2556.9,2475.85,2484.1,78371
2021-03-10,INDIGOPNTS,2500.0,2523.95,2492.0,2515.6,35609
2021-03-12,INDIGOPNTS,2529.4,2559.3,2490.0,2500.95,23495
2021-03-15,INDIGOPNTS,2543.4,2543.4,2455.5,2464.35,20699
2021-03-16,INDIGOPNTS,2474.0,2492.85,2435.0,2443.9,40685
2021-03-17,INDIGOPNTS,2450.0,2452.8,2360.0,2367.8,27457
2021-03-18,INDIGOPNTS,2379.0,2396.95,2294.8,2305.8,50246
2021-03-19,INDIGOPNTS,2321.0,2329.0,2220.25,2285.45,60873
2021-03-22,INDIGOPNTS,2290.0,2399.95,2289.8,2378.5,118299
2021-03-23,INDIGOPNTS,2390.0,2395.0,2334.05,2367.25,21840
2021-03-24,INDIGOPNTS,2367.25,2473.35,2315.0,2336.4,81419
2021-03-25,INDIGOPNTS,2340.0,2350.0,2281.0,2290.7,19954
2021-03-26,INDIGOPNTS,2321.0,2340.2,2265.3,2298.15,33754
2021-03-30,INDIGOPNTS,2306.0,2324.95,2295.65,2310.4,14098
2021-03-31,INDIGOPNTS,2330.0,2449.0,2316.0,2395.85,62156
2021-04-01,INDIGOPNTS,2400.0,2414.85,2350.95,2384.25,5981
2021-04-05,INDIGOPNTS,2398.8,2398.8,2311.85,2324.45,11054
2021-04-06,INDIGOPNTS,2320.0,2394.7,2316.0,2374.4,15523
2021-04-07,INDIGOPNTS,2395.0,2444.85,2380.2,2412.75,19939
2021-04-08,INDIGOPNTS,2429.0,2430.65,2376.2,2379.85,18258
2021-04-09,INDIGOPNTS,2379.0,2399.0,2339.1,2344.5,10820
2021-04-12,INDIGOPNTS,2320.0,2320.0,2270.0,2275.95,15669
2021-04-13,INDIGOPNTS,2285.0,2330.0,2285.0,2298.45,13248
2021-04-15,INDIGOPNTS,2266.55,2309.75,2266.55,2300.7,10474
2021-04-16,INDIGOPNTS,2320.0,2339.75,2304.9,2317.85,12200
2021-04-19,INDIGOPNTS,2250.05,2355.55,2250.05,2302.05,27279
2021-04-20,INDIGOPNTS,2306.95,2339.0,2286.65,2307.55,11668
2021-04-22,INDIGOPNTS,2290.0,2313.3,2290.0,2300.2,7619
2021-04-23,INDIGOPNTS,2316.0,2367.8,2295.15,2315.1,10544
2021-04-26,INDIGOPNTS,2302.1,2350.15,2302.1,2336.9,8908
2021-04-27,INDIGOPNTS,2327.0,2355.2,2304.95,2321.5,14151
