Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,KANANIIND,3.9,3.9,3.75,3.8,2808
2020-08-20,KANANIIND,3.8,3.95,3.65,3.95,5084
2020-08-21,KANANIIND,3.95,3.95,3.8,3.95,2789
2020-08-24,KANANIIND,4.1,4.1,3.85,3.9,1972
2020-08-25,KANANIIND,3.9,4.0,3.75,4.0,8068
2020-08-26,KANANIIND,3.85,3.95,3.8,3.8,2912
2020-08-27,KANANIIND,3.8,3.95,3.8,3.8,4513
2020-08-28,KANANIIND,3.8,3.95,3.8,3.85,8909
2020-08-31,KANANIIND,3.95,3.95,3.7,3.7,8910
2020-09-01,KANANIIND,3.55,3.85,3.55,3.55,3888
2020-09-02,KANANIIND,3.7,3.7,3.55,3.55,2924
2020-09-03,KANANIIND,3.55,3.65,3.4,3.5,3362
2020-09-04,KANANIIND,3.5,3.65,3.35,3.6,6154
2020-09-07,KANANIIND,3.6,3.6,3.45,3.5,1530
2020-09-08,KANANIIND,3.5,3.65,3.45,3.45,1671
2020-09-09,KANANIIND,3.4,3.45,3.35,3.45,274
2020-09-10,KANANIIND,3.5,3.6,3.3,3.3,4091
2020-09-11,KANANIIND,3.45,3.45,3.25,3.45,3501
2020-09-14,KANANIIND,3.45,3.55,3.3,3.5,4876
2020-09-15,KANANIIND,3.65,3.65,3.4,3.6,3866
2020-09-16,KANANIIND,3.6,3.75,3.45,3.65,4731
2020-09-17,KANANIIND,3.7,3.7,3.5,3.5,2111
2020-09-18,KANANIIND,3.55,3.6,3.35,3.35,3022
2020-09-21,KANANIIND,3.25,3.35,3.2,3.35,7129
2020-09-22,KANANIIND,3.3,3.3,3.2,3.2,161
2020-09-23,KANANIIND,3.2,3.35,3.05,3.05,5083
2020-09-24,KANANIIND,3.1,3.1,2.9,2.9,5029
2020-09-25,KANANIIND,3.0,3.0,2.8,3.0,1271
2020-09-28,KANANIIND,3.0,3.0,2.85,2.85,435
2020-09-29,KANANIIND,2.85,2.9,2.85,2.9,1025
2020-09-30,KANANIIND,2.9,3.0,2.8,3.0,1800
2020-10-01,KANANIIND,2.85,3.15,2.85,3.15,3650
2020-10-05,KANANIIND,3.3,3.3,3.05,3.15,2975
2020-10-06,KANANIIND,3.3,3.3,3.05,3.2,2850
2020-10-07,KANANIIND,3.3,3.3,3.05,3.05,91
2020-10-08,KANANIIND,3.3,3.35,3.2,3.35,5015
2020-10-09,KANANIIND,3.65,3.65,3.1,3.55,6084
2020-10-12,KANANIIND,3.65,3.9,3.25,3.9,18275
2020-10-13,KANANIIND,3.95,4.05,3.9,4.05,22187
2020-10-14,KANANIIND,4.25,4.25,4.25,4.25,6685
2020-10-15,KANANIIND,4.45,4.45,4.45,4.45,11877
2020-10-16,KANANIIND,4.65,4.65,4.25,4.5,19332
2020-10-19,KANANIIND,4.6,4.6,4.3,4.35,4718
2020-10-20,KANANIIND,4.15,4.2,4.15,4.15,10165
2020-10-21,KANANIIND,4.15,4.35,3.95,4.35,17594
