Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-11-13,KEERTI,32.35,32.35,29.4,29.45,1087
2020-11-14,KEERTI,30.7,30.7,30.4,30.4,261
2020-11-17,KEERTI,30.0,30.0,28.9,28.9,1102
2020-11-18,KEERTI,28.9,28.9,27.5,27.5,1448
2020-11-19,KEERTI,26.8,28.85,26.15,26.6,4951
2020-11-20,KEERTI,27.5,27.5,25.55,26.75,1905
2020-11-23,KEERTI,27.75,27.75,26.05,26.85,1099
2020-11-24,KEERTI,26.1,27.0,26.1,26.95,213
2020-11-25,KEERTI,27.0,27.0,25.65,26.05,220
2020-11-26,KEERTI,26.95,27.0,24.75,24.95,5274
2020-11-27,KEERTI,24.95,26.0,23.75,24.0,4877
2020-12-01,KEERTI,24.6,25.2,23.55,25.2,4972
2020-12-02,KEERTI,26.25,26.45,25.2,26.45,77574
2020-12-03,KEERTI,27.5,27.75,26.75,27.75,22920
2020-12-04,KEERTI,28.0,28.0,26.85,27.25,59125
2020-12-07,KEERTI,27.65,28.6,27.0,27.25,17991
2020-12-08,KEERTI,27.9,27.9,26.0,26.15,12399
2020-12-09,KEERTI,26.05,28.75,25.2,27.4,48754
2020-12-10,KEERTI,27.0,28.0,26.25,27.45,11471
2020-12-11,KEERTI,28.45,28.45,27.0,28.25,9774
2020-12-14,KEERTI,28.5,28.5,26.35,27.1,11093
2020-12-15,KEERTI,27.5,28.35,26.2,26.75,15342
2020-12-16,KEERTI,27.65,27.65,26.2,26.25,11824
2020-12-17,KEERTI,25.25,27.0,25.25,26.5,1461
2020-12-18,KEERTI,27.05,27.05,26.05,26.7,3160
2020-12-21,KEERTI,26.95,26.95,24.1,24.2,7485
2020-12-22,KEERTI,25.2,26.2,24.0,26.1,931
2020-12-23,KEERTI,27.45,27.45,25.55,25.95,874
2020-12-24,KEERTI,26.0,26.9,26.0,26.9,706
2020-12-28,KEERTI,27.8,28.5,24.25,25.7,9177
2020-12-29,KEERTI,26.7,26.7,24.6,25.65,3028
2020-12-30,KEERTI,25.3,25.6,25.0,25.5,3774
2020-12-31,KEERTI,25.5,25.5,25.0,25.0,291
2021-01-01,KEERTI,25.0,25.55,25.0,25.55,1140
2021-01-04,KEERTI,26.7,27.95,23.6,25.75,15672
2021-01-05,KEERTI,26.95,26.95,24.05,25.2,5585
2021-01-06,KEERTI,24.6,26.5,24.5,25.5,5663
2021-01-07,KEERTI,26.0,26.0,24.75,24.85,6522
2021-01-08,KEERTI,25.75,25.9,22.6,25.25,11689
2021-01-11,KEERTI,25.95,26.45,24.8,25.0,6758
2021-01-12,KEERTI,25.05,26.8,25.05,26.1,63561
2021-01-13,KEERTI,26.6,26.6,24.95,25.0,34720
2021-01-14,KEERTI,25.7,26.5,25.1,26.4,14150
2021-01-15,KEERTI,27.2,27.2,25.05,26.6,7548
2021-01-18,KEERTI,26.5,27.2,25.4,26.1,3571
2021-01-19,KEERTI,27.25,27.5,26.0,27.0,16035
2021-01-20,KEERTI,26.1,29.7,26.1,29.7,52209
2021-01-21,KEERTI,32.6,32.65,28.25,28.8,113819
2021-01-22,KEERTI,28.5,30.5,27.15,28.05,14703
2021-01-25,KEERTI,26.1,28.9,26.1,26.95,21571
2021-01-27,KEERTI,28.35,28.35,26.35,26.95,22590
2021-01-28,KEERTI,26.9,28.0,25.45,26.15,6965
2021-01-29,KEERTI,26.6,27.35,25.85,26.15,1083
2021-02-01,KEERTI,26.15,28.75,26.0,27.35,23764
2021-02-02,KEERTI,28.45,29.7,27.6,28.4,7521
2021-02-03,KEERTI,27.6,29.1,26.85,27.2,77986
2021-02-04,KEERTI,28.15,29.0,26.55,26.9,14330
2021-02-05,KEERTI,28.0,29.7,26.5,26.7,40075
2021-02-08,KEERTI,27.15,28.25,24.5,26.8,26928
2021-02-09,KEERTI,27.0,27.8,25.75,26.25,19725
2021-02-10,KEERTI,26.35,27.45,24.05,25.65,23040
2021-02-11,KEERTI,25.65,26.7,25.0,26.45,13053
2021-02-12,KEERTI,26.8,27.2,25.5,25.65,11309
2021-02-15,KEERTI,25.95,26.15,25.15,25.45,32429
2021-02-16,KEERTI,25.85,25.9,24.8,25.0,16901
2021-02-17,KEERTI,25.5,25.5,25.0,25.1,6802
2021-02-18,KEERTI,25.55,25.55,25.0,25.1,2814
