Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,LIBAS,40.3,40.3,38.15,39.55,16002
2020-08-20,LIBAS,39.9,40.3,38.55,39.35,16102
2020-08-21,LIBAS,38.6,39.8,38.0,38.95,61544
2020-08-24,LIBAS,39.65,40.5,37.5,37.8,46098
2020-08-25,LIBAS,38.5,38.5,33.8,34.2,157258
2020-08-26,LIBAS,35.8,36.3,34.8,35.95,52932
2020-08-27,LIBAS,37.2,39.95,36.3,38.65,69239
2020-08-28,LIBAS,38.75,39.5,36.5,38.15,37282
2020-08-31,LIBAS,38.0,42.95,35.0,37.15,32101
2020-09-01,LIBAS,39.4,40.25,35.25,36.35,17513
2020-09-02,LIBAS,35.7,37.4,31.1,36.0,20572
2020-09-03,LIBAS,36.0,37.0,34.9,35.8,12459
2020-09-04,LIBAS,35.8,36.3,34.4,35.6,6977
2020-09-07,LIBAS,34.6,36.2,34.4,34.6,11938
2020-09-08,LIBAS,34.6,36.8,33.1,34.0,15806
2020-09-09,LIBAS,34.75,35.05,32.15,33.25,8233
2020-09-10,LIBAS,33.9,35.0,32.7,32.85,15565
2020-09-11,LIBAS,33.8,34.5,32.65,34.15,24003
2020-09-14,LIBAS,34.15,34.95,33.5,34.4,16311
2020-09-15,LIBAS,35.0,35.0,33.6,33.75,13787
2020-09-16,LIBAS,33.8,34.15,33.25,33.4,6405
2020-09-17,LIBAS,33.4,33.5,32.55,32.8,12139
2020-09-18,LIBAS,32.8,33.75,32.7,32.85,6265
2020-09-21,LIBAS,33.95,33.95,30.05,30.8,13122
2020-09-22,LIBAS,31.65,31.8,28.5,31.15,10116
2020-09-23,LIBAS,31.0,34.0,29.7,29.8,22733
2020-09-24,LIBAS,29.0,30.0,28.0,29.25,11963
2020-09-25,LIBAS,30.5,31.0,28.3,30.45,5513
2020-09-28,LIBAS,30.8,32.0,30.25,31.65,2445
2020-09-29,LIBAS,32.0,34.0,31.85,33.6,36957
2020-09-30,LIBAS,33.0,34.1,30.9,33.8,10273
2020-10-01,LIBAS,34.45,35.5,33.25,33.55,42347
2020-10-05,LIBAS,34.5,35.0,33.0,33.9,14428
2020-10-06,LIBAS,34.4,40.65,33.2,37.65,152707
2020-10-07,LIBAS,37.7,38.4,35.3,37.3,89871
2020-10-08,LIBAS,36.95,38.0,36.0,37.7,30528
2020-10-09,LIBAS,37.0,37.75,35.9,37.6,7716
2020-10-12,LIBAS,37.7,39.0,32.2,34.55,30217
2020-10-13,LIBAS,34.95,35.7,32.7,33.05,39927
2020-10-14,LIBAS,33.1,34.15,31.4,32.3,11051
2020-10-15,LIBAS,32.45,34.0,30.75,32.15,40199
2020-10-16,LIBAS,31.4,33.85,31.0,31.7,5502
2020-10-19,LIBAS,33.3,33.3,31.0,31.65,28156
2020-10-20,LIBAS,31.55,32.1,31.0,31.2,8419
2020-10-21,LIBAS,31.25,31.75,31.05,31.25,6865
2020-10-22,LIBAS,31.05,31.8,29.6,30.85,17663
2020-10-23,LIBAS,30.9,31.5,30.45,30.6,67622
2020-10-26,LIBAS,31.45,31.5,30.2,30.55,4545
2020-10-27,LIBAS,29.55,31.1,29.55,30.45,11807
2020-10-28,LIBAS,30.95,36.0,29.5,31.3,19929
2020-10-29,LIBAS,30.55,32.4,29.5,29.8,21305
2020-10-30,LIBAS,30.55,31.5,29.6,29.8,13790
2020-11-02,LIBAS,30.85,30.85,29.0,29.65,9633
2020-11-03,LIBAS,29.6,30.1,28.6,29.05,8981
2020-11-04,LIBAS,29.05,31.1,28.5,30.75,24166
2020-11-05,LIBAS,30.05,31.5,29.55,30.75,33657
2020-11-06,LIBAS,31.35,34.0,29.85,30.1,11674
2020-11-09,LIBAS,30.05,31.5,28.5,29.05,45541
2020-11-10,LIBAS,30.3,31.0,29.05,29.7,14574
2020-11-11,LIBAS,30.25,30.25,29.1,29.5,3798
2020-11-12,LIBAS,29.2,30.75,28.9,29.15,11420
2020-11-13,LIBAS,29.55,29.65,28.8,29.2,23453
2020-11-14,LIBAS,30.7,30.7,29.05,29.6,1927
2020-11-17,LIBAS,29.7,29.7,29.1,29.25,10004
2020-11-18,LIBAS,29.2,29.5,28.95,29.35,7712
2020-11-19,LIBAS,29.5,29.5,28.6,29.05,17335
2020-11-20,LIBAS,29.3,29.3,28.5,28.65,22004
2020-11-23,LIBAS,28.75,29.25,28.7,28.85,8382
2020-11-24,LIBAS,29.3,29.3,28.5,28.85,18345
2020-11-25,LIBAS,29.15,29.45,28.65,29.15,9638
2020-11-26,LIBAS,29.1,29.35,29.05,29.15,5423
2020-11-27,LIBAS,29.7,29.75,28.4,28.75,56366
2020-12-01,LIBAS,29.15,29.15,27.25,28.05,83522
2020-12-02,LIBAS,28.75,28.75,28.3,28.45,13432
2020-12-03,LIBAS,28.8,28.8,28.2,28.4,8166
2020-12-04,LIBAS,28.5,28.85,28.0,28.55,23737
2020-12-07,LIBAS,28.6,29.8,28.0,29.0,18822
2020-12-08,LIBAS,29.65,31.75,29.0,30.05,168030
2020-12-09,LIBAS,30.6,31.6,30.25,30.4,31914
2020-12-10,LIBAS,30.05,35.0,29.55,32.5,102813
2020-12-11,LIBAS,32.45,34.5,31.5,32.95,97683
2020-12-14,LIBAS,33.0,33.8,32.55,32.9,24686
2020-12-15,LIBAS,33.4,33.4,31.5,32.6,33543
2020-12-16,LIBAS,32.1,32.85,32.1,32.55,17607
2020-12-17,LIBAS,32.35,32.95,28.25,30.8,30397
2020-12-18,LIBAS,31.3,34.3,30.0,32.7,74575
2020-12-21,LIBAS,32.05,34.0,31.0,31.35,30884
2020-12-22,LIBAS,30.0,32.1,30.0,31.7,128111
2020-12-23,LIBAS,31.7,32.0,30.8,31.95,19477
2020-12-24,LIBAS,31.95,33.1,31.5,32.8,32888
2020-12-28,LIBAS,32.8,33.35,32.1,32.4,79159
2020-12-29,LIBAS,32.95,33.3,32.25,33.0,89562
2020-12-30,LIBAS,33.35,39.6,32.7,36.5,367944
2020-12-31,LIBAS,36.55,37.7,34.55,34.9,150948
2021-01-01,LIBAS,35.85,35.9,34.25,34.55,41032
2021-01-04,LIBAS,36.5,36.5,34.05,34.25,56545
2021-01-05,LIBAS,34.0,34.25,33.0,33.9,33501
2021-01-06,LIBAS,34.9,34.95,33.5,33.95,30314
2021-01-07,LIBAS,33.95,34.85,33.15,34.35,34430
2021-01-08,LIBAS,34.8,37.95,34.1,36.95,136281
2021-01-11,LIBAS,37.5,37.5,34.0,36.45,50311
2021-01-12,LIBAS,37.0,37.8,35.45,36.65,25425
2021-01-13,LIBAS,36.7,40.5,36.05,38.85,131268
2021-01-14,LIBAS,40.4,40.45,38.0,38.5,58204
2021-01-15,LIBAS,38.1,42.45,38.0,40.3,107313
2021-01-18,LIBAS,40.85,45.8,40.55,43.05,106718
2021-01-19,LIBAS,44.85,46.0,43.25,44.4,39928
2021-01-20,LIBAS,45.0,45.1,43.55,43.65,25681
2021-01-21,LIBAS,43.75,44.9,43.05,43.7,258574
2021-01-22,LIBAS,44.4,45.0,43.15,44.0,66698
2021-01-25,LIBAS,44.8,46.95,43.2,45.35,35622
2021-01-27,LIBAS,45.3,46.5,44.5,45.8,29808
2021-01-28,LIBAS,45.0,50.2,43.5,47.55,84739
2021-01-29,LIBAS,49.0,49.45,46.5,47.25,57139
2021-02-01,LIBAS,48.8,48.85,46.7,47.75,26130
2021-04-27,LIBAS,44.0,44.45,42.0,44.25,26912
2021-04-28,LIBAS,44.0,45.0,43.1,44.25,7579
2021-04-29,LIBAS,43.15,45.0,43.0,44.05,17789
2021-04-30,LIBAS,44.2,44.7,43.25,44.25,28636
2021-05-03,LIBAS,44.0,44.8,43.5,44.35,22751
2021-05-04,LIBAS,44.35,45.5,44.35,44.7,10179
2021-05-05,LIBAS,45.4,45.4,43.05,44.8,12146
2021-05-06,LIBAS,45.4,45.45,44.0,44.9,3503
2021-05-07,LIBAS,44.85,47.1,44.85,45.8,15483
2021-05-10,LIBAS,47.0,47.0,45.7,45.85,6647
2021-05-11,LIBAS,46.4,47.75,43.6,44.1,27651
2021-05-12,LIBAS,46.3,46.3,45.25,45.55,17255
2021-05-14,LIBAS,46.55,46.55,45.45,45.85,12828
2021-05-17,LIBAS,46.5,46.5,44.85,44.95,5184
2021-05-18,LIBAS,45.0,46.95,45.0,46.4,26377
2021-05-19,LIBAS,46.4,46.75,45.65,46.3,21714
2021-05-20,LIBAS,46.25,47.45,45.6,46.85,20451
2021-05-21,LIBAS,46.2,49.15,45.95,48.95,75745
2021-05-24,LIBAS,49.0,49.5,46.55,47.05,222700
