Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,MADRASFERT,19.55,19.75,19.3,19.45,60263
2020-08-20,MADRASFERT,19.25,19.7,19.1,19.2,71950
2020-08-21,MADRASFERT,19.7,19.7,19.3,19.4,58436
2020-08-24,MADRASFERT,19.65,20.35,18.1,19.45,134782
2020-08-25,MADRASFERT,19.45,19.7,18.9,19.15,111386
2020-08-26,MADRASFERT,19.35,19.45,19.0,19.15,51559
2020-08-27,MADRASFERT,19.2,19.35,19.05,19.15,33859
2020-08-28,MADRASFERT,19.05,19.25,19.0,19.05,57813
2020-08-31,MADRASFERT,19.1,19.35,18.05,18.1,103830
2020-09-01,MADRASFERT,18.1,18.6,17.75,18.0,31369
2020-09-02,MADRASFERT,18.15,18.75,18.0,18.5,27371
2020-09-03,MADRASFERT,18.25,18.8,18.15,18.3,19673
2020-09-04,MADRASFERT,18.3,18.6,17.25,18.1,34715
2020-09-07,MADRASFERT,18.4,18.4,17.85,17.95,23201
2020-09-08,MADRASFERT,17.65,18.15,17.5,17.6,19909
2020-09-09,MADRASFERT,17.6,17.7,17.2,17.35,27164
2020-09-10,MADRASFERT,17.5,17.95,17.5,17.7,11942
2020-09-11,MADRASFERT,17.95,18.15,17.6,17.8,22076
2020-09-14,MADRASFERT,17.95,18.45,17.65,18.2,28248
2020-09-15,MADRASFERT,18.0,18.45,17.85,18.2,21397
2020-09-16,MADRASFERT,18.45,18.45,17.8,18.0,14665
2020-09-17,MADRASFERT,17.65,18.05,17.55,17.9,25495
2020-09-18,MADRASFERT,18.25,18.25,17.7,17.75,13641
2020-09-21,MADRASFERT,17.7,17.95,16.8,17.15,28818
2020-09-22,MADRASFERT,16.7,17.2,15.65,16.6,38133
2020-09-23,MADRASFERT,16.7,17.4,16.45,17.05,17885
2020-09-24,MADRASFERT,16.5,16.9,16.3,16.45,14773
2020-09-25,MADRASFERT,16.55,16.9,16.05,16.8,21063
2020-09-28,MADRASFERT,17.6,18.45,17.6,18.3,122924
2020-09-29,MADRASFERT,18.35,18.75,17.95,18.15,59290
2020-09-30,MADRASFERT,18.25,18.3,17.55,17.75,41080
2020-10-01,MADRASFERT,18.7,18.9,18.05,18.2,52635
2020-10-05,MADRASFERT,18.1,18.35,17.65,17.95,16967
2020-10-06,MADRASFERT,18.25,18.3,17.75,17.85,27978
2020-10-07,MADRASFERT,18.2,18.2,17.5,17.6,42385
2020-10-08,MADRASFERT,18.2,18.8,17.8,18.15,73148
2020-10-09,MADRASFERT,18.25,18.25,17.6,17.8,25475
2020-10-12,MADRASFERT,18.2,18.2,17.25,17.4,27168
2020-10-13,MADRASFERT,17.75,17.75,17.1,17.2,16207
2020-10-14,MADRASFERT,17.05,17.35,17.05,17.2,9008
2020-10-15,MADRASFERT,17.05,17.3,16.85,16.95,21028
2020-10-16,MADRASFERT,16.8,17.15,16.7,16.9,27711
2020-10-19,MADRASFERT,17.5,17.8,17.0,17.2,42654
2020-10-20,MADRASFERT,17.15,17.65,17.0,17.15,23251
2020-10-21,MADRASFERT,16.75,17.0,16.0,16.1,312145
2020-10-22,MADRASFERT,16.1,16.3,16.05,16.15,47444
2020-10-23,MADRASFERT,16.1,16.3,16.05,16.2,50695
2020-10-26,MADRASFERT,16.15,16.45,16.05,16.2,45468
2020-10-27,MADRASFERT,16.35,16.35,16.1,16.2,23463
