Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,NAUKRI,3309.8,3350.55,3282.05,3294.0,218198
2020-08-20,NAUKRI,3299.95,3319.6,3247.25,3269.75,64636
2020-08-21,NAUKRI,3311.0,3320.1,3220.0,3239.3,219221
2020-08-24,NAUKRI,3276.35,3276.35,3224.0,3238.8,238964
2020-08-25,NAUKRI,3230.0,3299.0,3228.0,3285.25,65153
2020-08-26,NAUKRI,3310.0,3313.65,3242.5,3251.2,289324
2020-08-27,NAUKRI,3275.0,3310.0,3251.05,3277.35,79677
2020-08-28,NAUKRI,3296.0,3405.0,3275.0,3389.95,74010
2020-08-31,NAUKRI,3398.9,3421.5,3240.5,3263.65,227487
2020-09-01,NAUKRI,3295.0,3348.0,3242.5,3303.0,47110
2020-09-02,NAUKRI,3323.0,3498.9,3308.4,3473.75,155381
2020-09-03,NAUKRI,3493.2,3555.0,3413.9,3434.15,57222
2020-09-04,NAUKRI,3385.0,3451.0,3310.2,3337.9,54108
2020-09-07,NAUKRI,3379.1,3386.35,3275.5,3292.95,131450
2020-09-08,NAUKRI,3390.0,3433.95,3290.0,3314.1,129133
2020-09-09,NAUKRI,3303.0,3306.0,3240.0,3279.7,109668
2020-09-10,NAUKRI,3293.0,3430.0,3240.25,3386.7,197729
2020-09-11,NAUKRI,3420.0,3434.8,3343.05,3384.85,182706
2020-09-14,NAUKRI,3384.85,3455.0,3381.0,3434.1,112219
2020-09-15,NAUKRI,3450.0,3559.2,3410.3,3533.55,159462
2020-09-16,NAUKRI,3560.7,3581.7,3505.0,3539.8,116827
2020-09-17,NAUKRI,3540.0,3618.05,3497.45,3516.9,267831
2020-09-18,NAUKRI,3516.9,3578.8,3438.85,3487.3,279248
2020-09-21,NAUKRI,3475.0,3583.55,3361.1,3402.7,108698
2020-09-22,NAUKRI,3370.35,3420.0,3275.4,3349.35,112504
2020-09-23,NAUKRI,3350.0,3479.95,3323.0,3388.7,132756
2020-09-24,NAUKRI,3376.0,3450.0,3330.0,3375.75,185190
2020-09-25,NAUKRI,3400.0,3492.4,3400.0,3450.15,108092
2020-09-28,NAUKRI,3495.0,3614.8,3450.2,3575.55,238485
2020-09-29,NAUKRI,3600.0,3703.1,3599.95,3633.45,144859
2020-09-30,NAUKRI,3649.0,3688.0,3615.0,3634.7,103818
2020-10-01,NAUKRI,3660.0,3672.95,3586.55,3609.15,66670
2020-10-05,NAUKRI,3611.0,3649.0,3471.4,3487.85,169173
2020-10-06,NAUKRI,3526.65,3599.0,3450.0,3461.15,149628
2020-10-07,NAUKRI,3480.0,3480.0,3415.25,3459.6,182869
2020-10-08,NAUKRI,3495.0,3520.0,3431.85,3460.65,152973
2020-10-09,NAUKRI,3490.0,3505.0,3446.7,3456.9,61227
2020-10-12,NAUKRI,3479.95,3545.55,3458.8,3479.15,133634
2020-10-13,NAUKRI,3492.3,3655.0,3490.0,3579.4,242584
2020-10-14,NAUKRI,3560.0,3785.9,3560.0,3740.55,264328
2020-10-15,NAUKRI,3767.0,3767.0,3569.0,3607.8,150630
2020-10-16,NAUKRI,3617.0,3659.95,3556.75,3600.3,55251
2020-10-19,NAUKRI,3632.75,3632.75,3461.2,3476.2,191899
2020-10-20,NAUKRI,3477.0,3515.0,3442.35,3474.45,75681
2020-10-21,NAUKRI,3497.0,3534.0,3440.0,3492.75,46939
2020-10-22,NAUKRI,3494.0,3514.25,3362.65,3397.95,127444
2020-10-23,NAUKRI,3414.0,3674.7,3401.35,3645.15,226605
2020-10-26,NAUKRI,3645.15,3645.15,3500.0,3510.55,71967
2020-10-27,NAUKRI,3531.0,3589.1,3475.0,3577.8,91994
2020-10-28,NAUKRI,3576.0,3653.95,3500.1,3562.4,40789
2020-10-29,NAUKRI,3539.2,3638.0,3502.0,3602.45,86297
2020-10-30,NAUKRI,3625.6,3735.0,3501.0,3548.95,393690
2020-11-02,NAUKRI,3565.0,3629.2,3525.0,3551.65,108313
2020-11-03,NAUKRI,3590.0,3618.0,3536.3,3549.05,68427
2020-11-04,NAUKRI,3580.0,3650.0,3557.3,3610.1,98122
2020-11-05,NAUKRI,3640.0,3668.85,3605.0,3624.05,140549
2020-11-06,NAUKRI,3630.0,3669.95,3526.2,3595.75,290586
2020-11-09,NAUKRI,3625.0,3652.0,3550.0,3632.3,74209
2020-11-10,NAUKRI,3655.0,3669.0,3402.0,3536.7,206624
2020-11-11,NAUKRI,3460.0,3588.95,3450.2,3544.25,240596
2020-11-12,NAUKRI,3559.0,3725.0,3525.7,3676.8,256571
2020-11-13,NAUKRI,3650.6,3875.9,3640.55,3859.95,186909
2020-11-14,NAUKRI,3865.0,3910.0,3845.0,3884.4,22321
2020-11-17,NAUKRI,3847.0,3948.2,3801.2,3925.25,353739
2020-11-18,NAUKRI,3930.0,3988.6,3875.0,3964.3,468073
2020-11-19,NAUKRI,3950.0,3959.0,3784.0,3834.2,206949
2020-11-20,NAUKRI,3834.2,4058.0,3815.1,3980.4,404927
2020-11-23,NAUKRI,4025.0,4073.2,3955.0,4058.45,110971
2020-11-24,NAUKRI,4045.5,4089.95,4029.15,4047.9,92630
2020-11-25,NAUKRI,4050.0,4091.0,4001.3,4041.8,74685
2020-11-26,NAUKRI,4035.0,4196.95,4010.95,4179.5,64282
2020-11-27,NAUKRI,4165.3,4375.75,4131.0,4306.35,715311
2020-12-01,NAUKRI,4380.5,4426.5,4180.0,4206.8,157087
2020-12-02,NAUKRI,4247.0,4247.0,4135.2,4205.0,232227
2020-12-03,NAUKRI,4205.0,4256.4,4141.15,4157.75,181752
2020-12-04,NAUKRI,4166.1,4245.0,4166.1,4236.0,54830
2020-12-07,NAUKRI,4230.0,4334.25,4225.05,4315.85,112244
2020-12-08,NAUKRI,4301.0,4342.95,4243.45,4269.15,59175
2020-12-09,NAUKRI,4300.0,4437.0,4289.0,4383.35,159671
2020-12-10,NAUKRI,4373.0,4624.0,4353.35,4591.15,236741
2020-12-11,NAUKRI,4595.0,4739.9,4475.1,4521.35,247708
2020-12-14,NAUKRI,4560.0,4695.0,4481.0,4672.55,113467
2020-12-15,NAUKRI,4660.0,4726.8,4616.0,4639.05,174653
2020-12-16,NAUKRI,4675.0,4710.0,4590.0,4601.15,168663
2020-12-17,NAUKRI,4601.15,4665.0,4530.8,4560.75,119098
2020-12-18,NAUKRI,4599.95,4672.6,4557.65,4644.25,165704
2020-12-21,NAUKRI,4662.9,4709.2,4403.7,4479.85,133519
2020-12-22,NAUKRI,4465.1,4630.0,4366.95,4624.65,118950
2020-12-23,NAUKRI,4600.0,4679.0,4581.1,4665.6,80150
2020-12-24,NAUKRI,4640.0,4700.0,4608.7,4623.35,85922
2020-12-28,NAUKRI,4650.0,4684.8,4617.45,4629.35,62003
2020-12-29,NAUKRI,4640.0,4754.95,4632.0,4703.25,72136
2020-12-30,NAUKRI,4717.0,4792.0,4673.7,4777.7,94756
2020-12-31,NAUKRI,4775.0,4825.0,4704.0,4757.9,149246
2021-01-01,NAUKRI,4780.0,4800.0,4742.0,4754.7,44853
2021-01-04,NAUKRI,4760.25,4850.0,4737.55,4832.65,67670
2021-01-05,NAUKRI,4880.0,5549.25,4815.2,5494.4,218518
2021-01-06,NAUKRI,5500.0,5880.0,5181.05,5259.8,442026
2021-01-07,NAUKRI,5359.0,5419.95,5235.15,5311.25,73782
2021-01-08,NAUKRI,5344.0,5450.0,5288.55,5412.2,176563
2021-01-11,NAUKRI,5434.0,5518.9,5336.0,5478.9,104561
2021-01-12,NAUKRI,5426.0,5532.75,5334.55,5369.7,70212
2021-01-13,NAUKRI,5420.0,5421.1,5173.45,5259.55,178360
2021-01-14,NAUKRI,5269.0,5310.1,5150.0,5180.05,112033
2021-01-15,NAUKRI,5180.1,5314.0,4991.65,5013.6,165095
2021-01-18,NAUKRI,5040.0,5059.95,4857.05,4896.4,109431
2021-01-19,NAUKRI,4937.9,4996.6,4857.7,4927.4,673375
2021-01-20,NAUKRI,4920.0,5227.0,4915.0,5169.6,132580
2021-01-21,NAUKRI,5220.0,5375.0,5125.0,5207.75,178153
2021-01-22,NAUKRI,5250.0,5375.8,5245.0,5342.0,264231
2021-01-25,NAUKRI,5388.0,5444.95,4968.85,4985.85,288546
2021-01-27,NAUKRI,5025.0,5125.8,4677.0,4707.65,449200
2021-01-28,NAUKRI,4660.0,4739.2,4501.0,4536.75,322328
2021-01-29,NAUKRI,4625.0,4679.6,4330.0,4364.0,462849
2021-02-01,NAUKRI,4400.0,4666.6,4211.0,4549.6,488836
2021-02-02,NAUKRI,4649.7,4909.3,4516.2,4861.5,326132
2021-02-03,NAUKRI,4910.0,4950.0,4776.5,4810.05,132141
2021-02-04,NAUKRI,4790.0,4864.2,4717.0,4790.05,91757
2021-02-05,NAUKRI,4849.95,4913.4,4740.0,4817.65,78392
2021-02-08,NAUKRI,4863.95,5135.45,4850.0,5058.55,147365
2021-02-09,NAUKRI,5050.0,5137.95,4924.55,4969.4,97260
2021-02-10,NAUKRI,4968.05,5177.0,4877.1,5119.65,115349
2021-02-11,NAUKRI,5150.0,5464.7,5150.0,5418.7,207586
2021-02-12,NAUKRI,5434.0,5509.95,5315.0,5373.8,114565
2021-02-15,NAUKRI,5350.0,5588.9,5235.15,5520.85,154049
2021-02-16,NAUKRI,5537.4,5551.1,5002.2,5095.2,463827
2021-02-17,NAUKRI,5120.0,5125.0,4828.0,4916.7,508234
2021-02-18,NAUKRI,4976.0,5358.6,4952.6,5306.9,324543
2021-02-19,NAUKRI,5230.0,5270.0,5110.55,5170.15,150495
2021-02-22,NAUKRI,5154.0,5160.0,4958.0,4993.65,121383
2021-02-23,NAUKRI,5170.0,5250.0,5013.95,5071.15,86506
2021-02-24,NAUKRI,5071.15,5129.4,4909.0,4936.55,132961
2021-02-25,NAUKRI,4995.0,5060.65,4945.0,4958.45,201899
2021-02-26,NAUKRI,4900.0,4965.0,4754.4,4910.35,208614
2021-03-01,NAUKRI,4920.0,5018.7,4875.45,4909.8,103836
2021-03-02,NAUKRI,4959.0,5038.0,4870.55,4962.45,138874
2021-03-03,NAUKRI,5100.0,5100.0,5000.0,5050.7,116692
2021-03-04,NAUKRI,4955.0,5039.0,4951.95,4985.0,86928
2021-03-05,NAUKRI,4925.15,5008.05,4917.05,4945.2,49670
2021-03-08,NAUKRI,4951.1,5010.65,4885.0,4893.85,70218
2021-03-09,NAUKRI,4950.0,4984.0,4774.0,4864.0,207697
2021-03-10,NAUKRI,4922.6,4970.0,4827.2,4869.8,240896
2021-03-12,NAUKRI,4861.0,4967.0,4788.0,4803.6,268050
2021-03-15,NAUKRI,4850.95,4850.95,4645.0,4769.15,93435
2021-03-16,NAUKRI,4800.0,4875.0,4775.0,4824.7,70545
2021-03-17,NAUKRI,4800.0,4844.0,4735.0,4761.7,55912
2021-03-18,NAUKRI,4812.0,4812.0,4415.0,4480.05,283115
