Date,Symbol,Open,High,Low,Close,Deliverable Volume
2021-08-20,NGIL,66.0,66.0,66.0,66.0,8850
2021-08-23,NGIL,72.6,72.6,61.55,64.3,64188
2021-08-24,NGIL,60.0,68.6,60.0,65.35,25377
2021-08-25,NGIL,67.0,69.2,65.0,67.2,16670
2021-08-26,NGIL,69.0,70.8,65.5,69.85,12995
2021-08-27,NGIL,70.8,70.8,63.6,64.5,10866
2021-08-30,NGIL,65.0,67.95,62.1,62.95,7079
2021-08-31,NGIL,62.0,69.2,58.65,65.6,137272
2021-09-01,NGIL,65.25,72.1,65.0,66.45,44228
2021-09-02,NGIL,69.0,71.0,64.55,65.25,42451
2021-09-03,NGIL,67.1,71.65,66.15,71.65,19304
2021-09-06,NGIL,78.8,78.8,72.0,76.05,78076
2021-09-07,NGIL,77.0,83.65,76.1,80.75,340922
2021-09-08,NGIL,83.0,88.8,83.0,88.8,510834
2021-09-09,NGIL,93.0,93.2,91.0,93.2,277306
2021-09-13,NGIL,97.0,97.85,88.55,97.45,317670
2021-09-14,NGIL,101.0,102.3,99.45,102.2,192028
2021-09-15,NGIL,106.9,106.9,97.1,97.1,87497
2021-09-16,NGIL,92.25,101.95,92.25,99.0,105359
2021-09-17,NGIL,98.0,103.95,95.8,103.95,167049
2021-09-20,NGIL,108.0,109.1,100.05,107.9,77113
2021-09-21,NGIL,109.05,113.2,108.0,110.3,361016
2021-09-22,NGIL,112.2,114.0,107.0,112.85,39963
