Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,ORIENTABRA,19.9,20.05,18.55,19.7,95530
2020-08-20,ORIENTABRA,19.7,20.4,19.7,20.05,66821
2020-08-21,ORIENTABRA,20.5,22.0,20.0,21.25,166626
2020-08-24,ORIENTABRA,21.85,23.05,21.25,22.25,149680
2020-08-25,ORIENTABRA,22.5,23.5,21.25,21.4,175527
2020-08-26,ORIENTABRA,21.6,22.6,20.65,21.05,59532
2020-08-27,ORIENTABRA,21.95,23.3,20.55,22.5,173513
2020-08-28,ORIENTABRA,22.5,23.4,21.4,21.55,69465
2020-08-31,ORIENTABRA,22.2,22.25,19.0,19.3,108472
2020-09-01,ORIENTABRA,20.5,20.5,18.55,19.4,15542
2020-09-02,ORIENTABRA,19.7,19.75,19.0,19.35,14508
2020-09-03,ORIENTABRA,19.35,19.75,18.4,18.75,68531
2020-09-04,ORIENTABRA,19.0,19.0,18.0,18.3,39179
2020-09-07,ORIENTABRA,18.9,18.9,18.0,18.25,24158
2020-09-08,ORIENTABRA,18.25,18.25,17.6,18.05,23005
2020-09-09,ORIENTABRA,18.05,18.5,17.0,18.25,21185
2020-09-10,ORIENTABRA,18.2,18.85,17.55,18.05,19329
2020-09-11,ORIENTABRA,18.3,18.3,17.75,18.0,9322
2020-09-14,ORIENTABRA,18.05,18.95,18.05,18.5,12517
2020-09-15,ORIENTABRA,18.65,19.2,18.2,18.9,27804
2020-09-16,ORIENTABRA,18.8,18.95,18.0,18.7,14371
2020-09-17,ORIENTABRA,18.85,18.9,18.35,18.9,8173
2020-09-18,ORIENTABRA,18.85,22.5,18.8,21.6,258031
2020-09-21,ORIENTABRA,22.35,24.35,22.05,22.7,268963
2020-09-22,ORIENTABRA,22.4,22.9,20.15,21.15,86904
2020-09-23,ORIENTABRA,21.9,22.4,20.25,20.45,53840
2020-09-24,ORIENTABRA,20.25,20.7,19.55,19.7,35821
2020-09-25,ORIENTABRA,19.85,20.8,19.85,20.65,22998
2020-09-28,ORIENTABRA,20.65,21.45,20.15,20.3,32087
2020-09-29,ORIENTABRA,20.3,20.85,19.65,20.0,10297
2020-09-30,ORIENTABRA,19.95,20.2,19.65,19.8,5852
2020-10-01,ORIENTABRA,19.85,20.45,19.5,20.15,26468
2020-10-05,ORIENTABRA,20.05,20.35,19.65,19.9,28884
2020-10-06,ORIENTABRA,19.85,20.7,19.4,19.8,21162
2020-10-07,ORIENTABRA,20.0,20.0,19.5,19.6,12103
2020-10-08,ORIENTABRA,19.75,19.8,19.15,19.3,11170
2020-10-09,ORIENTABRA,19.35,19.9,19.1,19.4,24495
2020-10-12,ORIENTABRA,19.4,19.7,18.7,18.8,32719
2020-10-13,ORIENTABRA,18.45,19.5,18.45,19.0,16300
2020-10-14,ORIENTABRA,19.3,19.7,18.6,19.55,29449
2020-10-15,ORIENTABRA,19.55,20.0,19.0,19.05,16102
2020-10-16,ORIENTABRA,18.95,19.5,18.6,19.25,13785
2020-10-19,ORIENTABRA,19.25,19.4,18.95,19.25,10373
2020-10-20,ORIENTABRA,19.3,19.5,18.4,19.3,12186
2020-10-21,ORIENTABRA,19.3,20.3,18.9,19.5,18474
2020-10-22,ORIENTABRA,19.45,19.8,18.9,19.15,6568
2020-10-23,ORIENTABRA,19.7,19.7,19.0,19.45,13554
2020-10-26,ORIENTABRA,19.5,19.75,19.2,19.6,3120
2020-10-27,ORIENTABRA,19.05,19.65,18.85,19.05,11355
2020-10-28,ORIENTABRA,19.2,21.65,18.9,19.8,60367
2020-10-29,ORIENTABRA,19.8,20.6,19.55,19.9,17334
2020-10-30,ORIENTABRA,20.0,20.05,19.1,19.6,11813
2020-11-02,ORIENTABRA,19.3,19.9,19.3,19.8,6317
2020-11-03,ORIENTABRA,19.4,20.45,19.4,20.25,44734
2020-11-04,ORIENTABRA,20.0,20.0,19.45,19.5,26308
2020-11-05,ORIENTABRA,19.4,20.0,19.3,19.4,10649
2020-11-06,ORIENTABRA,19.25,19.7,18.85,18.95,32460
2020-11-09,ORIENTABRA,19.65,19.65,18.7,19.2,19834
2020-11-10,ORIENTABRA,19.0,19.45,18.25,18.7,33661
2020-11-11,ORIENTABRA,18.4,18.8,18.35,18.5,20261
2020-11-12,ORIENTABRA,18.5,18.85,18.25,18.45,14918
2020-11-13,ORIENTABRA,18.25,18.65,18.1,18.45,10282
2020-11-14,ORIENTABRA,18.45,19.0,18.45,18.8,18385
2020-11-17,ORIENTABRA,19.0,20.9,18.5,20.45,94585
2020-11-18,ORIENTABRA,20.5,20.9,19.65,20.1,45443
2020-11-19,ORIENTABRA,20.05,21.85,19.4,21.1,115038
2020-11-20,ORIENTABRA,21.1,22.25,20.7,21.1,58074
2020-11-23,ORIENTABRA,21.5,21.5,20.75,20.85,32651
2020-11-24,ORIENTABRA,21.45,21.45,20.4,20.65,39768
2020-11-25,ORIENTABRA,20.5,21.35,19.75,20.25,28422
2020-11-26,ORIENTABRA,20.05,20.6,18.5,19.75,28812
2020-11-27,ORIENTABRA,20.4,20.4,19.5,19.85,30517
2020-12-01,ORIENTABRA,20.25,23.8,19.65,23.35,407078
2020-12-02,ORIENTABRA,23.0,24.3,21.6,23.55,323967
2020-12-03,ORIENTABRA,23.8,25.05,22.1,23.75,203018
2020-12-04,ORIENTABRA,24.5,24.7,22.65,23.0,95301
2020-12-07,ORIENTABRA,23.0,23.55,22.1,23.0,66436
2020-12-08,ORIENTABRA,23.05,23.65,22.4,22.65,74842
2020-12-09,ORIENTABRA,22.7,23.25,22.1,22.35,68990
2020-12-10,ORIENTABRA,22.5,23.2,21.95,22.55,29682
2020-12-11,ORIENTABRA,22.95,22.95,21.9,21.95,45631
2020-12-14,ORIENTABRA,22.25,22.7,21.8,22.25,32739
2020-12-15,ORIENTABRA,21.9,22.0,20.75,21.25,90041
2020-12-16,ORIENTABRA,21.3,24.2,21.3,23.0,243142
2020-12-17,ORIENTABRA,23.4,23.4,22.45,22.7,67674
2020-12-18,ORIENTABRA,22.7,23.0,21.5,22.1,40527
2020-12-21,ORIENTABRA,22.0,22.8,20.35,21.05,75703
2020-12-22,ORIENTABRA,20.9,22.0,19.6,21.2,42397
2020-12-23,ORIENTABRA,21.5,22.0,20.8,21.85,37816
2020-12-24,ORIENTABRA,22.0,23.55,21.65,22.4,212808
2020-12-28,ORIENTABRA,23.5,23.5,22.0,22.7,80231
2020-12-29,ORIENTABRA,22.75,23.5,22.15,22.9,91503
2020-12-30,ORIENTABRA,23.2,23.65,21.1,22.75,128379
2020-12-31,ORIENTABRA,22.75,23.3,22.45,22.65,64373
2021-01-01,ORIENTABRA,22.75,23.85,22.4,23.55,116741
2021-01-04,ORIENTABRA,24.4,24.95,23.5,24.05,228118
2021-01-05,ORIENTABRA,24.0,24.9,23.5,24.1,86731
2021-01-06,ORIENTABRA,24.35,24.8,23.25,23.6,79168
2021-01-07,ORIENTABRA,23.9,24.55,23.5,23.7,79917
2021-01-08,ORIENTABRA,24.45,26.9,23.7,25.4,356805
2021-01-11,ORIENTABRA,25.9,26.45,24.1,24.8,112729
2021-01-12,ORIENTABRA,25.25,26.2,24.5,25.7,183651
2021-01-13,ORIENTABRA,25.45,26.15,24.6,24.85,71409
2021-01-14,ORIENTABRA,24.55,29.4,24.05,28.0,588454
2021-01-15,ORIENTABRA,28.6,28.6,24.85,25.9,293714
2021-01-18,ORIENTABRA,25.4,25.8,25.05,25.15,85101
2021-01-19,ORIENTABRA,25.2,27.7,25.2,26.35,95874
2021-01-20,ORIENTABRA,26.2,27.05,25.85,26.1,31409
2021-01-21,ORIENTABRA,26.4,26.4,25.1,25.25,50762
2021-01-22,ORIENTABRA,24.8,26.4,24.65,24.85,46005
2021-01-25,ORIENTABRA,25.25,25.3,24.05,24.2,25708
2021-01-27,ORIENTABRA,24.5,24.9,23.6,23.85,29862
2021-01-28,ORIENTABRA,24.55,24.55,23.2,23.75,27646
2021-01-29,ORIENTABRA,24.5,24.8,23.8,24.6,34786
2021-02-01,ORIENTABRA,25.4,25.95,24.0,25.45,102555
2021-02-02,ORIENTABRA,25.5,25.9,24.6,25.0,33422
2021-02-03,ORIENTABRA,25.0,25.0,24.4,24.55,62436
2021-02-04,ORIENTABRA,24.85,25.0,23.65,23.95,101987
2021-02-05,ORIENTABRA,23.8,24.25,23.8,23.9,27738
2021-02-08,ORIENTABRA,24.55,24.55,23.7,24.1,28878
2021-02-09,ORIENTABRA,24.6,24.6,23.8,23.85,27760
2021-02-10,ORIENTABRA,23.9,24.3,23.15,23.45,26261
2021-02-11,ORIENTABRA,23.65,23.9,22.85,23.3,49065
2021-02-12,ORIENTABRA,23.4,23.5,22.8,23.25,45387
2021-02-15,ORIENTABRA,23.9,23.9,23.15,23.2,21368
2021-02-16,ORIENTABRA,23.4,23.4,22.75,22.85,18080
2021-02-17,ORIENTABRA,23.0,23.0,22.2,22.55,42022
2021-02-18,ORIENTABRA,22.4,23.95,22.4,23.25,58664
2021-02-19,ORIENTABRA,23.8,23.8,22.65,22.75,43189
2021-02-22,ORIENTABRA,23.25,23.25,22.1,22.25,31073
2021-02-23,ORIENTABRA,23.05,23.05,22.25,22.65,25570
2021-02-24,ORIENTABRA,23.15,23.15,22.6,23.0,27099
2021-02-25,ORIENTABRA,23.6,23.6,22.8,22.95,34819
2021-02-26,ORIENTABRA,22.85,22.9,22.3,22.5,34181
2021-03-01,ORIENTABRA,22.95,23.75,22.5,22.85,38224
2021-03-02,ORIENTABRA,23.05,23.8,22.55,22.9,34807
2021-03-03,ORIENTABRA,22.9,25.4,22.9,24.2,108833
2021-03-04,ORIENTABRA,24.15,24.35,23.4,24.15,68147
2021-03-05,ORIENTABRA,24.2,24.4,23.15,23.3,40254
2021-03-08,ORIENTABRA,23.85,23.95,23.2,23.55,20307
2021-03-09,ORIENTABRA,23.3,24.6,23.3,24.0,94993
2021-03-10,ORIENTABRA,24.35,24.35,23.3,23.65,32420
2021-03-12,ORIENTABRA,24.1,24.15,23.15,23.35,35669
2021-03-15,ORIENTABRA,24.0,24.0,22.45,22.7,41184
2021-03-16,ORIENTABRA,22.9,24.95,22.75,23.7,93365
2021-03-17,ORIENTABRA,24.1,24.1,22.8,22.9,42877
2021-03-18,ORIENTABRA,23.5,23.5,20.75,22.0,74859
