Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,PAGEIND,19223.7,19288.45,18781.0,18920.35,16125
2020-08-20,PAGEIND,18949.9,19124.6,18820.0,18999.3,14564
2020-08-21,PAGEIND,19174.0,20520.0,19005.1,20304.9,43681
2020-08-24,PAGEIND,20443.15,21244.0,20443.15,20850.75,15782
2020-08-25,PAGEIND,21000.0,21089.95,20221.9,20392.5,12928
2020-08-26,PAGEIND,20392.5,20639.95,20109.55,20202.15,9276
2020-08-27,PAGEIND,20370.0,20417.0,19952.0,20087.5,15646
2020-08-28,PAGEIND,20174.0,20441.85,19971.0,20119.8,7715
2020-08-31,PAGEIND,20325.0,20441.0,18857.0,18987.7,27126
2020-09-01,PAGEIND,19025.0,19452.7,18825.35,19166.75,15001
2020-09-02,PAGEIND,19250.0,20100.0,19205.05,19689.8,11360
2020-09-03,PAGEIND,19884.4,20041.9,18910.0,19163.05,24892
2020-09-04,PAGEIND,19163.0,19318.4,18400.0,18503.55,55873
2020-09-07,PAGEIND,18550.0,18625.0,17900.0,18305.65,16202
2020-09-08,PAGEIND,18299.9,18575.0,18050.0,18137.45,11931
2020-09-09,PAGEIND,18100.0,18589.95,17905.1,18503.85,20367
2020-09-10,PAGEIND,18511.2,18743.35,18301.5,18495.1,28054
2020-09-11,PAGEIND,18478.0,18777.0,18384.25,18440.75,13299
2020-09-14,PAGEIND,18550.0,19749.0,18550.0,19148.75,39625
2020-09-15,PAGEIND,19199.9,19414.0,18820.0,18870.15,10290
2020-09-16,PAGEIND,18990.0,19098.0,18751.1,18841.2,6799
2020-09-17,PAGEIND,18839.6,19248.0,18701.0,19006.5,9368
2020-09-18,PAGEIND,19015.0,19196.95,18540.0,18664.25,8786
2020-09-21,PAGEIND,18745.0,18868.75,18127.35,18303.75,10989
2020-09-22,PAGEIND,18315.0,18543.75,17685.0,18377.25,8164
2020-09-23,PAGEIND,18550.0,19500.0,18425.05,19375.05,34998
2020-09-24,PAGEIND,19298.5,19499.0,18620.0,18871.85,55951
2020-09-25,PAGEIND,18950.0,19800.0,18900.0,19700.3,28062
2020-09-28,PAGEIND,19850.0,20724.0,19728.05,20617.8,12086
2020-09-29,PAGEIND,20820.0,21600.0,20526.8,21494.2,27136
2020-09-30,PAGEIND,21500.0,22280.0,21149.9,21335.95,44064
2020-10-01,PAGEIND,21745.0,21857.55,21345.0,21422.4,17942
2020-10-05,PAGEIND,21505.0,21540.0,20500.75,20614.05,26403
2020-10-06,PAGEIND,20780.0,20930.0,20432.05,20627.25,14706
2020-10-07,PAGEIND,20512.0,21436.4,20401.2,21234.4,10801
2020-10-08,PAGEIND,21374.9,21435.0,20650.0,20820.65,11442
2020-10-09,PAGEIND,20900.0,21120.95,20800.0,20960.05,5938
2020-10-12,PAGEIND,20985.0,21047.0,20560.5,20898.75,3811
2020-10-13,PAGEIND,20950.15,21330.0,20520.1,20702.7,6419
2020-10-14,PAGEIND,20770.0,20860.5,20036.0,20677.35,16974
2020-10-15,PAGEIND,20700.0,20857.85,20015.25,20175.35,9432
2020-10-16,PAGEIND,20190.0,20747.2,20148.3,20635.45,5222
2020-10-19,PAGEIND,20747.0,20979.95,20436.45,20826.25,4263
2020-10-20,PAGEIND,20799.75,20799.75,20518.0,20609.25,3124
2020-10-21,PAGEIND,20699.9,20925.0,20102.0,20225.0,7657
2020-10-22,PAGEIND,20270.0,20629.45,20230.0,20546.75,5151
2020-10-23,PAGEIND,20624.0,20854.0,20311.0,20441.8,1746
2020-10-26,PAGEIND,20540.0,20570.0,20061.3,20182.15,5107
2020-10-27,PAGEIND,20249.0,20480.25,20064.55,20261.15,3988
2020-10-28,PAGEIND,20270.0,20620.0,20112.0,20197.1,5225
2020-10-29,PAGEIND,20170.0,20250.0,19720.05,19914.75,7483
2020-10-30,PAGEIND,20043.0,20269.15,19730.0,20071.9,7931
2020-11-02,PAGEIND,20125.0,20272.9,19450.0,19662.2,35868
2020-11-03,PAGEIND,19853.6,19853.6,19584.05,19682.7,16787
2020-11-04,PAGEIND,19705.0,20385.0,19705.0,20322.9,31703
2020-11-05,PAGEIND,20410.2,21450.0,20400.0,21002.45,16729
2020-11-06,PAGEIND,21100.0,21800.0,21011.0,21581.4,13543
2020-11-09,PAGEIND,21770.0,22091.1,21429.15,21943.1,13009
2020-11-10,PAGEIND,21970.0,22308.0,21676.6,22084.25,28962
2020-11-11,PAGEIND,22094.0,22247.9,21485.2,21729.2,28228
2020-11-12,PAGEIND,21849.0,22359.95,21751.0,22194.75,27181
2020-11-13,PAGEIND,22050.1,22300.0,21734.0,21923.95,27559
2020-11-14,PAGEIND,22170.0,22170.0,21621.0,21849.35,1145
2020-11-17,PAGEIND,21800.0,22800.0,21800.0,22640.5,21538
2020-11-18,PAGEIND,22631.0,22936.2,22323.0,22417.1,12040
2020-11-19,PAGEIND,22370.0,22690.0,21660.3,21913.45,11671
2020-11-20,PAGEIND,22100.0,22364.0,21945.05,22136.9,4547
2020-11-23,PAGEIND,22300.0,22300.0,21850.05,21931.8,4327
2020-11-24,PAGEIND,22100.0,23187.05,21942.05,22615.3,17073
2020-11-25,PAGEIND,22800.0,22800.0,22100.0,22309.55,9654
2020-11-26,PAGEIND,22410.0,22920.0,22319.6,22837.85,10993
2020-11-27,PAGEIND,22900.0,23000.0,22641.0,22754.95,20856
2020-12-01,PAGEIND,23130.0,23460.0,22830.0,22928.05,9521
2020-12-02,PAGEIND,23129.5,23200.0,22661.0,23091.9,18631
2020-12-03,PAGEIND,23198.55,23506.0,23001.9,23231.15,10303
2020-12-04,PAGEIND,23240.0,24102.0,23227.5,24013.35,12340
2020-12-07,PAGEIND,23900.0,24190.0,23750.05,24105.75,12075
2020-12-08,PAGEIND,23951.0,24366.8,23951.0,24301.0,8649
2020-12-09,PAGEIND,24344.0,24500.0,24120.25,24278.2,13668
2020-12-10,PAGEIND,24250.0,24500.0,24101.35,24351.85,7115
2020-12-11,PAGEIND,24451.0,24598.0,23412.0,23557.9,21908
2020-12-14,PAGEIND,23819.0,24125.0,23603.3,24000.75,11230
2020-12-15,PAGEIND,24047.0,24768.25,23925.2,24631.0,10199
2020-12-16,PAGEIND,24729.0,26000.0,24564.7,25889.55,24208
2020-12-17,PAGEIND,25950.0,27949.2,25900.0,27244.0,35526
2020-12-18,PAGEIND,27111.0,28400.0,26957.05,28217.5,38275
2020-12-21,PAGEIND,28100.0,28118.1,27000.0,27506.65,28028
2020-12-22,PAGEIND,27400.0,28370.1,26404.7,27978.2,15558
2020-12-23,PAGEIND,28070.0,28434.7,27435.9,27593.05,10978
2020-12-24,PAGEIND,27895.0,28020.55,27311.0,27478.5,6297
2020-12-28,PAGEIND,27689.0,27765.45,27314.0,27583.2,4871
