Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,PRAJIND,69.35,74.35,68.85,72.5,1614916
2020-08-20,PRAJIND,71.5,74.4,71.35,72.35,604818
2020-08-21,PRAJIND,73.0,75.8,72.7,74.0,1183946
2020-08-24,PRAJIND,75.25,77.75,75.25,75.6,1287476
2020-08-25,PRAJIND,76.25,76.35,73.6,75.3,646396
2020-08-26,PRAJIND,75.5,77.3,74.7,76.35,547266
2020-08-27,PRAJIND,76.5,77.75,75.6,76.3,512623
2020-08-28,PRAJIND,76.7,77.1,74.45,74.85,528194
2020-08-31,PRAJIND,74.3,75.1,67.5,68.45,756820
2020-09-01,PRAJIND,68.5,70.1,66.5,69.4,292617
2020-09-02,PRAJIND,70.0,71.5,69.05,70.7,203949
2020-09-03,PRAJIND,71.9,71.9,69.5,70.05,142050
2020-09-04,PRAJIND,68.0,69.4,67.65,68.65,141553
2020-09-07,PRAJIND,69.25,69.25,66.8,67.65,232927
2020-09-08,PRAJIND,68.4,68.45,65.4,65.95,261313
2020-09-09,PRAJIND,65.5,65.5,63.5,64.3,244733
2020-09-10,PRAJIND,64.9,66.85,64.35,65.8,165314
2020-09-11,PRAJIND,66.2,67.25,65.65,66.35,129711
2020-09-14,PRAJIND,67.7,68.75,67.1,68.05,201770
2020-09-15,PRAJIND,71.0,73.7,69.25,72.8,707378
2020-09-16,PRAJIND,72.1,76.6,70.9,75.25,936420
2020-09-17,PRAJIND,75.95,77.9,73.25,76.8,1003828
2020-09-18,PRAJIND,77.45,77.7,73.05,73.8,329694
2020-09-21,PRAJIND,73.75,73.8,68.0,68.65,291651
2020-09-22,PRAJIND,68.75,69.15,65.6,67.25,195084
2020-09-23,PRAJIND,69.5,69.5,65.1,66.65,231698
2020-09-24,PRAJIND,65.7,72.65,64.6,69.55,382198
2020-09-25,PRAJIND,70.0,71.3,67.8,68.4,388196
2020-09-28,PRAJIND,69.2,73.75,68.05,72.9,587915
2020-09-29,PRAJIND,74.0,75.0,72.1,72.75,264150
2020-09-30,PRAJIND,72.45,73.8,71.25,72.05,159846
2020-10-01,PRAJIND,72.45,72.95,70.5,70.9,147211
2020-10-05,PRAJIND,71.05,75.8,71.05,75.3,750615
2020-10-06,PRAJIND,75.95,80.3,74.05,77.5,1423349
2020-10-07,PRAJIND,77.25,78.6,75.8,76.05,372301
2020-10-08,PRAJIND,76.5,77.7,75.2,75.8,304664
2020-10-09,PRAJIND,75.75,76.2,74.5,75.0,189934
2020-10-12,PRAJIND,75.25,75.55,72.5,72.65,174859
2020-10-13,PRAJIND,72.1,73.3,72.0,72.25,93072
2020-10-14,PRAJIND,72.3,77.0,71.1,76.2,625546
2020-10-15,PRAJIND,76.7,77.45,73.25,73.7,219995
2020-10-16,PRAJIND,73.7,74.45,72.7,74.0,113906
2020-10-19,PRAJIND,74.0,75.4,74.0,74.85,167264
2020-10-20,PRAJIND,74.2,79.0,74.0,78.1,734555
2020-10-21,PRAJIND,78.0,79.6,74.9,77.2,351096
2020-10-22,PRAJIND,76.35,77.85,76.05,77.3,185040
2020-10-23,PRAJIND,77.5,77.85,76.0,76.3,99817
2020-10-26,PRAJIND,76.1,76.5,74.25,74.8,90500
2020-10-27,PRAJIND,74.25,77.3,73.3,76.85,254018
2020-10-28,PRAJIND,77.7,81.4,76.2,77.95,730579
2020-10-29,PRAJIND,76.3,79.65,76.1,77.95,265459
2020-10-30,PRAJIND,78.9,78.9,76.1,76.8,133945
2020-11-02,PRAJIND,76.95,77.65,75.0,75.45,99027
2020-11-03,PRAJIND,75.7,76.4,74.25,74.65,99545
2020-11-04,PRAJIND,73.6,75.75,72.55,72.95,197791
2020-11-05,PRAJIND,73.95,75.55,73.0,73.65,210356
2020-11-06,PRAJIND,73.55,76.2,73.3,75.15,216425
2020-11-09,PRAJIND,77.3,77.45,75.15,75.6,161315
2020-11-10,PRAJIND,76.2,76.5,74.6,75.2,130498
2020-11-11,PRAJIND,75.5,75.65,73.5,73.85,172785
2020-11-12,PRAJIND,74.1,75.65,74.0,74.8,114856
2020-11-13,PRAJIND,74.75,75.65,73.95,74.25,163157
2020-11-14,PRAJIND,74.5,76.0,74.5,75.75,105386
2020-11-17,PRAJIND,76.75,76.75,74.5,75.7,216903
2020-11-18,PRAJIND,75.9,78.7,75.6,76.7,323805
2020-11-19,PRAJIND,76.7,77.85,75.8,76.25,279718
2020-11-20,PRAJIND,76.55,82.4,75.6,81.25,1008834
2020-11-23,PRAJIND,83.25,89.3,82.5,87.2,1467364
2020-11-24,PRAJIND,88.0,88.75,84.05,84.7,592861
2020-11-25,PRAJIND,85.5,85.7,82.35,83.1,475938
2020-11-26,PRAJIND,85.0,86.15,83.6,84.3,834142
2020-11-27,PRAJIND,84.3,88.25,84.3,86.8,898582
2020-12-01,PRAJIND,87.4,93.25,87.1,92.9,2332914
2020-12-02,PRAJIND,93.1,95.45,91.4,93.25,879659
2020-12-03,PRAJIND,94.05,96.3,93.25,94.85,761259
2020-12-04,PRAJIND,95.7,99.3,92.75,99.0,1459752
2020-12-07,PRAJIND,99.0,102.3,98.3,101.6,971541
2020-12-08,PRAJIND,102.0,102.25,95.0,99.4,805368
2020-12-09,PRAJIND,99.4,111.95,98.2,106.55,3113895
2020-12-10,PRAJIND,105.5,110.9,103.3,108.95,1376379
2020-12-11,PRAJIND,109.2,117.0,108.95,112.95,2222636
2020-12-14,PRAJIND,113.6,115.0,110.4,114.35,689938
2020-12-15,PRAJIND,113.5,114.3,110.3,113.0,475886
2020-12-16,PRAJIND,114.1,114.6,109.0,110.05,721568
2020-12-17,PRAJIND,110.8,111.1,106.25,107.25,469807
2020-12-18,PRAJIND,107.7,107.7,102.2,104.65,538051
2020-12-21,PRAJIND,104.95,109.0,95.45,98.35,607820
2020-12-22,PRAJIND,99.05,104.55,92.75,104.05,677438
2020-12-23,PRAJIND,105.0,106.75,102.9,105.5,551764
2020-12-24,PRAJIND,106.2,109.45,103.85,108.2,860844
2020-12-28,PRAJIND,113.0,114.45,110.2,111.5,1177756
2020-12-29,PRAJIND,112.25,112.6,109.4,112.0,577309
2020-12-30,PRAJIND,112.5,121.0,101.35,114.65,2886158
2020-12-31,PRAJIND,116.0,116.45,112.3,115.5,614261
2021-01-01,PRAJIND,116.2,123.25,114.4,120.15,2382144
2021-01-04,PRAJIND,121.7,122.8,117.1,120.85,756774
2021-01-05,PRAJIND,119.85,125.0,118.1,122.9,1405260
2021-01-06,PRAJIND,124.2,125.75,118.6,121.95,694583
2021-01-07,PRAJIND,122.9,124.7,121.55,123.1,689612
2021-01-08,PRAJIND,123.6,125.2,122.2,124.3,752867
2021-01-11,PRAJIND,124.05,131.35,120.05,127.7,1290119
2021-01-12,PRAJIND,127.0,134.95,125.0,130.1,1195117
2021-01-13,PRAJIND,129.2,130.9,125.0,125.7,556412
2021-01-14,PRAJIND,126.35,126.5,123.3,123.85,224246
2021-01-15,PRAJIND,126.5,127.45,124.1,125.55,604472
2021-01-18,PRAJIND,126.5,126.5,119.85,121.4,365951
