Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,ROHITFERRO,1.2,1.25,1.15,1.15,7434
2020-08-20,ROHITFERRO,1.15,1.2,1.1,1.2,12182
2020-08-21,ROHITFERRO,1.2,1.25,1.15,1.25,23577
2020-08-24,ROHITFERRO,1.25,1.3,1.25,1.3,30170
2020-08-25,ROHITFERRO,1.35,1.35,1.35,1.35,12262
2020-08-26,ROHITFERRO,1.4,1.4,1.35,1.4,7995
2020-08-27,ROHITFERRO,1.45,1.45,1.35,1.4,27414
2020-08-28,ROHITFERRO,1.35,1.45,1.35,1.35,20964
2020-08-31,ROHITFERRO,1.4,1.4,1.3,1.35,8749
2020-09-01,ROHITFERRO,1.35,1.35,1.3,1.3,14619
2020-09-02,ROHITFERRO,1.25,1.35,1.25,1.35,10127
2020-09-03,ROHITFERRO,1.35,1.35,1.3,1.35,2170
2020-09-04,ROHITFERRO,1.35,1.4,1.3,1.3,21771
2020-09-07,ROHITFERRO,1.25,1.35,1.25,1.25,2260
2020-09-08,ROHITFERRO,1.25,1.3,1.2,1.3,10001
2020-09-09,ROHITFERRO,1.35,1.35,1.25,1.25,14700
2021-04-27,ROHITFERRO,1.5,1.5,1.4,1.5,19059
2021-04-28,ROHITFERRO,1.55,1.55,1.55,1.55,12775
2021-04-29,ROHITFERRO,1.6,1.6,1.6,1.6,29547
2021-04-30,ROHITFERRO,1.65,1.65,1.65,1.65,8085
2021-05-03,ROHITFERRO,1.7,1.7,1.7,1.7,961
2021-05-04,ROHITFERRO,1.75,1.75,1.75,1.75,6712
2021-05-05,ROHITFERRO,1.8,1.8,1.8,1.8,9398
2021-05-06,ROHITFERRO,1.85,1.85,1.85,1.85,5556
2021-05-07,ROHITFERRO,1.9,1.9,1.9,1.9,6618
2021-05-10,ROHITFERRO,1.95,1.95,1.95,1.95,1012
2021-05-11,ROHITFERRO,2.0,2.0,2.0,2.0,359
2021-05-12,ROHITFERRO,2.1,2.1,2.1,2.1,3928
2021-05-14,ROHITFERRO,2.2,2.2,2.2,2.2,2
2021-05-17,ROHITFERRO,2.3,2.3,2.3,2.3,1452
2021-05-18,ROHITFERRO,2.4,2.4,2.4,2.4,1301
2021-05-19,ROHITFERRO,2.45,2.5,2.45,2.5,3080
2021-09-14,ROHITFERRO,3.75,3.75,3.75,3.75,17751
2021-09-15,ROHITFERRO,4.1,4.1,4.1,4.1,7579
2021-09-16,ROHITFERRO,4.5,4.5,4.5,4.5,8295
2021-09-17,ROHITFERRO,4.7,4.7,4.7,4.7,10962
2021-09-20,ROHITFERRO,4.9,4.9,4.9,4.9,206
2021-09-21,ROHITFERRO,5.1,5.1,5.1,5.1,127
2021-09-22,ROHITFERRO,5.35,5.35,5.35,5.35,2166
