Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-10-22,SHRADHA,39.65,39.65,38.0,38.0,1197
2020-10-23,SHRADHA,39.0,39.9,37.1,39.9,2603
2020-10-26,SHRADHA,41.5,41.85,40.0,40.0,2460
2020-10-27,SHRADHA,38.5,41.45,38.0,41.15,1756
2020-10-28,SHRADHA,42.95,42.95,40.15,42.95,506
2020-10-29,SHRADHA,45.05,45.05,45.0,45.05,3338
2020-10-30,SHRADHA,47.3,47.3,47.3,47.3,506
2020-11-02,SHRADHA,49.6,49.6,49.6,49.6,300
2020-11-03,SHRADHA,51.55,52.05,47.15,47.85,259
2020-11-04,SHRADHA,50.0,50.0,45.5,45.5,2248
2020-11-05,SHRADHA,45.5,45.5,43.25,43.25,101
2020-11-06,SHRADHA,43.25,45.4,43.25,45.4,2308
2020-11-09,SHRADHA,47.65,47.65,47.65,47.65,254
2020-11-10,SHRADHA,45.3,49.85,45.3,49.5,2308
2020-11-11,SHRADHA,49.5,51.95,49.5,51.0,1604
2020-11-12,SHRADHA,51.0,53.55,48.5,53.55,1791
2020-11-13,SHRADHA,56.2,56.2,51.15,56.15,1025
2020-11-14,SHRADHA,58.95,58.95,58.0,58.85,1049
2020-11-17,SHRADHA,61.75,61.75,56.0,59.0,2435
2020-11-18,SHRADHA,61.5,61.5,56.05,57.9,280
2020-11-19,SHRADHA,60.75,60.75,55.05,57.2,1779
2020-11-20,SHRADHA,60.05,60.05,55.1,60.05,1625
2020-11-23,SHRADHA,60.05,62.0,60.0,60.0,4710
2020-11-24,SHRADHA,60.0,61.0,57.0,58.7,5202
2020-11-25,SHRADHA,56.0,61.6,56.0,59.75,4525
2020-11-26,SHRADHA,62.0,62.0,59.75,61.0,2488
2020-11-27,SHRADHA,61.0,61.0,59.75,61.0,131
2020-12-01,SHRADHA,61.5,61.5,59.75,59.75,2405
2020-12-02,SHRADHA,59.75,59.75,59.75,59.75,1350
2020-12-03,SHRADHA,59.75,60.5,59.75,59.75,9275
2020-12-04,SHRADHA,56.9,59.7,56.8,59.2,1200
2020-12-07,SHRADHA,59.75,59.75,58.7,59.45,1120
2020-12-08,SHRADHA,59.75,59.75,56.6,59.7,2049
2020-12-09,SHRADHA,56.75,59.75,56.75,59.75,1050
2020-12-10,SHRADHA,57.05,62.7,57.0,61.5,10921
2020-12-11,SHRADHA,61.5,64.5,61.5,62.15,2505
2020-12-14,SHRADHA,62.0,63.0,61.25,63.0,4552
2020-12-15,SHRADHA,66.1,66.15,60.4,64.75,303724
2020-12-16,SHRADHA,65.0,67.95,65.0,67.0,13159
2020-12-17,SHRADHA,70.25,70.35,67.1,70.3,10942
2020-12-18,SHRADHA,73.25,73.8,72.0,73.2,15179
2020-12-21,SHRADHA,76.75,76.75,69.55,69.55,10106
2020-12-22,SHRADHA,72.0,72.0,66.1,66.1,2746
2020-12-23,SHRADHA,66.1,68.0,64.7,67.55,2839
2020-12-24,SHRADHA,66.0,70.0,66.0,68.05,4178
2020-12-28,SHRADHA,71.25,71.25,66.3,66.9,5439
2020-12-29,SHRADHA,67.95,67.95,64.5,66.85,2285
2020-12-30,SHRADHA,69.45,69.45,65.45,67.85,366
2020-12-31,SHRADHA,70.0,70.0,64.6,65.15,3277
2021-01-01,SHRADHA,66.7,66.7,64.15,66.7,2098
2021-01-04,SHRADHA,66.0,68.05,66.0,68.0,203
2021-01-05,SHRADHA,67.95,68.0,64.6,64.65,3035
2021-01-06,SHRADHA,66.95,66.95,64.5,64.75,2200
2021-01-07,SHRADHA,66.0,67.7,63.8,64.75,3504
2021-01-08,SHRADHA,66.9,66.9,64.85,65.4,852
2021-01-11,SHRADHA,66.9,66.9,65.65,65.7,527
2021-01-12,SHRADHA,66.65,66.7,64.5,64.75,1918
2021-01-13,SHRADHA,66.5,66.5,63.0,64.5,3886
2021-01-14,SHRADHA,64.45,64.5,62.0,63.8,2603
2021-01-15,SHRADHA,63.8,64.35,61.15,61.95,2524
2021-01-18,SHRADHA,64.0,64.0,58.9,59.2,3150
2021-01-19,SHRADHA,60.75,60.75,59.1,59.85,2942
2021-01-20,SHRADHA,59.85,61.0,57.0,58.1,2337
2021-01-21,SHRADHA,57.7,61.0,55.25,59.45,23929
2021-01-22,SHRADHA,58.45,59.15,56.5,56.6,9266
2021-01-25,SHRADHA,53.8,59.35,53.8,58.0,5853
2021-01-27,SHRADHA,59.5,60.0,59.3,60.0,9412
2021-01-28,SHRADHA,60.4,63.0,57.25,59.25,1049
2021-01-29,SHRADHA,57.25,61.35,57.25,58.65,1
2021-02-01,SHRADHA,58.65,60.5,57.25,58.8,104
