Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,TATASTLLP,329.3,329.8,319.85,321.0,31111
2020-08-20,TATASTLLP,318.0,332.0,314.35,324.05,43689
2020-08-21,TATASTLLP,326.95,334.5,321.95,323.15,37434
2020-08-24,TATASTLLP,326.4,332.0,317.0,318.75,29503
2020-08-25,TATASTLLP,321.7,323.05,307.5,310.75,49598
2020-08-26,TATASTLLP,313.75,318.0,310.5,313.05,33686
2020-08-27,TATASTLLP,316.0,325.15,316.0,318.35,32585
2020-08-28,TATASTLLP,318.35,324.0,313.65,315.2,34003
2020-08-31,TATASTLLP,321.8,321.8,301.45,304.15,40434
2020-09-01,TATASTLLP,297.5,305.55,292.6,299.05,23683
2020-09-02,TATASTLLP,305.05,307.45,300.0,301.8,21055
2020-09-03,TATASTLLP,306.0,314.0,304.45,309.25,17492
2020-09-04,TATASTLLP,296.2,313.5,296.2,308.45,20342
2020-09-07,TATASTLLP,309.65,312.0,305.0,308.6,9117
2020-09-08,TATASTLLP,312.0,315.0,300.0,302.95,24634
2020-09-09,TATASTLLP,298.0,302.35,291.0,294.7,22406
2020-09-10,TATASTLLP,302.75,309.55,300.9,302.75,10993
2020-09-11,TATASTLLP,303.0,309.3,303.0,303.75,6754
2020-09-14,TATASTLLP,309.0,321.0,303.65,315.15,24833
2020-09-15,TATASTLLP,316.0,329.45,316.0,324.05,47078
2020-09-16,TATASTLLP,327.05,328.35,320.0,324.25,13743
2020-09-17,TATASTLLP,326.9,333.8,321.0,330.45,44442
2020-09-18,TATASTLLP,329.0,345.0,327.0,336.55,69319
2020-09-21,TATASTLLP,339.85,344.95,312.0,317.65,26577
2020-09-22,TATASTLLP,317.5,326.5,304.1,324.35,19846
2020-09-23,TATASTLLP,328.85,328.85,314.3,318.0,11480
2020-09-24,TATASTLLP,312.55,324.0,312.55,318.65,36843
2020-09-25,TATASTLLP,320.0,324.6,312.5,313.35,15666
2020-09-28,TATASTLLP,313.35,323.7,310.0,319.75,11118
2020-09-29,TATASTLLP,330.0,330.0,317.05,321.05,7285
2020-09-30,TATASTLLP,325.0,325.0,319.0,319.8,10736
2020-10-01,TATASTLLP,322.5,323.95,319.1,320.6,6188
2020-10-05,TATASTLLP,320.75,343.55,320.0,329.85,17512
2020-10-06,TATASTLLP,335.0,335.45,323.55,328.75,8844
2020-10-07,TATASTLLP,332.9,335.45,324.1,330.05,16389
2020-10-08,TATASTLLP,340.0,340.0,332.45,334.7,21809
2020-10-09,TATASTLLP,336.0,340.55,330.0,333.0,12132
2020-10-12,TATASTLLP,339.9,339.9,332.1,337.35,18042
2020-10-13,TATASTLLP,337.35,339.0,301.95,333.9,19446
2020-10-14,TATASTLLP,366.0,400.65,365.0,400.65,238885
2020-10-15,TATASTLLP,436.05,448.4,396.7,402.0,227276
2020-10-16,TATASTLLP,406.35,425.4,388.0,417.35,93332
