Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,VAKRANGEE,29.95,31.5,29.8,30.75,937028
2020-08-20,VAKRANGEE,30.6,30.75,30.0,30.1,696269
2020-08-21,VAKRANGEE,30.1,30.45,30.0,30.2,937482
2020-08-24,VAKRANGEE,30.55,30.55,29.15,29.5,1950408
2020-08-25,VAKRANGEE,29.65,30.45,29.55,30.1,3472557
2020-08-26,VAKRANGEE,30.4,30.5,29.45,29.9,1544468
2020-08-27,VAKRANGEE,29.9,29.95,28.05,29.1,4290255
2020-08-28,VAKRANGEE,29.2,29.95,29.0,29.5,2266266
2020-08-31,VAKRANGEE,29.5,29.8,27.85,28.0,1875445
2020-09-01,VAKRANGEE,28.45,29.95,27.05,29.15,1039499
2020-09-02,VAKRANGEE,29.3,29.45,28.7,28.9,392451
2020-09-03,VAKRANGEE,29.3,29.3,28.0,28.1,956004
2020-09-04,VAKRANGEE,27.75,28.0,27.15,27.2,1798737
2020-09-07,VAKRANGEE,27.6,29.1,27.3,28.3,2351993
2020-09-08,VAKRANGEE,28.45,29.0,27.8,27.9,563877
2020-09-09,VAKRANGEE,27.75,27.85,27.0,27.4,960262
2020-09-10,VAKRANGEE,27.55,27.95,27.5,27.6,294659
2020-09-11,VAKRANGEE,27.3,27.7,26.55,27.0,826702
2020-09-14,VAKRANGEE,27.45,27.45,26.55,26.7,1380854
2020-09-15,VAKRANGEE,26.75,27.1,26.25,26.45,854399
2020-09-16,VAKRANGEE,26.8,27.05,26.1,26.25,815085
2020-09-17,VAKRANGEE,26.3,26.65,26.1,26.3,1225266
2020-09-18,VAKRANGEE,26.45,27.45,26.3,27.0,1043675
2020-09-21,VAKRANGEE,27.2,27.5,25.35,25.9,1060491
2020-09-22,VAKRANGEE,25.95,26.2,24.6,25.1,713477
2020-09-23,VAKRANGEE,25.5,26.2,25.2,25.45,541009
2020-09-24,VAKRANGEE,25.25,25.25,24.5,24.65,414753
2020-09-25,VAKRANGEE,24.95,27.1,24.9,27.1,873670
2020-09-28,VAKRANGEE,29.3,29.5,27.65,28.8,2337842
2020-09-29,VAKRANGEE,29.05,29.25,27.9,28.0,756194
2020-09-30,VAKRANGEE,28.05,29.4,27.2,29.0,1577897
2020-10-01,VAKRANGEE,29.45,29.6,28.5,28.95,675664
2020-10-05,VAKRANGEE,29.0,30.3,28.5,29.7,1643993
2020-10-06,VAKRANGEE,29.9,30.1,29.15,29.7,1172493
2020-10-07,VAKRANGEE,29.7,29.95,28.85,29.55,921196
2020-10-08,VAKRANGEE,30.2,30.45,28.8,29.05,800039
2020-10-09,VAKRANGEE,28.8,29.5,28.05,29.25,880487
2020-10-12,VAKRANGEE,29.05,29.65,29.05,29.45,1285264
