Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,WINDMACHIN,13.4,14.6,13.0,14.6,81123
2020-08-20,WINDMACHIN,15.0,15.6,14.4,15.05,125354
2020-08-21,WINDMACHIN,15.6,16.55,14.55,16.0,137193
2020-08-24,WINDMACHIN,16.0,17.6,16.0,17.6,74642
2020-08-25,WINDMACHIN,18.3,18.45,17.6,18.45,96165
2020-08-26,WINDMACHIN,18.7,18.85,17.55,18.25,82107
2020-08-27,WINDMACHIN,18.8,18.85,17.55,17.85,32630
2020-08-28,WINDMACHIN,17.8,18.15,17.1,17.4,34352
2020-08-31,WINDMACHIN,18.0,18.15,16.55,16.55,17994
2020-09-01,WINDMACHIN,16.55,17.35,15.75,15.8,8187
2020-09-02,WINDMACHIN,15.8,16.0,15.05,15.05,25103
2020-09-03,WINDMACHIN,14.75,15.0,14.3,14.6,15663
2020-09-04,WINDMACHIN,14.3,14.8,13.9,14.45,13020
2020-09-07,WINDMACHIN,14.85,15.15,14.5,15.0,12128
2020-09-08,WINDMACHIN,15.25,15.25,14.45,15.0,13915
2020-09-09,WINDMACHIN,14.55,14.9,14.25,14.3,6603
2020-09-10,WINDMACHIN,14.4,14.95,14.25,14.3,4669
2020-09-11,WINDMACHIN,14.75,15.0,14.35,15.0,20228
2020-09-14,WINDMACHIN,15.75,15.75,15.0,15.75,11019
2020-09-15,WINDMACHIN,16.5,16.5,16.5,16.5,5387
2020-09-16,WINDMACHIN,17.2,17.3,17.15,17.3,18435
2020-09-17,WINDMACHIN,18.0,18.15,16.45,16.75,21695
2020-09-18,WINDMACHIN,17.25,17.35,16.25,16.75,6610
2020-09-21,WINDMACHIN,17.4,17.4,15.95,15.95,22948
2020-09-22,WINDMACHIN,15.5,15.5,15.2,15.2,5247
2020-09-23,WINDMACHIN,14.45,15.35,14.45,14.45,30498
2020-09-24,WINDMACHIN,14.15,14.35,13.75,13.75,11602
2020-09-25,WINDMACHIN,13.65,14.4,13.1,14.35,25588
2020-09-28,WINDMACHIN,14.85,15.05,14.75,15.05,11848
2020-09-29,WINDMACHIN,15.7,15.8,14.6,15.05,4164
2020-09-30,WINDMACHIN,15.05,15.25,14.7,14.95,2004
2020-10-01,WINDMACHIN,14.55,15.45,14.45,15.1,4039
2020-10-05,WINDMACHIN,14.85,15.3,14.55,14.95,5762
2020-10-06,WINDMACHIN,14.6,15.2,14.25,14.35,16620
2020-10-07,WINDMACHIN,14.5,14.5,13.8,14.0,8779
