Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,YESBANK,15.5,15.8,15.35,15.8,105799653
2020-08-20,YESBANK,15.8,16.4,15.35,15.75,154484955
2020-08-21,YESBANK,16.0,16.1,15.3,15.55,76378822
2020-08-24,YESBANK,15.25,15.45,14.8,14.8,179672452
2020-08-25,YESBANK,14.75,15.0,14.35,14.75,80376055
2020-08-26,YESBANK,14.85,14.9,14.6,14.65,45765464
2020-08-27,YESBANK,14.75,14.9,14.6,14.7,44139728
2020-08-28,YESBANK,15.1,15.4,14.9,15.0,101896906
2020-08-31,YESBANK,15.35,15.6,14.3,14.35,112511521
2020-09-01,YESBANK,14.35,15.0,13.95,14.65,58149078
2020-09-02,YESBANK,14.8,14.8,14.2,14.4,38764271
2020-09-03,YESBANK,14.4,14.8,14.2,14.6,47457096
2020-09-04,YESBANK,14.2,14.45,14.05,14.25,39057457
2020-09-07,YESBANK,14.25,14.3,14.05,14.1,38695079
2020-09-08,YESBANK,14.1,14.15,13.9,13.95,35963124
2020-09-09,YESBANK,13.7,13.75,13.3,13.65,55500338
2020-09-10,YESBANK,13.75,14.15,13.65,13.9,29278150
2020-09-11,YESBANK,14.35,14.55,14.25,14.55,64139691
2020-09-14,YESBANK,14.95,15.25,14.55,14.75,116148033
2020-09-15,YESBANK,14.85,14.95,14.45,14.55,40742021
2020-09-16,YESBANK,14.6,14.6,14.2,14.25,36020182
2020-09-17,YESBANK,14.0,14.25,13.65,14.1,37015106
2020-09-18,YESBANK,14.1,14.25,13.95,14.0,23988502
2020-09-21,YESBANK,14.0,14.05,13.5,13.55,40891178
2020-09-22,YESBANK,13.5,13.5,12.95,13.2,42936243
2020-09-23,YESBANK,13.4,13.5,13.0,13.15,31909034
2020-09-24,YESBANK,13.0,13.05,12.75,12.95,44396692
2020-09-25,YESBANK,13.0,13.55,13.0,13.35,29270535
2020-09-28,YESBANK,13.5,13.85,13.35,13.55,23343006
2020-09-29,YESBANK,13.6,13.65,13.3,13.35,21665456
2020-09-30,YESBANK,13.4,13.4,13.1,13.15,15869557
2020-10-01,YESBANK,13.3,13.5,13.15,13.3,14311442
2020-10-05,YESBANK,13.45,13.65,13.3,13.35,19782881
2020-10-06,YESBANK,13.35,13.45,13.15,13.3,17202951
2020-10-07,YESBANK,13.3,13.3,13.1,13.15,15174807
2020-10-08,YESBANK,13.2,13.25,13.1,13.1,14916249
2020-10-09,YESBANK,13.05,13.2,13.0,13.15,18523654
2020-10-12,YESBANK,13.2,13.35,12.95,13.0,25791449
2020-10-13,YESBANK,12.95,13.15,12.8,12.95,20046333
2020-10-14,YESBANK,12.9,12.95,12.8,12.9,19302000
2020-10-15,YESBANK,12.9,12.9,12.6,12.65,23702402
2020-10-16,YESBANK,12.55,12.75,12.5,12.65,20795154
2020-10-19,YESBANK,12.85,13.05,12.8,12.9,17953590
2020-10-20,YESBANK,12.9,12.95,12.8,12.9,16928315
2020-10-21,YESBANK,13.0,13.15,12.65,12.95,22068019
2020-10-22,YESBANK,12.9,12.95,12.65,12.7,32911761
2020-10-23,YESBANK,12.7,13.3,12.65,13.3,39454987
2020-10-26,YESBANK,13.95,13.95,12.9,13.15,77454620
2020-10-27,YESBANK,13.05,13.1,12.7,12.85,42668258
2020-10-28,YESBANK,12.8,12.8,12.5,12.5,52924771
2020-10-29,YESBANK,12.3,12.45,12.15,12.4,19499628
2020-10-30,YESBANK,12.4,12.6,12.3,12.4,17100983
2020-11-02,YESBANK,12.45,12.5,12.2,12.25,24648816
2020-11-03,YESBANK,12.4,12.4,12.25,12.25,21351523
2020-11-04,YESBANK,12.3,12.4,12.2,12.25,16330784
2020-11-05,YESBANK,12.25,12.4,12.25,12.3,17683118
2020-11-06,YESBANK,12.3,12.35,12.2,12.3,29624572
2020-11-09,YESBANK,12.35,12.9,12.25,12.9,59990485
2020-11-10,YESBANK,13.5,13.5,13.5,13.5,66603568
2020-11-11,YESBANK,14.15,14.15,14.15,14.15,53668778
2020-11-12,YESBANK,14.7,14.7,13.6,14.35,199861639
2020-11-13,YESBANK,14.25,14.85,13.95,14.55,102571018
2020-11-14,YESBANK,14.8,14.9,14.5,14.55,29644847
2020-11-17,YESBANK,14.65,14.7,14.4,14.65,121123807
2020-11-18,YESBANK,14.65,14.85,14.45,14.7,95538780
2020-11-19,YESBANK,14.55,14.7,14.05,14.25,91842789
2020-11-20,YESBANK,14.3,14.65,14.1,14.55,81627922
2020-11-23,YESBANK,14.65,14.9,14.25,14.55,127543967
2020-11-24,YESBANK,14.6,14.75,14.5,14.7,85328829
2020-11-25,YESBANK,14.75,14.75,14.05,14.15,61538282
2020-11-26,YESBANK,14.15,14.25,13.85,14.1,44878071
2020-11-27,YESBANK,14.2,14.8,14.05,14.7,787086390
2020-12-01,YESBANK,15.4,15.4,15.05,15.4,181492123
2020-12-02,YESBANK,15.7,15.9,14.85,15.45,127569052
2020-12-03,YESBANK,15.65,15.8,15.25,15.45,78397121
2020-12-04,YESBANK,15.6,15.6,15.05,15.35,73056458
2020-12-07,YESBANK,15.65,15.85,15.5,15.75,99953583
2020-12-08,YESBANK,16.0,17.3,16.0,17.3,202067228
2020-12-09,YESBANK,18.25,19.0,18.05,19.0,181333815
2020-12-10,YESBANK,20.0,20.75,19.15,20.45,237745361
