Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,3MINDIA,21000.0,21088.95,20750.0,20866.15,1485,721
2020-08-27,3MINDIA,21100.0,21510.05,20866.15,20999.8,6262,3088
2020-08-28,3MINDIA,20902.0,21216.9,20800.0,20907.35,1767,871
2020-08-31,3MINDIA,20907.35,21000.0,20150.0,20264.45,4729,2772
2020-09-01,3MINDIA,20300.0,20448.95,19919.75,19959.0,2716,1126
2020-09-02,3MINDIA,19980.0,20344.65,19920.0,20167.15,1013,501
2020-09-03,3MINDIA,20229.75,20583.6,19927.5,20002.15,2590,1359
2020-09-04,3MINDIA,19999.0,19999.0,19600.0,19649.55,3854,2071
2020-09-07,3MINDIA,19700.0,19739.65,19301.45,19353.15,2449,1327
2020-09-08,3MINDIA,19400.0,19612.0,19100.0,19130.7,2847,1955
2020-09-09,3MINDIA,19145.0,19299.0,18532.1,18807.35,2475,1716
2020-09-10,3MINDIA,18851.0,19241.0,18700.0,18726.1,3035,1693
2020-09-11,3MINDIA,18999.9,18999.9,18350.0,18569.0,7016,4419
2020-09-14,3MINDIA,18600.0,19080.0,18525.5,18922.5,12383,8093
2020-09-15,3MINDIA,18905.0,19197.35,18809.0,18891.7,4034,2424
2020-09-16,3MINDIA,19000.0,19500.0,18811.0,19231.5,3905,1742
2020-09-17,3MINDIA,19350.0,19350.0,18750.0,19002.9,7730,6329
2020-09-18,3MINDIA,19002.9,19061.9,18424.0,18747.5,8313,5636
2020-09-21,3MINDIA,18750.0,18949.9,18130.55,18239.55,5829,3933
2020-09-22,3MINDIA,18400.0,18499.0,18100.0,18148.95,5023,3354
2020-09-23,3MINDIA,18350.35,18744.0,18024.25,18569.0,3259,1612
2020-09-24,3MINDIA,18210.0,18536.25,18056.0,18367.45,3298,1701
2020-09-25,3MINDIA,18501.0,18657.0,18150.0,18204.9,5482,3534
2020-09-28,3MINDIA,18400.0,18477.8,18201.0,18361.85,2588,1594
2020-09-29,3MINDIA,18499.95,18550.0,18100.0,18399.7,3576,1145
2020-09-30,3MINDIA,18401.95,18426.0,18190.05,18307.15,3818,2610
2020-10-01,3MINDIA,18450.0,18500.0,18151.05,18230.9,1948,1113
2020-10-05,3MINDIA,18450.0,18459.0,18230.9,18402.55,1794,1195
2020-10-06,3MINDIA,18500.0,18841.35,18250.0,18795.8,6108,4444
2020-10-07,3MINDIA,18851.0,19000.0,18500.0,18522.25,2021,1011
2020-10-08,3MINDIA,18769.95,19198.0,18499.7,18896.7,3521,1764
2020-10-09,3MINDIA,18988.0,19549.95,18708.0,19491.4,3258,1809
2020-10-12,3MINDIA,19491.4,19539.0,19101.15,19479.4,1788,896
2020-10-13,3MINDIA,19400.0,19403.05,18902.0,19141.6,3800,2470
2020-10-14,3MINDIA,19380.0,19380.0,18601.2,19034.5,3914,1134
2020-10-15,3MINDIA,19150.0,19150.0,18674.9,18704.9,1599,1047
2020-10-16,3MINDIA,18945.0,18945.0,18501.6,18695.9,4077,2948
2020-10-19,3MINDIA,18800.0,19000.0,18700.0,18972.85,2342,1455
2020-10-20,3MINDIA,18950.0,19265.0,18698.75,19073.45,2378,1347
2020-10-21,3MINDIA,19200.0,19200.0,18802.0,18951.7,2943,2047
2020-10-22,3MINDIA,18860.8,19142.0,18780.0,18836.75,3288,2509
2020-10-23,3MINDIA,19148.0,19148.0,18822.05,18898.25,2800,2024
2020-10-26,3MINDIA,18910.6,19100.0,18525.0,18602.85,895,576
2020-10-27,3MINDIA,18525.0,18660.15,18400.0,18454.0,4614,2476
2020-10-28,3MINDIA,18648.0,18648.0,18350.0,18487.8,1450,845
2020-10-29,3MINDIA,18487.8,18860.0,18390.0,18717.75,2682,1620
2020-10-30,3MINDIA,18699.95,18998.0,18480.0,18675.35,2367,1584
2020-11-02,3MINDIA,18675.3,19299.9,18400.0,19214.6,6612,4893
2020-11-03,3MINDIA,19214.6,19679.95,19021.05,19511.4,11186,9510
2020-11-04,3MINDIA,19511.4,19900.0,19476.05,19619.75,2968,1837
2020-11-05,3MINDIA,19870.0,20250.0,19650.0,20214.25,4231,2686
2020-11-06,3MINDIA,20003.05,20500.0,20003.05,20183.1,4490,3007
2020-11-09,3MINDIA,20250.0,20450.4,20161.0,20427.2,2543,1771
2020-11-10,3MINDIA,20444.0,20700.0,20110.0,20347.35,2904,1448
2020-11-11,3MINDIA,20500.0,20689.0,19800.0,20205.55,4409,2635
2020-11-12,3MINDIA,20062.0,20748.0,19991.55,20725.85,5798,3272
2020-11-13,3MINDIA,20800.0,21200.0,20421.0,20681.4,9982,4698
2020-11-14,3MINDIA,20400.0,20675.1,20300.0,20495.9,967,500
2020-11-17,3MINDIA,20690.0,21221.0,20561.6,21195.45,7637,5112
2020-11-18,3MINDIA,21193.0,21500.0,20850.05,21396.3,6693,3798
2020-11-19,3MINDIA,21352.0,21584.85,21207.8,21378.1,3534,1964
2020-11-20,3MINDIA,21300.0,21800.0,21245.25,21784.8,5379,3213
