Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,AARTIDRUGS,3255.0,3265.0,2940.05,2940.05,840921,320793
2020-08-27,AARTIDRUGS,2850.0,3098.5,2755.0,2933.05,1098153,207037
2020-08-28,AARTIDRUGS,3000.0,3070.0,2916.4,2931.05,345660,108611
2020-08-31,AARTIDRUGS,2970.0,2975.0,2655.55,2712.15,481080,171404
2020-09-01,AARTIDRUGS,2650.55,2847.75,2600.0,2784.4,359155,105889
2020-09-02,AARTIDRUGS,2874.0,2923.6,2830.0,2923.6,406399,140646
2020-09-03,AARTIDRUGS,2982.4,3049.0,2870.1,2925.9,514147,172034
2020-09-04,AARTIDRUGS,2840.0,2929.0,2779.65,2856.95,217939,72494
2020-09-07,AARTIDRUGS,2879.0,2928.0,2811.0,2829.55,174871,46807
2020-09-08,AARTIDRUGS,2828.0,2874.4,2782.3,2802.0,190463,51358
2020-09-09,AARTIDRUGS,2774.0,2900.0,2680.1,2869.9,336056,90247
2020-09-10,AARTIDRUGS,2925.0,2935.0,2841.8,2866.8,165621,58864
2020-09-11,AARTIDRUGS,2866.8,2898.0,2826.05,2847.3,147077,43982
2020-09-14,AARTIDRUGS,2859.9,2949.0,2855.0,2928.8,222593,90784
2020-09-15,AARTIDRUGS,2985.0,2990.0,2934.45,2962.95,174698,84415
2020-09-16,AARTIDRUGS,2995.0,2998.0,2950.0,2963.15,190819,97137
2020-09-17,AARTIDRUGS,2950.0,2960.0,2917.0,2924.2,91315,48476
2020-09-18,AARTIDRUGS,2936.0,3070.4,2930.1,2967.35,578253,194109
2020-09-21,AARTIDRUGS,3004.7,3014.0,2819.0,2843.1,184864,85951
2020-09-22,AARTIDRUGS,2985.25,2985.25,2853.25,2901.05,334497,97267
2020-09-23,AARTIDRUGS,2964.0,2990.0,2845.0,2862.3,257258,113226
2020-09-24,AARTIDRUGS,2860.0,2860.0,2752.3,2819.45,152142,53567
2020-09-25,AARTIDRUGS,2883.0,2960.4,2850.0,2951.25,232494,105620
2020-09-28,AARTIDRUGS,3025.0,3054.0,2970.0,3038.85,310942,149172
2020-09-29,AARTIDRUGS,3089.0,3089.0,2911.35,2938.4,280901,120959
2020-09-30,AARTIDRUGS,771.3,771.3,745.75,771.3,327203,188403
2020-10-01,AARTIDRUGS,809.85,809.85,809.85,809.85,45880,45880
2020-10-05,AARTIDRUGS,821.0,850.3,815.15,850.3,674915,315650
2020-10-06,AARTIDRUGS,883.0,892.8,877.6,892.8,145101,116939
2020-10-07,AARTIDRUGS,937.4,937.4,894.0,937.4,1819996,545263
2020-10-08,AARTIDRUGS,930.0,1026.95,858.7,1011.85,3027372,491976
2020-10-09,AARTIDRUGS,997.7,1019.0,972.0,984.4,1565929,358297
2020-10-12,AARTIDRUGS,916.05,920.0,886.0,886.0,796656,528424
2020-10-13,AARTIDRUGS,811.15,857.75,797.4,799.2,2016106,817368
2020-10-14,AARTIDRUGS,800.0,840.0,799.5,820.6,811094,307641
2020-10-15,AARTIDRUGS,837.95,837.95,787.45,798.65,569806,277176
2020-10-16,AARTIDRUGS,809.55,809.55,770.0,790.3,582617,235439
2020-10-19,AARTIDRUGS,793.35,805.0,770.2,772.3,394594,210991
2020-10-20,AARTIDRUGS,776.0,804.9,760.0,778.7,1118913,326194
2020-10-21,AARTIDRUGS,793.7,793.7,761.0,769.1,596390,237975
2020-10-22,AARTIDRUGS,769.1,769.95,735.1,747.85,713664,251489
2020-10-23,AARTIDRUGS,754.9,769.8,736.0,750.3,584081,211192
2020-10-26,AARTIDRUGS,770.0,770.0,712.8,712.8,1321726,592696
2020-10-27,AARTIDRUGS,698.5,698.5,677.2,677.2,577406,284636
2020-10-28,AARTIDRUGS,656.6,677.0,643.35,643.35,1903443,646413
2020-10-29,AARTIDRUGS,630.0,675.5,615.65,675.5,3114810,712003
2020-10-30,AARTIDRUGS,687.0,698.9,653.3,680.95,1954532,498435
2020-11-02,AARTIDRUGS,678.4,678.4,650.0,654.95,845797,237029
2020-11-03,AARTIDRUGS,661.45,667.7,642.0,645.35,746434,191058
2020-11-04,AARTIDRUGS,645.0,654.65,634.0,638.75,489881,127509
2020-11-05,AARTIDRUGS,640.0,665.55,639.95,657.2,945296,217394
2020-11-06,AARTIDRUGS,662.75,673.9,651.05,658.7,658217,188367
2020-11-09,AARTIDRUGS,666.85,669.55,646.2,648.55,379230,157478
2020-11-10,AARTIDRUGS,652.0,653.8,626.0,628.5,629704,250825
2020-11-11,AARTIDRUGS,625.0,639.85,619.55,628.25,631734,212673
2020-11-12,AARTIDRUGS,629.7,659.65,628.6,659.4,1508824,421211
2020-11-13,AARTIDRUGS,659.65,692.35,650.2,692.35,1619814,456353
2020-11-14,AARTIDRUGS,707.75,723.95,703.0,716.3,529545,268219
2020-11-17,AARTIDRUGS,716.3,719.5,680.5,682.5,1156659,442540
2020-11-18,AARTIDRUGS,680.0,680.0,654.35,659.5,814266,334722
2020-11-19,AARTIDRUGS,659.0,685.0,655.5,668.4,723343,213435
2020-11-20,AARTIDRUGS,675.0,683.45,665.55,677.85,523688,191029
2020-11-23,AARTIDRUGS,685.0,711.7,675.65,711.7,1138140,539522
2020-11-24,AARTIDRUGS,738.4,738.4,702.05,704.7,736918,341539
2020-11-25,AARTIDRUGS,713.4,714.7,675.75,681.35,452282,180835
2020-11-26,AARTIDRUGS,686.95,698.0,676.25,685.6,472820,133958
2020-11-27,AARTIDRUGS,688.0,718.0,686.45,715.05,1220320,671396
2020-12-01,AARTIDRUGS,715.0,715.0,685.1,705.05,396001,144288
2020-12-02,AARTIDRUGS,709.95,730.0,705.1,717.0,854129,293311
2020-12-03,AARTIDRUGS,724.0,752.85,719.9,742.45,1524375,560759
2020-12-04,AARTIDRUGS,745.3,756.95,725.1,752.0,1164230,360253
