Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,AARVI,52.0,53.85,50.3,50.6,28832,18997
2021-08-24,AARVI,52.55,52.55,50.65,51.75,22840,18114
2021-08-25,AARVI,53.2,55.5,51.9,54.9,46980,30682
2021-08-26,AARVI,53.0,57.0,52.5,55.75,29149,15235
2021-08-27,AARVI,56.85,56.85,54.55,55.9,14327,9029
2021-08-30,AARVI,57.0,57.65,54.5,55.8,23587,16937
2021-08-31,AARVI,57.75,57.75,52.6,54.15,34952,24131
2021-09-01,AARVI,53.55,56.45,53.5,55.85,33451,21244
2021-09-02,AARVI,55.1,56.9,55.1,56.1,12374,7641
2021-09-03,AARVI,56.0,57.4,55.55,56.8,21752,13906
2021-09-06,AARVI,57.25,58.5,56.85,57.6,21185,13314
2021-09-07,AARVI,59.0,59.0,57.25,57.55,9672,6691
2021-09-08,AARVI,56.4,57.6,55.75,56.1,11555,6859
2021-09-09,AARVI,55.3,57.5,55.3,56.95,12917,7221
2021-09-13,AARVI,58.65,58.65,56.05,57.15,13211,7457
2021-09-14,AARVI,58.25,58.3,57.05,57.35,23076,14859
2021-09-15,AARVI,58.4,58.95,57.55,58.4,25302,17974
2021-09-16,AARVI,57.1,59.3,57.05,58.45,13113,7274
2021-09-17,AARVI,58.8,58.8,57.1,57.8,7280,5644
2021-09-20,AARVI,58.5,59.35,55.15,56.7,13724,9900
2021-09-21,AARVI,56.7,58.25,54.35,57.9,21101,12757
2021-09-22,AARVI,58.9,58.9,55.85,56.1,22803,17057
2021-09-23,AARVI,58.5,58.5,56.1,57.7,20878,17260
2021-09-24,AARVI,58.15,58.7,56.8,57.3,11034,5747
2021-09-27,AARVI,57.5,58.1,57.2,57.45,11169,6782
2021-09-28,AARVI,59.2,59.2,56.0,56.4,9731,6378
2021-09-29,AARVI,57.0,57.9,56.3,57.5,10067,4330
2021-09-30,AARVI,57.5,61.2,57.5,59.8,48704,28762
2021-10-01,AARVI,61.0,61.0,59.2,60.3,12984,6917
2021-10-04,AARVI,61.55,63.6,60.9,63.4,33332,25481
2021-10-05,AARVI,62.45,65.75,62.2,65.35,67029,54912
2021-10-06,AARVI,66.45,67.0,62.55,63.7,34850,22215
2021-10-07,AARVI,64.0,64.3,63.15,63.65,16815,14643
2021-10-08,AARVI,64.5,64.5,63.55,64.1,16397,12381
2021-10-11,AARVI,64.1,65.1,62.65,64.15,15067,10966
2021-10-12,AARVI,64.75,64.75,63.5,63.95,20710,18065
2021-10-13,AARVI,63.5,64.45,63.2,63.45,18191,15113
2021-10-14,AARVI,63.2,63.45,59.3,61.85,21985,14810
2021-10-18,AARVI,61.85,66.0,60.8,62.0,21346,14085
2021-10-19,AARVI,61.55,62.7,60.45,61.75,20524,13999
2021-10-20,AARVI,61.5,61.5,60.2,60.45,4895,3516
2021-10-21,AARVI,60.0,61.8,59.55,60.05,6753,4307
2021-10-22,AARVI,60.05,61.4,59.4,60.1,8928,6371
2021-10-25,AARVI,60.1,60.1,57.3,58.8,3725,2680
2021-10-26,AARVI,61.3,61.3,58.3,59.75,4016,2702
2021-10-27,AARVI,60.95,60.95,57.4,57.9,12858,8002
2021-10-28,AARVI,57.9,58.45,56.1,56.5,11352,7680
2021-10-29,AARVI,56.5,57.4,55.85,56.2,4847,3150
2021-11-01,AARVI,57.85,57.85,56.0,56.45,7389,4190
2021-11-02,AARVI,57.05,57.25,51.95,53.75,31320,20780
2021-11-03,AARVI,55.3,55.8,54.35,55.35,9541,7375
2021-11-04,AARVI,58.8,58.8,55.5,56.5,3309,3120
2021-11-08,AARVI,57.95,57.95,54.55,55.05,17815,15029
2021-11-09,AARVI,55.05,56.5,55.05,56.25,10441,8369
2021-11-10,AARVI,56.5,56.5,54.5,55.85,18605,11697
2021-11-11,AARVI,56.45,57.95,56.4,57.6,7839,6561
2021-11-12,AARVI,58.75,61.9,56.7,59.9,40610,15984
2021-11-15,AARVI,60.6,62.55,60.6,61.35,48428,42907
2021-11-16,AARVI,64.0,64.0,61.1,61.4,16359,10681
2021-11-17,AARVI,61.95,62.85,59.6,60.6,18695,13150
2021-11-18,AARVI,59.4,60.1,58.0,58.1,9482,6858
2021-11-22,AARVI,59.85,60.0,55.25,55.5,8686,6425
2021-11-23,AARVI,55.0,64.9,55.0,62.45,44370,30880
2021-11-24,AARVI,63.9,65.45,60.05,60.55,54340,32315
2021-11-25,AARVI,61.8,61.8,60.4,61.35,13470,9220
2021-11-26,AARVI,61.9,61.9,59.0,59.85,18446,10427
2021-11-29,AARVI,60.0,60.3,57.0,57.2,18492,13860
2021-11-30,AARVI,59.4,59.4,55.85,56.2,10067,6228
2021-12-01,AARVI,55.65,57.9,55.65,56.35,15923,9781
2021-12-02,AARVI,57.25,58.3,56.7,57.35,18555,9886
2021-12-03,AARVI,57.0,58.6,57.0,58.05,10896,7665
2021-12-06,AARVI,60.0,61.85,57.4,59.15,27372,16074
2021-12-07,AARVI,63.8,63.8,59.15,61.65,23097,16595
2021-12-08,AARVI,63.0,63.0,61.3,62.0,7276,4953
2021-12-09,AARVI,63.85,73.75,62.6,70.55,370099,177919
2021-12-10,AARVI,74.0,77.7,72.1,73.65,300019,177203
2021-12-13,AARVI,74.5,88.35,72.6,85.75,590435,326211
2021-12-14,AARVI,85.75,86.8,79.5,80.9,209313,138304
2021-12-15,AARVI,83.0,83.95,75.6,76.25,101279,76302
2021-12-16,AARVI,76.75,80.0,73.0,75.7,86137,49316
2021-12-17,AARVI,77.8,77.8,69.5,70.25,142840,120564
2021-12-20,AARVI,70.6,70.6,65.3,67.4,60852,46336
2021-12-21,AARVI,70.0,72.15,68.0,69.25,39877,24216
2021-12-22,AARVI,68.0,72.0,68.0,71.35,25832,17937
2021-12-23,AARVI,73.5,78.45,72.1,78.45,68178,63896
2021-12-24,AARVI,84.0,86.25,82.85,86.25,220936,159671
2021-12-27,AARVI,87.7,94.85,86.25,94.85,248026,202707
2021-12-28,AARVI,98.4,99.55,97.0,99.55,96018,86690
2021-12-29,AARVI,96.2,103.9,94.85,101.4,203723,147807
2021-12-30,AARVI,103.8,103.8,96.35,96.9,56644,37253
2021-12-31,AARVI,98.5,99.0,94.85,95.35,33897,21704
2022-01-03,AARVI,98.75,98.75,91.05,91.65,65370,40649
2022-01-04,AARVI,94.3,96.2,91.65,96.2,69943,50826
2022-01-05,AARVI,100.45,100.45,94.0,94.75,34848,23394
2022-01-06,AARVI,95.0,95.8,93.3,93.6,32737,24762
