Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,29.2,30.0,28.05,28.45,422315,247374,58.57570770633295,-34.54464813450413,58.57570770633295
2020-09-06,28.8,28.9,25.45,26.25,375998,220427,58.624513960180636,-65.98098170735459,-0.048806253847686776
2020-09-13,26.25,27.2,24.65,25.3,197545,127315,64.44860664658685,-97.57343594587746,-64.49741290043454
2020-09-20,25.55,25.55,24.25,24.75,232652,146095,62.795505733885804,-112.06470649985114,-127.29291863432034
2020-09-27,24.85,24.9,22.55,23.65,220863,144975,65.64023851890086,-116.25450895850445,-192.9331571532212
2020-10-04,23.65,25.25,23.5,23.75,126025,81929,65.01011704026979,-162.69030684441145,-127.92304011295141
2020-10-11,23.75,24.3,23.05,23.45,129502,88966,68.69855291810165,-187.4217858949282,-196.62159303105307
2020-10-18,23.45,24.4,22.6,23.0,157245,89781,57.09625107316608,-219.14192538002052,-253.71784410421915
2020-10-25,23.55,24.25,22.35,23.1,153703,102274,66.54001548440824,-233.15034969252747,-187.1778286198109
2020-11-01,22.65,23.7,21.1,22.75,176027,124668,70.8232259823777,-214.08255808188733,-258.0010546021886
2020-11-08,22.65,23.45,22.25,22.95,164359,89800,54.636496936583946,-204.97647525912336,-203.36455766560468
2020-11-15,23.0,24.2,22.0,22.85,290841,183639,63.14068511661011,-219.32663096744375,-266.5052427822148
2020-11-22,22.9,25.0,22.45,24.0,406604,233888,57.52230671611691,-206.9198589306342,-208.9829360660979
2020-11-29,24.0,31.5,23.65,30.25,1577819,859549,54.4770344380439,-169.79219851744506,-154.505901628054
2020-12-06,30.35,30.8,28.05,29.2,470818,295295,62.719564672548636,-180.0554000093167,-217.22546630060265
2020-12-13,,,,,0,0,,-180.0554000093167,-217.22546630060265
2020-12-20,,,,,0,0,,-180.0554000093167,-217.22546630060265
2020-12-27,,,,,0,0,,-180.0554000093167,-217.22546630060265
2021-01-03,,,,,0,0,,-180.0554000093167,-217.22546630060265
2021-01-10,,,,,0,0,,-180.0554000093167,-217.22546630060265
2021-01-17,,,,,0,0,,-180.0554000093167,-217.22546630060265
2021-01-24,,,,,0,0,,-180.0554000093167,-217.22546630060265
2021-01-31,,,,,0,0,,-180.0554000093167,-217.22546630060265
2021-02-07,26.6,31.2,26.6,28.85,510474,359475,70.41984508515615,-181.58626620682008,-217.22546630060265
2021-02-14,29.0,31.7,28.6,28.95,1338336,707805,52.88694318915429,-222.5309964177783,-164.33852311144835
2021-02-21,29.0,32.85,29.0,31.9,2306874,1110262,48.12841967094865,-198.15426437664854,-116.2101034404997
2021-02-28,32.5,42.5,31.3,40.35,2838730,1618841,57.02694514800633,-163.02159281225178,-59.18315829249337
2021-03-07,41.2,42.35,36.15,39.05,1923458,1161749,60.398979338254335,-166.91830115665533,-119.5821376307477
2021-03-14,40.4,40.95,36.6,38.15,1166664,769382,65.94717930783843,-185.8686400382182,-185.52931693858613
2021-03-21,38.3,40.0,32.35,32.35,692540,514310,74.26430242296473,-260.1329424611829,-259.7936193615509
2021-03-28,32.35,33.8,30.05,30.15,547540,364418,66.5555027943164,-323.1388184398025,-326.3491221558673
2021-04-04,30.15,30.9,29.25,30.9,252422,187712,74.36435809873942,-248.77446034106308,-251.98476405712788
2021-04-11,30.9,34.5,29.6,31.9,534248,396486,74.21384825025082,-253.31816533597646,-177.77091580687704
2021-04-18,31.05,31.6,29.5,29.9,294831,184543,62.5928074049201,-292.0660937294985,-240.36372321179715
2021-04-25,29.75,29.75,28.1,28.65,253340,185212,73.10807610326044,-316.43545243058554,-313.4717993150576
2021-05-02,29.6,31.3,28.7,31.3,430270,300429,69.8233667232203,-246.61208570736522,-243.64843259183726
2021-05-09,31.0,35.3,30.6,33.45,1068453,674334,63.11311775061701,-233.18376278170192,-180.53531484122027
2021-05-16,34.4,37.55,33.35,35.55,1073232,682760,63.61718621882314,-230.154372961758,-116.91812862239712
2021-05-23,36.3,36.4,34.1,34.3,469898,293262,62.409714448667586,-281.71022402804886,-179.3278430710647
2021-05-30,33.9,39.2,33.6,36.25,1324880,863193,65.15254211702192,-285.2005387843179,-114.17530095404278
2021-06-06,36.1,40.85,35.0,39.5,1423792,919059,64.55008877701238,-250.442798673619,-49.625212177030406
2021-06-13,40.1,52.5,39.85,48.6,4199031,2094694,49.88517588938972,-231.3168616725486,0.2599637123593155
2021-06-20,50.65,52.0,46.3,50.85,935755,564769,60.35436626039936,-195.3160116224858,60.614329972758675
2021-06-27,,,,,0,0,,-195.3160116224858,60.614329972758675
2021-07-04,,,,,0,0,,-195.3160116224858,60.614329972758675
2021-07-11,,,,,0,0,,-195.3160116224858,60.614329972758675
2021-07-18,,,,,0,0,,-195.3160116224858,60.614329972758675
2021-07-25,45.6,50.2,43.9,50.2,1219839,799816,65.5673412638881,-129.7486703585977,60.614329972758675
2021-08-01,50.9,51.35,45.65,46.05,1093925,624427,57.08133555773933,-178.81859039946136,3.5329944150193455
2021-08-08,46.0,50.25,43.5,45.3,1271664,654408,51.46076322047334,-202.8336132356823,-47.927768805453994
2021-08-15,46.0,47.55,40.15,43.55,663850,323058,48.66430669578971,-206.77936783263823,-96.5920755012437
2021-08-22,43.55,44.45,37.25,37.85,508865,315991,62.097216354042814,-258.5270481276739,-158.6892918552865
2021-08-29,38.75,42.4,37.0,39.05,530097,267498,50.46208524100307,-270.6753279079154,-108.22720661428345
2021-09-05,39.5,43.0,38.3,43.0,493377,328562,66.5945108912657,-204.0808170166497,-41.63269572301775
2021-09-12,44.4,47.6,40.1,44.25,2043310,810309,39.65668449721286,-199.85077067028033,-1.9760112258048892
2021-09-19,44.3,47.3,42.3,42.95,995658,544565,54.69398126665984,-240.32431680760848,-56.66999249246473
2021-09-26,42.9,44.0,41.7,42.2,537910,314361,58.44118904649477,-273.3562932251925,-115.1111815389595
2021-10-03,42.75,44.4,42.0,42.35,698952,343825,49.1915038514805,-308.2002751199911,-65.91967768747901
2021-10-10,42.35,62.6,42.35,57.8,7062220,2812284,39.82152920752964,-287.2571004997348,-26.098148479949366
2021-10-17,57.5,74.7,55.8,65.3,7023238,2810505,40.01722567283068,-287.04536914696854,13.919077192881318
2021-10-24,66.0,69.45,58.05,59.45,1286708,649715,50.49436235727143,-325.13760741648906,-36.57528516439011
2021-10-31,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-11-07,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-11-14,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-11-21,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-11-28,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-12-05,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-12-12,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-12-19,,,,,0,0,,-325.13760741648906,-36.57528516439011
2021-12-26,,,,,0,0,,-325.13760741648906,-36.57528516439011
2022-01-02,,,,,0,0,,-325.13760741648906,-36.57528516439011
2022-01-09,52.95,53.4,48.15,51.9,659147,363979,55.21970061306507,-301.4720214394612,-36.57528516439011
