Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,ABB,973.0,979.0,950.0,959.25,450210,39351
2020-08-27,ABB,964.0,985.0,961.9,970.9,515635,424270
2020-08-28,ABB,972.0,994.7,972.0,985.6,248761,101147
2020-08-31,ABB,993.0,1009.0,941.45,950.75,297129,72802
2020-09-01,ABB,952.2,961.15,936.3,945.6,82705,20686
2020-09-02,ABB,952.35,985.0,951.0,974.75,106159,42792
2020-09-03,ABB,979.9,990.8,971.75,981.35,56835,25849
2020-09-04,ABB,960.25,968.9,945.05,947.6,142693,90958
2020-09-07,ABB,955.85,957.35,920.6,925.05,712824,650252
2020-09-08,ABB,928.7,943.7,900.0,901.15,183592,63549
2020-09-09,ABB,899.0,914.5,894.7,901.8,366227,291628
2020-09-10,ABB,907.0,912.0,895.95,899.25,230526,178745
2020-09-11,ABB,903.0,903.0,893.55,898.4,172447,130517
2020-09-14,ABB,902.7,913.0,902.0,907.55,357451,279333
2020-09-15,ABB,913.7,923.0,912.0,915.0,142131,67825
2020-09-16,ABB,919.2,920.95,906.45,908.55,70043,37261
2020-09-17,ABB,907.65,922.5,902.0,916.3,155361,112238
2020-09-18,ABB,922.9,924.8,898.45,900.8,79802,52641
2020-09-21,ABB,904.0,905.9,896.3,898.75,98225,59153
2020-09-22,ABB,892.0,900.25,866.0,892.95,69644,35894
2020-09-23,ABB,897.3,900.05,882.05,884.3,76188,39494
2020-09-24,ABB,880.0,884.9,855.25,858.6,107682,68416
2020-09-25,ABB,864.95,875.95,846.6,852.3,174158,122373
2020-09-28,ABB,855.0,872.9,849.9,861.25,79765,37278
2020-09-29,ABB,867.9,874.85,853.0,854.95,532383,444797
2020-09-30,ABB,861.3,864.85,855.05,859.5,340893,294028
2020-10-01,ABB,866.05,873.0,859.9,861.0,226679,136388
2020-10-05,ABB,865.0,878.0,865.0,870.75,59775,24113
2020-10-06,ABB,872.0,879.9,870.15,872.1,82327,59507
2020-10-07,ABB,875.7,886.75,865.0,876.75,85730,50078
2020-10-08,ABB,878.95,887.0,860.0,864.95,79361,50722
2020-10-09,ABB,864.0,880.9,863.9,870.7,642606,579959
2020-10-12,ABB,874.9,885.0,864.45,866.45,176524,137826
2020-10-13,ABB,867.0,872.4,857.0,861.55,188240,150811
2020-10-14,ABB,859.95,867.7,848.0,859.2,82812,33489
2020-10-15,ABB,860.5,868.05,853.0,858.55,163287,135576
2020-10-16,ABB,855.1,867.0,850.7,863.8,32896,14007
2020-10-19,ABB,866.0,900.4,857.05,896.45,130070,61428
2020-10-20,ABB,895.0,895.9,882.0,884.85,33587,13748
2020-10-21,ABB,882.0,904.5,882.0,901.65,150828,114927
2020-10-22,ABB,901.65,923.3,898.0,917.2,113581,69469
2020-10-23,ABB,919.9,924.45,905.2,918.0,45456,19225
2020-10-26,ABB,915.0,917.4,880.05,889.05,55576,32478
2020-10-27,ABB,886.8,936.95,884.15,929.55,239419,169086
2020-10-28,ABB,933.8,937.2,902.85,907.05,50003,17888
2020-10-29,ABB,900.0,900.0,882.0,886.8,156263,123921
2020-10-30,ABB,888.3,909.0,883.85,893.7,47974,21477
2020-11-02,ABB,888.0,900.4,868.6,875.65,86892,52985
2020-11-03,ABB,880.05,892.75,875.0,877.4,58871,38655
2020-11-04,ABB,884.9,888.95,871.25,878.8,25456,10597
2020-11-05,ABB,892.75,905.0,881.0,894.15,70353,27208
2020-11-06,ABB,914.0,941.75,905.1,937.85,251858,101578
2020-11-09,ABB,935.1,954.75,935.1,949.3,121810,54762
2020-11-10,ABB,952.6,970.0,940.0,948.75,107797,70052
2020-11-11,ABB,946.95,958.75,936.0,944.25,41822,19652
2020-11-12,ABB,949.4,975.55,949.4,967.7,173796,89006
2020-11-13,ABB,967.7,1006.0,958.6,1000.25,222825,127107
2020-11-14,ABB,1006.0,1010.0,972.05,986.15,36544,17901
2020-11-17,ABB,997.0,1006.55,980.0,982.85,94002,55335
2020-11-18,ABB,980.35,1089.9,980.35,1078.9,695220,288506
2020-11-19,ABB,1078.0,1089.95,1033.35,1044.55,190460,75892
2020-11-20,ABB,1049.0,1135.0,1044.0,1116.05,249798,94096
2020-11-23,ABB,1129.0,1163.0,1050.0,1072.75,176903,82084
2020-11-24,ABB,1074.9,1087.85,1051.1,1072.3,267122,171423
2020-11-25,ABB,1077.7,1085.0,1011.5,1025.5,141568,79342
2020-11-26,ABB,1033.95,1086.4,1030.3,1076.95,292405,118008
2020-11-27,ABB,1092.0,1104.85,1061.0,1073.75,253387,69492
2020-12-01,ABB,1081.15,1145.0,1073.85,1138.05,280795,111233
2020-12-02,ABB,1142.0,1200.0,1116.05,1190.8,294829,87419
2020-12-03,ABB,1182.15,1238.95,1170.0,1172.0,295720,81608
2020-12-04,ABB,1184.0,1197.65,1150.0,1154.45,162427,53205
2020-12-07,ABB,1174.0,1174.0,1140.0,1154.95,155809,79778
2020-12-08,ABB,1165.0,1190.0,1148.0,1154.8,225515,140905
2020-12-09,ABB,1162.95,1177.0,1152.0,1155.15,111606,50188
2020-12-10,ABB,1167.25,1186.8,1144.2,1158.8,310277,108857
2020-12-11,ABB,1167.2,1183.4,1152.0,1176.2,168483,86985
2020-12-14,ABB,1180.0,1180.0,1155.0,1161.4,119428,79111
2020-12-15,ABB,1159.0,1166.55,1151.15,1154.35,56631,23609
2020-12-16,ABB,1159.3,1206.75,1157.65,1194.9,323251,151700
2020-12-17,ABB,1203.95,1239.8,1195.75,1232.7,402509,162492
2020-12-18,ABB,1244.4,1260.0,1201.05,1246.95,378273,164981
2020-12-21,ABB,1244.5,1254.9,1181.0,1215.3,145777,69023
2020-12-22,ABB,1214.0,1225.0,1157.2,1185.65,327649,192878
2020-12-23,ABB,1197.0,1236.85,1190.25,1201.0,171273,64284
2020-12-24,ABB,1218.0,1230.0,1200.0,1206.55,246220,180626
2020-12-28,ABB,1221.35,1228.0,1212.0,1217.55,169125,132224
2020-12-29,ABB,1223.2,1227.9,1190.0,1203.05,154970,116112
2020-12-30,ABB,1205.7,1239.9,1201.25,1208.9,197431,67514
2020-12-31,ABB,1214.0,1217.9,1202.2,1212.05,296434,243837
2021-01-01,ABB,1212.0,1238.5,1212.0,1232.7,95451,53210
2021-01-04,ABB,1239.1,1290.0,1235.0,1262.9,99581,34002
2021-01-05,ABB,1259.5,1305.0,1225.0,1293.6,150290,45030
2021-01-06,ABB,1295.0,1316.0,1291.0,1297.65,108081,56178
2021-01-07,ABB,1302.0,1316.9,1291.25,1302.65,109031,46882
2021-01-08,ABB,1307.55,1330.0,1300.0,1315.0,285838,236995
2021-01-11,ABB,1314.0,1314.0,1288.0,1296.9,92160,47090
2021-01-12,ABB,1288.0,1301.0,1265.0,1269.3,162360,114929
2021-01-13,ABB,1277.8,1294.0,1265.0,1280.5,159570,73676
2021-01-14,ABB,1284.05,1298.65,1265.1,1274.4,45754,17233
2021-01-15,ABB,1279.4,1293.0,1260.0,1284.65,94356,28696
2021-01-18,ABB,1291.0,1349.4,1286.7,1344.5,370993,139011
2021-01-19,ABB,1344.0,1419.0,1343.0,1391.25,715853,228362
2021-01-20,ABB,1392.0,1408.25,1373.0,1393.1,330542,185725
2021-01-21,ABB,1403.5,1408.75,1372.0,1377.3,69623,24090
2021-01-22,ABB,1380.0,1405.0,1367.0,1377.85,223509,68135
2021-01-25,ABB,1391.4,1391.4,1349.75,1354.8,100682,45784
2021-01-27,ABB,1350.05,1399.9,1346.0,1388.8,184995,78950
2021-01-28,ABB,1374.0,1419.45,1344.95,1354.8,235173,119910
2021-01-29,ABB,1365.4,1405.0,1364.3,1388.3,166513,90290
2021-02-01,ABB,1388.3,1398.55,1357.15,1382.95,62919,25997
2021-02-02,ABB,1389.9,1507.35,1389.9,1445.4,415804,236321
