Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,ABCAPITAL,60.35,62.35,60.3,61.55,1569344
2020-08-20,ABCAPITAL,60.45,64.4,60.4,62.95,1847841
2020-08-21,ABCAPITAL,63.5,64.6,62.5,62.8,908404
2020-08-24,ABCAPITAL,63.3,63.45,62.0,62.15,867145
2020-08-25,ABCAPITAL,62.2,63.4,61.55,62.0,783291
2020-08-26,ABCAPITAL,62.35,66.2,61.8,65.35,3581967
2020-08-27,ABCAPITAL,66.0,66.4,64.1,64.35,1403343
2020-08-28,ABCAPITAL,64.75,66.95,64.45,64.8,1959455
2020-08-31,ABCAPITAL,65.15,65.5,60.5,61.25,1949079
2020-09-01,ABCAPITAL,61.5,62.0,58.05,61.3,658579
2020-09-02,ABCAPITAL,61.8,63.8,60.7,63.45,966022
2020-09-03,ABCAPITAL,63.65,73.5,62.8,71.25,5447124
2020-09-04,ABCAPITAL,70.15,77.4,69.65,72.05,5381283
2020-09-07,ABCAPITAL,74.0,74.4,70.2,72.4,1225423
2020-09-08,ABCAPITAL,71.95,73.65,70.25,71.0,1675386
2020-09-09,ABCAPITAL,70.5,70.65,68.0,68.65,1385556
2020-09-10,ABCAPITAL,69.35,72.25,69.1,71.3,1076357
2020-09-11,ABCAPITAL,71.45,71.6,69.2,69.65,599371
2020-09-14,ABCAPITAL,70.25,72.4,70.25,70.8,1210315
2020-09-15,ABCAPITAL,71.3,72.15,70.65,70.85,568174
2020-09-16,ABCAPITAL,71.1,74.8,71.0,72.65,1270997
2020-09-17,ABCAPITAL,72.0,72.75,70.1,70.45,702748
2020-09-18,ABCAPITAL,71.0,71.7,69.25,69.85,1305697
2020-09-21,ABCAPITAL,70.0,70.45,64.0,64.6,1220353
2020-09-22,ABCAPITAL,64.5,65.75,60.85,62.9,1697110
2020-09-23,ABCAPITAL,63.6,65.35,62.05,63.15,751567
2020-09-24,ABCAPITAL,62.25,62.9,60.65,61.35,791785
2020-09-25,ABCAPITAL,61.95,63.45,60.7,62.85,692073
2020-09-28,ABCAPITAL,63.4,64.9,63.1,64.6,651075
2020-09-29,ABCAPITAL,65.0,65.0,62.7,63.15,368790
2020-09-30,ABCAPITAL,63.35,63.45,62.0,62.2,319367
2020-10-01,ABCAPITAL,62.75,64.0,62.75,63.25,293769
2020-10-05,ABCAPITAL,63.4,65.65,63.4,63.95,665769
2020-10-06,ABCAPITAL,64.6,64.95,63.8,64.05,310790
2020-10-07,ABCAPITAL,64.3,64.4,62.0,62.15,391053
2020-10-08,ABCAPITAL,62.05,64.25,62.05,63.6,904783
2020-10-09,ABCAPITAL,63.7,64.75,62.35,63.9,498491
2020-10-12,ABCAPITAL,63.9,64.4,62.45,63.5,348396
2020-10-13,ABCAPITAL,63.0,63.1,61.65,61.95,299346
2020-10-14,ABCAPITAL,61.05,62.95,61.05,61.85,249023
2020-10-15,ABCAPITAL,61.5,62.85,60.65,60.8,445467
2020-10-16,ABCAPITAL,60.05,61.5,59.85,60.55,271918
2020-10-19,ABCAPITAL,61.0,61.3,59.9,60.6,478864
2020-10-20,ABCAPITAL,60.65,62.7,60.45,62.1,644741
2020-10-21,ABCAPITAL,62.2,69.0,62.15,68.1,4805665
2020-10-22,ABCAPITAL,66.35,67.85,65.3,66.3,608155
2020-10-23,ABCAPITAL,66.35,70.6,65.2,68.75,1399764
2020-10-26,ABCAPITAL,68.9,68.9,65.1,66.1,827988
2020-10-27,ABCAPITAL,65.65,66.75,64.4,65.2,440135
2020-10-28,ABCAPITAL,65.2,69.25,65.1,66.9,964630
2020-10-29,ABCAPITAL,66.0,66.4,64.5,65.15,434853
2020-10-30,ABCAPITAL,65.45,66.4,64.15,64.75,448447
2020-11-02,ABCAPITAL,65.0,69.1,63.85,68.45,1099516
2020-11-03,ABCAPITAL,69.0,69.4,67.3,67.75,559257
2020-11-04,ABCAPITAL,67.4,68.8,66.5,67.5,527325
2020-11-05,ABCAPITAL,68.45,70.5,67.7,69.5,1398623
2020-11-06,ABCAPITAL,70.9,72.8,70.5,71.0,3334058
2020-11-09,ABCAPITAL,71.9,71.95,69.55,70.35,751731
2020-11-10,ABCAPITAL,71.25,72.45,69.75,71.55,1343928
2020-11-11,ABCAPITAL,72.0,73.4,70.75,72.5,1215649
2020-11-12,ABCAPITAL,72.5,74.4,72.0,74.0,1323199
2020-11-13,ABCAPITAL,73.8,77.4,72.75,76.9,1920341
2020-11-14,ABCAPITAL,77.45,81.65,77.05,80.85,1994880
2020-11-17,ABCAPITAL,81.5,84.45,80.1,81.65,2332907
2020-11-18,ABCAPITAL,82.1,87.0,81.05,83.05,2024529
2020-11-19,ABCAPITAL,81.9,83.55,79.0,80.2,1529711
2020-11-20,ABCAPITAL,80.6,82.4,80.05,80.95,863756
2020-11-23,ABCAPITAL,82.05,87.3,82.05,84.05,1953433
2020-11-24,ABCAPITAL,84.4,84.7,82.25,82.75,1085157
2020-11-25,ABCAPITAL,83.3,84.2,80.8,81.05,753576
2020-11-26,ABCAPITAL,81.1,81.7,79.4,80.5,564547
2020-11-27,ABCAPITAL,80.55,89.4,80.55,88.45,7099082
2020-12-01,ABCAPITAL,89.6,94.5,88.9,93.6,2709969
2020-12-02,ABCAPITAL,94.3,95.45,90.05,91.2,2766941
2020-12-03,ABCAPITAL,91.0,93.25,90.8,91.4,1437464
2020-12-04,ABCAPITAL,92.1,93.8,89.9,90.85,1406163
2020-12-07,ABCAPITAL,90.9,93.2,90.85,92.3,871469
2020-12-08,ABCAPITAL,92.75,95.3,90.55,92.85,1760343
2020-12-09,ABCAPITAL,93.4,97.9,93.25,96.25,2246900
2020-12-10,ABCAPITAL,96.45,96.45,90.75,93.4,1819665
2020-12-11,ABCAPITAL,93.9,95.2,92.0,93.4,966290
2020-12-14,ABCAPITAL,93.5,94.35,91.5,91.85,688313
2020-12-15,ABCAPITAL,92.0,92.1,89.25,90.75,715816
2020-12-16,ABCAPITAL,91.5,92.3,90.95,91.25,544469
2020-12-17,ABCAPITAL,91.8,91.8,89.45,89.95,637304
2020-12-18,ABCAPITAL,90.3,90.35,87.5,88.9,827445
2020-12-21,ABCAPITAL,88.9,89.0,77.25,80.75,1971329
2020-12-22,ABCAPITAL,81.0,82.4,76.0,80.85,1062219
2020-12-23,ABCAPITAL,81.65,87.4,81.0,86.45,1131335
2020-12-24,ABCAPITAL,86.6,87.7,83.8,84.8,723767
2020-12-28,ABCAPITAL,84.85,86.6,84.8,85.85,677020
2020-12-29,ABCAPITAL,86.0,86.6,83.7,84.25,832904
2020-12-30,ABCAPITAL,84.5,86.0,83.25,85.7,688476
2020-12-31,ABCAPITAL,85.9,86.55,84.5,85.0,762213
2021-01-01,ABCAPITAL,85.0,89.8,84.8,89.1,1271306
2021-01-04,ABCAPITAL,89.85,91.5,88.3,89.35,1368722
2021-01-05,ABCAPITAL,88.2,90.8,87.6,89.65,1138207
2021-01-06,ABCAPITAL,89.6,90.5,87.3,88.55,1017821
2021-01-07,ABCAPITAL,89.35,93.5,88.55,92.9,2464629
2021-01-08,ABCAPITAL,93.7,94.2,91.55,92.4,1650340
2021-01-11,ABCAPITAL,92.4,92.85,89.6,90.75,1031477
2021-01-12,ABCAPITAL,90.7,92.25,87.3,90.45,769828
2021-01-13,ABCAPITAL,90.55,93.3,89.2,91.3,1078417
2021-01-14,ABCAPITAL,90.6,92.4,90.3,91.55,763016
2021-01-15,ABCAPITAL,92.2,94.65,90.7,93.3,2175231
2021-01-18,ABCAPITAL,93.6,93.65,87.75,89.65,1162942
2021-01-19,ABCAPITAL,90.55,92.15,90.05,91.4,745787
2021-01-20,ABCAPITAL,91.5,91.95,90.0,90.75,646660
2021-01-21,ABCAPITAL,91.0,91.7,86.8,87.25,1332617
2021-01-22,ABCAPITAL,87.45,88.55,85.55,86.5,553298
2021-01-25,ABCAPITAL,87.3,87.6,83.75,84.1,584499
2021-01-27,ABCAPITAL,84.1,84.4,80.0,80.4,1218066
2021-01-28,ABCAPITAL,79.05,83.1,78.85,81.35,508881
2021-01-29,ABCAPITAL,81.55,82.85,79.75,80.8,585925
2021-02-01,ABCAPITAL,81.2,86.5,79.7,85.9,1057531
2021-02-02,ABCAPITAL,86.5,87.5,83.8,84.75,1254874
2021-02-03,ABCAPITAL,85.6,90.3,84.4,89.45,1371277
2021-02-04,ABCAPITAL,89.45,91.5,87.55,90.4,1254221
2021-02-05,ABCAPITAL,91.0,91.9,89.4,90.15,1353967
2021-02-08,ABCAPITAL,91.55,92.7,88.7,91.9,2232741
2021-02-09,ABCAPITAL,92.25,92.4,88.65,89.15,1227602
2021-02-10,ABCAPITAL,89.1,90.85,88.65,89.3,694314
2021-02-11,ABCAPITAL,89.3,90.3,88.6,89.05,691866
2021-02-12,ABCAPITAL,89.35,89.7,88.15,88.7,453516
2021-02-15,ABCAPITAL,89.95,95.0,89.6,94.1,4145713
2021-02-16,ABCAPITAL,94.8,101.85,94.45,97.75,5601831
2021-02-17,ABCAPITAL,97.75,104.8,97.35,104.05,3858630
2021-02-18,ABCAPITAL,105.5,107.6,102.4,104.1,3314654
2021-02-19,ABCAPITAL,103.5,104.65,96.1,98.65,1886635
2021-02-22,ABCAPITAL,98.5,110.25,98.5,106.15,5541039
2021-02-23,ABCAPITAL,107.0,113.9,105.3,112.8,4354286
2021-02-24,ABCAPITAL,113.65,124.9,112.85,122.35,5374795
2021-02-25,ABCAPITAL,125.25,127.35,118.35,120.8,3544072
2021-02-26,ABCAPITAL,117.5,125.45,114.95,123.65,2976035
2021-03-01,ABCAPITAL,124.3,130.7,122.5,129.7,3514162
2021-03-02,ABCAPITAL,130.1,130.1,125.4,126.75,1803297
2021-03-03,ABCAPITAL,127.4,130.9,125.25,129.65,1892757
2021-03-04,ABCAPITAL,127.9,134.9,126.35,130.65,1873350
2021-03-05,ABCAPITAL,129.9,130.6,122.2,124.35,1566657
2021-03-08,ABCAPITAL,126.0,133.0,124.5,131.25,1574608
2021-03-09,ABCAPITAL,134.9,139.7,131.65,134.3,3050322
