Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2021-10-17,715.0,722.9,672.0,697.15,11587088,7902801,68.20351239241474
2021-10-24,698.25,701.95,654.65,658.65,1681575,1013451,60.26796307033585
2021-10-31,658.65,665.0,616.15,649.1,3900159,2332345,59.80127989653755
2021-11-07,651.0,665.0,638.0,646.35,590856,348059,58.90758492763042
2021-11-14,645.65,645.65,619.05,619.7,1506244,1104447,73.32457423896793
2021-11-21,618.5,623.4,583.8,584.9,1890493,1307389,69.15598206393781
2021-11-28,585.0,605.5,578.05,593.45,1392972,957835,68.76197080774057
2021-12-05,582.05,595.0,570.0,581.45,912531,486680,53.332982660315096
2021-12-12,581.45,597.0,575.0,589.45,654432,296096,45.244731308982445
2021-12-19,596.0,598.0,545.1,550.95,1140352,794424,69.66480525311482
2021-12-26,550.95,552.0,505.1,511.4,2049201,1240691,60.5451100209301
2022-01-02,513.9,538.0,499.25,531.35,1518716,835516,55.014630780211704
2022-01-09,531.0,536.9,527.0,529.35,134692,82900,61.547827636385236
