Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,ADANIPORTS,360.0,366.2,355.5,356.65,570141
2020-08-20,ADANIPORTS,354.95,357.1,347.95,353.6,1332906
2020-08-21,ADANIPORTS,357.9,359.35,353.0,354.35,428889
2020-08-24,ADANIPORTS,358.4,363.3,347.6,349.0,530139
2020-08-25,ADANIPORTS,351.9,352.0,341.0,346.1,819767
2020-08-26,ADANIPORTS,346.35,366.9,346.35,354.25,1906572
2020-08-27,ADANIPORTS,356.0,357.45,349.55,350.55,1114640
2020-08-28,ADANIPORTS,355.0,363.0,348.5,360.05,1416576
2020-08-31,ADANIPORTS,365.0,378.35,352.0,355.75,2963192
2020-09-01,ADANIPORTS,357.0,365.35,341.4,348.8,1277383
2020-09-02,ADANIPORTS,352.95,363.5,344.1,359.9,698568
2020-09-03,ADANIPORTS,363.5,368.0,359.55,366.0,849055
2020-09-04,ADANIPORTS,363.4,363.4,351.1,353.0,2395338
2020-09-07,ADANIPORTS,355.0,357.95,347.2,352.05,476616
2020-09-08,ADANIPORTS,352.7,355.95,343.55,345.6,235382
2020-09-09,ADANIPORTS,344.4,346.3,335.35,343.85,291451
2020-09-10,ADANIPORTS,346.0,348.95,336.6,341.6,567642
2020-09-11,ADANIPORTS,341.0,343.9,333.45,342.5,483217
2020-09-14,ADANIPORTS,345.0,353.6,343.45,351.65,1094295
2020-09-15,ADANIPORTS,355.1,356.8,351.0,352.65,313441
2020-09-16,ADANIPORTS,352.25,356.1,348.95,353.55,315125
2020-09-17,ADANIPORTS,352.0,355.5,345.0,346.1,673612
2020-09-18,ADANIPORTS,348.7,359.8,347.1,357.85,1867503
2020-09-21,ADANIPORTS,358.0,359.0,343.95,347.85,656021
2020-09-22,ADANIPORTS,347.85,348.35,327.15,332.3,547361
2020-09-23,ADANIPORTS,332.55,335.35,320.15,324.6,1236961
2020-09-24,ADANIPORTS,321.55,322.95,312.1,313.75,3004974
2020-09-25,ADANIPORTS,319.0,329.7,315.6,326.15,871666
2020-09-28,ADANIPORTS,327.8,343.2,327.8,339.55,476252
2020-09-29,ADANIPORTS,343.4,346.4,336.9,341.0,596592
2020-09-30,ADANIPORTS,340.55,346.55,330.0,341.75,434674
2020-10-01,ADANIPORTS,345.5,354.9,344.5,353.3,373035
2020-10-05,ADANIPORTS,355.9,358.0,348.45,350.35,9020635
2020-10-06,ADANIPORTS,356.0,364.5,354.85,362.9,1330308
2020-10-07,ADANIPORTS,362.55,368.75,359.0,360.65,825573
2020-10-08,ADANIPORTS,359.8,362.8,356.35,359.75,595121
2020-10-09,ADANIPORTS,361.0,362.45,355.15,357.2,362335
2020-10-12,ADANIPORTS,359.1,362.85,355.05,357.65,1484883
2020-10-13,ADANIPORTS,357.65,358.65,348.4,349.9,872948
2020-10-14,ADANIPORTS,349.1,351.2,344.7,348.95,829185
2020-10-15,ADANIPORTS,350.6,353.85,341.25,342.8,1109178
2020-10-16,ADANIPORTS,344.35,354.75,341.95,349.95,950108
2020-10-19,ADANIPORTS,352.6,352.6,344.8,347.55,821454
2020-10-20,ADANIPORTS,346.7,352.3,345.65,348.95,700933
2020-10-21,ADANIPORTS,350.25,360.15,349.55,355.35,1414671
2020-10-22,ADANIPORTS,350.55,364.05,350.15,358.35,882299
2020-10-23,ADANIPORTS,360.0,369.0,357.65,364.35,1082234
2020-10-26,ADANIPORTS,366.0,373.9,360.35,363.7,1125597
2020-10-27,ADANIPORTS,360.2,366.2,351.0,364.4,1342010
2020-10-28,ADANIPORTS,363.0,370.0,352.0,353.65,918691
2020-10-29,ADANIPORTS,350.55,350.55,341.15,342.7,591791
2020-10-30,ADANIPORTS,345.2,362.7,343.2,359.85,2503788
2020-11-02,ADANIPORTS,360.0,362.7,351.2,356.9,3592391
2020-11-03,ADANIPORTS,362.0,362.65,347.2,353.65,2659198
2020-11-04,ADANIPORTS,367.65,369.5,349.6,361.1,4389550
2020-11-05,ADANIPORTS,366.05,374.65,364.3,368.65,9077164
2020-11-06,ADANIPORTS,368.65,375.9,365.8,371.1,2404474
2020-11-09,ADANIPORTS,375.0,376.0,366.0,367.05,3523993
2020-11-10,ADANIPORTS,370.7,374.5,364.15,366.75,2734127
2020-11-11,ADANIPORTS,366.75,372.45,365.25,371.6,1498824
2020-11-12,ADANIPORTS,373.0,375.6,366.1,368.05,1820911
2020-11-13,ADANIPORTS,367.5,370.4,362.7,365.5,1488345
2020-11-14,ADANIPORTS,369.0,369.0,363.0,366.1,213517
2020-11-17,ADANIPORTS,368.5,386.75,366.25,379.65,3818822
2020-11-18,ADANIPORTS,382.0,395.2,382.0,391.1,4974645
2020-11-19,ADANIPORTS,390.0,392.7,379.6,381.9,1824439
2020-11-20,ADANIPORTS,381.0,382.65,373.0,375.85,1373561
2020-11-23,ADANIPORTS,375.85,379.35,370.3,375.15,1050441
2020-11-24,ADANIPORTS,378.0,402.0,376.0,392.25,2329051
2020-11-25,ADANIPORTS,396.3,404.7,384.4,398.95,3695655
2020-11-26,ADANIPORTS,400.8,413.0,395.65,410.15,2513675
2020-11-27,ADANIPORTS,411.0,416.0,408.2,411.55,4012544
2020-12-01,ADANIPORTS,415.0,426.0,412.0,423.8,2295655
2020-12-02,ADANIPORTS,424.9,442.0,420.35,438.2,3050076
2020-12-03,ADANIPORTS,442.0,444.5,433.05,435.8,3437310
