Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,ADFFOODS,779.6,788.5,710.0,735.85,46305,29203
2021-08-24,ADFFOODS,730.6,810.0,719.05,792.5,30826,20651
2021-08-25,ADFFOODS,799.0,813.0,793.0,796.15,11881,6094
2021-08-26,ADFFOODS,801.0,803.9,780.0,799.9,9173,4718
2021-08-27,ADFFOODS,810.0,818.0,795.65,811.65,15954,8418
2021-08-30,ADFFOODS,819.8,824.0,801.6,806.7,11681,7229
2021-08-31,ADFFOODS,805.0,810.6,789.7,801.9,9522,6627
2021-09-01,ADFFOODS,814.9,827.2,800.0,823.25,19343,13147
2021-09-02,ADFFOODS,828.1,865.0,823.25,853.55,26692,17255
2021-09-03,ADFFOODS,878.3,905.0,860.55,871.15,40900,22554
2021-09-06,ADFFOODS,875.0,933.65,866.5,907.85,31331,20329
2021-09-07,ADFFOODS,924.0,924.0,890.55,900.45,21043,15669
2021-09-08,ADFFOODS,888.0,919.95,888.0,912.15,15992,10324
2021-09-09,ADFFOODS,918.0,923.0,899.95,916.75,11742,8269
2021-09-13,ADFFOODS,900.05,949.95,900.05,936.35,40151,29864
2021-09-14,ADFFOODS,937.3,949.95,928.0,939.5,21027,15098
2021-09-15,ADFFOODS,939.5,979.9,934.0,954.6,54173,37857
2021-09-16,ADFFOODS,950.0,963.7,930.0,944.15,24600,11762
2021-09-17,ADFFOODS,954.5,954.5,913.05,932.9,27104,16140
2021-09-20,ADFFOODS,925.0,944.0,893.0,908.0,13217,10169
2021-09-21,ADFFOODS,903.8,930.1,882.0,919.2,26224,14366
2021-09-22,ADFFOODS,919.0,929.0,900.0,923.7,7936,4687
2021-09-23,ADFFOODS,933.0,933.0,903.9,921.4,10097,7074
2021-09-24,ADFFOODS,919.35,929.0,900.0,907.15,9203,5928
2021-09-27,ADFFOODS,910.5,911.0,894.0,898.65,7962,5214
2021-09-28,ADFFOODS,913.0,913.0,883.1,901.85,9173,5781
2021-09-29,ADFFOODS,900.0,900.0,880.0,886.05,9947,6418
2021-09-30,ADFFOODS,886.05,900.0,872.35,882.65,5961,3343
2021-10-01,ADFFOODS,873.0,900.0,865.7,880.8,10366,7206
2021-10-04,ADFFOODS,871.1,894.3,800.65,889.15,11331,6474
2021-10-05,ADFFOODS,896.9,899.8,877.1,890.75,8981,4602
2021-10-06,ADFFOODS,899.95,900.0,880.0,881.55,7336,5052
2021-10-07,ADFFOODS,900.0,920.0,880.0,905.4,12383,9458
2021-10-08,ADFFOODS,919.0,920.65,893.0,913.05,10828,7958
2021-10-11,ADFFOODS,920.0,920.0,889.0,897.2,12466,9784
2021-10-12,ADFFOODS,897.2,910.0,880.0,882.6,15613,11785
2021-10-13,ADFFOODS,882.6,940.0,870.65,926.6,63864,45345
2021-10-14,ADFFOODS,934.0,979.85,908.1,958.3,116543,32534
2021-10-18,ADFFOODS,967.65,1000.0,932.35,949.05,76740,33594
2021-10-19,ADFFOODS,949.05,949.95,905.0,910.4,20261,11669
2021-10-20,ADFFOODS,907.5,907.5,875.0,885.05,11539,7144
2021-10-21,ADFFOODS,875.0,896.55,862.35,869.6,12651,8630
2021-10-22,ADFFOODS,862.0,900.0,862.0,879.65,7011,3956
2021-10-25,ADFFOODS,890.0,894.0,837.9,841.8,10170,6765
2021-10-26,ADFFOODS,850.0,900.0,841.8,865.55,6180,3020
2021-10-27,ADFFOODS,889.0,891.95,869.3,882.05,11609,9640
2021-10-28,ADFFOODS,891.0,898.0,860.35,867.8,7713,5498
2021-10-29,ADFFOODS,860.0,875.0,805.0,844.0,11135,6737
2021-11-01,ADFFOODS,841.0,885.0,820.55,850.25,16326,10519
2021-11-02,ADFFOODS,875.0,881.0,851.5,857.75,6051,3437
2021-11-03,ADFFOODS,857.75,870.0,852.9,863.65,3692,2184
2021-11-04,ADFFOODS,872.3,875.0,850.0,860.1,2732,1767
2021-11-08,ADFFOODS,860.2,878.7,848.7,853.75,6484,3991
2021-11-09,ADFFOODS,854.2,880.0,853.75,858.85,14866,4933
2021-11-10,ADFFOODS,860.0,867.7,850.0,852.5,4765,2724
2021-11-11,ADFFOODS,855.0,873.9,835.0,852.8,15237,12089
2021-11-12,ADFFOODS,870.0,870.0,850.0,851.3,9422,2982
2021-11-15,ADFFOODS,860.0,868.7,831.0,845.5,8934,4971
2021-11-16,ADFFOODS,836.5,856.8,835.0,847.45,6142,3380
2021-11-17,ADFFOODS,847.2,850.0,835.0,837.55,3860,2285
2021-11-18,ADFFOODS,838.4,855.0,820.0,838.6,9577,6110
2021-11-22,ADFFOODS,830.25,849.85,798.0,825.7,17348,8750
2021-11-23,ADFFOODS,840.0,840.0,812.35,830.8,8278,4233
2021-11-24,ADFFOODS,840.0,842.75,813.9,822.35,13058,9258
2021-11-25,ADFFOODS,816.2,850.0,815.5,834.95,8971,5864
2021-11-26,ADFFOODS,833.75,879.5,827.7,853.85,69286,15685
2021-11-29,ADFFOODS,850.0,850.0,800.0,814.3,20928,7033
2021-11-30,ADFFOODS,810.0,829.7,801.9,810.0,7909,2827
2021-12-01,ADFFOODS,810.0,824.0,801.15,820.75,9591,5556
2021-12-02,ADFFOODS,824.75,831.95,816.6,825.3,5704,3572
2021-12-03,ADFFOODS,829.35,834.35,810.0,822.05,9770,5168
2021-12-06,ADFFOODS,822.05,844.1,805.5,821.2,9177,4598
2021-12-07,ADFFOODS,831.05,940.0,821.0,914.4,568693,110462
2021-12-08,ADFFOODS,914.5,925.0,859.6,865.2,139020,59850
2021-12-09,ADFFOODS,871.0,886.0,852.3,857.2,38071,14509
2021-12-10,ADFFOODS,857.2,864.05,832.0,846.15,36256,15903
2021-12-13,ADFFOODS,863.0,870.0,835.4,842.1,13700,6642
2021-12-14,ADFFOODS,848.1,856.5,829.4,831.4,10699,5012
2021-12-15,ADFFOODS,830.0,836.55,815.0,816.75,11393,6241
2021-12-16,ADFFOODS,833.1,835.0,805.0,815.75,15761,8199
2021-12-17,ADFFOODS,816.2,817.4,783.6,795.9,22708,14436
2021-12-20,ADFFOODS,791.85,793.7,761.05,785.7,20726,12737
2021-12-21,ADFFOODS,790.3,799.95,775.1,786.65,8870,3655
2021-12-22,ADFFOODS,803.0,804.4,782.25,797.25,7810,4410
2021-12-23,ADFFOODS,813.0,813.0,792.0,794.9,8411,4165
2021-12-24,ADFFOODS,799.8,804.9,791.4,799.7,4732,2755
2021-12-27,ADFFOODS,785.0,798.5,771.15,780.2,29181,19122
2021-12-28,ADFFOODS,785.0,790.85,770.45,781.15,27002,19044
2021-12-29,ADFFOODS,780.2,784.75,775.85,781.3,6609,3774
2021-12-30,ADFFOODS,784.75,784.75,770.15,774.75,8983,5419
2021-12-31,ADFFOODS,770.1,820.0,770.1,807.25,28415,18650
2022-01-03,ADFFOODS,807.35,852.4,800.0,839.7,31635,17777
2022-01-04,ADFFOODS,839.7,869.5,815.75,857.1,554401,522099
2022-01-05,ADFFOODS,848.2,890.9,846.05,886.5,51496,31015
2022-01-06,ADFFOODS,884.0,904.0,862.0,878.3,103335,41143
2022-01-07,ADFFOODS,887.0,894.35,847.25,862.2,64483,31243
2022-01-10,ADFFOODS,869.85,889.7,855.0,859.1,19678,10305
2022-01-11,ADFFOODS,858.25,868.0,841.0,844.9,25078,20359
2022-01-12,ADFFOODS,842.0,855.75,828.0,833.95,41530,34927
2022-01-13,ADFFOODS,832.0,858.0,820.85,827.2,38993,26759
2022-01-14,ADFFOODS,822.25,837.35,822.0,827.3,19063,12818
2022-01-17,ADFFOODS,827.8,910.0,809.0,896.85,101602,52636
2022-01-18,ADFFOODS,914.9,917.0,855.0,873.15,42025,18839
2022-01-19,ADFFOODS,875.0,878.5,860.0,872.7,6941,2912
2022-01-20,ADFFOODS,867.0,892.95,860.0,882.75,12048,6206
2022-01-21,ADFFOODS,882.75,882.75,861.25,863.6,8574,4242
2022-01-24,ADFFOODS,855.3,875.0,826.0,856.65,24986,7575
2022-01-25,ADFFOODS,856.65,878.65,829.4,869.85,35859,21272
2022-01-27,ADFFOODS,865.0,870.0,844.95,867.15,25887,10535
2022-01-28,ADFFOODS,867.15,876.25,860.05,865.75,16383,11341
2022-01-31,ADFFOODS,878.0,878.0,850.0,865.2,22635,10507
2022-02-01,ADFFOODS,851.5,888.5,851.0,858.2,21420,7797
2022-02-02,ADFFOODS,868.5,878.0,837.0,852.45,14098,5254
2022-02-03,ADFFOODS,855.0,875.0,852.5,860.05,11023,5760
2022-02-04,ADFFOODS,858.0,875.0,845.0,850.3,9132,3710
2022-02-07,ADFFOODS,850.0,872.4,825.0,831.7,10983,5585
2022-02-08,ADFFOODS,828.45,841.6,812.3,823.7,7182,3604
2022-02-09,ADFFOODS,831.85,848.0,825.3,838.2,7166,3971
2022-02-10,ADFFOODS,849.85,849.85,830.3,833.3,6168,3478
2022-02-11,ADFFOODS,833.0,839.8,820.3,825.1,4801,2816
2022-02-14,ADFFOODS,790.2,820.05,780.0,791.4,13818,5474
2022-02-15,ADFFOODS,791.6,805.9,785.8,795.1,11077,7893
2022-02-16,ADFFOODS,807.9,815.0,784.0,789.55,14808,8065
2022-02-17,ADFFOODS,793.4,800.0,755.2,769.75,12540,7843
2022-02-18,ADFFOODS,771.6,794.0,763.15,787.35,7999,3764
2022-02-21,ADFFOODS,784.0,787.4,735.0,746.45,13892,7501
2022-02-22,ADFFOODS,725.0,738.0,710.0,725.85,18757,11841
2022-02-23,ADFFOODS,727.1,761.0,727.1,741.9,15129,7846
2022-02-24,ADFFOODS,725.3,739.95,690.0,696.75,18617,8562
2022-02-25,ADFFOODS,703.2,735.8,700.4,727.35,19579,13556
2022-02-28,ADFFOODS,727.35,745.0,702.9,734.95,7112,3356
2022-03-02,ADFFOODS,734.9,751.45,722.4,727.65,61392,51513
2022-03-03,ADFFOODS,735.0,754.95,714.9,722.65,6648,3168
2022-03-04,ADFFOODS,720.0,734.8,706.0,711.55,9598,3933
2022-03-07,ADFFOODS,710.9,710.9,688.1,691.25,9590,5325
2022-03-08,ADFFOODS,691.25,708.5,684.55,693.05,6566,3319
2022-03-09,ADFFOODS,696.9,750.0,695.0,734.55,18283,8774
2022-03-10,ADFFOODS,741.9,748.9,702.85,713.7,24346,13438
2022-03-11,ADFFOODS,715.0,720.0,707.5,711.85,16929,13598
2022-03-14,ADFFOODS,711.0,725.0,702.0,706.0,12279,6620
2022-03-15,ADFFOODS,713.1,716.6,696.0,700.4,4770,2746
2022-03-16,ADFFOODS,715.9,734.0,706.95,722.9,12905,5512
2022-03-17,ADFFOODS,728.2,739.2,717.5,723.8,9327,4903
2022-03-21,ADFFOODS,731.1,739.0,725.75,729.7,7732,3481
2022-03-22,ADFFOODS,728.9,740.0,709.0,734.0,16092,12463
2022-03-23,ADFFOODS,738.0,749.9,730.0,733.45,10275,5188
2022-03-24,ADFFOODS,733.9,738.0,712.0,718.0,15505,13370
2022-03-25,ADFFOODS,720.0,721.85,708.0,709.25,9233,6576
2022-03-28,ADFFOODS,709.6,725.0,685.0,690.1,131776,125463
2022-03-29,ADFFOODS,696.0,704.95,676.1,680.9,21403,12008
2022-03-30,ADFFOODS,695.0,739.0,689.75,720.8,29078,13077
2022-03-31,ADFFOODS,730.0,788.0,715.35,778.25,49832,30058
2022-04-01,ADFFOODS,778.25,798.0,756.2,781.25,22962,8511
2022-04-04,ADFFOODS,795.0,797.85,770.0,775.6,13985,6155
2022-04-05,ADFFOODS,787.0,787.0,766.0,769.7,9879,4912
2022-04-06,ADFFOODS,780.0,789.4,761.2,772.25,8779,4379
2022-04-07,ADFFOODS,769.25,783.0,765.0,770.7,6314,3482
2022-04-08,ADFFOODS,780.15,829.0,780.15,816.95,77684,25128
2022-04-11,ADFFOODS,828.0,828.45,810.55,814.55,12076,4628
2022-04-12,ADFFOODS,824.25,830.0,792.9,812.65,17773,7317
2022-04-13,ADFFOODS,802.1,830.0,802.1,813.5,8356,3832
2022-04-18,ADFFOODS,805.0,805.0,787.1,797.3,11572,5265
2022-04-19,ADFFOODS,798.2,843.7,785.0,800.0,30382,11063
2022-04-20,ADFFOODS,799.95,810.9,778.0,781.85,12477,5728
2022-04-21,ADFFOODS,784.0,804.95,784.0,800.05,8648,3395
2022-04-22,ADFFOODS,803.0,803.0,777.0,779.4,7560,3809
2022-04-25,ADFFOODS,770.2,784.0,757.55,769.8,10848,4804
2022-04-26,ADFFOODS,782.05,794.35,776.0,777.5,5068,2391
2022-04-27,ADFFOODS,789.95,790.0,765.0,770.15,5247,2790
2022-04-28,ADFFOODS,775.0,775.0,756.05,761.6,9104,4424
2022-04-29,ADFFOODS,771.9,773.5,753.9,757.95,7343,2629
2022-05-02,ADFFOODS,757.95,758.0,745.2,748.3,5016,3333
2022-05-04,ADFFOODS,775.0,786.4,748.3,756.15,20604,11509
2022-05-05,ADFFOODS,765.0,765.0,744.0,751.95,9037,5708
2022-05-06,ADFFOODS,755.95,759.45,729.95,749.5,31545,21368
2022-05-09,ADFFOODS,758.0,762.9,742.05,751.0,13703,8503
2022-05-10,ADFFOODS,758.45,763.15,722.8,736.85,5889,2889
2022-05-11,ADFFOODS,737.6,741.4,710.0,717.5,11946,8191
2022-05-12,ADFFOODS,717.0,717.0,693.05,707.85,12219,9162
2022-05-13,ADFFOODS,714.85,725.0,707.85,720.9,5784,3180
2022-05-16,ADFFOODS,728.6,740.0,705.05,709.5,3545,1731
2022-05-17,ADFFOODS,712.0,724.7,712.0,716.85,4666,2187
2022-05-18,ADFFOODS,722.4,740.0,718.65,727.35,9695,4124
2022-05-19,ADFFOODS,727.0,727.0,700.75,704.75,13816,9839
2022-05-20,ADFFOODS,728.55,730.55,712.65,723.35,5422,2220
2022-05-23,ADFFOODS,705.0,765.0,700.0,733.8,232618,166652
2022-05-24,ADFFOODS,763.95,765.0,720.4,745.15,31229,16164
2022-05-25,ADFFOODS,745.05,763.7,707.25,719.4,38683,22952
2022-05-26,ADFFOODS,721.6,728.65,692.95,718.5,12228,5892
2022-05-27,ADFFOODS,714.2,749.95,696.2,724.35,13335,6041
2022-05-30,ADFFOODS,729.7,848.75,716.15,827.05,186512,46110
2022-05-31,ADFFOODS,803.7,827.8,796.6,802.45,19730,7536
2022-06-01,ADFFOODS,802.45,809.65,780.85,785.05,10651,6486
2022-06-02,ADFFOODS,789.7,793.7,780.45,790.1,8149,3123
2022-06-03,ADFFOODS,797.95,799.7,760.85,768.75,8554,5980
2022-06-06,ADFFOODS,769.95,785.45,765.5,773.8,8251,4011
2022-06-07,ADFFOODS,781.0,802.9,771.55,779.95,7275,3583
2022-06-08,ADFFOODS,775.5,779.65,765.25,772.6,4225,2757
2022-06-09,ADFFOODS,773.0,780.25,758.8,770.7,4006,1693
2022-06-10,ADFFOODS,771.0,773.7,760.0,763.65,3564,2037
2022-06-13,ADFFOODS,770.95,771.25,722.55,731.1,9262,4564
2022-06-14,ADFFOODS,723.0,738.85,716.55,717.55,10908,5427
2022-06-15,ADFFOODS,718.25,731.95,717.7,718.6,3616,2378
2022-06-16,ADFFOODS,733.2,733.2,690.1,697.95,11495,6807
2022-06-17,ADFFOODS,690.6,694.0,680.0,686.25,8433,5770
2022-06-20,ADFFOODS,690.0,690.0,650.0,655.75,8456,5322
2022-06-21,ADFFOODS,656.0,679.55,654.4,669.6,7057,2678
2022-06-22,ADFFOODS,668.0,668.0,660.0,663.0,3444,1740
2022-06-23,ADFFOODS,660.6,699.95,658.05,694.4,3184,659
2022-06-24,ADFFOODS,715.0,715.0,697.8,706.5,4107,2876
2022-06-27,ADFFOODS,712.0,720.0,709.85,716.1,6503,3657
2022-06-28,ADFFOODS,710.6,715.0,709.85,712.1,2673,1513
2022-06-29,ADFFOODS,718.0,740.75,708.0,733.1,5282,3295
2022-06-30,ADFFOODS,726.35,739.2,718.45,722.35,4640,2725
2022-07-01,ADFFOODS,729.55,729.55,704.1,708.45,3907,2130
2022-07-04,ADFFOODS,715.0,719.95,708.0,710.45,2489,1373
2022-07-05,ADFFOODS,720.0,720.0,698.0,700.45,7441,3664
2022-07-06,ADFFOODS,700.8,709.5,698.8,703.3,2056,851
