Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2022-06-03,AETHER,704.0,774.4,701.0,774.4,3932403,3154552
2022-06-06,AETHER,792.9,833.8,706.7,799.3,8754400,1878848
2022-06-07,AETHER,768.3,813.0,768.25,791.05,2089555,422622
2022-06-08,AETHER,797.0,808.0,781.0,786.15,558537,202347
2022-06-09,AETHER,772.0,807.25,772.0,793.35,509855,167801
2022-06-10,AETHER,781.1,799.35,781.1,786.1,499889,382682
2022-06-13,AETHER,770.0,803.0,751.05,788.9,504766,232689
2022-06-14,AETHER,793.0,827.7,781.0,783.15,416790,150917
2022-06-15,AETHER,797.0,805.0,788.05,795.95,225224,86164
2022-06-16,AETHER,811.0,811.0,768.0,781.1,284705,107679
2022-06-17,AETHER,773.0,790.0,765.0,770.55,135911,54461
2022-06-20,AETHER,768.0,768.0,735.6,750.4,232080,139082
2022-06-21,AETHER,758.0,773.8,752.1,762.8,116434,58717
2022-06-22,AETHER,751.0,779.8,749.85,768.95,102498,53548
2022-06-23,AETHER,770.0,782.65,757.15,761.45,59564,18231
2022-06-24,AETHER,770.1,774.75,761.0,764.0,34240,15902
2022-06-27,AETHER,770.05,775.75,759.3,765.4,64118,29163
2022-06-28,AETHER,760.0,788.0,760.0,775.45,128856,56995
2022-06-29,AETHER,768.0,786.45,768.0,779.75,49922,28491
2022-06-30,AETHER,777.95,785.5,777.0,780.45,48920,32408
2022-07-01,AETHER,778.5,794.95,771.85,774.35,69949,26918
2022-07-04,AETHER,767.25,780.0,762.0,776.85,52513,32426
2022-07-05,AETHER,775.5,790.0,775.5,785.15,97334,67396
2022-07-06,AETHER,781.1,807.9,777.25,796.75,168656,116052
2022-07-07,AETHER,804.35,874.0,803.6,830.6,575230,215951
2022-07-08,AETHER,842.4,845.95,818.0,828.7,151467,78916
2022-07-11,AETHER,828.0,843.4,818.1,824.05,70272,31255
2022-07-12,AETHER,824.0,840.55,815.0,819.35,69958,23087
2022-07-13,AETHER,824.0,844.7,821.9,824.4,90577,30525
2022-07-14,AETHER,828.0,840.0,822.0,827.0,77435,23859
2022-07-15,AETHER,838.0,882.0,830.0,853.7,266091,91649
2022-07-18,AETHER,867.75,933.0,862.0,917.4,403434,131207
2022-07-19,AETHER,931.0,987.0,931.0,961.8,559978,132938
2022-07-20,AETHER,977.9,1006.85,915.0,921.1,535219,170031
2022-07-21,AETHER,929.95,941.95,910.1,935.4,213587,62251
2022-07-22,AETHER,945.0,945.0,905.55,915.1,127781,63830
2022-07-25,AETHER,922.0,940.3,884.0,897.5,206978,60817
2022-07-26,AETHER,900.0,930.0,888.6,903.05,183504,53317
2022-07-27,AETHER,881.35,919.95,851.75,877.55,169122,75187
2022-07-28,AETHER,884.5,884.5,835.25,839.15,201669,92050
2022-07-29,AETHER,847.75,854.6,836.5,847.55,90044,34892
2022-08-01,AETHER,855.0,865.75,838.6,855.1,84495,36502
2022-08-02,AETHER,855.0,874.7,851.55,858.55,90431,34448
2022-08-03,AETHER,858.55,862.95,825.95,834.3,96034,46228
2022-08-04,AETHER,835.0,844.7,815.0,821.8,73908,35171
2022-08-05,AETHER,824.0,839.95,822.1,824.6,134337,21474
2022-08-08,AETHER,833.0,837.0,817.75,821.65,56303,23263
2022-08-10,AETHER,827.5,832.0,815.75,818.55,78707,25839
2022-08-11,AETHER,820.0,856.45,818.0,837.5,118972,50680
2022-08-12,AETHER,839.8,844.0,833.0,835.05,41454,17818
2022-08-16,AETHER,802.1,835.0,802.1,828.65,56312,29359
2022-08-17,AETHER,828.65,849.85,828.65,836.55,46610,19040
2022-08-18,AETHER,838.0,845.45,831.0,841.5,52016,22763
