Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,113.0,119.65,109.0,110.4,239286,156563,65.42923530837575
2020-09-06,109.4,112.0,99.35,101.0,82678,58032,70.19037712571664
2020-09-13,103.95,105.0,96.55,104.35,40402,27799,68.805999702985
2020-09-20,108.8,108.8,98.05,99.15,59517,34375,57.75660735588152
2020-09-27,99.15,102.7,89.1,91.3,61626,37163,60.30409242852043
2020-10-04,93.8,97.9,90.65,91.75,41031,33000,80.42699422387952
2020-10-11,93.15,93.15,82.55,85.95,107164,83977,78.36306968758166
2020-10-18,82.5,88.65,82.5,87.15,42091,35120,83.43826471217125
2020-10-25,85.65,88.9,84.55,86.65,19949,14045,70.40453155546645
2020-11-01,86.2,89.6,82.4,85.0,45444,39427,86.75952821054484
2020-11-08,85.05,86.7,74.1,80.25,116634,99953,85.69799543872284
2020-11-15,78.3,86.0,78.3,83.7,92188,71213,77.24758103006899
2020-11-22,84.1,85.2,80.0,81.65,62122,54268,87.35713595827565
2020-11-29,81.05,89.4,78.8,85.85,92897,59923,64.50477410465354
2020-12-06,87.6,94.5,83.15,93.1,84898,58239,68.59878913519753
2020-12-13,93.3,111.7,93.3,98.8,278577,157945,56.697071186781386
2020-12-20,99.0,110.0,98.6,102.15,132253,99635,75.33666533084316
2020-12-27,102.95,102.95,90.4,99.85,41522,26380,63.53258513559077
2021-01-03,100.15,108.0,99.7,103.75,106335,70904,66.67983260450463
2021-01-10,104.05,115.45,100.2,110.95,136777,81791,59.798796581296564
2021-01-17,112.95,164.95,112.95,145.9,1530641,591585,38.64949390484117
2021-01-24,148.0,166.9,134.3,155.8,326555,184257,56.42449204575033
2021-01-31,155.8,159.95,137.85,138.6,90646,72067,79.50378395075349
2021-02-07,144.85,144.9,134.95,141.2,22318,10370,46.46473698360068
2021-02-14,,,,,0,0,
2021-02-21,,,,,0,0,
2021-02-28,,,,,0,0,
2021-03-07,,,,,0,0,
2021-03-14,,,,,0,0,
2021-03-21,,,,,0,0,
2021-03-28,,,,,0,0,
2021-04-04,,,,,0,0,
2021-04-11,,,,,0,0,
2021-04-18,,,,,0,0,
2021-04-25,,,,,0,0,
2021-05-02,153.95,161.0,149.05,151.7,58783,40679,69.20198016433322
2021-05-09,153.0,193.5,153.0,193.5,193638,153922,79.48956299899812
2021-05-16,203.15,213.3,195.0,198.4,155864,99418,63.785094697941794
2021-05-23,202.45,220.0,195.45,218.75,117263,87373,74.51028883791136
2021-05-30,224.5,232.0,214.05,216.9,147649,97163,65.80674437348036
2021-06-06,223.85,223.85,202.25,217.05,143209,87312,60.96823523661222
2021-06-13,224.7,251.15,223.15,244.65,242159,147668,60.97976949029357
2021-06-20,248.95,310.0,235.25,289.6,647619,381137,58.852041092061846
2021-06-27,285.8,319.8,282.25,307.95,284980,168078,58.97887571057618
2021-07-04,313.0,348.75,310.0,342.6,245978,168222,68.3890429225378
2021-07-11,348.8,349.95,306.5,322.45,154669,105714,68.34853784533423
2021-07-18,327.0,365.0,323.3,355.55,228527,174806,76.49249322837126
2021-07-25,360.0,364.0,341.4,347.3,127510,89735,70.37487255901497
2021-08-01,356.95,364.8,336.45,349.6,167456,116761,69.72637588381426
2021-08-08,350.0,385.15,338.1,347.45,299788,227089,75.74986323668725
2021-08-15,352.0,358.85,306.05,337.7,165959,118673,71.50742050747473
2021-08-22,331.0,333.65,304.85,308.85,121330,82308,67.83812742108299
2021-08-29,315.0,315.0,280.55,301.2,118900,78779,66.2565180824222
2021-09-05,303.15,332.0,303.15,322.45,95852,66973,69.8712598589492
2021-09-12,332.8,334.95,310.1,315.3,48301,34658,71.75420798741227
2021-09-19,321.65,321.65,302.0,303.35,67140,46519,69.2865653857611
2021-09-26,304.0,315.95,282.1,301.3,73129,59440,81.28102394398938
2021-10-03,309.0,358.95,301.5,339.05,400172,289988,72.46583968893376
2021-10-10,346.0,414.0,346.0,390.65,504234,330366,65.51839027118362
2021-10-17,396.5,398.4,357.05,368.55,278222,109232,39.26073423381329
2021-10-24,373.0,380.0,320.0,326.35,229956,130182,56.61169962949434
2021-10-31,339.2,339.2,310.2,311.45,106236,65599,61.74837155013366
2021-11-07,317.0,364.0,313.35,354.15,172351,86021,49.91035735214765
2021-11-14,359.9,408.0,346.75,373.25,592430,291368,49.181844268521175
2021-11-21,342.85,403.0,342.85,375.5,387930,204943,52.829891990823086
2021-11-28,375.5,439.0,354.45,402.2,675211,403750,59.79612298970248
2021-12-05,402.2,444.0,381.15,420.95,571417,261970,45.845678374987095
2021-12-12,416.2,474.2,416.2,443.55,618119,352658,57.053415280876344
2021-12-19,449.5,449.5,399.15,403.55,312336,188495,60.35007171763742
2021-12-26,396.1,397.85,351.0,385.95,171431,92983,54.23931494303831
2022-01-02,392.0,417.9,380.65,394.7,168349,98087,58.26408235273153
2022-01-09,398.8,417.65,391.0,409.4,110712,54000,48.77520052026881
