Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,AGROPHOS,10.95,11.35,10.5,10.7,49905,30577
2020-08-27,AGROPHOS,10.7,10.9,10.5,10.75,28236,20947
2020-08-28,AGROPHOS,11.2,11.2,10.5,10.6,52546,43253
2020-08-31,AGROPHOS,10.65,11.05,10.1,10.1,44978,37664
2020-09-01,AGROPHOS,10.1,10.4,9.6,9.9,28844,23542
2020-09-02,AGROPHOS,9.7,10.3,9.55,10.05,23451,14014
2020-09-03,AGROPHOS,9.65,10.25,9.65,10.0,31024,21216
2020-09-04,AGROPHOS,9.65,10.15,9.6,9.9,28030,17685
2020-09-07,AGROPHOS,9.9,10.25,9.55,9.65,24404,20536
2020-09-08,AGROPHOS,9.65,9.9,9.3,9.35,24332,16634
2020-09-09,AGROPHOS,9.15,9.75,8.9,9.05,36378,29734
2020-09-10,AGROPHOS,9.05,9.5,9.05,9.5,17233,15314
2020-09-11,AGROPHOS,9.95,9.95,9.8,9.95,49782,46187
2020-09-14,AGROPHOS,10.4,10.4,10.4,10.4,29460,28441
2020-09-15,AGROPHOS,10.9,10.9,10.9,10.9,21452,21452
2020-09-16,AGROPHOS,11.4,11.4,10.5,10.9,70378,53410
2020-09-17,AGROPHOS,11.05,11.05,10.45,10.5,22290,20324
2020-09-18,AGROPHOS,10.95,10.95,10.05,10.4,23733,18448
2020-09-21,AGROPHOS,10.4,10.7,9.95,10.05,32203,22608
2020-09-22,AGROPHOS,10.1,10.1,9.6,9.85,11580,9022
2020-09-23,AGROPHOS,10.1,10.1,9.4,9.55,15019,10520
2020-09-24,AGROPHOS,9.1,9.95,9.1,9.15,23617,11984
2020-09-25,AGROPHOS,9.0,9.55,8.95,9.5,19953,16632
2020-09-28,AGROPHOS,9.15,9.8,9.15,9.6,22128,15686
2020-09-29,AGROPHOS,9.6,9.9,9.35,9.45,5701,3612
2020-09-30,AGROPHOS,9.45,9.75,9.05,9.15,21307,17712
2020-10-01,AGROPHOS,9.2,9.55,8.9,9.2,35125,25503
2020-10-05,AGROPHOS,9.5,9.6,9.1,9.35,9071,8088
2020-10-06,AGROPHOS,9.4,9.6,9.0,9.15,27490,19136
2020-10-07,AGROPHOS,9.05,9.45,9.05,9.1,10434,6948
2020-10-08,AGROPHOS,9.35,9.35,8.4,8.95,17673,13561
2020-10-09,AGROPHOS,8.95,9.2,8.75,9.05,10368,8833
2020-10-12,AGROPHOS,9.25,9.25,8.35,8.75,19014,15422
2020-10-13,AGROPHOS,9.2,9.2,8.65,9.0,11429,6871
2020-10-14,AGROPHOS,9.5,9.5,8.15,8.8,35459,12694
2020-10-15,AGROPHOS,8.55,9.0,8.55,8.95,10399,7562
2020-10-16,AGROPHOS,9.0,9.0,8.65,8.75,16359,14941
2020-10-19,AGROPHOS,8.65,9.15,8.55,8.9,14701,10971
2020-10-20,AGROPHOS,8.9,9.15,8.6,8.75,17161,13921
2020-10-21,AGROPHOS,8.75,8.95,8.65,8.85,10687,6976
2020-10-22,AGROPHOS,8.8,8.9,8.65,8.85,8774,6580
2020-10-23,AGROPHOS,9.15,9.15,8.45,9.0,31620,15417
2020-10-26,AGROPHOS,9.15,9.15,8.75,8.8,29248,18339
2020-10-27,AGROPHOS,8.75,8.85,8.5,8.65,13714,10995
2020-10-28,AGROPHOS,8.9,8.9,8.5,8.6,11849,9437
2020-10-29,AGROPHOS,7.75,8.75,7.75,8.35,14883,13893
2020-10-30,AGROPHOS,8.05,8.35,8.05,8.25,16843,15678
2020-11-02,AGROPHOS,8.2,8.7,8.0,8.2,22872,10245
2020-11-03,AGROPHOS,8.3,8.4,8.0,8.25,5059,4442
2020-11-04,AGROPHOS,8.85,8.85,8.0,8.1,23445,12523
2020-11-05,AGROPHOS,8.7,8.7,8.0,8.15,18288,15040
2020-11-06,AGROPHOS,8.15,8.45,7.45,8.05,16426,10407
2020-11-09,AGROPHOS,8.05,8.45,8.05,8.2,19348,12769
2020-11-10,AGROPHOS,8.0,8.4,7.55,8.2,21207,13951
2020-11-11,AGROPHOS,8.4,9.0,7.7,8.1,26724,14030
2020-11-12,AGROPHOS,8.0,8.45,8.0,8.2,18930,13527
2020-11-13,AGROPHOS,8.25,8.65,8.0,8.15,19463,14398
2020-11-14,AGROPHOS,8.6,8.6,8.05,8.3,9589,6784
2020-11-17,AGROPHOS,8.3,8.3,7.5,7.85,53015,40605
2020-11-18,AGROPHOS,7.9,8.6,7.9,8.4,48332,38755
2020-11-19,AGROPHOS,8.85,8.85,8.35,8.4,24482,21832
2020-11-20,AGROPHOS,8.7,8.7,8.05,8.3,42836,19110
2020-11-23,AGROPHOS,8.3,8.35,8.1,8.2,22103,16835
2020-11-24,AGROPHOS,8.55,9.0,8.15,9.0,137514,109977
2020-11-25,AGROPHOS,9.4,9.9,8.65,9.9,54516,51159
2020-11-26,AGROPHOS,10.85,10.85,10.85,10.85,61502,60501
2020-11-27,AGROPHOS,11.35,11.35,11.35,11.35,63605,63605
2020-12-01,AGROPHOS,11.9,11.9,10.8,11.9,332842,230662
2020-12-02,AGROPHOS,12.25,12.45,11.4,12.45,123885,100442
2020-12-03,AGROPHOS,12.9,13.05,12.5,13.05,77083,73138
2020-12-04,AGROPHOS,13.7,13.7,13.4,13.7,68671,67629
2020-12-07,AGROPHOS,14.35,14.35,13.05,14.35,315428,235816
2020-12-08,AGROPHOS,15.05,15.05,14.35,15.05,140591,113797
2020-12-09,AGROPHOS,15.8,15.8,15.55,15.8,278607,265784
2020-12-10,AGROPHOS,16.55,16.55,15.25,16.5,293697,211278
2020-12-11,AGROPHOS,17.3,17.3,16.6,17.3,115939,97685
2020-12-14,AGROPHOS,18.0,18.15,17.8,18.15,251274,211109
2020-12-15,AGROPHOS,18.5,19.05,18.5,19.05,178493,166809
2020-12-16,AGROPHOS,20.0,20.0,19.55,20.0,150000,125689
2020-12-17,AGROPHOS,20.4,21.0,19.0,19.0,163815,150915
2020-12-18,AGROPHOS,18.05,18.05,18.05,18.05,18877,18877
2020-12-21,AGROPHOS,17.15,17.15,17.15,17.15,11521,11521
2020-12-22,AGROPHOS,16.3,16.3,16.3,16.3,8539,8539
2020-12-23,AGROPHOS,15.5,15.5,15.5,15.5,24897,24897
2020-12-24,AGROPHOS,14.75,15.5,14.75,14.75,273977,243664
2020-12-28,AGROPHOS,14.05,15.45,14.05,15.45,424826,243611
2020-12-29,AGROPHOS,16.2,16.2,15.45,16.2,156205,111571
2020-12-30,AGROPHOS,16.75,17.0,16.2,17.0,150086,117913
2020-12-31,AGROPHOS,17.8,17.85,16.15,16.15,522509,397616
2021-01-01,AGROPHOS,16.65,16.9,15.5,16.45,134092,87949
2021-01-04,AGROPHOS,16.5,16.7,15.75,15.95,296854,204711
2021-01-05,AGROPHOS,15.9,16.45,15.55,16.35,137090,96092
2021-01-06,AGROPHOS,16.75,16.75,15.75,16.05,150519,79696
2021-01-07,AGROPHOS,16.05,16.4,15.35,15.8,132882,64678
2021-01-08,AGROPHOS,15.85,16.2,15.6,15.7,92132,62759
2021-01-11,AGROPHOS,15.8,15.95,15.05,15.1,162788,104756
2021-01-12,AGROPHOS,15.15,15.6,14.7,14.75,79888,57250
2021-01-13,AGROPHOS,14.75,15.4,14.5,15.05,99292,72110
2021-01-14,AGROPHOS,15.3,15.3,14.95,15.25,54962,44655
2021-01-15,AGROPHOS,15.2,15.2,14.5,14.5,110399,87899
2021-01-18,AGROPHOS,14.85,14.85,13.8,13.8,113705,105298
2021-01-19,AGROPHOS,13.4,14.25,13.25,14.0,94540,71419
2021-01-20,AGROPHOS,14.2,14.35,13.8,14.1,42760,29972
2021-01-21,AGROPHOS,13.95,14.3,13.85,13.95,52115,37597
2021-01-22,AGROPHOS,13.4,14.15,13.4,13.7,23048,18799
2021-01-25,AGROPHOS,14.05,14.05,13.05,13.2,53880,36081
2021-01-27,AGROPHOS,13.4,13.4,12.6,12.65,49368,31914
2021-01-28,AGROPHOS,12.65,12.65,12.05,12.4,88724,55932
2021-01-29,AGROPHOS,12.65,13.0,12.3,12.85,52081,41255
2021-02-01,AGROPHOS,13.4,13.45,13.05,13.45,21335,20367
2021-02-02,AGROPHOS,14.1,14.1,13.75,14.1,54695,43796
2021-02-03,AGROPHOS,14.8,14.8,13.8,14.1,114747,65974
2021-02-04,AGROPHOS,14.7,14.7,13.4,14.1,79047,26416
2021-02-05,AGROPHOS,14.5,14.5,13.75,13.8,34480,23203
2021-02-08,AGROPHOS,13.75,14.2,13.7,13.75,44844,31124
2021-02-09,AGROPHOS,13.7,13.95,13.25,13.4,40836,31255
2021-02-10,AGROPHOS,13.4,14.2,13.15,13.2,37481,23132
2021-02-11,AGROPHOS,13.85,13.85,13.2,13.25,23037,15360
2021-02-12,AGROPHOS,13.4,13.95,13.4,13.6,43076,29265
2021-02-15,AGROPHOS,13.15,14.1,12.5,13.2,31735,22878
2021-02-16,AGROPHOS,13.05,14.0,12.8,12.9,47072,37803
2021-02-17,AGROPHOS,13.4,13.4,12.7,12.9,64059,46946
2021-02-18,AGROPHOS,13.35,13.6,12.8,13.35,86471,58183
2021-02-19,AGROPHOS,13.8,13.8,13.2,13.45,47114,37164
2021-02-22,AGROPHOS,13.9,13.9,12.65,12.9,76596,59224
2021-02-23,AGROPHOS,12.85,13.2,12.8,13.05,28092,20380
2021-02-24,AGROPHOS,13.8,13.8,12.55,12.85,38875,25515
2021-02-25,AGROPHOS,13.3,13.3,12.85,13.25,33915,25114
2021-02-26,AGROPHOS,13.25,13.25,12.8,12.95,45777,33733
2021-03-01,AGROPHOS,13.2,13.25,12.75,12.8,49953,36829
2021-03-02,AGROPHOS,13.15,13.15,12.75,12.8,52909,46245
2021-03-03,AGROPHOS,12.9,13.05,12.6,12.8,74757,61192
2021-03-04,AGROPHOS,12.95,13.0,12.7,12.8,24424,19887
2021-03-05,AGROPHOS,13.0,13.0,12.7,12.85,32555,21905
2021-03-08,AGROPHOS,13.1,13.1,12.65,12.8,35498,21869
2021-03-09,AGROPHOS,12.75,12.95,12.25,12.7,38294,29438
2021-03-10,AGROPHOS,12.9,12.9,12.5,12.65,19029,13933
2021-03-12,AGROPHOS,12.85,12.85,12.5,12.6,14223,8817
2021-03-15,AGROPHOS,12.6,12.6,11.95,12.15,36442,29844
2021-03-16,AGROPHOS,12.1,12.6,12.0,12.1,15409,12656
2021-03-17,AGROPHOS,12.1,12.35,10.9,11.25,85565,44911
2021-03-18,AGROPHOS,10.6,11.95,10.6,10.85,41280,30165
2021-03-19,AGROPHOS,11.6,11.6,10.55,10.95,65498,51078
2021-03-22,AGROPHOS,11.4,12.0,10.9,12.0,59815,46550
2021-03-23,AGROPHOS,12.75,13.2,12.35,13.2,214817,133378
2021-03-24,AGROPHOS,13.6,14.5,12.35,14.25,397003,215391
2021-03-25,AGROPHOS,13.65,14.2,13.55,13.55,67888,49786
2021-03-26,AGROPHOS,13.55,13.55,12.9,12.9,27105,25534
2021-03-30,AGROPHOS,12.95,12.95,12.3,12.3,25821,19782
2021-03-31,AGROPHOS,12.0,12.15,11.7,11.7,43988,38398
2021-04-01,AGROPHOS,11.7,12.25,11.7,12.25,35048,19255
2021-04-05,AGROPHOS,12.45,12.45,11.65,11.8,45291,34488
2021-04-06,AGROPHOS,11.95,12.15,11.6,11.75,29282,16798
2021-04-07,AGROPHOS,12.2,12.2,11.25,11.7,26078,18541
2021-04-08,AGROPHOS,12.1,12.1,11.7,11.95,27746,21835
2021-04-09,AGROPHOS,12.05,12.05,11.65,11.9,24129,20306
2021-04-12,AGROPHOS,11.85,11.85,11.35,11.35,34048,28837
2021-04-13,AGROPHOS,11.35,11.85,10.9,11.65,29818,21737
2021-04-15,AGROPHOS,11.75,11.75,11.2,11.4,13211,9343
2021-04-16,AGROPHOS,11.85,11.85,10.9,11.2,28144,21903
2021-04-19,AGROPHOS,11.0,11.3,10.7,10.9,27083,25566
2021-04-20,AGROPHOS,10.95,11.4,10.6,10.95,49872,31965
2021-04-22,AGROPHOS,11.0,11.45,10.45,11.2,58985,42912
2021-04-23,AGROPHOS,11.2,11.75,11.05,11.45,71208,48015
