Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,239.1,269.75,237.0,244.4,1121555,517675,46.15689823503975
2020-09-06,255.0,256.0,223.1,233.6,245034,128041,52.254381024674124
2020-09-13,234.0,242.9,225.0,227.4,132557,59365,44.784507796645975
2020-09-20,229.95,248.0,227.15,239.25,161936,70960,43.81978065408557
2020-09-27,242.9,244.65,210.1,219.85,108102,55228,51.08878651643818
2020-10-04,223.0,228.8,220.5,224.25,51331,27952,54.454423253005004
2020-10-11,226.95,229.0,214.0,215.65,56316,36002,63.92854606151005
2020-10-18,215.8,217.2,201.4,203.8,67831,39553,58.31109669620085
2020-10-25,205.3,215.0,199.2,209.65,45034,23994,53.27974419327619
2020-11-01,210.0,219.9,201.0,204.45,43721,18735,42.85126140756159
2020-11-08,203.95,211.0,199.95,206.4,30785,19657,63.85252558063992
2020-11-15,206.05,211.45,197.15,202.15,87637,51349,58.592831794789866
2020-11-22,202.25,209.0,197.25,200.7,97773,49897,51.03351641046097
2020-11-29,202.0,221.45,200.0,211.8,190492,88470,46.442895239695105
2020-12-06,213.15,238.85,210.95,226.95,176179,90827,51.55381742432412
2020-12-13,236.95,244.75,230.0,236.45,277179,145638,52.542941564837164
2020-12-20,238.0,253.0,230.0,242.55,236748,142248,60.084140098332405
2020-12-27,242.35,242.35,215.05,236.5,146187,78227,53.511598158522986
2021-01-03,237.5,273.8,232.0,264.05,433270,205100,47.33768781591156
2021-01-10,266.15,299.0,260.5,291.0,546125,230663,42.23630121309224
2021-01-17,293.35,293.35,261.75,265.05,152526,73890,48.444199677432046
2021-01-24,268.0,284.45,258.1,263.95,119706,60177,50.2706631246554
2021-01-31,266.0,274.0,256.5,260.85,73656,41401,56.20859128923645
2021-02-07,269.5,274.45,257.95,260.75,68662,40911,59.58317555562028
2021-02-14,262.3,287.5,260.1,279.2,363211,111729,30.761458215747872
2021-02-21,282.0,285.7,247.8,251.65,254775,147547,57.91266804042783
2021-02-28,253.5,257.25,238.0,238.95,125681,90666,72.13978246512997
2021-03-07,241.0,263.0,235.8,253.05,168205,88704,52.7356499509527
2021-03-14,255.6,255.6,240.0,244.6,87030,56635,65.07526140411353
2021-03-21,245.6,256.0,228.65,236.35,175078,116405,66.48750842481637
2021-03-28,243.0,243.0,230.7,231.4,53263,36889,69.2582092634662
2021-04-04,233.2,251.0,230.5,248.65,56321,36609,65.00062143782958
2021-04-11,248.65,255.15,234.8,246.7,91205,58522,64.16534181240064
2021-04-18,244.5,248.1,232.5,236.9,37923,24570,64.78917807135511
2021-04-25,235.0,245.0,210.0,238.35,77606,43871,56.530422905445455
2021-05-02,244.0,268.7,238.0,260.95,219854,104681,47.61387102349741
2021-05-09,256.95,278.7,255.7,258.4,174520,78328,44.881961952784785
2021-05-16,261.9,317.65,255.95,285.3,990234,299716,30.267189371401106
2021-05-23,287.55,314.5,282.15,303.35,300537,157847,52.52165290796141
2021-05-30,305.9,314.85,292.6,302.0,265307,133064,50.154726411289566
2021-06-06,302.0,305.75,288.1,295.25,133282,73064,54.819105355561895
2021-06-13,297.15,375.4,297.15,342.3,1704598,554900,32.55312982885114
2021-06-20,343.0,386.0,319.95,359.5,737726,311054,42.16389282741831
2021-06-27,353.9,368.95,345.7,350.65,160871,81862,50.88673533452269
2021-07-04,349.5,367.6,339.55,345.75,178892,84997,47.5130246182054
2021-07-11,355.95,427.0,348.3,406.1,1705032,397496,23.313110838975458
2021-07-18,407.2,497.7,397.1,440.95,1783545,397741,22.300586752787286
2021-07-25,444.7,474.3,430.6,438.45,252592,99506,39.39396338759739
2021-08-01,430.35,458.8,430.35,444.3,163715,71753,43.82799376966069
2021-08-08,450.0,490.0,437.05,456.85,613748,201244,32.78935328506162
2021-08-15,461.0,477.85,419.0,443.2,322668,153546,47.586373610026406
2021-08-22,448.0,454.2,400.05,417.95,136103,61845,45.4398507013071
2021-08-29,420.25,435.0,385.0,424.6,164781,64826,39.34070068757927
2021-09-05,427.3,468.0,414.6,450.65,291819,96974,33.2308725614165
2021-09-12,457.8,462.0,429.0,431.25,149361,53124,35.56751762508285
2021-09-19,433.95,444.0,409.0,412.95,138678,57502,41.46439954426802
2021-09-26,409.8,422.95,399.1,409.35,87196,36401,41.746181017477866
2021-10-03,409.35,440.0,404.3,432.6,116511,60245,51.707564092660775
2021-10-10,440.0,613.7,436.85,538.85,2134508,489265,22.921675627357686
2021-10-17,543.8,562.6,496.0,503.55,185080,101158,54.65636481521504
2021-10-24,503.55,572.5,489.4,495.4,379350,132905,35.034928166600764
2021-10-31,494.1,553.4,470.4,505.45,298671,96285,32.23781351386643
2021-11-07,492.05,549.0,450.0,456.9,286621,128242,44.742709012947415
2021-11-14,459.0,504.9,448.2,485.5,361797,116448,32.18600485907843
2021-11-21,488.0,496.55,445.65,449.35,72410,38152,52.68885513050684
2021-11-28,449.35,450.0,408.0,412.5,99784,48368,48.47270103423394
2021-12-05,412.25,484.9,398.05,460.65,228917,77502,33.85593905214554
2021-12-12,462.85,471.9,431.55,442.8,119262,56760,47.59269507470946
2021-12-19,445.65,495.95,443.45,452.9,162441,93516,57.56920974384546
2021-12-26,443.85,460.95,432.35,437.8,50967,28565,56.046069025055424
2022-01-02,437.8,478.0,436.25,452.2,77073,39590,51.3668859393043
2022-01-09,448.05,473.95,448.05,461.95,31026,19112,61.59994843034874
