Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,19.2,19.4,17.45,18.15,1507622,604630,40.10488040105544,-11.311632933631039,40.10488040105544
2020-09-06,18.9,20.15,16.55,19.0,5080988,3234335,63.65563154252677,11.675122901170322,103.7605119435822
2020-09-13,18.65,19.75,17.7,17.8,1255138,586789,46.75095487508146,-30.514763205610446,57.00955706850074
2020-09-20,18.1,18.45,17.15,17.45,1609922,743128,46.159254920424715,-55.36974662430064,10.850302148076025
2020-09-27,17.5,17.8,15.2,15.9,2204603,882137,40.013417381723606,-73.83747772355767,-29.16311523364758
2020-10-04,16.3,18.3,16.0,17.7,1410075,672686,47.70568941368367,-51.02171322136118,18.54257418003609
2020-10-11,18.0,19.2,17.6,18.55,2416681,894629,37.01891147404229,-44.080667319978225,55.56148565407838
2020-10-18,18.6,19.0,13.35,16.6,3634333,1762954,48.508323260416695,-36.78295497106595,7.053162393661687
2020-10-25,16.95,16.95,15.25,15.8,907048,407692,44.94712517970383,-52.64664621096137,-37.893962786042145
2020-11-01,15.4,17.0,14.55,15.5,874009,299099,34.221501151589976,-60.32902402050199,-72.11546393763211
2020-11-08,15.8,16.9,15.0,16.2,293759,213765,72.76883431656562,-41.1793307793005,0.6533703789335021
2020-11-15,16.5,16.5,15.35,15.6,372907,226110,60.63442091459801,-75.4509599918994,-59.98105053566451
2020-11-22,15.85,15.85,15.2,15.6,654072,550484,84.16259983610367,-56.02882156818313,-59.98105053566451
2020-11-29,15.7,16.15,15.1,15.85,712664,495624,69.54525554819662,-26.223712047527336,9.564205012532113
2020-12-06,15.9,18.35,15.4,16.9,2268159,1483194,65.3919764884208,-25.115373462977935,74.95618150095291
2020-12-13,17.2,17.85,16.6,17.3,1129996,938202,83.02701956467102,-15.152131115217507,157.98320106562392
2020-12-20,17.4,17.4,16.75,16.9,419377,318739,76.00297584273815,-56.076810415153695,81.98022522288576
2020-12-27,16.65,17.15,15.5,16.3,297111,212345,71.46992201567764,-58.24256562774987,10.510303207208125
2021-01-03,16.8,20.6,16.15,19.8,3040640,2062409,67.82812171121869,-14.802083183486225,78.33842491842681
