Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,ALEMBICLTD,83.1,84.8,81.3,82.3,303897
2020-08-20,ALEMBICLTD,81.85,83.8,81.35,82.4,206058
2020-08-21,ALEMBICLTD,83.15,85.6,82.75,83.6,348743
2020-08-24,ALEMBICLTD,83.7,85.9,82.45,82.85,316569
2020-08-25,ALEMBICLTD,83.4,84.2,81.3,82.15,277347
2020-08-26,ALEMBICLTD,82.55,86.5,82.5,85.65,613927
2020-08-27,ALEMBICLTD,86.0,89.35,85.65,86.35,590095
2020-08-28,ALEMBICLTD,87.1,87.5,83.5,84.05,310156
2020-08-31,ALEMBICLTD,86.25,92.4,83.55,85.15,1972913
2020-09-01,ALEMBICLTD,85.35,88.5,83.6,87.4,416301
2020-09-02,ALEMBICLTD,87.6,95.35,87.05,94.6,1419044
2020-09-03,ALEMBICLTD,95.0,98.4,91.55,96.05,908362
2020-09-04,ALEMBICLTD,94.4,95.55,91.6,92.8,422561
2020-09-07,ALEMBICLTD,93.4,100.0,93.3,97.45,1219680
2020-09-08,ALEMBICLTD,97.9,97.9,92.1,94.05,511926
2020-09-09,ALEMBICLTD,92.2,106.45,91.7,102.3,864749
2020-09-10,ALEMBICLTD,104.5,115.5,103.15,113.65,1252153
2020-09-11,ALEMBICLTD,114.35,115.5,105.8,108.15,868747
2020-09-14,ALEMBICLTD,108.75,114.8,104.25,112.25,609918
2020-09-15,ALEMBICLTD,112.65,115.8,110.65,112.65,344464
2020-09-16,ALEMBICLTD,112.3,119.8,110.0,118.05,634818
2020-09-17,ALEMBICLTD,117.4,119.25,114.8,116.15,370531
2020-09-18,ALEMBICLTD,117.2,122.8,115.0,118.1,433335
2020-09-21,ALEMBICLTD,120.0,120.75,106.9,109.4,653469
2020-09-22,ALEMBICLTD,108.0,108.4,98.65,105.5,368427
2020-09-23,ALEMBICLTD,106.45,111.0,105.7,108.5,240508
2020-09-24,ALEMBICLTD,107.0,107.0,103.5,104.2,187064
2020-09-25,ALEMBICLTD,105.4,108.7,104.0,106.45,214080
2020-09-28,ALEMBICLTD,106.5,108.6,105.0,105.95,340767
2020-09-29,ALEMBICLTD,106.8,107.5,104.0,104.75,194917
2020-09-30,ALEMBICLTD,104.95,107.4,104.1,105.0,128154
2020-10-01,ALEMBICLTD,106.0,113.8,105.55,111.05,389123
2020-10-05,ALEMBICLTD,110.0,112.95,109.0,109.75,215819
2020-10-06,ALEMBICLTD,110.6,112.85,109.5,110.5,202782
2020-10-07,ALEMBICLTD,110.7,111.9,108.0,108.45,147017
2020-10-08,ALEMBICLTD,109.3,109.35,105.0,105.8,172724
2020-10-09,ALEMBICLTD,106.3,106.6,104.0,105.05,124471
2020-10-12,ALEMBICLTD,105.75,105.75,100.5,101.5,182414
2020-10-13,ALEMBICLTD,102.35,105.95,101.5,103.0,172438
2020-10-14,ALEMBICLTD,103.7,103.7,101.0,101.95,80229
2020-10-15,ALEMBICLTD,102.5,105.0,97.75,98.85,206127
2020-10-16,ALEMBICLTD,99.15,102.75,99.15,101.05,144369
2020-10-19,ALEMBICLTD,102.0,102.85,94.7,95.95,359334
2020-10-20,ALEMBICLTD,96.3,98.9,96.05,97.85,129599
2020-10-21,ALEMBICLTD,98.55,98.9,95.5,96.8,182851
2020-10-22,ALEMBICLTD,97.25,98.5,95.1,96.5,124291
2020-10-23,ALEMBICLTD,98.05,99.8,96.5,96.9,145547
2020-10-26,ALEMBICLTD,96.05,98.75,93.2,94.75,158377
2020-10-27,ALEMBICLTD,95.0,95.75,92.7,95.15,84426
2020-10-28,ALEMBICLTD,95.3,96.2,93.8,94.25,104921
2020-10-29,ALEMBICLTD,93.9,94.2,92.5,93.0,84007
2020-10-30,ALEMBICLTD,92.95,95.8,91.9,92.45,114820
2020-11-02,ALEMBICLTD,92.0,92.6,89.1,89.5,198688
2020-11-03,ALEMBICLTD,91.0,94.9,90.75,94.1,319938
2020-11-04,ALEMBICLTD,93.5,93.5,87.7,89.75,239887
2020-11-05,ALEMBICLTD,90.2,92.0,90.2,91.45,111423
2020-11-06,ALEMBICLTD,92.4,92.4,90.2,90.35,115276
2020-11-09,ALEMBICLTD,90.7,91.8,89.75,89.85,133950
2020-11-10,ALEMBICLTD,92.2,92.4,87.8,88.6,149490
2020-11-11,ALEMBICLTD,89.15,90.95,87.45,88.35,172657
2020-11-12,ALEMBICLTD,88.35,90.15,88.35,88.75,127479
2020-11-13,ALEMBICLTD,89.25,93.65,88.2,92.35,293592
2020-11-14,ALEMBICLTD,93.05,96.2,92.55,95.15,211581
2020-11-17,ALEMBICLTD,96.0,96.0,92.5,92.7,208163
2020-11-18,ALEMBICLTD,92.85,93.65,89.8,90.85,210226
2020-11-19,ALEMBICLTD,90.7,92.75,90.65,91.8,130818
2020-11-20,ALEMBICLTD,92.5,93.6,91.05,91.8,109134
2020-11-23,ALEMBICLTD,92.0,95.4,91.55,94.1,274815
2020-11-24,ALEMBICLTD,94.85,108.5,94.6,103.3,1125615
2020-11-25,ALEMBICLTD,104.65,106.5,100.0,101.15,391550
2020-11-26,ALEMBICLTD,102.0,106.4,100.2,103.9,331307
2020-11-27,ALEMBICLTD,103.9,110.4,102.5,106.15,1167207
2020-12-01,ALEMBICLTD,106.0,107.7,104.4,105.3,277539
2020-12-02,ALEMBICLTD,105.0,105.9,102.0,103.05,302012
2020-12-03,ALEMBICLTD,103.9,107.5,103.25,105.3,361981
2020-12-04,ALEMBICLTD,106.2,106.35,103.25,104.25,198469
2020-12-07,ALEMBICLTD,104.0,107.0,103.3,105.75,268668
2020-12-08,ALEMBICLTD,106.0,106.75,102.5,103.95,201264
2020-12-09,ALEMBICLTD,104.0,105.6,103.0,103.35,161141
2020-12-10,ALEMBICLTD,103.4,103.8,100.7,101.85,120905
2020-12-11,ALEMBICLTD,102.5,104.0,98.5,100.05,268164
2020-12-14,ALEMBICLTD,100.85,104.3,100.5,102.6,210369
2020-12-15,ALEMBICLTD,102.95,105.75,102.5,103.05,187382
2020-12-16,ALEMBICLTD,103.5,104.85,102.95,103.35,164109
2020-12-17,ALEMBICLTD,103.8,104.55,103.45,103.75,218262
2020-12-18,ALEMBICLTD,104.4,104.8,100.85,101.35,195856
2020-12-21,ALEMBICLTD,101.45,103.8,93.6,95.25,302352
2020-12-22,ALEMBICLTD,94.3,97.8,92.1,96.0,201371
2020-12-23,ALEMBICLTD,99.25,100.65,96.75,99.6,138375
2020-12-24,ALEMBICLTD,100.55,102.0,99.1,99.65,148070
