Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,281.05,296.8,270.0,274.3,73558,44480,60.469289540226754
2020-09-06,274.2,280.05,256.0,260.95,12421,9684,77.96473713871669
2020-09-13,272.45,272.65,226.55,248.5,35443,22443,63.32138927291708
2020-09-20,256.0,270.95,245.25,257.4,14257,9979,69.99368731149612
2020-09-27,263.95,263.95,228.0,249.0,23939,11902,49.71803333472576
2020-10-04,249.0,260.0,238.0,251.7,8547,6450,75.46507546507546
2020-10-11,251.7,287.9,241.25,276.6,152898,74137,48.48788080942851
2020-10-18,279.95,297.0,255.1,275.05,192206,68747,35.767353776677105
2020-10-25,281.95,281.95,247.35,262.8,48424,26376,54.468858417313726
2020-11-01,262.15,268.0,243.1,250.1,24927,16568,66.46608095639267
2020-11-08,250.25,253.0,231.75,238.6,36041,26230,72.77822479953386
2020-11-15,238.35,251.0,225.1,240.4,40841,24742,60.581278617075974
2020-11-22,246.0,249.95,232.3,235.1,43885,27743,63.21750028483537
2020-11-29,236.25,255.0,231.0,245.5,43869,33313,75.93745013563108
2020-12-06,247.6,259.9,246.05,247.85,21409,15018,70.14806856929329
2020-12-13,248.25,265.0,245.2,252.2,47429,37466,78.99386451327247
2020-12-20,259.95,274.55,247.2,258.7,64427,43164,66.99675601843947
2020-12-27,257.05,274.9,236.0,269.6,44346,27280,61.516258512605425
2021-01-03,271.6,314.5,260.0,293.0,501074,176587,35.24170082662441
2021-01-10,299.65,299.65,276.1,277.3,74288,42159,56.7507538229593
2021-01-17,278.85,293.25,270.6,273.7,74138,35269,47.57209528177183
2021-01-24,277.6,292.85,260.1,263.8,82034,52733,64.2818831216325
2021-01-31,263.8,310.5,246.6,283.95,234225,129043,55.093606574874585
2021-02-07,291.85,304.95,272.0,292.3,74877,43941,58.6842421571377
2021-02-14,293.75,390.0,284.45,375.15,579648,217810,37.57625317434029
2021-02-21,377.0,386.6,346.0,353.1,125468,58916,46.95699301814008
2021-02-28,354.3,363.0,331.0,349.7,78042,34505,44.21337228671741
2021-03-07,351.3,357.95,330.1,333.6,41202,25667,62.295519634969175
2021-03-14,333.45,337.6,322.0,329.0,30958,20964,67.71755281348925
2021-03-21,329.0,332.0,285.5,306.7,39336,26686,67.84116331096197
2021-03-28,312.85,350.5,294.1,303.75,78048,38205,48.95064575645757
2021-04-04,305.4,329.0,305.4,326.3,15489,9116,58.85467105687907
2021-04-11,325.75,344.95,312.0,325.05,44587,28420,63.740552178886226
2021-04-18,323.45,343.5,296.0,322.5,45062,20872,46.31840575207492
2021-04-25,318.95,320.25,307.25,315.0,30240,21351,70.60515873015873
2021-05-02,315.0,348.0,313.1,339.1,72723,51224,70.43713818186819
2021-05-09,342.0,354.75,327.5,330.6,165440,118141,71.41017891682785
2021-05-16,324.0,332.9,319.05,322.9,39535,22921,57.97647653977488
2021-05-23,324.95,390.0,321.05,374.15,206298,134027,64.9676681305684
2021-05-30,376.0,410.0,349.35,383.1,188232,110158,58.52246164307875
2021-06-06,385.2,399.6,356.95,390.05,86363,51603,59.751282377870155
2021-06-13,389.0,405.0,369.1,394.1,127226,47624,37.432600254664926
2021-06-20,395.1,410.0,372.25,373.5,188727,88034,46.64621384327627
2021-06-27,370.0,390.95,365.05,381.05,86601,40430,46.68537314811607
2021-07-04,389.9,396.15,371.15,391.0,71824,30962,43.10815326353308
2021-07-11,396.4,494.0,391.45,481.35,1567633,417686,26.644374033973513
2021-07-18,488.4,558.4,481.3,538.4,1282133,423444,33.02652688917608
2021-07-25,536.3,538.7,443.35,449.45,348044,161594,46.42918711427291
2021-08-01,452.5,455.15,430.0,433.25,88081,45144,51.2528241050851
2021-08-08,438.45,455.6,414.5,432.7,85306,48708,57.09797669566032
2021-08-15,435.7,447.0,387.05,428.0,65370,42334,64.76059354443935
2021-08-22,425.6,434.75,408.05,413.8,54080,37342,69.04955621301775
2021-08-29,416.8,427.0,390.25,421.9,60019,41735,69.53631350072477
2021-09-05,424.7,482.0,422.05,460.25,102877,70309,68.34277826919525
2021-09-12,455.6,477.0,445.0,472.3,58725,40345,68.70157513835676
2021-09-19,474.25,477.0,438.2,452.35,79770,56421,70.7295975930801
2021-09-26,443.3,464.9,421.0,423.2,73992,51194,69.18856092550546
2021-10-03,427.25,430.95,411.25,417.2,44938,29107,64.77146290444612
2021-10-10,418.65,425.55,414.9,420.45,32956,23488,71.27078528947688
2021-10-17,423.15,509.0,420.0,466.55,216362,108936,50.34895221896636
2021-10-24,461.0,501.9,440.5,453.6,259233,48026,18.526190724174775
2021-10-31,468.9,554.45,451.0,532.2,545680,190448,34.90104090309339
2021-11-07,539.0,589.9,539.0,577.95,429531,185993,43.30141479893186
2021-11-14,544.45,555.0,494.75,497.15,163492,78724,48.15159151518117
2021-11-21,497.2,525.0,488.8,498.15,67986,34789,51.170829288382905
2021-11-28,495.0,518.95,456.1,481.9,67100,33071,49.28614008941878
2021-12-05,472.3,488.8,444.7,458.6,87352,44002,50.373202674237575
2021-12-12,458.6,542.0,457.55,528.15,544948,238153,43.7019678941844
2021-12-19,529.8,612.0,510.35,543.55,494062,181709,36.778582445118225
2021-12-26,538.0,578.55,495.85,536.25,211791,90322,42.646760249491244
2022-01-02,530.85,650.0,526.3,639.75,304528,153006,50.243655755792574
2022-01-09,670.0,722.9,645.1,692.75,470423,179083,38.06850430357359
