Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,748.6,752.9,731.8,734.95,2100820,577630,27.495454155996228,-19.28591097197817,27.495454155996228
2020-09-06,735.0,758.0,714.0,741.2,4312560,1077823,24.99264937763185,-13.378557482719678,52.48810353362808
2020-09-13,739.95,752.1,705.0,746.9,3810751,599902,15.742356296698473,-1.1122204107699414,68.23045983032655
2020-09-20,752.0,793.6,749.55,762.6,6234048,1312692,21.056815731928914,-9.692693563735252,89.28727556225547
2020-09-27,757.9,757.9,696.6,726.2,4400617,858704,19.513263708248186,-10.36117404966216,69.77401185400728
2020-10-04,737.0,777.15,731.1,756.1,2758082,287646,10.429204062823368,-9.466595199539407,80.20321591683066
2020-10-11,758.0,760.0,729.15,740.85,2905550,693964,23.884083908382234,-15.234388558289679,56.31913200844842
2020-10-18,745.0,747.7,710.15,722.7,4188615,926569,22.121130731757393,-22.568824713026764,34.19800127669103
2020-10-25,725.9,763.7,716.2,761.0,4741323,1107971,23.368393167898496,-1.8570488736894042,57.56639444458953
2020-11-01,764.85,801.45,731.1,766.05,7742201,1434471,18.527948318572456,-1.975564534575837,76.09434276316199
2020-11-08,770.0,811.4,754.45,808.7,4522568,990328,21.897470640574117,17.845587555355653,97.9918134037361
2020-11-15,812.0,847.7,799.05,824.25,4278218,853565,19.951414350554366,18.563264330555448,117.94322775429046
2020-11-22,825.95,863.55,821.1,858.05,3735173,590716,15.814956897578774,30.280116967277525,133.75818465186924
2020-11-29,869.65,964.8,862.05,946.8,8375125,1786207,21.327526454829034,44.135225394137265,155.08571110669828
2020-12-06,946.8,946.8,908.4,911.6,3393367,540495,15.927985390321767,30.86190423553583,139.15772571637652
2020-12-13,917.85,953.45,912.05,933.7,4331576,689023,15.906981662101739,31.591934794907683,155.06470737847826
2020-12-20,935.0,963.25,925.0,955.7,3873977,1149144,29.66316010652619,49.54493234957654,184.72786748500445
2020-12-27,947.5,958.5,881.05,934.7,2727733,516633,18.940013557045358,56.84460187414473,165.7878539279591
2021-01-03,944.0,950.0,918.2,925.05,3044950,694562,22.810292451435984,43.86138510147193,142.97756147652314
2021-01-10,927.6,1006.65,923.9,1002.0,5648651,1264818,22.391505511669955,63.73638304506298,165.36906698819308
2021-01-17,1007.0,1025.55,973.0,1006.75,4534685,847511,18.689523087050148,69.05338342853398,184.05859007524322
2021-01-24,1000.0,1009.2,964.05,979.15,3895455,776712,19.938928828596403,62.45123534464657,164.1196612466468
2021-01-31,986.0,990.65,911.0,918.2,2797972,498863,17.82944932972882,47.84518928356931,146.290211916918
2021-02-07,919.0,974.9,898.7,940.6,4108398,1080009,26.287837741134133,50.46707336273756,172.57804965805212
2021-02-14,948.65,1009.0,944.0,987.65,6122589,981078,16.023907533234716,55.96450625490884,188.60195719128683
2021-02-21,957.0,957.0,868.0,877.55,10225061,2512801,24.57492429629515,36.66352638624555,164.0270328949917
2021-02-28,886.0,912.85,868.25,882.15,7492780,1875585,25.031897373204604,27.234470873468894,189.0589302681963
2021-03-07,882.9,929.7,881.1,892.6,5071739,1661399,32.757975124508576,9.97924117825449,221.81690539270488
2021-03-14,902.0,909.0,879.95,893.25,2487290,633177,25.456500850323042,7.832307371600697,247.27340624302792
2021-03-21,897.0,901.7,853.0,868.8,3878943,1442189,37.17994824878839,-5.222664190088954,210.09345799423954
2021-03-28,871.0,886.45,837.0,840.65,2648284,713779,26.952509625100628,-28.196340240604485,183.14094836913893
2021-04-04,845.0,868.8,842.15,860.5,1357756,498506,36.71543340629686,-14.350557661494307,219.85638177543578
2021-04-11,862.5,866.85,812.25,816.05,5290651,1966282,37.165218420190634,-46.3425954957244,182.69116335524515
2021-04-18,810.0,818.1,788.5,809.35,4536079,1175886,25.922961218268025,-35.745709322040504,156.76820213697712
2021-04-25,804.0,815.9,780.1,800.55,3701064,1408236,38.04949063296393,-30.325251159244058,118.71871150401319
2021-05-02,802.0,826.0,795.6,810.75,4555253,1274000,27.967711123838786,-30.417250208993547,146.68642262785198
2021-05-09,785.15,799.0,756.95,776.05,6710063,1892942,28.210495192071967,-33.00013740256028,118.47592743578002
2021-05-16,790.0,816.0,767.0,770.35,7699749,2063792,26.803367226645957,-56.13855441658319,91.67256020913406
2021-05-23,780.5,805.0,764.1,791.65,4398211,1295895,29.464138941947077,-45.90895116534488,121.13669915108113
2021-05-30,801.9,803.7,732.0,743.75,48084814,21516525,44.747027616660844,-75.98993765241676,76.38967153442029
2021-06-06,744.55,762.4,733.0,758.6,10301154,5044667,48.97186276411361,-39.677467983788155,125.3615342985339
2021-06-13,761.95,766.95,750.3,757.35,5062561,2348327,46.386147248398586,-46.78165269750669,78.97538705013531
2021-06-20,764.0,791.0,737.25,748.0,11549001,4319370,37.40037774695838,-69.22187934568171,41.575009303176934
2021-06-27,743.5,756.7,736.0,745.25,3889131,1416453,36.420809687305464,-73.09269003708623,5.15419961587147
2021-07-04,751.0,754.95,742.05,746.55,3153123,1226943,38.91199296697274,-84.85678093407817,44.06619258284421
2021-07-11,749.0,753.65,731.65,739.7,3704014,1717171,46.35973298157081,-97.28961841549915,-2.2935403987265985
2021-07-18,743.0,745.5,727.45,727.85,3285594,1756150,53.450000213051275,-148.37064354985577,-55.743540611777874
2021-07-25,727.0,729.35,708.45,723.25,3248241,1532149,47.168575238105795,-128.73587778088364,-102.91211584988366
2021-08-01,723.25,730.0,693.15,719.85,5138313,1981131,38.55605915793763,-111.41965582528337,-141.4681750078213
2021-08-08,723.7,737.4,711.25,731.3,5636119,1774175,31.478664662687216,-94.62702209509274,-109.98951034513408
2021-08-15,738.75,738.75,706.5,729.25,4658794,1641369,35.231628614615715,-80.15201188908783,-145.2211389597498
2021-08-22,742.0,742.0,695.0,697.25,5597518,1731705,30.937015298566255,-108.12697253140838,-176.15815425831605
2021-08-29,703.3,703.4,665.0,682.85,5767847,2190563,37.97886802475863,-110.79736168939915,-214.13702228307469
2021-09-05,688.0,727.65,683.65,721.65,4929172,1687369,34.23230108423889,-85.90114271904359,-179.9047211988358
2021-09-12,723.1,728.0,711.55,721.35,2018649,781651,38.72149145294699,-78.48638903656419,-218.6262126517828
2021-09-19,722.0,745.95,715.0,728.45,4803617,1906118,39.68089046233286,-83.67888035716018,-178.94532218944994
2021-09-26,728.0,742.95,710.95,735.8,3537586,1177525,33.28611657780193,-65.26749712506368,-145.65920561164802
2021-10-03,738.9,775.0,736.05,766.8,11492585,3578251,31.13530158793692,-47.241796205731845,-114.5239040237111
2021-10-10,770.0,774.7,746.5,760.0,4744804,1710834,36.057000457763905,-48.77613665074313,-150.580904481475
2021-10-17,761.0,781.6,756.05,760.15,3860279,1469885,38.07717006983174,-74.63284509346641,-112.50373441164325
2021-10-24,765.5,765.5,688.0,698.95,8601621,3538756,41.14057106212887,-104.14788704255496,-153.64430547377214
2021-10-31,701.0,706.1,673.05,680.65,4182789,1335421,31.926568612473638,-121.39113211767308,-185.57087408624577
2021-11-07,686.9,710.0,683.5,703.0,3426595,1565983,45.70084880179887,-99.83412796588117,-139.8700252844469
2021-11-14,704.0,714.0,694.15,696.7,3602701,1766444,49.03110194268134,-136.26781832631156,-188.90112722712826
2021-11-21,690.0,694.65,646.25,648.45,4799773,2447409,50.99009890676079,-182.622453696094,-239.89122613388906
2021-11-28,649.0,650.7,616.5,624.4,5641922,2226436,39.4623676116047,-203.8536690192966,-279.35359374549375
2021-12-05,620.0,639.9,607.7,631.65,3705719,1009449,27.24030073516098,-190.57190748072435,-252.11329301033277
2021-12-12,632.6,649.0,624.25,643.9,3040409,1012454,33.29992773998498,-170.99558632449083,-218.8133652703478
2021-12-19,650.0,652.2,616.1,618.3,2452053,864871,35.27130123206962,-201.96789239254102,-254.0846665024174
2021-12-26,618.0,627.0,584.25,611.05,3485950,1086560,31.16969549190321,-194.05698722091185,-285.2543619943206
2022-01-02,611.05,638.25,602.4,637.15,5578969,1420045,25.453538099960767,-170.165451459024,-259.80082389435984
2022-01-09,643.9,644.9,626.1,633.8,3388754,1493360,44.068114711188834,-178.13521688551583,-303.8689386055487
