Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,AMDIND,26.75,27.85,26.75,27.5,28230,17293
2021-08-24,AMDIND,27.5,28.25,26.85,27.95,14246,6740
2021-08-25,AMDIND,28.85,28.85,27.3,28.1,11530,4811
2021-08-26,AMDIND,28.95,28.95,28.3,28.65,20115,16597
2021-08-27,AMDIND,29.1,29.45,27.8,28.95,11375,7625
2021-08-30,AMDIND,29.0,29.35,28.1,29.1,14954,10851
2021-08-31,AMDIND,29.45,29.45,28.15,28.6,11836,8639
2021-09-01,AMDIND,28.5,29.25,28.2,28.55,5841,5196
2021-09-02,AMDIND,28.5,28.5,27.8,28.25,8949,7379
2021-09-03,AMDIND,28.3,28.7,28.2,28.65,20921,16778
2021-09-06,AMDIND,29.75,29.75,28.4,29.0,11888,9709
2021-09-07,AMDIND,29.95,29.95,28.2,29.0,13061,11087
2021-09-08,AMDIND,29.5,29.5,28.55,28.85,4923,4041
2021-09-09,AMDIND,28.05,29.5,28.0,28.75,8868,6312
2021-09-13,AMDIND,27.95,29.45,27.95,29.0,13951,8925
2021-09-14,AMDIND,28.55,29.7,28.5,28.7,18669,12004
2021-09-15,AMDIND,28.7,29.55,27.8,28.1,28292,12261
2021-09-16,AMDIND,29.0,29.0,28.15,28.2,8982,6271
2021-09-17,AMDIND,28.5,28.5,27.5,27.55,13025,9078
2021-09-20,AMDIND,27.55,27.6,26.7,27.1,4927,3477
2021-09-21,AMDIND,27.65,27.65,26.6,27.15,4555,3081
2021-09-22,AMDIND,28.4,28.4,27.1,27.25,9018,4758
2021-09-23,AMDIND,27.25,27.9,27.05,27.65,10928,7460
2021-09-24,AMDIND,27.0,27.6,26.75,26.9,5377,4606
2021-09-27,AMDIND,28.0,28.2,26.15,26.8,17702,11477
2021-09-28,AMDIND,26.2,27.75,26.2,26.55,8526,6407
2021-09-29,AMDIND,27.0,27.25,26.05,26.6,9936,2758
2021-09-30,AMDIND,26.4,27.25,26.4,26.75,9281,7857
2021-10-01,AMDIND,26.25,27.45,26.25,27.1,17764,12127
2021-10-04,AMDIND,27.65,27.9,26.75,27.45,12942,7131
2021-10-05,AMDIND,27.9,28.8,27.0,28.8,46894,35002
2021-10-06,AMDIND,30.2,30.2,29.2,29.8,78694,63144
2021-10-07,AMDIND,29.8,32.75,29.05,31.65,161516,99569
2021-10-08,AMDIND,32.0,32.2,30.5,31.8,55030,42440
2021-10-11,AMDIND,32.45,32.45,30.1,30.15,23542,17658
2021-10-12,AMDIND,30.15,33.15,30.1,32.4,126875,71889
2021-10-13,AMDIND,32.8,32.8,31.2,31.35,42390,32227
2021-10-14,AMDIND,31.95,31.95,30.5,30.8,27322,18171
2021-10-18,AMDIND,32.5,33.85,31.65,33.85,261358,223402
