Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,ANANTRAJ,37.0,37.9,35.55,36.35,579627,393366
2020-08-27,ANANTRAJ,37.05,37.85,34.25,34.7,586734,389858
2020-08-28,ANANTRAJ,34.8,35.55,33.55,33.8,326347,246187
2020-08-31,ANANTRAJ,34.7,34.7,30.2,30.75,446420,331794
2020-09-01,ANANTRAJ,31.0,31.5,29.5,30.15,152558,123978
2020-09-02,ANANTRAJ,30.9,32.95,30.5,32.5,299802,194843
2020-09-03,ANANTRAJ,32.6,33.25,31.1,31.75,141034,84900
2020-09-04,ANANTRAJ,31.8,31.8,30.8,30.95,148105,103504
2020-09-07,ANANTRAJ,30.0,37.1,30.0,31.4,163711,83981
2020-09-08,ANANTRAJ,31.85,32.0,29.65,29.9,190343,124788
2020-09-09,ANANTRAJ,29.5,29.85,28.45,28.95,312130,266952
2020-09-10,ANANTRAJ,29.05,31.0,28.45,29.25,544988,353726
2020-09-11,ANANTRAJ,29.25,30.4,28.95,29.3,159754,96548
2020-09-14,ANANTRAJ,29.3,30.0,29.1,29.45,253754,197057
2020-09-15,ANANTRAJ,29.75,30.4,28.85,29.1,298302,215249
2020-09-16,ANANTRAJ,29.95,29.95,28.6,28.7,185432,115272
2020-09-17,ANANTRAJ,28.8,29.05,28.0,28.5,111378,80785
2020-09-18,ANANTRAJ,28.9,29.0,28.15,28.35,72988,46747
2020-09-21,ANANTRAJ,28.35,28.6,26.6,26.8,150975,113520
2020-09-22,ANANTRAJ,26.8,27.9,25.95,26.9,123801,78175
2020-09-23,ANANTRAJ,27.4,27.4,26.0,26.15,91259,63430
2020-09-24,ANANTRAJ,27.4,28.9,26.3,26.75,686841,332428
2020-09-25,ANANTRAJ,27.8,31.7,27.5,30.05,909983,399748
2020-09-28,ANANTRAJ,30.8,32.65,30.0,31.8,618795,269545
2020-09-29,ANANTRAJ,31.8,32.45,30.6,31.0,300647,166378
2020-09-30,ANANTRAJ,31.65,31.8,30.65,31.0,193539,108699
2020-10-01,ANANTRAJ,31.2,31.95,30.9,31.3,270534,201421
