Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-10-12,ANKITMETAL,2.7,2.7,2.65,2.7,123391,122853
2021-10-13,ANKITMETAL,2.8,2.8,2.8,2.8,199198,199131
2021-10-14,ANKITMETAL,2.9,2.9,2.9,2.9,149683,149653
2021-10-18,ANKITMETAL,3.0,3.0,3.0,3.0,94495,94464
2021-10-19,ANKITMETAL,3.15,3.15,3.15,3.15,70560,70560
2021-10-20,ANKITMETAL,3.3,3.3,3.15,3.3,588418,523689
2021-10-21,ANKITMETAL,3.45,3.45,3.45,3.45,59037,59037
2021-10-22,ANKITMETAL,3.6,3.6,3.3,3.6,1788758,1021220
2021-10-25,ANKITMETAL,3.75,3.75,3.45,3.75,501825,320702
2021-10-26,ANKITMETAL,3.9,3.9,3.9,3.9,72121,72121
2021-10-27,ANKITMETAL,4.05,4.05,4.05,4.05,19569,19569
2021-10-28,ANKITMETAL,4.25,4.25,4.25,4.25,287763,287763
2021-10-29,ANKITMETAL,4.45,4.45,4.45,4.45,45585,45585
2021-11-01,ANKITMETAL,4.65,4.65,4.65,4.65,25524,25524
2021-11-02,ANKITMETAL,4.85,4.85,4.85,4.85,25352,25352
2021-11-03,ANKITMETAL,5.05,5.05,5.05,5.05,74667,74667
2022-03-29,ANKITMETAL,8.7,9.0,8.2,8.2,362480,289887
2022-03-30,ANKITMETAL,8.6,8.6,8.4,8.55,248660,217247
2022-03-31,ANKITMETAL,8.8,8.95,8.75,8.95,183063,163162
2022-04-01,ANKITMETAL,9.3,9.35,9.25,9.35,82437,75867
2022-04-04,ANKITMETAL,9.8,9.8,8.9,9.0,876356,499247
2022-04-05,ANKITMETAL,9.2,9.45,8.7,9.35,432642,284964
2022-04-06,ANKITMETAL,9.35,9.45,9.05,9.4,266364,166946
2022-04-07,ANKITMETAL,9.8,9.8,8.95,8.95,566060,415506
2022-04-08,ANKITMETAL,9.15,9.15,8.55,8.55,571633,417368
2022-04-11,ANKITMETAL,8.15,8.45,8.15,8.25,865271,617970
2022-04-12,ANKITMETAL,8.15,8.25,7.85,7.85,460432,379764
2022-04-13,ANKITMETAL,8.1,8.2,7.75,8.2,464251,346803
2022-04-18,ANKITMETAL,8.4,8.45,7.8,7.95,384557,307334
2022-04-19,ANKITMETAL,8.15,8.3,7.9,8.25,391038,336246
2022-04-20,ANKITMETAL,8.55,8.65,8.25,8.65,410347,284517
2022-04-21,ANKITMETAL,8.9,9.05,8.7,9.05,412421,302899
2022-04-22,ANKITMETAL,9.4,9.45,8.6,8.7,889502,525000
2022-04-25,ANKITMETAL,8.6,8.75,8.3,8.3,299349,217964
2022-04-26,ANKITMETAL,8.3,8.6,7.9,7.95,401625,242766
2022-04-27,ANKITMETAL,7.7,8.15,7.6,7.85,324039,243419
2022-04-28,ANKITMETAL,8.0,8.2,7.75,7.8,208871,137351
2022-04-29,ANKITMETAL,8.0,8.0,7.45,7.45,420546,295994
2022-05-02,ANKITMETAL,7.1,7.25,7.1,7.15,493184,304626
2022-05-04,ANKITMETAL,7.25,7.5,7.0,7.5,415492,245975
2022-05-05,ANKITMETAL,7.85,7.85,7.15,7.25,307292,219721
2022-05-06,ANKITMETAL,7.2,7.5,6.9,6.95,254509,183765
2022-05-09,ANKITMETAL,6.9,7.15,6.65,6.75,347390,257288
2022-05-10,ANKITMETAL,6.6,7.05,6.6,7.05,215044,156030
2022-05-11,ANKITMETAL,7.15,7.2,6.7,6.7,151030,116623
2022-05-12,ANKITMETAL,6.85,6.85,6.4,6.4,149678,116647
2022-05-13,ANKITMETAL,6.15,6.5,6.1,6.1,439109,278728
2022-05-16,ANKITMETAL,6.25,6.4,6.15,6.4,184052,152708
2022-05-17,ANKITMETAL,6.45,6.7,6.4,6.7,111769,64818
2022-05-18,ANKITMETAL,7.0,7.0,7.0,7.0,73606,55303
2022-05-19,ANKITMETAL,6.9,7.3,6.65,6.85,390376,176114
2022-05-20,ANKITMETAL,7.1,7.15,6.8,7.15,352556,192592
2022-05-23,ANKITMETAL,7.4,7.4,6.8,6.85,190865,121633
2022-05-24,ANKITMETAL,6.65,6.85,6.55,6.55,185763,130802
2022-05-25,ANKITMETAL,6.5,6.8,6.35,6.4,239487,204595
2022-05-26,ANKITMETAL,6.4,6.65,6.1,6.15,209229,139611
2022-05-27,ANKITMETAL,6.3,6.45,6.0,6.4,137629,96922
2022-05-30,ANKITMETAL,6.65,6.7,6.15,6.7,91467,67254
2022-05-31,ANKITMETAL,7.0,7.0,6.4,6.45,419139,250886
2022-06-01,ANKITMETAL,6.6,6.75,6.25,6.75,250820,162381
2022-06-02,ANKITMETAL,7.05,7.05,7.05,7.05,137240,137239
2022-06-03,ANKITMETAL,7.4,7.4,6.9,7.4,284320,197002
2022-06-06,ANKITMETAL,7.55,7.75,7.2,7.75,1083757,506625
2022-06-07,ANKITMETAL,7.75,7.8,7.4,7.4,303042,155231
2022-06-08,ANKITMETAL,7.6,7.75,7.5,7.75,266891,199848
2022-06-09,ANKITMETAL,8.1,8.1,8.1,8.1,131051,130048
2022-06-10,ANKITMETAL,8.25,8.5,8.15,8.5,949832,595492
2022-06-13,ANKITMETAL,8.55,8.55,8.1,8.1,212735,174716
2022-06-14,ANKITMETAL,7.75,8.1,7.7,7.7,587109,290554
2022-06-15,ANKITMETAL,7.45,7.95,7.35,7.45,688154,300587
2022-06-16,ANKITMETAL,7.6,7.7,7.1,7.1,374302,208064
2022-06-17,ANKITMETAL,7.0,7.15,6.75,6.75,278063,168330
2022-06-20,ANKITMETAL,6.75,6.85,6.45,6.45,238261,130144
2022-09-13,ANKITMETAL,6.45,6.55,6.3,6.4,111444,90945
2022-09-14,ANKITMETAL,6.35,6.45,6.15,6.25,140467,100444
2022-09-15,ANKITMETAL,6.45,6.45,6.2,6.25,70938,65018
2022-09-16,ANKITMETAL,6.25,6.3,6.0,6.05,187945,126616
2022-09-19,ANKITMETAL,6.05,6.15,5.95,6.0,104372,86552
2022-09-20,ANKITMETAL,6.2,6.3,6.2,6.3,92178,78405
2022-09-21,ANKITMETAL,6.45,6.6,6.35,6.4,569718,265748
2022-09-22,ANKITMETAL,6.55,6.55,6.2,6.25,189055,119688
2022-09-23,ANKITMETAL,6.4,6.4,6.15,6.15,111541,80682
2022-09-26,ANKITMETAL,6.2,6.2,5.9,5.95,135468,122200
2022-09-27,ANKITMETAL,6.1,6.1,5.9,5.95,140006,89995
2022-09-28,ANKITMETAL,6.0,6.1,5.9,5.95,148612,88505
2022-09-29,ANKITMETAL,5.95,6.05,5.9,5.95,55631,41056
2022-09-30,ANKITMETAL,6.0,6.0,5.8,5.9,161321,97597
2022-10-03,ANKITMETAL,6.0,6.0,5.9,5.95,97344,60923
2022-10-04,ANKITMETAL,6.0,6.0,5.85,5.9,100445,58698
2022-10-06,ANKITMETAL,5.95,6.15,5.9,6.0,141167,79740
2022-10-07,ANKITMETAL,6.0,6.1,5.9,6.0,103722,71531
2022-10-10,ANKITMETAL,6.05,6.05,5.4,5.85,368552,203374
2022-10-11,ANKITMETAL,6.0,6.0,5.7,5.75,139724,58379
2022-10-12,ANKITMETAL,5.9,5.9,5.6,5.8,100092,56396
2022-10-13,ANKITMETAL,5.85,5.9,5.75,5.8,81724,43401
2022-10-14,ANKITMETAL,5.95,5.95,5.7,5.75,63551,42088
2022-10-17,ANKITMETAL,5.85,5.85,5.3,5.7,178308,110351
2022-10-18,ANKITMETAL,5.85,5.85,5.5,5.6,89216,64262
2022-10-19,ANKITMETAL,5.5,5.75,5.5,5.5,162832,102116
2022-10-20,ANKITMETAL,5.45,5.55,5.2,5.35,298233,176306
2022-10-21,ANKITMETAL,5.4,5.45,5.3,5.3,101931,61041
2022-10-24,ANKITMETAL,5.45,5.5,5.05,5.4,65480,52891
2022-10-25,ANKITMETAL,5.4,5.45,5.1,5.35,102431,79948
2022-10-27,ANKITMETAL,5.3,5.85,5.25,5.85,265985,167168
2022-10-28,ANKITMETAL,6.15,6.4,6.15,6.4,283725,213407
2022-10-31,ANKITMETAL,6.55,6.9,6.05,6.5,1363644,647307
2022-11-01,ANKITMETAL,6.6,6.7,6.2,6.3,308440,225181
2022-11-02,ANKITMETAL,6.4,6.45,6.15,6.45,155588,125055
