Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,1016.15,1025.0,984.1,988.95,1466198,731963,49.922520696386165,-38.08270527450479,49.922520696386165
2020-09-06,999.0,999.45,905.6,927.65,2418185,1243237,51.41198874362384,-65.33626350567465,-1.489468047237672
2020-09-13,935.0,941.0,892.85,911.25,1815473,870748,47.96259707525257,-76.64208856910389,-49.45206512249024
2020-09-20,922.5,986.0,905.05,963.55,3466685,1534531,44.26508321350224,-56.92922569267705,-5.1869819089880025
2020-09-27,970.0,976.0,865.85,955.1,2219980,973036,43.83084532293084,-29.73142017454428,-49.017827231918844
2020-10-04,956.75,996.0,918.1,926.7,1306119,599043,45.864350798051326,-65.46911071936731,-94.88217802997016
2020-10-11,935.0,1016.45,935.0,958.3,2276617,1181001,51.87526052910963,-87.66497111764204,-43.00691750086053
2020-10-18,959.2,972.0,931.05,961.25,1015440,554970,54.65315528243914,-61.7063906477167,11.646237781578606
2020-10-25,962.8,1032.0,952.55,973.75,2522384,1478323,58.60816592556882,-89.03719678418392,70.25440370714742
2020-11-01,980.0,987.0,940.1,964.6,1256984,765618,60.90912851714898,-86.30992237296826,9.34527518999844
2020-11-08,956.0,1009.0,943.85,979.05,1428740,907877,63.543891820765154,-81.18934782102643,72.8891670107636
2020-11-15,996.0,996.0,937.0,986.2,1311084,840335,64.09467280509868,-38.38714259185873,136.98383981586227
2020-11-22,992.8,992.8,960.0,970.9,685544,428711,62.535883911171275,-59.35954268401986,74.44795590469099
2020-11-29,977.0,1019.5,968.5,998.1,1573878,884034,56.16915669448331,-50.32842337235778,130.6171125991743
2020-12-06,998.0,1024.85,971.1,1012.35,1036474,472577,45.59467965428945,-25.940571464249324,176.21179225346376
2020-12-13,1012.0,1095.5,1008.6,1085.75,2266441,1180710,52.09533360894901,14.464785097812396,228.30712586241276
2020-12-20,1096.0,1145.0,1061.25,1108.05,1464215,812475,55.48877726290197,20.99092785649394,283.79590312531474
2020-12-27,1102.1,1133.0,981.0,1072.25,782674,398167,50.872649404477464,31.198926585681853,232.92325372083727
2021-01-03,1078.0,1090.0,1021.0,1042.6,591981,323354,54.622361190646316,10.774913270918304,178.30089253019094
2021-01-10,1045.0,1109.55,1031.2,1092.9,1145188,607198,53.021687268815256,41.26153753971396,231.32257979900618
2021-01-17,1103.0,1120.0,1073.1,1088.2,861651,515146,59.785922606716646,19.973159980392957,171.53665719228954
2021-01-24,1090.0,1096.95,930.5,939.95,4840702,2812108,58.09297907617531,-31.523500053789455,113.44367811611423
2021-01-31,945.4,979.0,928.0,952.7,2368489,1063927,44.92007351522426,-32.93275726211014,158.3637516313385
2021-02-07,954.7,991.55,928.1,932.7,1648966,808163,49.0102888719355,-74.83674735356007,109.35346275940299
2021-02-14,933.0,971.15,928.8,965.9,2081866,1101150,52.89245321264673,-35.05812551594971,162.24591597204972
2021-02-21,972.25,985.95,894.8,902.4,2015038,1197362,59.4213111613776,-84.57045225985127,102.82460481067211
2021-02-28,891.5,928.8,870.0,920.75,1959714,916251,46.75432231437853,-50.617908674409655,149.57892712505065
2021-03-07,910.1,948.0,908.3,917.0,1931354,1152209,59.658094787387505,-84.12862690510832,89.92083233766314
2021-03-14,917.0,948.0,906.25,939.9,1380119,791482,57.348822818901844,-49.03252096443911,147.269655156565
2021-03-21,937.1,942.7,864.3,887.55,1111058,562583,50.63489034775862,-69.63523782787664,96.63476480880638
2021-03-28,890.1,946.85,888.65,935.65,2081715,1190876,57.2064859983235,-34.44636843371896,153.84125080712988
2021-04-04,943.9,990.0,939.8,987.15,1181598,573678,48.5510300457516,8.59189525225603,202.39228085288147
2021-04-11,987.0,1024.0,945.5,1014.0,2222236,981013,44.145311299069945,41.48999348149923,246.5375921519514
2021-04-18,1021.0,1024.15,955.0,1001.2,1188001,355192,29.898291331404604,51.54256431960706,216.6393008205468
2021-04-25,1001.2,1038.0,973.55,998.05,2331364,572766,24.567849550735108,45.653141890454876,192.0714512698117
2021-05-02,1000.15,1016.4,975.0,985.7,1358875,555545,40.88271548155644,25.903037793084717,151.18873578825526
2021-05-09,988.0,1035.0,935.0,941.7,4998185,1329483,26.59931555154521,2.8680305254465885,124.58942023671005
2021-05-16,942.15,974.7,936.5,939.05,1658242,554776,33.45567172945806,-26.12104628725145,91.133748507252
2021-05-23,942.0,975.0,924.0,956.45,1879876,510509,27.156525217620736,-18.7195619632332,118.29027372487273
2021-05-30,960.0,969.0,941.0,941.9,1260462,449624,35.67136494396499,-52.09776773222907,82.61890878090774
2021-06-06,943.45,967.0,931.1,949.5,1096490,450863,41.11875165300185,-51.06693551808699,123.7376604339096
2021-06-13,952.7,1025.95,942.0,1006.05,3778227,1034042,27.368445569840034,-36.6736434167358,151.10610600374963
2021-06-20,1011.95,1019.45,959.4,976.05,2556900,1099882,43.016230591732175,-55.83574447133762,108.08987541201745
2021-06-27,951.05,1009.0,951.05,981.2,1042649,457216,43.85138239234872,-54.05747443471941,151.94125780436616
2021-07-04,981.0,1006.0,975.0,985.0,1244940,597775,48.01637026684017,-71.09554130359818,199.95762807120633
2021-07-11,993.0,1016.7,972.0,975.65,2095538,1144653,54.62334732178562,-116.79829722831374,145.3342807494207
2021-07-18,985.0,992.0,960.5,968.6,2252852,1261920,56.01433205554559,-144.0052585124358,89.31994869387512
2021-07-25,962.0,967.7,936.05,946.0,958757,338931,35.351084789993706,-157.12927893210167,53.96886390388141
2021-08-01,950.0,950.0,773.8,787.3,9410637,3434485,36.49577600326099,-188.03262614939192,17.47308790062042
2021-08-08,794.7,794.8,775.0,783.05,2143261,929261,43.357341919626215,-196.13475570002925,-25.884254019005795
2021-08-15,785.3,787.0,744.3,770.05,2002568,879459,43.916561135502015,-187.0840358407221,-69.8008151545078
2021-08-22,770.05,777.6,733.0,738.65,1073221,446224,41.57801608429205,-218.12771152697607,-111.37883123879985
2021-08-29,745.0,754.3,720.35,746.15,1176653,409779,34.82581525734435,-200.02239078199437,-76.5530159814555
2021-09-05,749.5,789.85,742.1,774.75,1675321,509971,30.440196237019652,-188.83442336922593,-46.11281974443585
2021-09-12,775.0,786.7,760.15,765.8,733708,220014,29.98658867015216,-206.05835848108364,-76.09940841458801
2021-09-19,765.0,794.55,762.05,778.25,1293702,587349,45.400640951316454,-206.19805276093373,-30.698767463271558
2021-09-26,774.0,839.55,765.25,791.15,3121191,983805,31.520179316164885,-215.74319454577505,0.821411852893327
2021-10-03,789.75,803.6,775.05,788.15,1190854,385598,32.37995589719647,-218.4084448560522,-31.55854404430314
2021-10-10,790.0,807.5,775.35,777.0,1427982,905957,63.44316665056002,-275.3395601863371,-95.00171069486316
2021-10-17,781.1,864.05,775.0,806.6,5322531,1513831,28.441938619051726,-283.5958669050624,-66.55977207581144
2021-10-24,809.5,819.85,762.0,767.75,1311097,628243,47.917354703732826,-321.98773190969536,-114.47712677954426
2021-10-31,762.0,783.5,736.8,777.15,1029128,343958,33.42227594623798,-297.6545973878091,-81.05485083330629
2021-11-07,777.15,785.95,765.05,778.05,542142,295174,54.445883181896995,-284.36875986495414,-26.608967651409294
2021-11-14,779.0,807.0,756.0,780.45,3504850,1317180,37.581636874616606,-285.9162390303795,10.972669223207312
2021-11-21,780.0,794.5,753.6,760.0,1690839,637641,37.71151481601737,-311.8256171802594,-26.73884559281006
2021-11-28,759.0,814.35,724.35,796.6,3882952,753670,19.409717143039625,-300.07195513252987,-7.329128449770433
2021-12-05,796.8,822.0,781.2,807.8,1640148,630343,38.43208051956287,-288.3916169354079,31.102952069792433
2021-12-12,807.8,825.0,790.0,810.65,1855987,643372,34.664682457366354,-282.151974093082,65.76763452715879
2021-12-19,820.1,821.0,743.85,748.1,1557411,313965,20.1594184194153,-300.0903289147652,45.60821610774349
2021-12-26,740.5,793.0,727.15,768.2,2122117,321798,15.164008393505165,-296.34826154355096,60.77222450124865
2022-01-02,764.5,816.0,755.0,801.9,1380490,306566,22.20704242696434,-284.4074256156095,82.979266928213
2022-01-09,802.0,848.55,798.35,817.85,2722767,770505,28.29860212056338,-290.72105796123316,111.27786904877638
