Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,ARCHIDPLY,30.8,30.8,28.55,29.2,17926,13041
2021-08-24,ARCHIDPLY,30.0,30.65,28.8,30.65,12651,9700
2021-08-25,ARCHIDPLY,30.55,31.95,30.05,31.1,44509,3393
2021-08-26,ARCHIDPLY,30.5,32.3,30.5,31.3,4713,2361
2021-08-27,ARCHIDPLY,31.6,31.8,30.2,30.75,13657,5634
2021-08-30,ARCHIDPLY,30.75,32.25,29.95,31.05,59361,25235
2021-08-31,ARCHIDPLY,30.35,31.4,30.3,30.75,7605,3382
2021-09-01,ARCHIDPLY,31.9,31.9,30.1,30.45,13653,8787
2021-09-02,ARCHIDPLY,30.5,30.8,30.05,30.45,15305,12204
2021-09-03,ARCHIDPLY,30.5,30.8,30.1,30.2,11080,7788
2021-09-06,ARCHIDPLY,30.75,30.85,30.2,30.4,14774,9370
2021-09-07,ARCHIDPLY,31.65,31.65,29.65,30.2,8899,5611
2021-09-08,ARCHIDPLY,30.7,31.0,30.05,30.9,16587,11623
2021-09-09,ARCHIDPLY,30.9,31.0,30.4,30.75,8076,4744
2021-09-13,ARCHIDPLY,30.4,31.9,30.4,31.75,20001,16894
2021-09-14,ARCHIDPLY,31.5,32.3,30.9,31.85,13074,6854
2021-09-15,ARCHIDPLY,31.9,32.4,31.25,31.75,15659,11730
2021-09-16,ARCHIDPLY,31.3,32.4,31.3,32.0,12222,8492
2021-09-17,ARCHIDPLY,31.7,32.55,31.0,31.1,14033,9394
2021-09-20,ARCHIDPLY,31.4,32.65,30.55,31.7,16683,11426
2021-09-21,ARCHIDPLY,31.0,31.65,30.55,30.65,11993,8432
2021-09-22,ARCHIDPLY,30.6,31.75,30.55,31.0,10607,5448
2021-09-23,ARCHIDPLY,31.1,31.6,30.6,31.1,34926,27034
2021-09-24,ARCHIDPLY,31.5,31.7,30.9,31.3,13527,7081
2021-09-27,ARCHIDPLY,31.15,31.2,30.3,30.7,10707,7593
2021-09-28,ARCHIDPLY,30.65,31.4,30.65,31.05,15892,14135
2021-09-29,ARCHIDPLY,31.0,31.2,31.0,31.15,6670,6044
2021-09-30,ARCHIDPLY,31.15,31.5,30.75,30.9,11912,7722
2021-10-01,ARCHIDPLY,30.85,32.4,30.7,31.9,26610,18957
2021-10-04,ARCHIDPLY,32.0,33.15,31.7,32.85,23119,17032
2021-10-05,ARCHIDPLY,32.8,33.35,32.25,32.85,9857,7723
2021-10-06,ARCHIDPLY,33.35,34.45,32.1,33.05,30194,20183
2021-10-07,ARCHIDPLY,32.65,34.35,32.65,33.75,15242,10309
2021-10-08,ARCHIDPLY,34.5,34.5,31.95,32.5,30699,22220
2021-10-11,ARCHIDPLY,33.5,35.45,32.5,34.05,42840,25288
2021-10-12,ARCHIDPLY,34.8,34.8,32.9,33.2,7167,4445
2021-10-13,ARCHIDPLY,33.0,33.5,32.5,33.4,12066,10344
2021-10-14,ARCHIDPLY,33.7,33.75,32.6,32.95,11688,10297
2021-10-18,ARCHIDPLY,33.0,33.3,32.2,33.15,30831,24089
2021-10-19,ARCHIDPLY,32.45,33.55,32.45,32.6,15472,11444
2021-10-20,ARCHIDPLY,33.25,33.25,31.3,32.45,20868,14550
2021-10-21,ARCHIDPLY,32.45,33.0,31.6,31.95,10995,9001
2021-10-22,ARCHIDPLY,33.0,33.1,30.2,30.5,23289,17593
2021-10-25,ARCHIDPLY,31.5,32.5,30.3,31.05,5422,2970
2021-10-26,ARCHIDPLY,31.1,32.0,31.0,31.8,11643,9167
2021-10-27,ARCHIDPLY,32.5,32.5,31.2,31.75,11316,7807
2021-10-28,ARCHIDPLY,31.8,32.35,31.0,31.35,7433,6345
2021-10-29,ARCHIDPLY,31.0,32.2,30.5,31.35,29051,16425
2021-11-01,ARCHIDPLY,34.45,34.45,34.45,34.45,32251,32251
2021-11-02,ARCHIDPLY,37.85,37.85,35.55,37.85,139449,72814
2021-11-03,ARCHIDPLY,38.7,40.5,36.0,39.1,349895,198632
2021-11-04,ARCHIDPLY,39.5,41.0,39.2,40.25,54477,44926
2021-11-08,ARCHIDPLY,41.2,41.25,38.25,38.25,73870,52225
2021-11-09,ARCHIDPLY,37.5,38.0,36.75,37.0,29515,21620
2021-11-10,ARCHIDPLY,36.9,38.85,36.75,37.25,42174,27244
2021-11-11,ARCHIDPLY,36.75,39.1,36.75,39.1,71163,62205
2021-11-12,ARCHIDPLY,41.05,41.05,41.05,41.05,61610,61608
2021-11-15,ARCHIDPLY,43.1,43.1,41.0,41.9,175807,131794
2021-11-16,ARCHIDPLY,42.6,42.95,41.0,42.7,61421,46577
2021-11-17,ARCHIDPLY,41.65,42.4,40.6,40.9,38988,27775
2021-11-18,ARCHIDPLY,40.0,41.6,38.9,41.3,71540,45107
2021-11-22,ARCHIDPLY,42.2,43.35,39.55,43.3,162029,128295
2021-11-23,ARCHIDPLY,42.25,44.35,41.15,42.55,112730,52957
2021-11-24,ARCHIDPLY,42.1,44.65,42.1,44.65,54105,31239
2021-11-25,ARCHIDPLY,45.25,46.85,43.05,46.85,74984,58328
2021-11-26,ARCHIDPLY,47.3,48.95,45.65,46.15,129607,75101
2021-11-29,ARCHIDPLY,46.75,48.4,43.85,43.85,92636,52392
2021-11-30,ARCHIDPLY,44.0,45.95,42.45,43.0,76750,35410
2021-12-01,ARCHIDPLY,43.85,45.15,42.2,45.15,86152,35669
2021-12-02,ARCHIDPLY,46.7,47.0,43.2,44.0,154248,70266
2021-12-03,ARCHIDPLY,44.9,44.9,41.8,41.95,94874,60248
2021-12-06,ARCHIDPLY,43.25,43.25,40.95,41.6,56815,32976
2021-12-07,ARCHIDPLY,41.35,42.7,39.7,40.2,62421,38978
2021-12-08,ARCHIDPLY,40.1,42.2,40.1,41.75,36104,22793
2021-12-09,ARCHIDPLY,42.2,43.1,41.1,42.6,36905,17568
2021-12-10,ARCHIDPLY,43.25,43.25,39.8,41.75,49536,28711
2021-12-13,ARCHIDPLY,42.0,43.1,41.0,41.65,45608,25713
2021-12-14,ARCHIDPLY,41.2,42.7,40.55,42.5,24348,14396
2021-12-15,ARCHIDPLY,42.05,42.55,40.25,40.95,25125,17329
2021-12-16,ARCHIDPLY,40.6,41.25,38.65,39.5,67391,39463
2021-12-17,ARCHIDPLY,39.85,41.9,39.85,41.0,26882,17722
2021-12-20,ARCHIDPLY,40.9,42.5,38.4,39.6,91412,51203
2021-12-21,ARCHIDPLY,39.8,41.35,39.7,40.0,33802,7611
2021-12-22,ARCHIDPLY,40.0,40.95,39.7,40.7,10036,5919
2021-12-23,ARCHIDPLY,40.7,41.0,39.55,40.05,8778,7017
2021-12-24,ARCHIDPLY,40.95,40.95,38.5,39.4,24520,14827
