Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,ARCHIES,13.05,13.05,12.5,12.85,38684,24925
2020-08-27,ARCHIES,12.95,13.0,12.6,12.9,29721,20790
2020-08-28,ARCHIES,13.25,13.45,12.4,12.75,137443,68459
2020-08-31,ARCHIES,12.95,12.95,12.25,12.3,46438,39911
2020-09-01,ARCHIES,12.65,12.65,11.8,12.2,29466,18069
2020-09-02,ARCHIES,12.0,12.4,11.9,12.1,17637,13547
2020-09-03,ARCHIES,12.1,12.65,11.9,12.55,25657,17485
2020-09-04,ARCHIES,12.55,12.55,12.1,12.35,29771,18813
2020-09-07,ARCHIES,12.35,12.45,12.25,12.25,16414,13226
2020-09-08,ARCHIES,12.45,12.45,12.0,12.05,24868,21148
2020-09-09,ARCHIES,12.05,12.5,11.5,12.0,34007,17132
2020-09-10,ARCHIES,12.1,12.4,11.55,12.0,64627,28316
2020-09-11,ARCHIES,12.0,12.6,11.75,12.4,97832,50702
2020-09-14,ARCHIES,12.8,12.8,11.8,12.05,38727,23190
2020-09-15,ARCHIES,12.3,12.3,11.85,12.0,17063,14016
2020-09-16,ARCHIES,11.85,12.35,11.85,11.95,22298,18338
2020-09-17,ARCHIES,11.95,12.2,11.95,12.15,9862,8356
2020-09-18,ARCHIES,12.15,12.4,12.0,12.1,13023,8591
2020-09-21,ARCHIES,12.2,12.4,11.8,11.95,30029,24928
2020-09-22,ARCHIES,11.85,11.9,11.65,11.7,14222,10090
2020-09-23,ARCHIES,11.7,12.1,11.55,11.85,10321,7519
2020-09-24,ARCHIES,11.55,11.75,11.45,11.65,12284,9259
2020-09-25,ARCHIES,11.65,11.95,11.5,11.7,20322,14283
2020-09-28,ARCHIES,11.7,12.0,11.7,11.9,28227,20839
2020-09-29,ARCHIES,12.2,12.2,11.6,11.7,12997,8640
2020-09-30,ARCHIES,11.7,11.9,11.6,11.6,8304,7051
2020-10-01,ARCHIES,11.8,12.1,11.65,11.95,23415,19144
2020-10-05,ARCHIES,11.95,12.05,11.65,11.8,18759,14436
2020-10-06,ARCHIES,11.9,12.15,11.7,11.9,28746,20278
2020-10-07,ARCHIES,12.45,12.45,11.85,11.9,11177,8402
2020-10-08,ARCHIES,11.9,11.95,11.65,11.7,16230,12784
2020-10-09,ARCHIES,11.5,11.85,10.65,11.45,33851,30342
2020-10-12,ARCHIES,11.45,11.65,11.25,11.3,24911,21097
2020-10-13,ARCHIES,10.95,11.7,10.9,11.3,8458,6566
2020-10-14,ARCHIES,11.3,11.75,11.25,11.65,13831,12419
2020-10-15,ARCHIES,12.15,12.15,11.7,11.75,8747,5269
2020-10-16,ARCHIES,12.2,12.2,11.4,11.6,5185,4134
2020-10-19,ARCHIES,11.65,11.9,11.2,11.4,11565,7392
2020-10-20,ARCHIES,11.4,11.65,11.3,11.5,5384,3187
2020-10-21,ARCHIES,11.6,11.95,11.2,11.7,18827,15241
2020-10-22,ARCHIES,11.95,12.05,11.25,11.45,10980,7571
2020-10-23,ARCHIES,11.8,12.25,11.5,11.95,31699,25962
2020-10-26,ARCHIES,12.2,12.6,11.65,12.3,64075,56479
2020-10-27,ARCHIES,12.5,12.5,12.0,12.2,10245,7889
2020-10-28,ARCHIES,11.9,13.4,11.05,11.85,56992,26173
2020-10-29,ARCHIES,11.9,12.3,11.65,12.05,7787,4674
2020-10-30,ARCHIES,11.6,12.1,11.6,11.9,1758,1686
2020-11-02,ARCHIES,12.0,12.2,11.6,11.8,17704,12674
2020-11-03,ARCHIES,12.1,12.3,11.4,11.5,30302,22758
2020-11-04,ARCHIES,11.55,11.85,11.25,11.4,41809,36348
2020-11-05,ARCHIES,11.6,11.75,11.35,11.7,16497,11366
2020-11-06,ARCHIES,11.75,11.8,11.4,11.6,13941,11586
2020-11-09,ARCHIES,11.65,12.65,11.6,12.1,183563,104046
2020-11-10,ARCHIES,12.6,12.6,11.85,11.95,23061,17038
2020-11-11,ARCHIES,12.2,12.2,11.55,11.75,37487,31229
2020-11-12,ARCHIES,12.0,12.0,11.6,11.65,17359,13449
2020-11-13,ARCHIES,11.6,11.85,11.4,11.55,61660,56844
2020-11-14,ARCHIES,11.3,12.0,11.3,11.9,33580,25517
2020-11-17,ARCHIES,11.9,12.35,11.65,11.95,70987,61359
2020-11-18,ARCHIES,11.95,12.15,11.7,12.05,29850,24344
2020-11-19,ARCHIES,12.5,12.5,11.8,12.05,50113,40985
2020-11-20,ARCHIES,12.05,12.9,11.8,12.7,187026,139391
2020-11-23,ARCHIES,13.0,13.95,12.5,13.95,350695,296053
2020-11-24,ARCHIES,14.8,15.3,14.45,15.25,1187976,541393
2020-11-25,ARCHIES,15.4,15.5,14.5,14.5,266612,181693
