Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,280.0,288.9,272.65,282.4,672073,323968,48.2042873318821
2020-09-06,284.0,284.8,236.7,262.1,340389,173922,51.095070639768025
2020-09-13,263.9,265.0,243.65,258.1,166181,95607,57.53184780450232
2020-09-20,255.0,272.1,251.0,267.95,323596,158861,49.09238680329794
2020-09-27,271.9,278.55,238.95,253.95,282324,130172,46.10730933253992
2020-10-04,253.95,262.05,250.0,259.8,117622,54425,46.27110574552379
2020-10-11,261.3,264.5,242.55,250.55,152307,67306,44.191008949030575
2020-10-18,254.5,254.5,238.0,244.75,107578,50880,47.29591552176095
2020-10-25,247.25,259.9,240.15,257.65,160677,72179,44.92179963529316
2020-11-01,259.9,260.0,236.65,242.15,88335,40397,45.73158997000056
2020-11-08,242.15,252.05,239.0,250.75,77830,39174,50.332776564306826
2020-11-15,251.25,270.0,249.1,264.5,237375,138627,58.4
2020-11-22,265.0,298.0,263.25,282.6,466492,232214,49.77877434125344
2020-11-29,286.8,295.0,275.0,282.2,275874,121515,44.04728245503382
2020-12-06,281.3,309.0,279.45,298.65,366115,178855,48.85213662373844
2020-12-13,302.95,310.2,290.4,293.55,226075,109837,48.584319363043235
2020-12-20,300.0,303.2,285.35,293.6,194172,107932,55.58576931792432
2020-12-27,295.0,304.0,274.85,299.2,383563,203010,52.927420006622114
2021-01-03,303.5,330.0,302.25,325.6,662708,348665,52.612161012089786
2021-01-10,333.0,343.0,315.4,321.45,523529,254247,48.56407190432622
2021-01-17,325.0,344.0,324.25,326.05,298827,152179,50.92545185006709
2021-01-24,326.1,329.9,283.8,317.8,306038,203821,66.59989935890314
2021-01-31,321.3,321.3,300.45,308.9,169977,87680,51.58344952552404
2021-02-07,309.9,331.5,304.85,328.15,362023,203096,56.10030301942142
2021-02-14,330.0,370.2,318.0,363.75,863345,441778,51.17050541788045
2021-02-21,385.55,385.55,347.05,350.6,622290,341732,54.91523244789407
2021-02-28,345.35,368.0,340.0,349.85,206549,125187,60.608862788006725
2021-03-07,359.7,369.0,349.1,363.05,248910,157383,63.22887790767747
2021-03-14,369.6,390.0,362.0,386.3,330707,195269,59.04592282594563
2021-03-21,387.85,420.0,382.05,412.75,623228,316968,50.859075651286524
2021-03-28,416.6,441.5,402.0,420.45,410364,254553,62.03102611340176
2021-04-04,425.0,449.5,415.35,441.1,304341,198494,65.22091995491898
2021-04-11,439.4,460.0,428.65,440.1,472196,215166,45.56709501986463
2021-04-18,430.0,433.0,396.1,408.3,236248,118623,50.211218719311915
2021-04-25,405.0,411.25,391.25,406.9,165881,104465,62.975868242897015
2021-05-02,406.9,434.5,405.0,412.0,314414,181041,57.580451252170704
2021-05-09,412.0,425.0,403.35,417.85,162126,102555,63.25635616742533
2021-05-16,420.0,422.95,406.25,413.3,167525,106213,63.40128339053872
2021-05-23,419.0,449.4,418.8,431.25,239466,139192,58.125997010013954
2021-05-30,435.0,469.95,435.0,464.55,387417,225935,58.31829785476631
2021-06-06,455.0,455.0,425.0,441.55,609278,362137,59.437071418958176
2021-06-13,440.0,474.0,438.0,457.7,375113,193921,51.696688731129015
2021-06-20,458.5,509.8,442.45,497.0,1271456,424895,33.41798693780988
2021-06-27,485.0,510.0,475.0,481.35,519206,217164,41.82617304114359
2021-07-04,488.0,505.0,481.0,501.45,356190,167349,46.9830708329824
2021-07-11,510.0,516.0,482.05,484.9,261654,132552,50.65926758237978
2021-07-18,484.9,489.55,470.0,473.55,325882,218648,67.09422428977359
2021-07-25,476.95,482.95,449.45,468.55,227914,111682,49.00181647463517
2021-08-01,468.55,480.0,458.05,476.15,181639,91376,50.30637693446892
2021-08-08,481.0,486.45,430.2,460.5,636782,311886,48.97845730563992
2021-08-15,465.0,479.9,440.0,461.6,295213,140989,47.758398173522174
2021-08-22,459.95,468.35,438.2,441.5,232984,106461,45.69455413247262
2021-08-29,443.0,466.0,415.0,433.85,194909,101524,52.08789742905664
2021-09-05,439.0,461.0,432.05,452.85,268992,131226,48.78435046395432
2021-09-12,455.9,458.05,436.0,443.35,124683,63783,51.15613195062679
2021-09-19,445.0,451.05,435.0,438.35,262287,123936,47.25205595397408
2021-09-26,436.0,442.75,416.3,423.35,460794,240960,52.29234755660881
2021-10-03,433.75,457.0,413.95,444.45,526903,286151,54.308098454554255
2021-10-10,448.5,558.9,442.05,546.15,2179650,924203,42.40144059826119
2021-10-17,550.9,653.65,548.4,595.05,1836571,603061,32.83624755046225
2021-10-24,594.4,620.0,520.0,565.5,605763,315900,52.149107819394715
2021-10-31,562.0,568.95,522.15,539.65,545668,193090,35.3859856176283
2021-11-07,546.8,597.75,535.1,591.1,553232,211156,38.16771264135119
2021-11-14,600.0,610.0,555.0,575.4,636762,237093,37.23416284263194
2021-11-21,588.0,588.0,539.2,568.15,482002,136691,28.35901095846075
2021-11-28,575.0,575.0,519.05,521.45,304865,134359,44.07163826611779
2021-12-05,505.8,530.0,492.0,524.3,322434,107610,33.37427194402575
2021-12-12,528.7,535.6,504.65,525.75,168850,67248,39.82706544270062
2021-12-19,528.0,540.0,478.65,486.15,144117,70959,49.23707820728991
2021-12-26,477.05,511.45,459.1,493.45,252253,103084,40.86532172065347
2022-01-02,510.0,513.9,490.0,507.95,161997,74848,46.20332475292752
2022-01-09,504.25,515.9,500.0,513.75,24151,13684,56.660179702703815
