Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,ASTRAZEN,3099.0,3130.9,3055.4,3091.1,20949,7227
2021-08-24,ASTRAZEN,3106.6,3140.0,3076.15,3085.45,18065,6561
2021-08-25,ASTRAZEN,3086.0,3138.75,3080.75,3099.6,12918,4396
2021-08-26,ASTRAZEN,3099.0,3114.8,3061.0,3075.85,8826,4148
2021-08-27,ASTRAZEN,3098.9,3098.9,3053.0,3056.35,15507,9728
2021-08-30,ASTRAZEN,3076.0,3153.0,3061.05,3107.2,22094,9595
2021-08-31,ASTRAZEN,3109.8,3133.25,3100.05,3106.45,8569,3978
2021-09-01,ASTRAZEN,3110.0,3186.9,3110.0,3147.65,19729,7200
2021-09-02,ASTRAZEN,3174.0,3222.0,3151.2,3188.7,24215,12604
2021-09-03,ASTRAZEN,3190.0,3250.0,3190.0,3196.65,28578,9535
2021-09-06,ASTRAZEN,3202.0,3244.0,3202.0,3218.3,16498,7193
2021-09-07,ASTRAZEN,3229.0,3241.15,3191.6,3217.45,14956,6521
2021-09-08,ASTRAZEN,3224.95,3228.45,3150.0,3174.5,11194,5305
2021-09-09,ASTRAZEN,3197.85,3197.85,3101.7,3117.9,17859,9829
2021-09-13,ASTRAZEN,3120.0,3154.4,3091.05,3101.0,14264,7954
2021-09-14,ASTRAZEN,3101.0,3142.0,3101.0,3136.6,13880,6444
2021-09-15,ASTRAZEN,3140.0,3166.0,3131.45,3140.4,14790,6610
2021-09-16,ASTRAZEN,3149.8,3168.0,3135.75,3147.95,10897,5362
2021-09-17,ASTRAZEN,3165.9,3165.9,3120.15,3139.9,10140,4953
2021-09-20,ASTRAZEN,3134.0,3164.8,3105.05,3117.4,9590,3996
2021-09-21,ASTRAZEN,3133.0,3185.0,3085.05,3098.3,20429,8863
2021-09-22,ASTRAZEN,3100.05,3134.85,3091.35,3097.1,13502,5988
2021-09-23,ASTRAZEN,3108.0,3123.3,3091.0,3097.95,13452,7422
2021-09-24,ASTRAZEN,3098.0,3119.9,3075.0,3082.65,9787,5616
2021-09-27,ASTRAZEN,3140.0,3148.75,3102.7,3119.15,12468,5362
2021-09-28,ASTRAZEN,3131.0,3140.0,3090.3,3108.2,9613,4288
2021-09-29,ASTRAZEN,3105.0,3200.0,3100.05,3146.7,49874,12569
2021-09-30,ASTRAZEN,3158.6,3158.7,3087.0,3089.6,18703,10306
2021-10-01,ASTRAZEN,3091.0,3144.3,3080.0,3097.85,14420,5856
2021-10-04,ASTRAZEN,3116.35,3135.0,3086.0,3095.9,13542,6931
2021-10-05,ASTRAZEN,3120.05,3120.25,3101.35,3112.6,7047,4063
2021-10-06,ASTRAZEN,3112.6,3153.1,3085.0,3092.7,18497,8142
2021-10-07,ASTRAZEN,3099.8,3123.25,3081.05,3102.9,17249,8379
2021-10-08,ASTRAZEN,3110.0,3136.15,3110.0,3128.5,12294,7787
2021-10-11,ASTRAZEN,3139.0,3160.0,3120.0,3146.7,18745,10932
2021-10-12,ASTRAZEN,3149.8,3197.0,3140.0,3163.25,18605,9176
2021-10-13,ASTRAZEN,3179.1,3187.25,3126.2,3150.35,15810,8311
2021-10-14,ASTRAZEN,3150.0,3168.3,3148.0,3150.95,12946,7739
2021-10-18,ASTRAZEN,3150.95,3156.6,3102.0,3109.05,15968,9902
2021-10-19,ASTRAZEN,3114.95,3120.0,3080.0,3082.45,14253,7352
2021-10-20,ASTRAZEN,3080.0,3131.35,3055.0,3061.7,18230,8246
2021-10-21,ASTRAZEN,3077.05,3079.95,3040.2,3053.8,12558,6835
2021-10-22,ASTRAZEN,3053.8,3089.7,3030.0,3039.9,14393,5837
2021-10-25,ASTRAZEN,3054.8,3055.1,3000.0,3001.9,15081,6607
2021-10-26,ASTRAZEN,3005.0,3039.9,3000.65,3013.15,11130,4372
2021-10-27,ASTRAZEN,3024.8,3120.0,3011.0,3032.45,15256,4671
2021-10-28,ASTRAZEN,3026.4,3045.8,2980.25,3012.0,15763,8253
2021-10-29,ASTRAZEN,3019.95,3033.15,2977.0,3007.1,12912,5762
2021-11-01,ASTRAZEN,3025.8,3073.55,2985.85,3042.5,19303,5639
2021-11-02,ASTRAZEN,3049.8,3053.85,3005.0,3019.4,7025,3662
2021-11-03,ASTRAZEN,3020.0,3026.85,2996.15,3003.85,6019,2827
2021-11-04,ASTRAZEN,3028.55,3055.0,3005.0,3050.35,4281,2877
2021-11-08,ASTRAZEN,3035.25,3060.25,2994.25,3005.65,14659,8842
2021-11-09,ASTRAZEN,3028.5,3043.1,3023.5,3028.85,9089,4220
2021-11-10,ASTRAZEN,2998.0,3098.9,2975.0,3084.65,59029,18635
2021-11-11,ASTRAZEN,3099.0,3100.0,3060.0,3070.65,11182,6908
2021-11-12,ASTRAZEN,3070.0,3106.05,3036.1,3073.1,13347,5909
2021-11-15,ASTRAZEN,3075.0,3089.0,3010.0,3042.35,10035,5680
2021-11-16,ASTRAZEN,3049.9,3072.0,3049.9,3061.3,7952,5147
2021-11-17,ASTRAZEN,3069.0,3120.0,3050.0,3095.25,11807,8213
2021-11-18,ASTRAZEN,3100.0,3119.1,3059.05,3098.75,20261,12001
2021-11-22,ASTRAZEN,3100.0,3110.85,2981.0,3001.85,16606,9268
2021-11-23,ASTRAZEN,3016.9,3016.9,2958.2,2981.05,9433,5194
2021-11-24,ASTRAZEN,2999.0,3075.0,2985.0,3054.55,10111,6345
2021-11-25,ASTRAZEN,3054.55,3074.1,3029.25,3036.9,6999,3414
2021-11-26,ASTRAZEN,3030.0,3272.0,3030.0,3180.85,216765,41822
2021-11-29,ASTRAZEN,3280.85,3349.0,3210.05,3249.05,117820,29792
2021-11-30,ASTRAZEN,3250.0,3250.0,3126.35,3137.15,33861,13141
2021-12-01,ASTRAZEN,3170.0,3232.0,3090.0,3103.8,22582,7142
2021-12-02,ASTRAZEN,3100.0,3154.0,3078.65,3106.85,17157,5159
2021-12-03,ASTRAZEN,3124.2,3124.2,3080.0,3093.05,12951,5533
2021-12-06,ASTRAZEN,3099.0,3150.0,3080.1,3096.65,13163,5469
2021-12-07,ASTRAZEN,3094.5,3119.0,3071.2,3096.45,10701,4493
2021-12-08,ASTRAZEN,3109.8,3119.65,3071.05,3077.3,9730,4874
2021-12-09,ASTRAZEN,3108.0,3133.15,3081.0,3089.8,12420,3635
2021-12-10,ASTRAZEN,3098.0,3166.25,3092.2,3141.5,17524,6380
2021-12-13,ASTRAZEN,3155.0,3168.4,3050.0,3052.5,38616,27204
2021-12-14,ASTRAZEN,3082.3,3100.0,3047.5,3054.7,13228,4669
2021-12-15,ASTRAZEN,3080.95,3105.2,3040.25,3091.15,12406,6831
2021-12-16,ASTRAZEN,3104.0,3105.0,3062.75,3088.65,6028,2806
2021-12-17,ASTRAZEN,3094.95,3108.6,3050.0,3057.3,10537,6249
2021-12-20,ASTRAZEN,3057.0,3057.0,2972.0,2989.55,17055,9806
2021-12-21,ASTRAZEN,3013.75,3100.0,2980.3,3027.95,23887,6058
2021-12-22,ASTRAZEN,3015.0,3058.1,3010.75,3028.9,7219,2712
2021-12-23,ASTRAZEN,3047.7,3119.4,3022.25,3042.95,20121,3467
2021-12-24,ASTRAZEN,3058.2,3076.6,3025.0,3034.45,7162,2523
2021-12-27,ASTRAZEN,3047.65,3076.5,3011.0,3022.0,7326,2368
2021-12-28,ASTRAZEN,3033.55,3050.0,3007.85,3022.85,8183,3649
2021-12-29,ASTRAZEN,3025.0,3048.4,3000.25,3018.05,5585,2706
2021-12-30,ASTRAZEN,3018.25,3041.35,3006.0,3018.55,7082,3175
2021-12-31,ASTRAZEN,3024.95,3111.2,3015.05,3098.25,33386,9835
2022-01-03,ASTRAZEN,3099.0,3122.35,3072.15,3081.25,9852,4508
2022-01-04,ASTRAZEN,3085.0,3097.95,3030.0,3052.3,12251,7058
2022-01-05,ASTRAZEN,3050.0,3080.0,3040.0,3042.7,12241,4111
2022-01-06,ASTRAZEN,3060.0,3060.7,3011.1,3018.7,9422,5256
2022-01-07,ASTRAZEN,3026.2,3034.75,3001.3,3013.9,10897,5809
2022-01-10,ASTRAZEN,3019.95,3048.0,3005.0,3010.6,20147,11081
2022-01-11,ASTRAZEN,3030.0,3036.85,3000.75,3016.7,15545,8137
2022-01-12,ASTRAZEN,3029.0,3036.0,3011.0,3023.6,10261,6737
2022-01-13,ASTRAZEN,3036.0,3157.9,3017.95,3089.25,46817,13628
2022-01-14,ASTRAZEN,3108.0,3119.7,3050.0,3063.9,7980,4177
2022-01-17,ASTRAZEN,3063.0,3079.2,3010.0,3018.55,15885,9304
2022-01-18,ASTRAZEN,3033.65,3036.0,3000.0,3002.55,14078,8001
2022-01-19,ASTRAZEN,3006.0,3035.1,3000.0,3020.3,13084,6464
