Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,202.85,210.4,194.6,199.1,465335,235264,50.5579851075032,-21.75913283107735,50.5579851075032
2020-09-06,200.6,202.4,182.6,191.25,336530,148251,44.05283332838083,-27.32135926142846,6.505151779122372
2020-09-13,191.3,194.4,185.35,189.2,124504,58270,46.801709182034315,-34.30282969189777,-40.296557402911944
2020-09-20,190.1,204.0,189.1,192.25,320390,95723,29.877024875932456,-51.54728700283863,-10.419532526979488
2020-09-27,192.05,193.3,170.95,179.7,160681,76453,47.580610028565914,-61.87238582335521,-58.0001425555454
2020-10-04,180.65,183.5,177.0,178.05,123740,64178,51.8652012283821,-96.98113742410598,-109.8653437839275
2020-10-11,179.75,186.7,176.9,180.95,155364,61500,39.58445972039855,-103.8478294164201,-70.28088406352896
2020-10-18,183.0,194.0,167.0,187.5,299024,104268,34.8694419177056,-85.76737805168386,-35.41144214582336
2020-10-25,187.95,194.0,176.6,192.05,391226,170552,43.59423964664925,-51.94426108445594,8.182797500825892
2020-11-01,193.5,196.45,180.5,182.55,159617,57422,35.97486483269326,-78.67166849934084,-27.792067331867365
2020-11-08,180.0,182.0,172.0,179.7,147357,86739,58.86316903845762,-46.88555721857386,-86.65523637032499
2020-11-15,186.85,192.0,166.95,177.4,304492,112261,36.86829210619655,-52.993477866905785,-123.52352847652153
2020-11-22,177.4,186.05,177.0,183.5,139747,60786,43.497177041367614,-34.00852214166807,-80.02635143515391
2020-11-29,185.3,210.0,181.75,199.6,1338035,358679,26.8063989357528,-26.939224015248314,-53.21995249940112
2020-12-06,199.6,208.0,192.5,200.2,557343,207446,37.220526677467916,-27.17935644542558,-15.999425821933201
2020-12-13,200.2,237.0,196.0,220.3,1826985,567225,31.04705293146906,-21.42429297520203,15.04762710953586
2020-12-20,222.95,244.45,210.0,216.95,1159772,436333,37.62230852270964,-43.86662795754408,-22.574681413173778
2020-12-27,217.0,224.0,188.0,219.65,642117,238874,37.20100853894228,-15.655863148846173,14.626327125768505
2021-01-03,223.0,228.0,212.05,215.55,454920,182506,40.11826255165744,-38.16736470604579,-25.491935425888933
