Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,BANKBARODA,48.55,49.1,48.15,48.45,24378055,4050023
2020-08-27,BANKBARODA,48.8,49.5,48.55,48.7,34037255,7413109
2020-08-28,BANKBARODA,49.05,52.2,48.9,51.6,101656705,25601111
2020-08-31,BANKBARODA,53.5,53.95,48.05,48.95,54489680,13710168
2020-09-01,BANKBARODA,49.5,49.8,46.85,47.55,43888630,7268265
2020-09-02,BANKBARODA,47.8,48.25,46.7,47.25,32628864,6644555
2020-09-03,BANKBARODA,47.8,47.95,47.05,47.3,20869935,3688048
2020-09-04,BANKBARODA,46.7,47.05,45.75,45.9,37394928,10539601
2020-09-07,BANKBARODA,46.0,46.5,45.0,46.2,30300185,5016615
2020-09-08,BANKBARODA,46.3,46.45,45.05,45.25,26695546,5522248
2020-09-09,BANKBARODA,44.8,44.8,43.8,44.35,19912040,5710039
2020-09-10,BANKBARODA,44.8,45.8,44.6,45.6,17529918,3860289
2020-09-11,BANKBARODA,45.5,46.1,45.3,45.95,13134359,3410544
2020-09-14,BANKBARODA,46.15,46.65,46.0,46.15,15548159,4302910
2020-09-15,BANKBARODA,46.25,46.7,45.65,46.55,12525342,3198255
2020-09-16,BANKBARODA,46.55,46.7,45.85,46.45,10519165,3624982
2020-09-17,BANKBARODA,45.8,46.3,45.5,45.6,12133544,5184248
2020-09-18,BANKBARODA,45.85,45.9,44.9,45.05,14231696,4735587
2020-09-21,BANKBARODA,45.3,45.3,42.5,42.85,23385146,7067410
2020-09-22,BANKBARODA,42.65,42.95,40.85,42.3,26903199,2523656
2020-09-23,BANKBARODA,42.7,42.8,40.85,41.55,23937793,3734179
2020-09-24,BANKBARODA,40.75,41.2,39.65,39.85,21990482,5188558
2020-09-25,BANKBARODA,40.2,41.85,39.5,41.55,21522723,2755843
2020-09-28,BANKBARODA,42.1,43.45,41.65,43.35,21365403,2845969
2020-09-29,BANKBARODA,43.4,43.6,40.7,41.35,31387377,4057526
2020-09-30,BANKBARODA,41.65,41.65,40.3,41.05,32131398,1674030
2020-10-01,BANKBARODA,41.35,42.6,41.35,41.95,21969216,2511758
