Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,BHANDARI,1.25,1.3,1.25,1.3,102054
2020-08-20,BHANDARI,1.3,1.35,1.25,1.3,164812
2020-08-21,BHANDARI,1.3,1.35,1.25,1.35,96485
2020-08-24,BHANDARI,1.3,1.35,1.25,1.3,208868
2020-08-25,BHANDARI,1.35,1.35,1.25,1.3,52802
2020-08-26,BHANDARI,1.35,1.35,1.25,1.3,128356
2020-08-27,BHANDARI,1.25,1.3,1.25,1.3,173497
2020-08-28,BHANDARI,1.3,1.3,1.2,1.3,195860
2020-08-31,BHANDARI,1.3,1.3,1.2,1.25,186529
2020-09-01,BHANDARI,1.2,1.25,1.15,1.2,123352
2020-09-02,BHANDARI,1.2,1.25,1.15,1.2,25507
2020-09-03,BHANDARI,1.2,1.25,1.2,1.25,55796
2020-09-04,BHANDARI,1.25,1.25,1.2,1.25,40422
2020-09-07,BHANDARI,1.2,1.25,1.15,1.15,118409
2020-09-08,BHANDARI,1.15,1.2,1.15,1.2,101133
2020-09-09,BHANDARI,1.2,1.2,1.15,1.2,61461
2020-09-10,BHANDARI,1.2,1.2,1.15,1.2,61726
2020-09-11,BHANDARI,1.2,1.2,1.1,1.2,150941
2020-09-14,BHANDARI,1.2,1.2,1.15,1.2,100531
2020-09-15,BHANDARI,1.2,1.2,1.15,1.2,68401
2020-09-16,BHANDARI,1.15,1.2,1.1,1.15,311743
2020-09-17,BHANDARI,1.1,1.15,1.1,1.15,78115
2020-09-18,BHANDARI,1.15,1.15,1.1,1.1,84735
2020-09-21,BHANDARI,1.1,1.1,1.05,1.05,238835
2020-09-22,BHANDARI,1.05,1.1,1.0,1.0,83134
2020-09-23,BHANDARI,1.0,1.05,1.0,1.05,39231
2020-09-24,BHANDARI,1.05,1.05,1.0,1.0,71620
2020-09-25,BHANDARI,1.0,1.05,1.0,1.05,25329
2020-09-28,BHANDARI,1.05,1.1,1.0,1.1,102758
2020-09-29,BHANDARI,1.1,1.1,1.05,1.05,38166
2020-09-30,BHANDARI,1.05,1.1,1.05,1.05,46578
2020-10-01,BHANDARI,1.1,1.1,1.0,1.05,208994
2020-10-05,BHANDARI,1.1,1.1,1.0,1.0,143192
2020-10-06,BHANDARI,1.05,1.05,1.0,1.0,102069
2020-10-07,BHANDARI,1.05,1.05,1.0,1.0,10412
2020-10-08,BHANDARI,1.0,1.2,1.0,1.15,456355
2020-10-09,BHANDARI,1.2,1.2,1.1,1.15,158199
2020-10-12,BHANDARI,1.2,1.2,1.1,1.1,172202
2020-10-13,BHANDARI,1.1,1.15,1.1,1.1,93365
