Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,492.8,522.1,491.15,502.25,18577361,4445249,23.928312530504197
2020-09-06,506.0,512.7,476.0,488.65,14109819,2481042,17.583797495914016
2020-09-13,493.1,495.65,454.35,463.4,10532416,3110750,29.535008871658697
2020-09-20,465.25,487.55,465.0,479.35,12543822,4531852,36.12815934409784
2020-09-27,479.35,483.8,427.5,444.9,10531458,3688853,35.026992463911455
2020-10-04,452.0,459.35,444.1,448.15,4960436,1547769,31.202277380456074
2020-10-11,458.05,478.0,454.4,465.8,12116287,2868062,23.671129612562
2020-10-18,468.0,476.75,439.5,452.5,11798063,2722000,23.07158386931821
2020-10-25,455.2,498.75,445.75,495.1,13265875,3829099,28.8642777050138
2020-11-01,495.1,495.9,447.25,451.3,10754385,2753588,25.604327909034314
2020-11-08,454.0,486.85,445.0,477.05,10729443,2499129,23.292252915645296
2020-11-15,480.6,539.65,478.0,484.15,22727618,4865755,21.408996754521308
2020-11-22,488.0,518.0,486.5,497.3,12362892,3483091,28.17375578464974
2020-11-29,500.6,525.7,491.2,508.35,15768567,4560548,28.92176568739569
2020-12-06,513.5,565.5,499.3,551.95,19321482,5343397,27.655212990390698
2020-12-13,555.8,562.0,535.0,552.2,14710829,4029222,27.389496540269757
2020-12-20,555.0,567.25,538.3,555.65,13360311,3908612,29.255396824220636
2020-12-27,550.0,554.95,492.1,526.6,14744901,2894715,19.63197311395987
2021-01-03,530.0,540.0,513.35,538.1,7092635,1671013,23.559833545642768
2021-01-10,546.5,606.0,534.2,603.3,22592360,3485803,15.42912294244603
2021-01-17,604.0,676.9,597.9,613.55,26764720,4223392,15.779698050269161
2021-01-24,612.55,644.5,579.25,629.4,16043568,3667470,22.859441241499397
2021-01-31,635.3,636.0,562.0,583.8,10723590,2152038,20.06826072238868
2021-02-07,587.0,668.0,576.5,617.9,14446510,4024640,27.85890848377913
2021-02-14,621.0,666.65,620.0,640.1,17573872,3618906,20.592536465498327
2021-02-21,635.55,653.4,595.05,603.0,14448296,3314653,22.94148043478622
2021-02-28,603.8,623.7,583.6,610.05,15701947,5142648,32.751658122397174
2021-03-07,619.6,650.0,611.3,617.7,12622955,3320390,26.30437960049766
2021-03-14,627.0,641.95,605.7,616.6,7526573,1475250,19.60055393071986
2021-03-21,619.0,623.75,579.75,600.05,9784020,2677103,27.361994354058965
2021-03-28,591.0,607.95,568.3,587.25,10093134,3631728,35.982163716443274
2021-04-04,593.0,616.0,588.35,613.35,3117775,1044183,33.4912878575266
2021-04-11,612.95,626.9,588.85,610.25,6217005,1423975,22.904517528938772
2021-04-18,600.0,600.0,559.0,586.75,6785829,1819513,26.813422501510132
2021-04-25,562.0,597.7,555.75,582.35,10060628,3234618,32.151253381001666
2021-05-02,584.8,621.0,568.5,610.4,12781057,3658901,28.627530571219577
2021-05-09,602.55,654.05,598.6,636.8,12532650,2564255,20.460596920842757
2021-05-16,640.7,672.45,640.05,648.25,9715887,2606645,26.828687900548864
2021-05-23,650.0,689.0,642.0,644.65,13526639,3176291,23.481745908943086
2021-05-30,648.7,694.85,646.8,677.55,12969143,3493560,26.93747767296575
2021-06-06,678.0,758.65,660.1,750.9,32077302,5095087,15.883776634331653
2021-06-13,788.45,790.9,744.15,747.9,23380202,6602102,28.23800239193827
2021-06-20,750.0,751.0,706.6,726.85,9921753,3698232,37.27397769325642
2021-06-27,711.5,751.5,711.5,741.4,9186648,3092389,33.66177739693521
2021-07-04,742.75,779.95,735.8,771.9,10679566,3224830,30.196264529850747
2021-07-11,776.0,820.0,759.5,808.0,14605696,2496511,17.09272190794605
2021-07-18,810.0,832.0,803.2,807.35,7419195,2356573,31.76318994176592
2021-07-25,804.0,819.6,786.4,788.9,4142706,1881223,45.410487734345615
2021-08-01,788.0,794.9,766.95,771.65,4875263,2052216,42.09446751898308
2021-08-08,777.25,820.0,771.0,779.6,8237889,2963587,35.97507808129
2021-08-15,784.0,844.8,746.0,819.7,24041805,3934780,16.366408428984432
2021-08-22,823.65,833.5,747.0,752.85,9761081,3128281,32.04850979107744
2021-08-29,762.0,773.3,717.0,729.45,10066436,4099254,40.72199932528255
2021-09-05,732.65,811.45,732.65,791.3,15580863,4527860,29.060392867840505
2021-09-12,799.95,804.9,758.55,773.85,5664147,2338214,41.28095545542868
2021-09-19,777.0,794.95,756.05,761.55,7880942,3764367,47.76544479073694
2021-09-26,760.0,774.9,727.2,749.8,10123787,4960750,49.00093216105791
2021-10-03,749.8,793.0,721.0,727.6,14266182,6623613,46.42877120171325
2021-10-10,730.0,771.0,717.3,758.6,13822468,6551905,47.40039911830507
2021-10-17,764.0,817.0,762.55,801.0,11036191,4926678,44.64110851289181
2021-10-24,818.0,818.0,761.85,787.6,10561016,4633068,43.86952921953721
2021-10-31,790.0,799.85,748.3,767.15,5356463,1671526,31.205778888046087
2021-11-07,767.05,794.0,767.05,781.35,2770460,926436,33.43978978220223
2021-11-14,782.0,847.95,765.6,775.05,20742694,6968285,33.593924684999934
2021-11-21,775.5,825.0,768.25,778.75,12792437,4712696,36.83970458482618
2021-11-28,782.0,782.0,691.0,698.15,12428598,6135670,49.36735422611625
2021-12-05,690.0,719.0,678.85,703.75,9713028,4343127,44.714449500197055
2021-12-12,684.8,735.2,681.1,729.95,5868364,1833677,31.246817682066073
