Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,BIOCON,388.2,394.45,386.55,392.35,3691062,695935
2020-08-27,BIOCON,394.7,397.0,390.6,391.35,3531298,821897
2020-08-28,BIOCON,391.85,393.65,388.0,391.55,2849943,663677
2020-08-31,BIOCON,393.8,397.9,372.25,376.15,7035041,2136695
2020-09-01,BIOCON,382.45,408.0,379.0,405.35,17386465,3205346
2020-09-02,BIOCON,405.5,413.4,402.05,411.25,9366591,2437494
2020-09-03,BIOCON,412.0,426.5,410.55,425.35,10173157,2861758
2020-09-04,BIOCON,421.7,434.4,418.45,420.95,12330441,1926283
2020-09-07,BIOCON,420.95,424.3,415.4,422.0,3966218,853958
2020-09-08,BIOCON,421.25,424.55,413.9,415.8,2994233,1074172
2020-09-09,BIOCON,410.0,432.0,409.7,427.9,9364809,1848936
2020-09-10,BIOCON,430.6,433.9,425.0,430.65,3975287,963546
2020-09-11,BIOCON,430.45,439.65,427.35,433.1,5770700,873718
2020-09-14,BIOCON,435.3,440.0,426.35,430.0,2912856,683847
2020-09-15,BIOCON,430.0,445.0,429.0,440.05,6044433,1254918
2020-09-16,BIOCON,440.05,453.9,434.55,438.65,10058926,1232439
2020-09-17,BIOCON,439.0,444.85,432.55,442.2,4431118,489316
2020-09-18,BIOCON,442.75,463.9,442.75,454.0,11410425,2356631
2020-09-21,BIOCON,453.95,453.95,425.35,429.35,4258326,730850
2020-09-22,BIOCON,429.15,431.65,413.5,422.05,4813418,1198868
2020-09-23,BIOCON,424.6,429.0,418.2,423.9,2537774,197189
2020-09-24,BIOCON,421.6,423.4,406.1,408.25,2881986,544656
2020-09-25,BIOCON,414.65,430.55,410.5,428.0,4535634,1206492
2020-09-28,BIOCON,430.0,452.2,428.1,450.4,7268448,2378756
2020-09-29,BIOCON,452.0,462.8,449.15,455.5,8425414,2618642
2020-09-30,BIOCON,455.5,463.5,444.6,447.7,4767307,401177
2020-10-01,BIOCON,450.55,456.95,444.3,452.65,2796965,339472
2020-10-05,BIOCON,453.6,460.0,448.0,458.35,2454225,381433
2020-10-06,BIOCON,461.1,469.25,455.5,457.8,4423127,437720
2020-10-07,BIOCON,457.75,463.1,448.5,452.15,2382861,369177
2020-10-08,BIOCON,453.0,473.75,451.15,469.15,4296616,1040961
2020-10-09,BIOCON,473.5,478.0,449.5,451.9,8233144,1103494
2020-10-12,BIOCON,452.0,463.65,443.85,462.65,6012803,935520
2020-10-13,BIOCON,461.9,464.45,450.5,451.5,3674721,544015
2020-10-14,BIOCON,452.0,453.45,444.65,446.7,3073379,586083
2020-10-15,BIOCON,448.05,451.0,431.4,433.45,3403035,591804
2020-10-16,BIOCON,435.0,449.5,434.05,447.9,4502795,761311
2020-10-19,BIOCON,448.5,448.5,434.3,437.9,3027835,929501
2020-10-20,BIOCON,438.9,444.15,437.1,439.8,2325637,217431
2020-10-21,BIOCON,439.05,443.5,432.5,439.6,2393158,297367
2020-10-22,BIOCON,441.25,441.8,427.35,429.65,3242065,717187
2020-10-23,BIOCON,420.05,430.5,415.7,417.2,7474787,1401951
2020-10-26,BIOCON,419.0,419.75,389.75,402.55,9674843,2230145
2020-10-27,BIOCON,401.25,415.0,401.25,413.6,6337477,2369744
2020-10-28,BIOCON,411.25,416.5,405.0,406.45,3214903,903165
2020-10-29,BIOCON,402.55,408.85,399.0,403.2,2353631,547692
2020-10-30,BIOCON,404.3,408.6,398.1,403.6,3090935,565614
2020-11-02,BIOCON,403.6,407.0,395.6,404.15,2582524,704162
2020-11-03,BIOCON,404.2,412.8,401.6,406.9,4350062,1373194
2020-11-04,BIOCON,406.95,411.9,402.35,410.5,2700433,609679
2020-11-05,BIOCON,413.0,415.0,406.4,413.3,3442421,979380
2020-11-06,BIOCON,415.0,416.9,409.8,414.8,2844165,942826
2020-11-09,BIOCON,430.0,430.0,413.3,416.0,6594973,1969564
2020-11-10,BIOCON,417.55,417.8,398.05,406.15,6221362,2295728
2020-11-11,BIOCON,410.0,420.5,406.25,417.9,4289470,1270575
2020-11-12,BIOCON,415.0,427.7,413.1,422.7,4545563,964189
2020-11-13,BIOCON,423.9,435.4,423.35,433.45,4922210,1293843
2020-11-14,BIOCON,436.0,438.35,432.2,434.35,420659,149999
2020-11-17,BIOCON,435.05,436.35,422.9,428.15,3459673,1376201
2020-11-18,BIOCON,429.8,429.8,419.7,423.0,3057647,1559090
2020-11-19,BIOCON,422.15,426.8,420.35,422.75,2835931,1236419
2020-11-20,BIOCON,423.1,425.95,415.0,419.95,3344749,1361001
2020-11-23,BIOCON,421.0,425.3,417.6,420.25,7777720,2251914
2020-11-24,BIOCON,422.35,436.0,418.1,433.55,6936794,2453599
2020-11-25,BIOCON,440.0,444.0,418.65,420.15,6156478,1542404
2020-11-26,BIOCON,422.45,427.9,418.25,425.75,3912570,1461647
2020-11-27,BIOCON,426.1,435.1,422.3,429.35,14778896,11053415
2020-12-01,BIOCON,436.95,438.35,429.55,433.3,3028740,1265828
2020-12-02,BIOCON,435.0,436.0,427.3,430.3,2346320,998606
2020-12-03,BIOCON,430.0,439.5,429.35,433.9,2909161,1125111
2020-12-04,BIOCON,435.05,444.0,431.45,442.65,6358494,3083574
2020-12-07,BIOCON,444.85,453.3,437.0,450.6,5920675,1571562
2020-12-08,BIOCON,451.0,459.0,440.55,445.45,6249683,1875370
2020-12-09,BIOCON,445.45,453.55,445.1,450.95,3297713,1069725
2020-12-10,BIOCON,452.45,457.5,446.85,453.95,2511207,594799
2020-12-11,BIOCON,455.0,456.9,450.0,455.5,2521883,856371
2020-12-14,BIOCON,459.0,461.2,450.55,454.0,3253116,1059406
2020-12-15,BIOCON,454.95,459.9,450.0,455.3,3057712,487434
2020-12-16,BIOCON,459.0,462.5,455.4,460.0,3074459,634525
2020-12-17,BIOCON,461.8,466.0,458.95,460.9,2153719,562905
2020-12-18,BIOCON,461.4,473.15,460.2,471.95,4375062,1997161
2020-12-21,BIOCON,470.0,473.4,439.6,450.0,3273294,779317
2020-12-22,BIOCON,447.35,464.15,437.0,462.15,2403391,509130
2020-12-23,BIOCON,462.2,487.75,459.1,483.6,4958976,1230145
2020-12-24,BIOCON,486.25,486.25,472.9,481.95,2511169,490574
2020-12-28,BIOCON,468.9,477.5,463.0,465.8,8802460,1588087
2020-12-29,BIOCON,476.5,476.5,457.35,460.5,7433306,1357056
2020-12-30,BIOCON,462.0,463.65,453.25,458.7,3511633,967618
2020-12-31,BIOCON,459.0,466.95,456.6,465.4,3582436,830518
2021-01-01,BIOCON,466.0,468.5,463.35,465.75,2177971,391766
2021-01-04,BIOCON,468.0,469.8,464.45,467.0,2821496,607056
2021-01-05,BIOCON,471.5,471.75,460.85,467.65,2558959,744009
2021-01-06,BIOCON,467.35,469.25,453.8,459.75,2960254,1020273
2021-01-07,BIOCON,461.5,464.1,453.85,454.8,3183329,1412135
2021-01-08,BIOCON,466.15,467.95,461.25,465.65,5550289,1415646
2021-01-11,BIOCON,464.65,472.9,457.2,471.25,3550553,913510
2021-01-12,BIOCON,472.0,474.35,466.1,471.75,3014910,1055568
2021-01-13,BIOCON,472.0,472.2,460.55,462.8,3430890,1469577
2021-01-14,BIOCON,463.1,469.3,458.55,466.45,3484973,1713093
2021-01-15,BIOCON,466.5,466.6,455.0,457.05,2795557,1121163
2021-01-18,BIOCON,456.0,459.35,440.5,448.9,2898351,1110235
2021-01-19,BIOCON,450.1,456.65,449.35,451.6,2056058,836368
2021-01-20,BIOCON,451.6,453.9,448.05,449.8,2513241,1238920
2021-01-21,BIOCON,455.0,455.0,440.15,441.95,3617650,1503913
2021-01-22,BIOCON,422.4,423.0,376.3,393.75,28411474,8435242
2021-01-25,BIOCON,393.1,394.3,377.65,382.7,13627688,4991461
2021-01-27,BIOCON,380.0,386.95,368.55,377.55,10430905,3416486
2021-01-28,BIOCON,376.55,386.8,373.0,380.1,9111175,2454247
2021-01-29,BIOCON,385.0,386.0,369.0,371.8,6608798,2140885
2021-02-01,BIOCON,373.5,382.6,363.25,379.2,4007717,937664
2021-02-02,BIOCON,384.0,394.0,379.1,391.5,4891113,1374086
2021-02-03,BIOCON,396.35,404.9,391.55,401.2,7249108,1907395
2021-02-04,BIOCON,402.0,410.9,399.75,409.9,5668584,2123470
2021-02-05,BIOCON,417.7,417.7,398.2,407.2,9808981,2022215
2021-02-08,BIOCON,407.65,413.25,406.1,409.0,3333450,1301886
2021-02-09,BIOCON,409.0,409.95,402.8,404.8,3195358,1404939
2021-02-10,BIOCON,404.4,409.85,400.0,408.15,2646877,903504
2021-02-11,BIOCON,403.0,412.55,403.0,406.4,3799980,1535391
2021-02-12,BIOCON,407.0,411.25,403.8,408.05,2998690,1164984
2021-02-15,BIOCON,408.95,410.5,405.2,407.95,2040087,741170
2021-02-16,BIOCON,407.95,418.6,406.25,417.4,5407782,1446320
2021-02-17,BIOCON,418.95,422.95,415.2,418.7,7395024,1694454
2021-02-18,BIOCON,418.7,424.75,414.0,420.1,4311757,1751017
2021-02-19,BIOCON,419.8,419.8,401.6,404.0,4834156,1538399
2021-02-22,BIOCON,405.0,406.8,395.25,397.65,3183792,792693
2021-02-23,BIOCON,398.25,400.75,384.1,385.35,9103379,2001205
2021-02-24,BIOCON,388.8,392.45,385.35,389.5,1470901,558128
2021-02-25,BIOCON,391.7,400.7,390.55,397.8,4350060,1506301
2021-02-26,BIOCON,393.95,401.85,387.0,390.2,5197606,1981981
2021-03-01,BIOCON,395.0,399.0,387.4,395.65,2691673,923174
2021-03-02,BIOCON,397.8,399.9,392.1,398.0,2769928,1052573
2021-03-03,BIOCON,399.0,403.8,396.6,402.7,2975783,1082015
