Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,BOMDYEING,71.3,73.5,69.7,71.75,1448549
2020-08-20,BOMDYEING,70.9,73.1,70.5,71.25,633946
2020-08-21,BOMDYEING,71.8,73.15,71.0,71.2,692826
2020-08-24,BOMDYEING,72.4,72.5,70.45,70.7,510692
2020-08-25,BOMDYEING,71.2,71.2,68.2,69.05,708913
2020-08-26,BOMDYEING,69.05,74.6,68.55,73.6,2339201
2020-08-27,BOMDYEING,74.4,79.3,72.7,75.0,3002314
2020-08-28,BOMDYEING,75.55,76.45,72.6,73.05,1142512
2020-08-31,BOMDYEING,73.7,73.8,68.0,68.6,1022092
2020-09-01,BOMDYEING,68.9,68.9,65.4,67.4,418862
2020-09-02,BOMDYEING,67.95,68.85,66.65,68.4,279975
2020-09-03,BOMDYEING,68.6,69.45,67.75,68.3,276227
2020-09-04,BOMDYEING,66.85,68.9,65.7,66.4,348305
2020-09-07,BOMDYEING,66.8,67.05,65.0,65.15,305951
2020-09-08,BOMDYEING,65.5,66.25,64.55,65.05,281725
2020-09-09,BOMDYEING,64.05,64.35,62.3,63.4,375899
2020-09-10,BOMDYEING,63.9,65.75,63.8,64.55,221753
2020-09-11,BOMDYEING,64.5,65.75,64.1,65.15,282104
2020-09-14,BOMDYEING,65.7,68.5,65.6,67.5,548439
2020-09-15,BOMDYEING,67.5,70.9,67.5,70.6,1036724
2020-09-16,BOMDYEING,70.8,71.45,69.4,69.8,570078
2020-09-17,BOMDYEING,69.0,69.4,67.5,68.1,312217
2020-09-18,BOMDYEING,68.35,69.5,67.25,68.0,266842
2020-09-21,BOMDYEING,68.0,68.3,63.55,64.7,409203
2020-09-22,BOMDYEING,64.75,65.2,61.15,62.9,294959
2020-09-23,BOMDYEING,63.7,64.35,60.8,62.95,282428
2020-09-24,BOMDYEING,60.7,62.2,60.3,60.8,251803
2020-09-25,BOMDYEING,61.95,63.8,61.05,63.25,210749
2020-09-28,BOMDYEING,63.7,65.8,63.4,64.15,422460
