Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,BPL,21.55,22.4,21.0,21.7,85228,53170
2020-08-27,BPL,22.15,22.15,21.4,21.7,50114,34732
2020-08-28,BPL,22.25,22.5,21.45,21.65,79398,57433
2020-08-31,BPL,21.65,22.25,20.6,20.6,109503,82537
2020-09-01,BPL,19.6,21.4,19.6,19.65,55902,44027
2020-09-02,BPL,19.55,19.95,18.7,19.05,68673,50201
2020-09-03,BPL,19.9,20.0,19.0,19.3,45576,25362
2020-09-04,BPL,19.3,19.75,18.35,18.95,46713,31653
2020-09-07,BPL,19.25,19.25,18.3,18.6,53213,39330
2020-09-08,BPL,18.6,19.2,18.3,18.5,30800,20030
2020-09-09,BPL,18.05,18.4,17.6,18.1,30847,22492
2020-09-10,BPL,18.95,18.95,17.55,17.95,29599,19385
2020-09-11,BPL,18.0,18.75,18.0,18.5,22176,15575
2020-09-14,BPL,18.55,19.4,18.2,19.2,47376,33615
2020-09-15,BPL,19.65,19.85,19.0,19.45,39331,21834
2020-09-16,BPL,19.85,19.85,19.0,19.25,25978,15013
2020-09-17,BPL,19.5,19.5,18.7,18.85,16293,13478
2020-09-18,BPL,18.85,19.45,18.45,18.65,18244,10473
2020-09-21,BPL,18.7,19.3,18.0,18.1,29196,16774
2020-09-22,BPL,18.0,18.0,17.2,17.5,32421,20385
2020-09-23,BPL,17.5,18.0,17.1,17.4,17696,10325
2020-09-24,BPL,16.55,17.45,16.55,16.6,38760,26656
2020-09-25,BPL,16.7,17.0,15.85,16.8,58870,38066
2020-09-28,BPL,17.6,17.6,16.6,17.6,54199,40392
2020-09-29,BPL,18.3,18.35,17.1,17.45,41266,24117
2020-09-30,BPL,17.45,18.3,17.45,18.3,28640,18147
2020-10-01,BPL,18.9,19.2,18.6,19.1,68741,54919
2020-10-05,BPL,19.2,19.7,18.6,18.75,30782,19636
2020-10-06,BPL,18.75,19.35,18.5,18.65,37851,20756
2020-10-07,BPL,18.7,19.2,18.3,18.6,25876,11919
2020-10-08,BPL,18.6,19.0,18.2,18.4,20487,12267
2020-10-09,BPL,18.5,18.5,18.0,18.25,23113,15199
2020-10-12,BPL,18.2,18.3,17.9,18.1,21220,15190
2020-10-13,BPL,18.0,18.8,17.3,18.4,19297,10602
2020-10-14,BPL,18.8,19.45,17.6,18.5,67407,14959
2020-10-15,BPL,19.2,19.2,17.9,17.95,33022,17500
2020-10-16,BPL,18.05,18.45,17.9,18.2,30524,18664
2020-10-19,BPL,18.25,18.45,17.95,18.25,25709,12311
2020-10-20,BPL,18.45,18.45,17.6,17.9,33795,21192
2020-10-21,BPL,18.0,18.0,17.45,17.65,37117,20730
2020-10-22,BPL,17.65,18.0,17.4,17.8,20772,10909
2020-10-23,BPL,18.3,18.3,17.55,17.95,33486,21186
2020-10-26,BPL,18.0,18.1,17.75,17.85,11026,7436
2020-10-27,BPL,17.75,17.9,17.55,17.6,16451,12700
2020-10-28,BPL,17.45,17.9,17.15,17.3,18898,10856
2020-10-29,BPL,17.35,17.9,17.0,17.45,35576,14841
2020-10-30,BPL,17.7,17.75,17.15,17.35,20485,13723
2020-11-02,BPL,17.95,17.95,17.05,17.1,22108,14016
2020-11-03,BPL,17.2,18.2,17.1,17.5,22571,11900
2020-11-04,BPL,17.45,17.5,17.1,17.15,10234,6778
2020-11-05,BPL,17.35,17.55,17.2,17.4,22964,14242
2020-11-06,BPL,17.2,17.65,17.2,17.3,17143,9356
2020-11-09,BPL,17.6,17.6,17.15,17.25,19533,9578
2020-11-10,BPL,17.5,17.6,17.3,17.45,15427,11604
2020-11-11,BPL,17.55,19.15,16.6,18.7,96118,48334
2020-11-12,BPL,19.45,20.5,18.6,19.65,476835,179332
2020-11-13,BPL,19.6,20.5,19.0,19.65,179640,75333
2020-11-14,BPL,18.75,19.95,18.75,19.35,19374,15047
2020-11-17,BPL,19.85,21.25,19.2,21.25,563390,220023
2020-11-18,BPL,20.6,21.3,20.0,20.55,228195,108565
2020-11-19,BPL,20.5,20.85,19.65,20.15,89097,58144
2020-11-20,BPL,20.05,21.65,19.75,20.55,295158,95172
2020-11-23,BPL,20.85,22.6,19.85,22.5,590862,301282
2020-11-24,BPL,23.9,24.5,22.55,23.0,985535,370992
2020-11-25,BPL,23.0,23.4,22.05,22.15,146683,96121
2020-11-26,BPL,22.6,22.85,21.55,22.5,153584,75913
2020-11-27,BPL,24.0,24.0,23.05,23.4,415397,191517
2020-12-01,BPL,23.7,25.7,22.9,25.7,929343,327784
2020-12-02,BPL,25.9,26.0,24.45,24.7,396129,231680
2020-12-03,BPL,24.65,25.15,24.1,24.8,144675,87246
2020-12-04,BPL,25.05,25.15,24.5,24.55,132450,83999
2020-12-07,BPL,24.3,25.0,24.2,24.45,101181,57208
2020-12-08,BPL,25.15,25.15,23.25,23.65,166787,89161
2020-12-09,BPL,24.0,24.25,23.55,23.85,110144,44265
2020-12-10,BPL,23.85,23.85,22.85,23.1,72432,52398
2020-12-11,BPL,23.1,23.75,22.6,22.8,74757,49679
2020-12-14,BPL,22.8,23.4,22.5,23.05,75148,46704
2020-12-15,BPL,23.8,23.8,22.2,23.1,84681,42267
2020-12-16,BPL,23.15,23.95,23.05,23.15,101769,44095
2020-12-17,BPL,23.15,23.55,22.6,22.75,74283,42967
2020-12-18,BPL,22.95,23.35,22.8,22.9,71727,49884
2020-12-21,BPL,23.0,23.45,21.8,21.8,93270,62657
2020-12-22,BPL,20.8,21.95,20.75,21.3,102388,46405
2020-12-23,BPL,21.3,22.35,21.0,22.35,71689,48924
2020-12-24,BPL,23.0,23.0,21.6,22.0,74165,51943
2020-12-28,BPL,22.0,22.65,21.9,22.15,75099,53086
2020-12-29,BPL,22.5,22.5,21.2,21.9,56496,34639
2020-12-30,BPL,21.6,22.35,21.6,21.9,47704,33934
2020-12-31,BPL,22.3,22.95,21.8,22.95,149753,109927
2021-01-01,BPL,23.0,23.4,21.85,22.5,239511,103844
2021-01-04,BPL,22.8,23.55,22.25,23.45,188581,121639
2021-01-05,BPL,23.25,23.7,23.0,23.25,142577,76242
2021-01-06,BPL,23.7,23.9,23.1,23.5,139321,77066
2021-01-07,BPL,23.7,24.5,23.5,24.0,196020,115484
2021-01-08,BPL,24.2,24.6,23.3,23.65,97145,68216
2021-01-11,BPL,23.65,24.8,22.6,23.1,150021,78872
2021-01-12,BPL,23.25,24.2,23.05,23.45,129090,58813
2021-01-13,BPL,23.05,24.0,23.05,23.2,93035,40084
2021-01-14,BPL,23.65,23.65,23.1,23.3,39821,28615
2021-01-15,BPL,23.65,23.65,22.65,22.85,46552,30459
2021-01-18,BPL,22.9,23.4,22.1,22.3,58529,39300
2021-01-19,BPL,22.5,23.3,22.2,22.85,73211,47774
2021-01-20,BPL,23.3,23.3,22.4,22.45,76996,45732
2021-01-21,BPL,22.4,22.7,22.05,22.35,61370,44842
2021-01-22,BPL,22.35,22.35,21.6,21.65,46975,31301
2021-01-25,BPL,21.7,22.0,20.7,20.85,47778,26983
2021-01-27,BPL,21.15,21.15,20.15,20.25,39503,23006
2021-01-28,BPL,20.2,21.25,19.75,21.25,98807,52823
2021-01-29,BPL,21.6,21.75,20.9,21.0,47553,28427
2021-02-01,BPL,21.5,21.75,20.9,21.3,43820,23404
2021-02-02,BPL,21.85,21.85,20.95,21.05,50995,33754
2021-02-03,BPL,21.3,21.3,20.65,21.05,55276,33691
2021-02-04,BPL,21.05,21.05,20.8,20.9,60088,54188
2021-02-05,BPL,22.7,22.95,22.25,22.95,234432,134560
2021-02-08,BPL,23.9,24.2,22.7,23.05,199290,121253
2021-02-09,BPL,23.05,23.1,22.1,22.45,73088,44168
2021-02-10,BPL,22.3,22.95,22.0,22.2,64729,38517
2021-02-11,BPL,22.9,23.05,21.3,21.65,133349,59046
2021-02-12,BPL,21.4,21.9,21.3,21.4,61496,39109
2021-02-15,BPL,20.9,22.3,20.9,21.7,76770,42062
2021-02-16,BPL,21.5,22.05,21.0,21.75,52309,36901
2021-02-17,BPL,21.9,22.2,21.3,21.8,72368,46086
2021-02-18,BPL,21.65,22.3,21.65,21.95,63681,39268
2021-02-19,BPL,21.8,22.2,21.5,21.65,50299,30582
2021-02-22,BPL,21.6,21.8,20.55,20.85,67925,40183
2021-02-23,BPL,21.0,21.2,20.6,20.8,65963,34556
2021-02-24,BPL,21.0,21.65,20.05,20.7,64328,41178
2021-02-25,BPL,21.0,21.8,20.95,21.1,106409,65612
2021-02-26,BPL,20.7,22.0,20.65,21.0,135440,65191
2021-03-01,BPL,21.35,21.7,20.65,21.0,94577,65428
2021-03-02,BPL,21.6,23.1,20.75,23.1,197060,142060
2021-03-03,BPL,24.1,25.4,23.05,25.35,1186036,558812
2021-03-04,BPL,24.85,26.45,23.6,25.55,600714,306790
2021-03-05,BPL,25.9,28.1,24.15,28.1,895332,420689
2021-03-08,BPL,28.5,29.5,27.1,27.95,841200,451962
2021-03-09,BPL,28.1,28.9,26.8,27.05,315697,183247
2021-03-10,BPL,27.75,27.75,26.55,26.65,116906,86978
2021-03-12,BPL,26.65,27.95,26.65,27.95,292386,167959
2021-03-15,BPL,27.85,28.2,26.6,26.95,214261,134565
2021-03-16,BPL,27.3,27.3,26.0,26.05,89028,58847
2021-03-17,BPL,26.5,27.25,26.25,26.55,144755,102341
2021-03-18,BPL,27.0,27.0,25.3,25.4,97305,63719
2021-03-19,BPL,25.4,25.4,24.15,24.4,116357,67337
2021-03-22,BPL,24.85,25.6,24.2,25.0,123375,68459
2021-03-23,BPL,25.7,25.7,24.55,24.85,98134,60315
2021-03-24,BPL,25.0,25.0,23.65,23.65,81095,58147
2021-03-25,BPL,23.15,23.85,22.5,22.5,120632,82511
2021-03-26,BPL,22.95,23.6,21.4,21.75,215482,122668
2021-03-30,BPL,22.2,22.6,21.95,22.3,139267,65019
2021-03-31,BPL,21.75,23.0,21.75,22.75,47571,28749
2021-04-01,BPL,22.75,23.85,22.75,23.85,65625,51902
2021-04-05,BPL,23.85,23.85,22.85,23.45,76252,42624
2021-04-06,BPL,24.5,24.5,23.0,23.1,62467,38787
2021-04-07,BPL,23.1,23.7,23.1,23.2,33742,19095
2021-04-08,BPL,24.3,24.55,21.2,23.4,94139,38002
2021-04-09,BPL,23.85,23.85,23.1,23.35,45086,28747
2021-04-12,BPL,23.2,23.2,21.55,21.85,77731,43854
2021-04-13,BPL,22.3,22.6,21.85,22.45,41685,22359
2021-04-15,BPL,22.05,23.15,21.9,22.35,37242,25548
2021-04-16,BPL,22.85,23.2,22.45,22.9,43282,28045
2021-04-19,BPL,22.5,23.0,22.0,22.35,78492,52005
2021-04-20,BPL,22.45,24.55,22.2,24.55,167064,118210
2021-04-22,BPL,25.95,27.0,25.4,27.0,498427,252496
2021-04-23,BPL,28.8,29.7,26.45,29.7,794258,482966
2021-04-26,BPL,31.15,31.15,31.15,31.15,70708,70708
2021-04-27,BPL,32.7,32.7,32.7,32.7,46365,46365
2021-04-28,BPL,34.3,34.3,34.3,34.3,93941,91539
2021-04-29,BPL,36.0,36.0,36.0,36.0,119852,119852
2021-04-30,BPL,34.55,37.8,34.2,34.2,1396601,685701
2021-05-03,BPL,32.65,34.5,32.5,32.5,351477,184328
2021-05-04,BPL,33.2,33.95,30.9,30.9,236167,172293
2021-05-05,BPL,31.0,31.0,29.4,29.4,192377,139346
2021-05-06,BPL,28.75,30.85,28.25,30.85,160245,119211
2021-05-07,BPL,32.3,32.35,31.5,32.35,102508,81079
2021-05-10,BPL,33.95,33.95,33.95,33.95,34707,34707
2021-05-11,BPL,34.7,35.6,32.3,35.6,932581,445975
2021-05-12,BPL,37.35,37.35,37.35,37.35,93566,93566
2021-05-14,BPL,39.2,39.2,36.1,39.2,1620391,576876
2021-05-17,BPL,40.25,41.15,37.25,37.3,894645,496545
2021-05-18,BPL,37.4,38.9,37.0,37.5,245706,150755
2021-05-19,BPL,37.9,38.1,36.05,36.5,232706,172709
2021-05-20,BPL,37.7,37.7,35.0,35.55,189869,123315
2021-05-21,BPL,36.5,37.3,35.65,37.3,219504,119627
2021-05-24,BPL,37.35,37.9,36.0,37.0,233762,138675
2021-05-25,BPL,37.5,37.75,36.1,36.3,143252,74984
2021-05-26,BPL,36.0,36.55,35.0,35.35,165903,115346
2021-05-27,BPL,36.2,36.2,35.0,35.4,134939,78529
2021-05-28,BPL,35.45,35.9,34.1,34.25,149076,104655
2021-05-31,BPL,35.45,35.55,34.4,35.1,180896,97804
2021-06-01,BPL,35.1,35.85,34.0,34.2,99886,54735
2021-06-02,BPL,35.4,35.4,33.6,34.45,66302,37864
