Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,BRITANNIA,3910.0,3964.65,3850.6,3866.25,645088,184648
2021-08-24,BRITANNIA,3874.85,3892.0,3795.5,3812.2,437167,171622
2021-08-25,BRITANNIA,3812.2,3898.0,3797.0,3842.8,360778,107528
2021-08-26,BRITANNIA,3825.2,3946.95,3825.2,3930.9,1114234,485856
2021-08-27,BRITANNIA,3944.7,3972.95,3911.75,3941.55,475524,182659
2021-08-30,BRITANNIA,3960.0,3993.55,3932.2,3986.35,466524,219921
2021-08-31,BRITANNIA,3995.0,4027.3,3960.0,3997.5,688613,349680
2021-09-01,BRITANNIA,3984.6,4025.9,3963.85,4015.35,352460,166429
2021-09-02,BRITANNIA,4015.0,4104.0,4002.05,4086.1,525680,274083
2021-09-03,BRITANNIA,4105.0,4134.7,4073.15,4124.2,426377,205714
2021-09-06,BRITANNIA,4144.4,4149.3,4061.0,4079.05,312608,149539
2021-09-07,BRITANNIA,4096.9,4129.6,4080.0,4095.45,259534,98449
2021-09-08,BRITANNIA,4079.8,4087.9,4015.7,4061.4,236283,116393
2021-09-09,BRITANNIA,4058.8,4118.8,4050.1,4070.8,295134,90042
2021-09-13,BRITANNIA,4070.8,4103.0,4058.8,4093.85,171201,89534
2021-09-14,BRITANNIA,4097.0,4153.0,4082.4,4101.5,419441,191209
2021-09-15,BRITANNIA,4105.2,4135.0,4071.05,4086.35,218163,102946
2021-09-16,BRITANNIA,4086.35,4120.0,4039.8,4073.05,243636,130976
2021-09-17,BRITANNIA,4077.4,4115.0,4041.0,4051.85,621517,479581
2021-09-20,BRITANNIA,4035.0,4115.0,4000.0,4084.5,291097,105428
2021-09-21,BRITANNIA,4062.2,4111.55,4053.0,4075.55,424258,313376
2021-09-22,BRITANNIA,4082.0,4105.0,4049.1,4058.5,259937,166891
2021-09-23,BRITANNIA,4060.0,4075.45,4017.5,4042.35,322858,215736
2021-09-24,BRITANNIA,4040.0,4098.95,4030.0,4042.9,373614,242197
2021-09-27,BRITANNIA,4049.9,4064.6,4000.0,4009.6,248898,154670
2021-09-28,BRITANNIA,4005.2,4068.95,3990.05,4003.65,354948,209652
2021-09-29,BRITANNIA,3982.0,4019.9,3959.15,3972.75,332446,209012
2021-09-30,BRITANNIA,3972.0,3993.0,3940.3,3948.95,217501,142975
2021-10-01,BRITANNIA,3958.8,3958.8,3885.0,3921.1,181917,88220
2021-10-04,BRITANNIA,3910.0,3967.25,3881.0,3892.9,372752,241827
2021-10-05,BRITANNIA,3894.0,3905.25,3865.5,3882.2,131731,61545
2021-10-06,BRITANNIA,3893.0,3993.15,3882.25,3938.6,409840,133832
2021-10-07,BRITANNIA,3959.8,3963.65,3877.45,3900.6,187556,101774
2021-10-08,BRITANNIA,3915.0,3929.0,3846.85,3883.3,316870,95284
2021-10-11,BRITANNIA,3880.0,3900.75,3831.2,3840.6,253051,155095
2021-10-12,BRITANNIA,3821.0,3874.75,3815.0,3867.95,253262,128207
2021-10-13,BRITANNIA,3871.4,3894.1,3854.5,3883.7,174222,97553
2021-10-14,BRITANNIA,3912.0,3925.0,3881.0,3894.85,299078,174982
2021-10-18,BRITANNIA,3960.0,3960.0,3825.0,3837.35,256837,162875
2021-10-19,BRITANNIA,3860.35,3868.35,3780.0,3795.9,282932,167711
2021-10-20,BRITANNIA,3800.0,3917.35,3740.0,3762.0,523002,135586
2021-10-21,BRITANNIA,3798.5,3798.5,3680.0,3714.35,335589,178751
2021-10-22,BRITANNIA,3734.0,3760.0,3650.0,3690.0,192033,79359
2021-10-25,BRITANNIA,3690.0,3696.55,3617.7,3631.05,289025,105810
2021-10-26,BRITANNIA,3649.0,3705.05,3605.85,3692.8,326825,157677
2021-10-27,BRITANNIA,3700.9,3731.2,3681.45,3697.85,441016,307349
2021-10-28,BRITANNIA,3725.0,3728.7,3654.0,3681.9,193658,71121
2021-10-29,BRITANNIA,3681.0,3708.95,3641.05,3675.75,283538,153017
2021-11-01,BRITANNIA,3694.0,3700.0,3651.1,3678.15,139766,66759
2021-11-02,BRITANNIA,3680.2,3707.6,3667.05,3682.9,151547,83083
2021-11-03,BRITANNIA,3695.0,3699.8,3618.05,3629.85,185296,112349
2021-11-04,BRITANNIA,3658.0,3666.5,3639.35,3652.6,23648,14517
2021-11-08,BRITANNIA,3666.0,3728.85,3620.0,3717.7,336938,122722
2021-11-09,BRITANNIA,3590.0,3639.0,3535.15,3621.6,1399094,443794
2021-11-10,BRITANNIA,3629.45,3720.0,3600.0,3698.5,706755,305915
2021-11-11,BRITANNIA,3699.1,3718.0,3633.3,3643.4,298625,181682
2021-11-12,BRITANNIA,3668.6,3701.95,3641.25,3687.95,275060,154405
2021-11-15,BRITANNIA,3700.0,3747.6,3674.0,3742.6,320669,144135
