Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,BSOFT,173.0,182.95,171.85,177.15,2888342,1234580
2020-08-27,BSOFT,178.4,182.4,173.35,173.9,2533812,896935
2020-08-28,BSOFT,175.5,176.7,171.0,172.8,1462951,607019
2020-08-31,BSOFT,175.1,175.4,154.1,160.55,2472894,1074104
2020-09-01,BSOFT,159.8,171.15,156.85,168.45,1639251,568794
2020-09-02,BSOFT,170.0,172.25,165.55,167.05,820981,359617
2020-09-03,BSOFT,167.5,171.25,167.5,170.1,1130189,602061
2020-09-04,BSOFT,163.0,170.0,162.1,167.9,947265,402117
2020-09-07,BSOFT,167.8,168.6,161.1,163.1,631383,285383
2020-09-08,BSOFT,162.0,176.2,162.0,173.8,4587078,1392292
2020-09-09,BSOFT,171.95,172.0,163.15,164.35,1582015,608792
2020-09-10,BSOFT,165.85,168.4,163.35,165.0,852715,337947
2020-09-11,BSOFT,165.9,167.95,162.6,166.2,1337613,451348
2020-09-14,BSOFT,170.15,187.65,165.55,182.7,5922407,2042130
2020-09-15,BSOFT,183.4,183.9,175.1,179.15,2152268,931429
2020-09-16,BSOFT,178.85,204.95,176.5,199.7,6758601,1572582
2020-09-17,BSOFT,199.4,204.0,192.0,194.0,4236859,1315706
2020-09-18,BSOFT,195.5,206.5,193.2,195.7,4956508,1127524
2020-09-21,BSOFT,195.9,203.5,188.55,190.15,2885861,902271
2020-09-22,BSOFT,190.9,201.8,172.0,193.85,4547388,690845
2020-09-23,BSOFT,196.9,200.0,191.4,193.95,2077389,562878
2020-09-24,BSOFT,187.6,192.85,182.0,183.55,1939587,533234
2020-09-25,BSOFT,188.7,192.85,186.0,190.85,1698132,391582
2020-09-28,BSOFT,194.75,199.45,192.1,198.35,1571226,513684
2020-09-29,BSOFT,200.0,201.8,194.6,199.45,1579692,435131
2020-09-30,BSOFT,201.0,201.0,193.2,195.2,1198312,412318
2020-10-01,BSOFT,198.7,198.7,193.05,194.55,694744,217990
2020-10-05,BSOFT,196.9,210.4,196.0,204.55,4309397,1025367
2020-10-06,BSOFT,205.9,206.7,200.2,204.45,1197710,372469
