Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,CADILAHC,390.0,391.15,385.1,388.65,2189843,384600
2020-08-27,CADILAHC,389.0,396.0,388.0,389.1,2673972,454613
2020-08-28,CADILAHC,390.0,393.75,387.55,388.85,2434360,526179
2020-08-31,CADILAHC,391.9,392.55,368.25,371.25,3023973,673926
2020-09-01,CADILAHC,373.1,379.9,366.5,378.1,3299059,541253
2020-09-02,CADILAHC,380.1,384.4,372.7,382.0,3414195,814936
2020-09-03,CADILAHC,383.0,389.35,379.85,387.05,2425534,487763
2020-09-04,CADILAHC,381.05,390.5,374.3,377.15,3463442,863179
2020-09-07,CADILAHC,382.9,382.9,366.85,370.4,3179672,749420
2020-09-08,CADILAHC,371.0,374.2,362.3,364.6,2082467,302444
2020-09-09,CADILAHC,363.0,371.8,360.0,370.6,3592446,982283
2020-09-10,CADILAHC,373.4,374.95,360.4,363.75,5232616,1655367
2020-09-11,CADILAHC,365.0,372.65,358.0,370.0,4408064,992249
2020-09-14,CADILAHC,371.8,373.2,365.5,368.55,2843408,742452
2020-09-15,CADILAHC,370.65,378.5,367.25,375.05,4154655,517722
2020-09-16,CADILAHC,377.15,390.0,375.1,388.4,5051649,1096458
2020-09-17,CADILAHC,389.0,396.6,384.4,393.7,6323433,1275288
2020-09-18,CADILAHC,395.05,423.0,395.05,409.7,19640911,2944327
2020-09-21,CADILAHC,412.9,416.95,390.55,396.1,8893943,1711462
2020-09-22,CADILAHC,397.9,398.5,381.25,393.1,4930269,923117
2020-09-23,CADILAHC,395.0,396.0,379.3,383.9,3731153,989241
2020-09-24,CADILAHC,381.75,383.8,374.15,376.3,3631829,934270
2020-09-25,CADILAHC,379.0,389.1,375.5,385.5,3902803,553527
2020-09-28,CADILAHC,389.1,392.55,381.35,390.6,3623432,828655
2020-09-29,CADILAHC,388.1,394.8,385.35,387.8,3888455,755395
2020-09-30,CADILAHC,388.05,406.5,386.0,395.05,7587170,568798
2020-10-01,CADILAHC,398.65,402.2,390.75,398.25,4531721,497037
2020-10-05,CADILAHC,401.0,417.4,395.8,414.05,6566686,1202753
2020-10-06,CADILAHC,417.55,423.45,412.4,415.35,6757564,1274595
2020-10-07,CADILAHC,416.75,420.35,405.3,412.85,4547165,863238
2020-10-08,CADILAHC,415.0,438.7,414.2,436.1,11801209,2368792
2020-10-09,CADILAHC,436.0,447.9,435.0,438.0,9872616,1557705
2020-10-12,CADILAHC,438.0,443.15,430.75,441.5,5232786,820469
2020-10-13,CADILAHC,438.5,446.3,427.2,430.1,5013352,774747
2020-10-14,CADILAHC,428.5,433.6,422.35,430.55,3974124,485922
2020-10-15,CADILAHC,430.6,433.0,414.8,415.9,3828064,676654
2020-10-16,CADILAHC,413.6,432.2,411.3,430.4,6973034,700604
2020-10-19,CADILAHC,435.9,435.9,419.8,422.7,3621498,404960
2020-10-20,CADILAHC,420.0,430.95,417.35,428.2,4544341,842309
2020-10-21,CADILAHC,428.2,432.45,418.1,426.35,3562497,753999
2020-10-22,CADILAHC,425.0,427.15,415.6,425.65,2951109,263398
2020-10-23,CADILAHC,428.0,434.65,423.05,424.3,4441774,595891
2020-10-26,CADILAHC,425.5,430.0,414.5,418.85,2709889,305511
2020-10-27,CADILAHC,420.0,424.7,416.15,423.5,2410795,262576
2020-10-28,CADILAHC,425.0,427.8,416.9,418.5,2577321,517206
2020-10-29,CADILAHC,417.0,420.0,407.5,411.15,2429592,365641
2020-10-30,CADILAHC,413.1,419.0,408.4,417.7,2527504,192145
2020-11-02,CADILAHC,418.0,423.45,404.0,410.65,2958688,540125
2020-11-03,CADILAHC,420.0,464.0,416.0,437.65,30218448,3614427
2020-11-04,CADILAHC,436.95,444.4,432.6,439.3,6349693,1213797
2020-11-05,CADILAHC,446.0,449.8,437.25,442.9,5283605,1251851
2020-11-06,CADILAHC,442.9,444.35,430.4,432.3,4204221,1505934
2020-11-09,CADILAHC,436.1,438.9,429.0,437.6,4111210,1385363
2020-11-10,CADILAHC,440.0,440.0,406.25,409.4,7148283,1676584
2020-11-11,CADILAHC,414.9,419.0,411.1,416.45,5861723,1205948
2020-11-12,CADILAHC,418.4,435.4,413.85,426.05,9036176,1675983
2020-11-13,CADILAHC,427.95,432.75,424.1,425.6,5443702,1366094
2020-11-14,CADILAHC,428.0,430.0,427.35,429.25,453603,188464
2020-11-17,CADILAHC,432.0,433.95,426.0,429.85,3849920,1516708
2020-11-18,CADILAHC,429.8,435.8,425.65,428.9,3341326,1090805
2020-11-19,CADILAHC,430.55,438.85,427.1,430.7,3614608,859053
2020-11-20,CADILAHC,434.0,434.4,423.7,425.8,2797173,784765
2020-11-23,CADILAHC,429.65,437.85,425.1,432.85,3744377,939998
2020-11-24,CADILAHC,432.0,434.2,425.5,429.1,3001559,815128
2020-11-25,CADILAHC,431.5,432.35,419.55,421.5,2533722,512262
2020-11-26,CADILAHC,422.0,426.8,418.1,422.3,2587875,706048
2020-11-27,CADILAHC,439.0,459.0,432.2,450.1,19534886,2515119
2020-12-01,CADILAHC,459.1,459.4,442.3,453.65,6867503,1000117
2020-12-02,CADILAHC,453.0,455.85,445.1,450.8,2976254,551269
2020-12-03,CADILAHC,450.8,463.8,450.8,462.95,4514941,798740
2020-12-04,CADILAHC,464.0,475.8,458.05,471.05,7398943,804704
2020-12-07,CADILAHC,471.9,480.95,466.85,472.0,5147587,789169
2020-12-08,CADILAHC,472.0,475.7,463.0,465.05,3064923,616152
2020-12-09,CADILAHC,468.5,474.4,463.4,467.95,3655392,532698
2020-12-10,CADILAHC,468.6,475.45,464.0,469.55,2907247,299599
2020-12-11,CADILAHC,470.95,472.95,461.0,466.65,1634404,283081
2020-12-14,CADILAHC,469.0,473.7,466.55,469.85,2084100,381144
2020-12-15,CADILAHC,473.0,475.45,465.0,466.85,2936032,634303
2020-12-16,CADILAHC,471.0,472.85,465.9,469.0,2630386,556213
2020-12-17,CADILAHC,469.0,481.0,468.1,475.05,4533593,744460
2020-12-18,CADILAHC,475.4,479.45,470.0,476.6,2439589,499167
2020-12-21,CADILAHC,476.6,485.75,428.95,452.8,7647410,889040
2020-12-22,CADILAHC,455.0,470.85,438.8,469.05,4489020,625643
2020-12-23,CADILAHC,467.25,479.25,465.05,475.0,3377709,1159976
2020-12-24,CADILAHC,477.8,491.7,470.0,489.5,5254900,1667194
2020-12-28,CADILAHC,496.45,499.25,484.0,487.7,6453108,1121201
2020-12-29,CADILAHC,488.0,490.5,477.1,479.35,3004757,527950
2020-12-30,CADILAHC,482.9,482.9,475.8,479.35,1839434,234487
2020-12-31,CADILAHC,480.0,487.0,474.45,476.75,3322247,554477
2021-01-01,CADILAHC,477.75,482.85,476.75,478.4,1774666,495146
2021-01-04,CADILAHC,494.0,494.0,479.1,486.4,6212355,991765
2021-01-05,CADILAHC,484.0,489.5,480.25,485.85,2211146,423797
2021-01-06,CADILAHC,486.0,487.7,475.35,481.6,1926225,473907
2021-01-07,CADILAHC,484.5,485.95,478.55,482.2,2064672,511757
2021-01-08,CADILAHC,485.0,489.4,483.5,485.15,2216314,597401
2021-01-11,CADILAHC,487.0,495.95,482.75,493.7,5043283,961124
2021-01-12,CADILAHC,496.0,497.25,489.45,490.35,2534905,726368
2021-01-13,CADILAHC,493.0,494.5,481.65,487.05,2727835,667613
2021-01-14,CADILAHC,487.0,504.9,483.0,503.45,4909904,1052817
2021-01-15,CADILAHC,506.0,509.2,485.25,487.8,6378475,1099878
2021-01-18,CADILAHC,485.0,487.8,467.35,472.9,3221146,718643
2021-01-19,CADILAHC,474.1,487.0,474.1,485.2,2112198,385463
2021-01-20,CADILAHC,483.5,488.8,482.1,486.2,1394499,286610
2021-01-21,CADILAHC,487.4,489.8,466.5,469.5,2522121,868439
2021-01-22,CADILAHC,470.05,473.1,455.3,460.5,3760715,1055287
2021-01-25,CADILAHC,465.35,473.65,455.5,467.4,3542288,664652
2021-01-27,CADILAHC,467.85,472.65,459.1,462.05,2807794,815108
2021-01-28,CADILAHC,457.0,466.6,452.25,462.3,2584839,512956
2021-01-29,CADILAHC,462.3,464.75,450.0,451.5,2561802,704713
2021-02-01,CADILAHC,454.0,458.0,442.05,455.8,3425170,911363
2021-02-02,CADILAHC,459.4,470.9,453.7,467.2,3939023,1245556
2021-02-03,CADILAHC,471.45,482.8,468.4,476.9,6399214,1730646
2021-02-04,CADILAHC,482.0,482.4,475.25,479.2,3872030,1382850
2021-02-05,CADILAHC,482.5,488.95,471.85,475.25,8272131,1849687
2021-02-08,CADILAHC,478.0,479.9,472.65,473.45,3717127,1691328
2021-02-09,CADILAHC,475.0,477.75,466.1,467.8,3261845,1493865
2021-02-10,CADILAHC,470.0,471.25,459.8,469.5,3481108,1523454
2021-02-11,CADILAHC,468.0,472.35,464.05,470.85,2204483,782090
2021-02-12,CADILAHC,471.45,479.0,466.6,468.05,3029750,1007738
2021-02-15,CADILAHC,466.9,472.25,463.65,466.95,1809852,634737
2021-02-16,CADILAHC,466.0,474.45,463.35,468.9,3392787,1312373
2021-02-17,CADILAHC,470.0,471.5,460.7,463.7,2556360,1068132
2021-02-18,CADILAHC,465.0,471.4,462.7,467.65,2556001,1232418
2021-02-19,CADILAHC,466.3,466.3,447.05,452.4,3283243,984966
2021-02-22,CADILAHC,450.0,451.0,431.25,434.45,2515498,812119
2021-02-23,CADILAHC,438.8,438.8,421.0,430.5,3853845,1251032
2021-02-24,CADILAHC,430.5,437.35,427.65,433.45,1688256,584301
2021-02-25,CADILAHC,441.0,444.4,436.15,438.05,3141003,771783
2021-02-26,CADILAHC,434.2,443.8,430.1,435.2,3239469,617253
2021-03-01,CADILAHC,437.0,438.4,430.4,435.3,2015942,542019
2021-03-02,CADILAHC,437.35,442.5,434.9,441.2,1306991,353505
2021-03-03,CADILAHC,441.5,447.55,439.2,445.6,1871926,354582
2021-03-04,CADILAHC,442.0,453.5,440.8,449.05,2657329,920422
2021-03-05,CADILAHC,450.95,452.0,440.25,442.25,1925235,573118
2021-03-08,CADILAHC,443.0,451.5,442.0,446.2,1596275,363358
2021-03-09,CADILAHC,453.0,453.2,441.55,443.55,1955646,396243
2021-03-10,CADILAHC,445.0,449.9,443.4,448.4,1153308,297570
2021-03-12,CADILAHC,448.0,450.95,441.55,442.5,1488897,525834
2021-03-15,CADILAHC,442.0,442.5,430.6,439.95,1485949,213096
2021-03-16,CADILAHC,440.75,442.85,434.8,439.95,1230143,403582
2021-03-17,CADILAHC,438.85,442.95,426.8,429.15,1359127,410367
2021-03-18,CADILAHC,430.8,433.0,418.0,419.75,1719710,524351
2021-03-19,CADILAHC,419.0,427.8,408.35,425.4,1723181,364353
2021-03-22,CADILAHC,427.55,438.0,425.75,431.65,2032262,344540
2021-03-23,CADILAHC,433.4,435.5,428.55,431.15,1140604,236854
