Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,CANBK,154.0,154.65,148.2,152.9,8868571,3263945
2021-08-24,CANBK,152.0,156.0,151.75,155.7,7969447,3548731
2021-08-25,CANBK,155.9,156.8,150.5,151.05,31519244,16656875
2021-08-26,CANBK,151.45,155.15,151.35,152.85,30156307,14816597
2021-08-27,CANBK,153.15,153.45,151.2,151.6,9377338,3476606
2021-08-30,CANBK,153.0,155.8,152.1,155.25,12970720,6140352
2021-08-31,CANBK,155.25,162.5,153.7,159.1,32668471,9242781
2021-09-01,CANBK,159.0,162.2,157.2,161.05,16600381,5461565
2021-09-02,CANBK,161.65,162.95,158.4,159.1,18378252,5690126
2021-09-03,CANBK,159.35,163.45,159.1,160.7,19159144,5255795
2021-09-06,CANBK,161.7,164.0,159.75,160.05,16465948,6648706
2021-09-07,CANBK,160.7,160.7,155.2,156.1,15716324,4706806
2021-09-08,CANBK,156.1,161.15,155.7,157.75,17990305,4809668
2021-09-09,CANBK,157.0,159.7,156.65,157.5,6760623,1573951
2021-09-13,CANBK,157.0,158.1,155.45,156.8,6645239,1531644
2021-09-14,CANBK,157.0,157.9,154.65,155.25,9677274,4461742
2021-09-15,CANBK,156.4,162.05,155.5,161.6,19003954,9388524
2021-09-16,CANBK,161.6,167.8,160.45,166.75,37965546,17504315
2021-09-17,CANBK,169.3,171.25,159.2,162.75,44856907,12186070
2021-09-20,CANBK,159.0,163.2,154.4,154.95,13718062,4262254
2021-09-21,CANBK,156.3,157.4,152.05,154.95,14323425,3939354
2021-09-22,CANBK,155.8,159.1,155.0,156.85,11331789,3223138
2021-09-23,CANBK,158.2,163.0,158.0,160.8,18468123,7821240
2021-09-24,CANBK,161.0,161.7,157.2,157.7,7568187,3032789
2021-09-27,CANBK,159.1,161.75,158.1,159.9,10243714,4129580
2021-09-28,CANBK,160.0,164.9,159.95,163.7,15400565,6939238
2021-09-29,CANBK,161.8,172.0,161.7,168.15,35308289,11454694
2021-09-30,CANBK,168.95,177.5,168.55,173.0,44191136,9675065
2021-10-01,CANBK,172.4,178.95,168.0,176.85,32470585,6588439
2021-10-04,CANBK,177.4,182.95,177.1,182.1,25046490,6404853
2021-10-05,CANBK,182.0,183.4,178.2,179.75,16562629,4172424
2021-10-06,CANBK,180.1,183.4,173.45,174.45,18996875,4078657
2021-10-07,CANBK,176.55,177.5,173.6,174.85,11754552,3829108
2021-10-08,CANBK,177.0,178.95,171.7,177.25,18248941,7361871
2021-10-11,CANBK,179.0,180.95,175.55,176.65,16526973,5505465
2021-10-12,CANBK,177.0,188.0,176.0,187.05,42118897,16891199
2021-10-13,CANBK,189.0,189.65,184.65,186.6,31426577,12511829
2021-10-14,CANBK,187.9,195.0,186.9,193.55,27769060,7571917
2021-10-18,CANBK,195.8,204.25,193.6,198.95,36940320,10228005
2021-10-19,CANBK,200.9,201.5,189.1,190.7,23114976,7407157
2021-10-20,CANBK,190.2,197.35,186.65,195.3,21818788,4304279
2021-10-21,CANBK,197.1,201.0,192.25,199.6,28400298,5482872
2021-10-22,CANBK,201.0,203.35,196.1,198.6,23249476,4694375
2021-10-25,CANBK,199.6,206.75,198.85,201.95,30065875,6511553
2021-10-26,CANBK,203.0,207.5,191.25,193.35,60155155,10395418
2021-10-27,CANBK,198.85,203.8,197.25,200.8,41964959,15904227
2021-10-28,CANBK,200.95,202.8,194.5,195.4,28219533,13462365
2021-10-29,CANBK,194.65,218.65,191.1,214.5,72268109,14923075
2021-11-01,CANBK,215.0,215.95,208.85,214.65,17718714,2914862
2021-11-02,CANBK,216.0,226.45,214.0,224.25,38958818,8851977
2021-11-03,CANBK,224.75,229.65,222.0,225.95,31063219,8851981
2021-11-04,CANBK,227.65,231.0,227.0,228.8,4384463,1399213
2021-11-08,CANBK,229.95,246.0,228.75,244.25,48428300,13202924
2021-11-09,CANBK,245.0,247.6,241.0,242.8,23106634,4208155
2021-11-10,CANBK,242.0,244.15,234.0,235.95,17896872,2787804
2021-11-11,CANBK,236.2,238.35,229.35,231.6,13854474,2879646
2021-11-12,CANBK,233.0,233.95,226.55,230.8,15085718,3674895
2021-11-15,CANBK,232.45,232.85,226.7,227.6,7720720,1195165
2021-11-16,CANBK,228.05,229.35,221.0,222.05,10953363,3291307
2021-11-17,CANBK,221.0,226.5,219.5,220.05,15383307,4021535
2021-11-18,CANBK,220.9,222.95,215.85,219.55,12745860,2571558
2021-11-22,CANBK,220.0,220.65,206.4,211.8,13747409,3449950
2021-11-23,CANBK,210.0,217.75,209.0,216.1,11153911,1860813
2021-11-24,CANBK,217.15,219.0,212.95,213.5,9055584,1792634
2021-11-25,CANBK,214.15,216.0,212.05,215.05,6545665,904574
2021-11-26,CANBK,212.9,213.9,201.6,202.65,13422935,2731881
2021-11-29,CANBK,200.0,204.85,194.75,199.25,13510860,2088058
2021-11-30,CANBK,199.25,206.5,197.5,199.15,13602139,2676156
2021-12-01,CANBK,201.0,207.5,198.7,206.7,12217342,2378069
2021-12-02,CANBK,207.15,208.35,203.55,207.15,7804475,1535947
2021-12-03,CANBK,207.4,210.5,205.35,206.5,9921814,1743462
2021-12-06,CANBK,206.85,209.55,201.95,202.55,10904532,2968031
2021-12-07,CANBK,204.8,210.7,204.3,209.15,8950677,1442351
2021-12-08,CANBK,210.8,215.2,208.45,214.7,13075468,2769198
2021-12-09,CANBK,215.1,217.0,211.8,215.0,8750534,1538208
2021-12-10,CANBK,214.7,223.0,212.6,222.15,12169270,3202789
2021-12-13,CANBK,223.9,224.0,216.65,217.2,7861327,1645962
2021-12-14,CANBK,216.85,217.3,212.15,215.6,8291075,1510885
2021-12-15,CANBK,215.7,217.4,210.7,211.25,5799757,1410917
2021-12-16,CANBK,213.0,214.9,209.75,212.2,5365219,582913
2021-12-17,CANBK,211.4,211.4,201.1,202.1,9513709,2389776
2021-12-20,CANBK,199.0,200.0,188.1,190.85,11148548,2680593
2021-12-21,CANBK,193.85,195.85,190.4,192.2,7310594,1320684
2021-12-22,CANBK,194.4,202.35,194.25,197.7,12343053,1709276
2021-12-23,CANBK,199.4,203.8,197.9,200.5,9264197,1249034
2021-12-24,CANBK,201.7,201.9,193.0,193.95,10186277,1765625
2021-12-27,CANBK,190.0,196.5,186.4,195.6,10053249,882638
2021-12-28,CANBK,197.1,198.45,195.65,197.85,5387946,797580
2021-12-29,CANBK,197.05,199.45,195.7,196.7,5737095,1207843
2021-12-30,CANBK,196.0,196.4,193.5,195.0,6021677,1243355
2021-12-31,CANBK,196.05,201.35,195.85,199.95,7201753,1458301
2022-01-03,CANBK,199.7,206.4,198.6,205.45,7790751,1432532
2022-01-04,CANBK,206.45,209.0,204.35,206.55,9340933,1434591
2022-01-05,CANBK,206.5,212.05,205.15,211.0,11554362,2709613
2022-01-06,CANBK,208.95,213.75,207.45,212.5,10730879,2184976
2022-01-07,CANBK,213.25,215.6,209.7,212.3,8675299,1319157
2022-01-10,CANBK,213.3,220.8,213.3,219.7,10305642,2667381
2022-01-11,CANBK,217.25,223.25,217.25,221.4,11506031,3274497
2022-01-12,CANBK,222.8,226.15,221.5,222.75,8084558,2786551
2022-01-13,CANBK,222.6,227.15,220.7,225.35,8399690,1715047
2022-01-14,CANBK,224.9,228.35,223.5,227.65,8073327,2340275
2022-01-17,CANBK,227.6,230.35,227.1,227.7,4905876,905002
2022-01-18,CANBK,228.4,230.0,221.7,223.1,7247346,1214765
2022-01-19,CANBK,222.3,229.9,220.85,228.4,7422599,1133953
2022-01-20,CANBK,229.2,232.4,226.8,228.45,9890494,1841430
2022-01-21,CANBK,224.9,226.7,213.3,215.6,10638551,2637693
2022-01-24,CANBK,215.6,217.6,204.65,208.7,10454987,2146002
2022-01-25,CANBK,206.5,223.25,205.45,221.4,12089545,1746583
2022-01-27,CANBK,218.0,242.25,216.0,240.8,46941087,7553049
2022-01-28,CANBK,242.25,243.9,236.55,238.9,21796914,4026383
2022-01-31,CANBK,241.4,254.4,241.0,252.95,29420484,5683006
2022-02-01,CANBK,254.85,261.6,245.0,258.75,34673381,6992810
2022-02-02,CANBK,259.7,272.0,257.75,269.65,27204313,5237081
2022-02-03,CANBK,268.7,272.8,264.1,264.9,16775296,4079226
2022-02-04,CANBK,265.45,268.8,259.2,261.0,11744286,1758487
2022-02-07,CANBK,261.5,266.65,256.85,258.1,15923437,2541361
2022-02-08,CANBK,258.5,263.45,251.8,260.7,15401072,1501430
2022-02-09,CANBK,261.8,263.1,255.25,260.25,9234499,1113392
2022-02-10,CANBK,260.55,262.9,256.8,258.8,8841159,1282784
2022-02-11,CANBK,257.1,261.05,250.2,251.5,8807436,1831956
2022-02-14,CANBK,243.0,248.5,233.1,234.75,13572284,3076954
2022-02-15,CANBK,235.2,248.8,232.2,247.95,16312508,2498674
2022-02-16,CANBK,248.85,250.85,243.0,244.3,12589227,2419623
2022-02-17,CANBK,245.3,246.5,238.75,239.4,7285051,626060
2022-02-18,CANBK,238.55,244.2,237.15,238.25,9431843,1193485
2022-02-21,CANBK,237.55,240.4,232.15,232.95,13817283,2418241
2022-02-22,CANBK,221.0,231.9,221.0,230.45,15256952,3794656
2022-02-23,CANBK,232.0,235.25,228.2,229.15,8640472,1526072
2022-02-24,CANBK,206.25,224.0,206.25,208.3,20798209,4952102
2022-02-25,CANBK,216.0,222.8,214.0,218.45,16298297,2674936
2022-02-28,CANBK,216.5,220.7,214.35,219.6,12254727,2150804
2022-03-02,CANBK,217.85,218.9,212.2,216.15,10972135,1620111
2022-03-03,CANBK,219.6,220.6,213.75,214.95,9310428,1308915
2022-03-04,CANBK,213.75,217.5,209.3,210.15,14829510,1899608
2022-03-07,CANBK,205.5,205.65,196.4,200.85,15576434,2871933
2022-03-08,CANBK,201.0,210.7,199.5,209.35,20233877,4005866
2022-03-09,CANBK,211.5,213.35,208.5,212.0,14003051,2634706
2022-03-10,CANBK,219.5,221.95,213.05,214.4,17278570,2474479
2022-03-11,CANBK,214.0,219.4,212.5,217.95,10960139,1861334
2022-03-14,CANBK,218.0,222.5,215.2,221.15,12466233,1777778
2022-03-15,CANBK,221.15,226.7,217.65,218.9,14828169,2261946
2022-03-16,CANBK,221.4,225.85,221.3,224.4,8664324,1393958
2022-03-17,CANBK,230.0,230.75,225.05,226.05,10495295,2766848
2022-03-21,CANBK,227.3,228.15,224.0,224.95,9201763,2213596
2022-03-22,CANBK,225.0,227.1,220.15,226.0,9686196,2112682
2022-03-23,CANBK,227.4,230.4,224.3,225.3,8962738,2007691
2022-03-24,CANBK,223.4,227.9,222.6,225.65,6067113,1242992
2022-03-25,CANBK,226.0,227.9,223.75,225.3,5907873,928412
2022-03-28,CANBK,225.9,230.15,222.25,228.7,9254902,1717211
2022-03-29,CANBK,229.95,232.25,226.3,228.45,9375127,1857740
2022-03-30,CANBK,230.6,231.75,227.1,228.45,6248735,1208007
2022-03-31,CANBK,229.4,229.6,226.7,227.75,5027184,1127311
2022-04-01,CANBK,227.9,240.75,227.1,239.95,13977898,3286959
2022-04-04,CANBK,241.85,242.9,238.5,241.3,8712740,1433692
2022-04-05,CANBK,241.8,246.5,239.25,242.95,11834742,3072133
2022-04-06,CANBK,241.0,249.9,241.0,247.85,9897393,2949379
2022-04-07,CANBK,247.85,252.55,243.8,246.65,10970331,2138700
2022-04-08,CANBK,248.5,249.8,246.0,248.35,7207470,1463291
2022-04-11,CANBK,248.9,251.75,245.55,246.1,5030747,1276698
2022-04-12,CANBK,245.5,245.8,237.45,241.45,6398718,1022368
2022-04-13,CANBK,243.4,246.3,240.9,242.65,7330157,1691386
2022-04-18,CANBK,240.0,240.0,230.95,234.3,9131944,2998868
2022-04-19,CANBK,235.9,243.45,230.95,234.65,8888785,1850447
2022-04-20,CANBK,236.8,237.95,231.9,233.1,9543787,2384580
2022-04-21,CANBK,235.5,238.5,235.25,238.0,4048997,683099
2022-04-22,CANBK,235.0,237.7,232.8,233.25,4214287,1058070
2022-04-25,CANBK,231.1,231.45,226.25,228.05,6630818,1080987
2022-04-26,CANBK,231.45,236.45,230.0,235.55,5996766,788286
2022-04-27,CANBK,233.4,235.15,228.15,231.7,5465192,1092421
2022-04-28,CANBK,233.8,234.7,229.25,233.2,5760925,791873
2022-04-29,CANBK,234.4,237.15,228.55,229.65,5690309,1400474
2022-05-02,CANBK,227.4,230.35,226.1,229.75,4688902,583175
2022-05-04,CANBK,231.5,235.85,221.25,222.9,9509270,1858746
2022-05-05,CANBK,225.9,231.45,223.6,224.75,8539120,1831387
2022-05-06,CANBK,220.0,224.75,212.6,219.35,19232481,2438138
2022-05-09,CANBK,218.85,218.85,199.75,201.35,30864241,6785385
2022-05-10,CANBK,201.1,205.8,198.75,199.7,11222894,2353242
2022-05-11,CANBK,201.5,203.65,193.7,202.2,15338778,3835273
2022-05-12,CANBK,199.85,200.0,191.05,192.75,13704412,3434202
2022-05-13,CANBK,197.0,202.45,192.1,193.3,13271191,2416395
2022-05-16,CANBK,195.0,199.4,192.5,197.75,9400666,1170606
2022-05-17,CANBK,199.45,203.2,195.55,202.75,10595436,2211642
2022-05-18,CANBK,203.05,205.6,196.3,197.05,11340384,2774980
2022-05-19,CANBK,193.0,194.0,185.6,186.95,14263882,4196602
2022-05-20,CANBK,190.9,194.85,190.25,194.4,8032646,1519507
2022-05-23,CANBK,196.0,197.5,190.1,190.65,11494345,4461815
2022-05-24,CANBK,191.65,194.7,189.2,189.75,9610924,2727817
2022-05-25,CANBK,191.65,195.4,185.55,186.25,10698205,2853141
