Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,308.5,321.95,301.4,309.9,721884,183777,25.457968316239178
2020-09-06,307.0,318.0,283.5,313.7,619724,124567,20.1003995326952
2020-09-13,308.6,328.0,308.6,326.1,756357,136797,18.08630051681944
2020-09-20,334.5,338.35,320.05,329.9,745516,162901,21.85077181442115
2020-09-27,326.0,343.0,314.65,323.55,701962,171815,24.476396158196597
2020-10-04,326.95,335.0,320.8,322.3,604211,93629,15.49607670168203
2020-10-11,322.0,329.4,313.4,320.9,490855,100957,20.56758105754245
2020-10-18,323.95,333.0,311.1,328.6,583440,124297,21.30416152474976
2020-10-25,332.2,338.0,324.6,331.85,569206,90820,15.955559147303436
2020-11-01,337.9,338.0,320.25,327.1,532752,90246,16.93958915217587
2020-11-08,335.0,335.0,313.0,331.6,529617,88230,16.659208446858766
2020-11-15,326.3,340.0,324.6,331.65,532726,101613,19.07415819764757
2020-11-22,328.0,332.8,325.35,328.5,397849,94795,23.826879042048617
2020-11-29,332.7,345.95,325.85,340.75,515841,118306,22.934586432641066
2020-12-06,340.75,395.0,340.75,354.3,456746,115346,25.253861008087647
2020-12-13,354.3,359.65,344.6,352.2,479580,100099,20.872221527169607
2020-12-20,355.5,386.7,352.0,378.6,493686,99952,20.246067338348666
2020-12-27,380.0,381.65,360.0,377.8,357958,81601,22.79624983936663
2021-01-03,380.0,430.0,375.15,381.6,541105,143181,26.46085325398952
2021-01-10,386.0,406.45,375.25,378.45,709552,122696,17.29203779286085
2021-01-17,386.6,386.6,369.1,372.3,837476,131305,15.678658254087283
2021-01-24,378.75,387.75,368.0,373.75,806940,110283,13.666815376607927
2021-01-31,379.0,379.0,366.1,370.95,502170,81315,16.192723579664257
2021-02-07,375.0,404.55,370.05,383.7,621873,136018,21.87231154914267
2021-02-14,394.85,394.85,366.0,373.65,682011,160934,23.596980107358974
2021-02-21,377.8,405.1,368.0,370.5,685708,157967,23.037065339765615
2021-02-28,374.95,396.4,365.0,380.85,629272,172112,27.35097064544426
2021-03-07,380.0,390.0,374.9,376.0,775158,190933,24.6314944824152
2021-03-14,379.0,399.8,367.15,384.0,452809,82745,18.273709223977438
2021-03-21,385.0,385.0,370.3,374.05,589693,149562,25.36268872108029
2021-03-28,377.8,383.0,365.45,368.95,542175,107777,19.878636971457556
2021-04-04,373.6,391.3,371.3,379.1,337658,57022,16.887501554827665
2021-04-11,382.0,383.6,373.5,377.15,508123,110524,21.751426327877304
2021-04-18,378.5,378.5,370.25,370.6,402813,92082,22.859738886282223
2021-04-25,370.3,374.0,368.1,368.6,390243,74438,19.074781610432474
2021-05-02,373.0,373.0,366.15,370.55,555162,98683,17.77553218700127
2021-05-09,373.1,379.7,368.35,371.05,532087,59632,11.207189801667772
2021-05-16,375.0,375.75,369.8,370.5,288665,42431,14.699045606498885
2021-05-23,369.9,374.15,364.15,369.55,450049,76687,17.03970012154232
2021-05-30,375.0,388.7,367.55,380.7,456523,72538,15.88923230592982
2021-06-06,381.0,411.95,381.0,385.5,606968,98815,16.280100433630768
2021-06-13,380.5,398.2,380.25,389.0,506687,85058,16.787089465488556
2021-06-20,394.9,417.0,383.4,401.0,691665,144309,20.86400208193273
2021-06-27,400.05,460.6,385.0,436.55,3933472,1909782,48.55206799489103
2021-07-04,437.0,439.8,407.35,428.45,615173,247241,40.19048300234243
2021-07-11,428.45,444.0,409.5,426.9,783695,395943,50.52258850700847
2021-07-18,430.0,454.9,421.1,424.55,510589,155968,30.546682360959597
2021-07-25,419.95,428.45,406.8,416.0,158302,52719,33.30280097535091
2021-08-01,415.0,421.6,396.0,403.45,160212,89398,55.79981524480064
2021-08-08,405.0,413.6,383.75,398.95,245295,130030,53.00964145212907
2021-08-15,394.0,401.05,362.0,383.55,97802,40506,41.41633095437721
2021-08-22,387.5,387.5,365.1,372.2,37775,23788,62.97286565188617
2021-08-29,374.75,377.0,355.0,362.1,99285,87312,87.94077655234929
2021-09-05,360.0,369.5,356.5,367.7,87210,81229,93.1418415319344
2021-09-12,369.0,444.0,369.0,412.05,740446,220713,29.80811564921682
2021-09-19,417.85,577.3,413.35,486.65,2451788,826027,33.69080034652262
2021-09-26,480.4,646.0,458.9,603.75,1489527,616053,41.358968316787816
2021-10-03,609.0,636.0,586.0,622.6,213176,134650,63.163770780950955
2021-10-10,615.1,632.5,597.1,619.1,106002,67610,63.78181543744458
2021-10-17,625.0,681.0,611.3,650.55,101006,51819,51.302892897451635
