Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,CAPACITE,139.5,141.95,137.0,138.05,28027,17411
2020-08-27,CAPACITE,144.25,145.0,140.0,140.6,99107,46550
2020-08-28,CAPACITE,141.45,141.45,137.0,137.7,48756,33342
2020-08-31,CAPACITE,137.2,139.95,123.25,126.85,136888,91625
2020-09-01,CAPACITE,127.0,129.25,122.35,124.2,55664,30959
2020-09-02,CAPACITE,124.0,128.8,123.1,126.1,27671,12591
2020-09-03,CAPACITE,126.0,131.0,126.0,128.25,36873,15596
2020-09-04,CAPACITE,126.0,126.95,124.45,125.5,20861,12796
2020-09-07,CAPACITE,125.0,126.75,121.0,121.9,27117,14987
2020-09-08,CAPACITE,124.9,125.55,121.45,122.05,23877,14033
2020-09-09,CAPACITE,121.8,121.8,116.9,118.45,39873,28273
2020-09-10,CAPACITE,122.0,132.4,120.5,126.0,89858,35306
2020-09-11,CAPACITE,127.15,129.5,123.75,125.1,24817,9244
2020-09-14,CAPACITE,126.0,150.0,125.45,129.35,51486,30191
2020-09-15,CAPACITE,132.0,135.8,128.0,134.2,57871,30104
2020-09-16,CAPACITE,138.0,139.05,135.25,135.9,66003,32523
2020-09-17,CAPACITE,134.95,137.95,131.5,136.75,42058,23525
2020-09-18,CAPACITE,136.75,137.95,132.5,132.8,30549,17426
2020-09-21,CAPACITE,134.95,134.95,121.1,124.7,37803,24134
2020-09-22,CAPACITE,122.35,124.65,114.0,117.15,79251,48824
2020-09-23,CAPACITE,119.0,122.75,117.65,119.2,20227,12024
2020-09-24,CAPACITE,116.15,119.2,113.75,115.75,29221,18147
2020-09-25,CAPACITE,115.4,119.6,114.85,118.45,28712,15543
2020-09-28,CAPACITE,118.45,123.1,118.4,120.0,33939,22034
2020-09-29,CAPACITE,122.75,122.8,120.0,120.65,17860,9501
2020-09-30,CAPACITE,120.65,121.15,115.0,118.35,14555,7511
2020-10-01,CAPACITE,119.85,121.6,118.4,119.5,17450,9977
2020-10-05,CAPACITE,121.5,121.5,115.9,117.4,44453,29199
2020-10-06,CAPACITE,118.0,120.0,117.6,118.65,17591,9297
2020-10-07,CAPACITE,118.0,129.7,116.2,124.75,116574,41745
2020-10-08,CAPACITE,125.9,127.3,119.2,120.3,32487,18155
2020-10-09,CAPACITE,120.5,127.4,120.5,125.55,47448,33043
2020-10-12,CAPACITE,126.1,139.35,125.05,136.65,313177,193716
2020-10-13,CAPACITE,134.9,134.9,131.0,131.75,71152,32108
2020-10-14,CAPACITE,131.9,132.9,126.95,131.85,39993,21066
2020-10-15,CAPACITE,129.1,132.25,127.3,129.1,37352,27013
2020-10-16,CAPACITE,130.0,132.25,127.85,130.2,22592,12848
2020-10-19,CAPACITE,130.25,133.8,128.5,132.4,24755,16518
2020-10-20,CAPACITE,132.0,136.0,129.15,134.0,32087,19939
2020-10-21,CAPACITE,135.0,137.4,131.3,135.25,38268,19472
2020-10-22,CAPACITE,133.15,139.85,133.15,137.5,109464,46458
2020-10-23,CAPACITE,137.2,151.5,135.55,144.65,473372,151374
2020-10-26,CAPACITE,143.0,145.45,137.0,137.65,59964,37932
2020-10-27,CAPACITE,135.25,140.0,134.0,137.15,21503,9152
2020-10-28,CAPACITE,135.3,140.0,132.35,136.35,48776,29431
