Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,CARBORUNIV,704.9,732.65,698.85,724.15,261488,160781
2021-08-24,CARBORUNIV,731.0,765.0,725.1,737.1,503047,259675
2021-08-25,CARBORUNIV,758.0,761.2,731.0,739.1,249859,157061
2021-08-26,CARBORUNIV,742.0,775.0,736.95,760.25,474674,287457
2021-08-27,CARBORUNIV,764.8,800.0,764.0,783.35,335434,182054
2021-08-30,CARBORUNIV,800.9,816.0,797.0,801.4,262276,184137
2021-08-31,CARBORUNIV,804.0,843.0,798.35,829.95,509312,395790
2021-09-01,CARBORUNIV,834.0,842.65,810.15,815.2,297849,220292
2021-09-02,CARBORUNIV,818.0,824.55,803.0,817.0,339719,256728
2021-09-03,CARBORUNIV,819.4,843.4,805.25,819.95,316689,212608
2021-09-06,CARBORUNIV,826.7,859.65,815.0,830.35,265612,179843
2021-09-07,CARBORUNIV,836.0,838.85,806.25,816.7,229571,168612
2021-09-08,CARBORUNIV,813.35,848.0,808.3,840.05,901549,700226
2021-09-09,CARBORUNIV,841.0,922.95,840.05,913.7,742717,259706
2021-09-13,CARBORUNIV,911.8,937.05,905.0,913.75,576994,412280
2021-09-14,CARBORUNIV,920.0,951.95,905.2,928.15,583813,413374
2021-09-15,CARBORUNIV,927.0,930.05,913.0,919.9,126278,88462
2021-09-16,CARBORUNIV,920.05,924.4,874.8,883.45,309940,221082
2021-09-17,CARBORUNIV,885.0,886.0,826.7,859.15,3236651,2766436
2021-09-20,CARBORUNIV,859.15,878.0,836.0,850.15,136301,79014
2021-09-21,CARBORUNIV,840.0,865.85,818.0,855.6,211559,133759
2021-09-22,CARBORUNIV,867.9,875.0,845.95,850.05,68263,36080
2021-09-23,CARBORUNIV,853.0,879.0,842.0,875.1,135800,77594
2021-09-24,CARBORUNIV,878.0,878.0,854.15,872.45,75084,48030
2021-09-27,CARBORUNIV,872.45,881.25,858.1,875.75,125759,90753
2021-09-28,CARBORUNIV,881.8,882.0,850.1,865.75,626467,588078
2021-09-29,CARBORUNIV,863.4,880.0,857.25,869.9,107697,77184
2021-09-30,CARBORUNIV,865.1,899.0,865.1,887.55,966932,898154
2021-10-01,CARBORUNIV,883.95,892.05,866.65,872.9,322798,285487
2021-10-04,CARBORUNIV,877.9,896.0,867.45,893.45,152859,77520
2021-10-05,CARBORUNIV,890.0,892.6,875.0,879.7,163804,125326
2021-10-06,CARBORUNIV,884.95,891.0,859.0,867.05,69037,39508
2021-10-07,CARBORUNIV,875.0,882.0,865.0,868.3,60598,38504
2021-10-08,CARBORUNIV,876.3,885.0,868.2,870.9,47958,25491
2021-10-11,CARBORUNIV,875.3,889.9,870.0,884.05,321330,296437
2021-10-12,CARBORUNIV,888.4,922.0,885.6,893.9,160183,82005
2021-10-13,CARBORUNIV,901.7,915.0,890.2,901.75,200064,157722
2021-10-14,CARBORUNIV,910.7,918.5,880.9,883.1,112383,70879
2021-10-18,CARBORUNIV,883.1,910.0,883.1,899.4,123856,88347
2021-10-19,CARBORUNIV,904.0,910.8,850.05,876.15,98755,60594
2021-10-20,CARBORUNIV,876.0,876.0,825.0,835.7,207061,167921
2021-10-21,CARBORUNIV,830.0,890.0,830.0,884.15,382955,322279
2021-10-22,CARBORUNIV,888.8,888.8,832.9,844.95,119992,76121
2021-10-25,CARBORUNIV,844.0,885.0,825.0,845.95,109803,84065
2021-10-26,CARBORUNIV,844.4,880.0,837.4,867.65,46680,23008
2021-10-27,CARBORUNIV,872.75,875.65,851.05,860.7,102924,79923
2021-10-28,CARBORUNIV,855.3,864.9,830.0,846.05,79150,50638
2021-10-29,CARBORUNIV,842.2,853.65,831.0,839.3,72847,40419
2021-11-01,CARBORUNIV,839.3,865.0,815.25,833.95,224991,108834
2021-11-02,CARBORUNIV,827.0,860.0,824.05,855.05,114935,70173
2021-11-03,CARBORUNIV,859.0,859.0,830.1,835.1,123973,106263
2021-11-04,CARBORUNIV,845.7,855.0,840.85,848.25,13253,8541
2021-11-08,CARBORUNIV,850.9,884.0,830.0,876.5,214354,144915
2021-11-09,CARBORUNIV,878.0,889.4,843.05,858.35,305535,228018
2021-11-10,CARBORUNIV,868.0,884.45,846.65,872.2,181018,117548
2021-11-11,CARBORUNIV,872.2,925.0,861.35,910.7,224449,108528
2021-11-12,CARBORUNIV,919.7,919.7,891.0,916.1,448984,393190
2021-11-15,CARBORUNIV,916.0,935.7,894.25,926.0,768490,82383
2021-11-16,CARBORUNIV,925.0,925.0,890.0,902.05,89252,43984
2021-11-17,CARBORUNIV,898.0,919.35,896.1,913.55,98486,67931
2021-11-18,CARBORUNIV,910.0,917.2,887.5,903.7,100258,66027
2021-11-22,CARBORUNIV,902.0,904.0,886.0,895.25,159031,98558
2021-11-23,CARBORUNIV,897.5,909.45,880.0,902.95,342771,284325
2021-11-24,CARBORUNIV,920.0,992.0,911.0,981.55,2070446,686866
2021-11-25,CARBORUNIV,994.0,1010.2,952.1,961.6,575268,121821
2021-11-26,CARBORUNIV,960.0,988.35,902.0,916.1,441562,164320
2021-11-29,CARBORUNIV,899.6,916.3,880.0,894.35,268267,129650
2021-11-30,CARBORUNIV,892.35,933.3,881.8,917.7,1054420,801896
2021-12-01,CARBORUNIV,897.0,909.9,885.0,889.9,187825,114782
