Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,CAREERP,135.5,137.25,133.3,136.8,12132
2020-08-20,CAREERP,136.5,144.95,136.0,141.45,24688
2020-08-21,CAREERP,141.9,146.8,140.45,142.15,75132
2020-08-24,CAREERP,143.0,150.5,141.3,146.65,68950
2020-08-25,CAREERP,148.5,151.0,142.05,144.7,28281
2020-08-26,CAREERP,146.45,157.5,145.0,155.2,145976
2020-08-27,CAREERP,160.0,171.8,158.0,163.8,214493
2020-08-28,CAREERP,164.6,168.0,150.0,153.8,89479
2020-08-31,CAREERP,157.5,160.2,145.0,145.95,69261
2020-09-01,CAREERP,142.5,148.4,140.1,143.75,10655
2020-09-02,CAREERP,146.45,153.8,144.2,151.95,25627
2020-09-03,CAREERP,152.0,153.0,149.05,150.2,16604
2020-09-04,CAREERP,145.0,150.9,145.0,147.35,13794
2020-09-07,CAREERP,149.1,153.15,146.25,151.65,24014
2020-09-08,CAREERP,151.1,174.0,148.6,169.05,123010
2020-09-09,CAREERP,163.1,163.1,157.05,160.6,42751
2020-09-10,CAREERP,161.0,169.0,159.05,166.65,41631
2020-09-11,CAREERP,166.65,171.7,161.0,164.85,24756
2020-09-14,CAREERP,164.85,169.85,159.55,166.8,39478
2020-09-15,CAREERP,168.0,168.0,162.0,163.2,19951
2020-09-16,CAREERP,163.35,167.7,163.0,163.85,19323
2020-09-17,CAREERP,161.75,163.25,158.25,158.55,14811
2020-09-18,CAREERP,157.95,173.5,156.55,170.0,94260
2020-09-21,CAREERP,171.7,183.4,168.2,171.7,186324
2020-09-22,CAREERP,172.85,174.3,164.95,168.75,53010
2020-09-23,CAREERP,170.15,173.6,165.0,165.8,16169
2020-09-24,CAREERP,165.5,165.5,157.5,159.6,23620
2020-09-25,CAREERP,164.65,171.0,162.0,167.0,11985
2020-09-28,CAREERP,166.5,171.35,164.15,165.4,14514
2020-09-29,CAREERP,167.05,168.9,162.65,163.55,9447
2020-09-30,CAREERP,164.15,178.0,160.35,171.15,33626
2020-10-01,CAREERP,173.35,173.35,166.0,168.9,10919
2020-10-05,CAREERP,165.0,176.05,165.0,170.45,12183
2020-10-06,CAREERP,172.0,172.0,167.45,168.4,6742
2020-10-07,CAREERP,170.0,170.0,160.45,161.95,18799
2020-10-08,CAREERP,163.1,168.7,160.1,161.3,14704
2020-10-09,CAREERP,161.6,185.0,161.05,178.8,120699
2020-10-12,CAREERP,180.9,185.25,175.0,175.95,82683
2020-10-13,CAREERP,178.0,178.6,171.5,175.7,18715
2020-10-14,CAREERP,172.0,177.25,172.0,174.5,13392
2020-10-15,CAREERP,173.05,185.0,172.5,173.8,28344
2020-10-16,CAREERP,177.0,177.0,171.95,173.8,9187
2020-10-19,CAREERP,174.75,179.5,172.0,173.6,8248
2020-10-20,CAREERP,173.65,175.8,170.0,170.3,11949
2020-10-21,CAREERP,171.85,173.1,167.95,168.6,10236
2020-10-22,CAREERP,165.1,174.8,165.1,168.7,8573
2020-10-23,CAREERP,169.85,172.5,168.6,169.6,6877
2020-10-26,CAREERP,169.15,169.15,166.0,166.85,7239
2020-10-27,CAREERP,165.4,168.5,165.0,166.35,4130
2020-10-28,CAREERP,165.0,176.0,163.2,173.05,19664
2020-10-29,CAREERP,174.5,174.55,167.0,167.85,7851
2020-10-30,CAREERP,169.15,169.4,165.1,166.55,4426
2020-11-02,CAREERP,167.25,170.05,166.3,167.35,4507
2020-11-03,CAREERP,167.35,168.85,165.1,165.45,4739
2020-11-04,CAREERP,166.95,168.7,151.0,154.7,37634
2020-11-05,CAREERP,155.1,160.0,152.1,155.65,16191
2020-11-06,CAREERP,155.65,164.7,155.65,157.95,14314
2020-11-09,CAREERP,163.6,163.6,157.75,160.05,10043
2020-11-10,CAREERP,160.55,181.4,160.55,169.65,71581
2020-11-11,CAREERP,168.2,173.0,164.1,165.75,32499
2020-11-12,CAREERP,164.1,172.0,164.0,169.8,31031
2020-11-13,CAREERP,170.1,175.0,167.65,171.1,23076
2020-11-14,CAREERP,171.0,173.4,167.85,169.75,5395
2020-11-17,CAREERP,170.0,171.5,167.45,169.5,9583
2020-11-18,CAREERP,169.15,169.15,164.55,166.1,16195
2020-11-19,CAREERP,166.6,169.7,162.25,167.9,14670
2020-11-20,CAREERP,169.7,169.7,163.0,164.55,10831
2020-11-23,CAREERP,164.0,171.3,164.0,166.8,22924
2020-11-24,CAREERP,166.0,167.3,164.5,165.35,9719
2020-11-25,CAREERP,165.75,167.3,161.0,161.75,13103
2020-11-26,CAREERP,161.75,163.45,160.15,162.35,10161
2020-11-27,CAREERP,162.4,170.0,161.9,164.5,13093
2020-12-01,CAREERP,163.0,172.35,162.45,171.15,72652
2020-12-02,CAREERP,172.0,183.95,170.15,175.65,163581
2020-12-03,CAREERP,176.0,177.85,172.0,173.85,20080
2020-12-04,CAREERP,171.3,176.75,170.1,171.3,29002
2020-12-07,CAREERP,171.9,174.0,170.85,172.15,12992
2020-12-08,CAREERP,173.7,174.6,167.05,169.0,23298
2020-12-09,CAREERP,170.05,172.85,168.05,169.1,24709
2020-12-10,CAREERP,171.0,173.5,167.2,170.55,13379
2020-12-11,CAREERP,170.6,172.0,166.1,167.4,15555
2020-12-14,CAREERP,168.5,169.95,166.1,166.6,12688
2020-12-15,CAREERP,168.95,168.95,166.1,166.7,5790
2020-12-16,CAREERP,166.75,173.95,164.75,172.9,30192
2020-12-17,CAREERP,173.85,178.0,170.0,171.6,31657
2020-12-18,CAREERP,172.95,176.0,168.2,172.35,18641
2020-12-21,CAREERP,174.95,174.95,158.5,161.6,26435
2020-12-22,CAREERP,164.25,164.25,156.8,161.45,9057
2020-12-23,CAREERP,163.75,165.0,161.95,164.85,7945
2020-12-24,CAREERP,165.4,168.0,162.45,164.15,8899
2020-12-28,CAREERP,166.8,167.0,162.0,162.7,17461
2020-12-29,CAREERP,164.05,164.95,160.9,161.25,11289
2020-12-30,CAREERP,163.85,163.9,159.6,160.35,8218
2020-12-31,CAREERP,162.2,163.0,158.45,159.55,27576
2021-01-01,CAREERP,162.65,162.9,156.55,158.15,32260
2021-01-04,CAREERP,159.0,161.5,158.0,158.85,11188
2021-01-05,CAREERP,158.9,160.0,157.85,158.6,8160
2021-01-06,CAREERP,160.3,166.1,158.8,161.75,30063
2021-01-07,CAREERP,164.8,164.8,161.25,161.8,10901
2021-01-08,CAREERP,163.6,163.7,161.0,161.65,11173
2021-01-11,CAREERP,164.4,164.4,161.0,161.7,12320
2021-01-12,CAREERP,161.05,161.95,160.0,160.35,8017
2021-01-13,CAREERP,170.0,174.4,165.55,166.65,87970
2021-01-14,CAREERP,168.5,189.9,162.35,183.2,217871
2021-01-15,CAREERP,184.85,191.0,182.0,183.75,119659
2021-01-18,CAREERP,188.7,188.7,172.0,175.1,36290
2021-01-19,CAREERP,175.5,177.6,170.75,172.25,28465
2021-01-20,CAREERP,173.7,174.35,166.6,168.15,32993
2021-01-21,CAREERP,172.8,172.8,162.5,163.05,34975
2021-01-22,CAREERP,164.85,164.9,157.55,159.95,26394
2021-01-25,CAREERP,163.7,167.65,156.45,160.05,19567
2021-01-27,CAREERP,160.1,162.15,157.8,158.5,9647
2021-01-28,CAREERP,162.95,162.95,156.6,159.35,8062
2021-01-29,CAREERP,160.1,161.95,158.0,158.45,13283
2021-02-01,CAREERP,158.45,163.4,158.05,159.65,12559
2021-02-02,CAREERP,161.3,166.0,159.0,160.1,26421
2021-02-03,CAREERP,167.0,167.0,157.35,158.2,48448
2021-02-04,CAREERP,158.2,161.95,157.8,158.65,22423
2021-02-05,CAREERP,162.75,162.75,156.7,157.45,21317
2021-02-08,CAREERP,159.0,162.05,158.95,159.45,13823
2021-02-09,CAREERP,158.9,159.8,157.55,158.05,17902
2021-02-10,CAREERP,158.05,158.85,156.7,157.35,8356
2021-02-11,CAREERP,160.9,160.9,157.0,159.3,10684
2021-02-12,CAREERP,160.5,163.9,158.1,161.3,21091
2021-02-15,CAREERP,164.0,164.0,161.2,162.9,25041
2021-02-16,CAREERP,162.75,163.85,159.0,159.65,9358
2021-02-17,CAREERP,160.05,160.05,153.95,156.75,19680
2021-02-18,CAREERP,156.75,163.3,156.75,158.25,17592
2021-02-19,CAREERP,158.05,159.85,157.1,157.55,6777
2021-02-22,CAREERP,159.95,159.95,151.5,151.75,33113
2021-02-23,CAREERP,155.0,155.0,152.0,153.15,5961
2021-02-24,CAREERP,154.85,159.65,151.05,154.0,9482
2021-02-25,CAREERP,156.0,156.9,153.95,154.95,9077
2021-02-26,CAREERP,150.0,154.8,150.0,153.7,7413
2021-03-01,CAREERP,153.0,154.35,150.0,150.75,23433
2021-03-02,CAREERP,151.05,154.9,148.5,150.0,16534
2021-03-03,CAREERP,151.0,151.0,146.0,147.1,54436
2021-03-04,CAREERP,149.0,149.0,147.05,148.8,12464
2021-03-05,CAREERP,150.55,150.55,146.0,147.35,8359
2021-03-08,CAREERP,147.35,149.1,144.5,144.8,21495
2021-03-09,CAREERP,144.5,147.2,138.0,140.05,39545
2021-03-10,CAREERP,141.0,144.45,140.8,143.2,14391
2021-03-12,CAREERP,147.8,147.8,142.5,143.95,14705
2021-03-15,CAREERP,145.05,147.5,139.05,140.45,14922
2021-03-16,CAREERP,140.85,143.0,140.1,141.15,8920
2021-03-17,CAREERP,144.85,144.85,140.05,140.2,13461
2021-03-18,CAREERP,139.85,152.45,139.85,141.4,25770
2021-03-19,CAREERP,140.3,142.4,136.7,137.9,32011
2021-03-22,CAREERP,138.0,139.95,136.05,139.15,8657
2021-03-23,CAREERP,140.15,143.05,138.55,139.65,6649
2021-03-24,CAREERP,140.05,140.05,136.3,137.05,7677
2021-03-25,CAREERP,141.8,143.05,135.0,136.2,13176
2021-03-26,CAREERP,137.9,139.0,130.55,132.4,17131
2021-03-30,CAREERP,133.05,137.55,132.95,134.05,8037
2021-03-31,CAREERP,132.25,133.55,129.6,130.45,8532
2021-04-01,CAREERP,131.9,143.15,130.6,139.8,13812
2021-04-05,CAREERP,138.1,140.9,130.85,131.95,21058
2021-04-06,CAREERP,133.0,133.5,130.5,131.3,20249
2021-04-07,CAREERP,131.9,132.25,130.0,130.95,30530
2021-04-08,CAREERP,133.5,136.9,132.55,135.2,13789
2021-04-09,CAREERP,136.4,136.6,132.6,134.05,8145
2021-04-12,CAREERP,133.05,137.9,126.6,133.2,12876
2021-04-13,CAREERP,133.15,133.9,128.35,129.8,10240
