Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,3.35,3.55,3.25,3.45,276830,228635,82.59039843947549,27.530132813158662,82.59039843947549
2020-09-06,3.5,3.5,3.0,3.2,227661,158580,69.65619934903211,13.59889294335229,12.934199090443386
2020-09-13,3.2,3.25,2.9,3.15,219964,167676,76.22883744612756,46.26839470597836,-63.29463835568417
2020-09-20,3.3,3.3,2.95,3.05,297002,203776,68.61098578460752,16.863686512575036,-131.9056241402917
2020-09-27,3.15,3.15,2.7,2.85,162723,125285,76.99280372166196,-8.800581394645615,-208.89842786195368
2020-10-04,2.85,2.95,2.75,2.9,83972,54305,64.67036631258038,23.534601761644435,-144.2280615493733
2020-10-11,3.0,3.1,2.9,2.95,236637,191576,80.95775385928658,-16.94427516799868,-63.270307690086725
2020-10-18,3.1,3.1,2.8,2.95,206816,164401,79.49143199752436,-16.944275167998562,-63.270307690086725
2020-10-25,3.05,3.1,2.9,3.1,175115,117170,66.91031607800588,49.966040910007315,3.6400083879191527
2020-11-01,3.15,3.15,2.95,3.0,168084,120949,71.95747364413032,13.987304087942078,-68.31746525621116
2020-11-08,3.0,3.1,2.9,3.05,133010,89799,67.51296894970304,47.74378856279345,-0.8044963065081276
2020-11-15,3.0,3.8,2.95,3.4,582132,436049,74.90551971030625,52.149995604576155,74.10102340379812
2020-11-22,3.6,3.65,3.3,3.35,190546,138689,72.78504927943908,0.16067469069120222,1.3159741243590446
2020-11-29,3.45,3.6,3.35,3.45,192089,144368,75.15682834519416,-14.870690978347575,76.4728024695532
2020-12-06,3.55,3.75,3.35,3.7,411409,270733,65.8062900908828,34.48402658981458,142.279092560436
2020-12-13,3.75,6.9,3.65,6.9,1424893,1190699,83.56409919902758,118.04812578884216,225.8431917594636
2020-12-20,7.2,7.2,6.15,6.15,654483,536429,81.96225112034996,36.085874668492195,143.88094063911365
2020-12-27,,,,,0,0,,36.085874668492195,143.88094063911365
2021-01-03,,,,,0,0,,36.085874668492195,143.88094063911365
2021-01-10,,,,,0,0,,36.085874668492195,143.88094063911365
2021-01-17,,,,,0,0,,36.085874668492195,143.88094063911365
2021-01-24,,,,,0,0,,36.085874668492195,143.88094063911365
2021-01-31,,,,,0,0,,36.085874668492195,143.88094063911365
2021-02-07,4.8,5.25,4.8,4.95,246521,179154,72.6729163032764,11.861569234066824,143.88094063911365
2021-02-14,5.4,5.4,4.75,4.8,479453,357945,74.65695281915016,-51.30969853598336,69.22398781996348
2021-02-21,4.95,5.3,4.7,4.75,434292,290495,66.88932791762224,-107.05080513400193,2.3346599023412438
2021-02-28,4.9,5.15,4.45,4.9,202992,125469,61.80982501773469,-89.39085512893487,64.14448492007594
2021-03-07,4.95,5.15,4.65,4.95,234832,172895,73.62497444981945,-74.66586023897104,137.7694593698954
2021-03-14,5.15,5.15,4.8,4.85,191831,133233,69.45332089182666,-124.27537516170446,68.31613847806874
2021-03-21,5.05,5.05,4.15,4.55,287723,199392,69.29998644529634,-131.97537365562633,-0.9838479672276037
2021-03-28,4.55,4.55,3.8,3.9,359477,249367,69.36938941851635,-182.84625922920497,-70.35323738574395
2021-04-04,4.25,4.5,3.9,4.45,128959,80669,62.5539900278383,-130.71793420600636,-7.799247357905649
2021-04-11,4.5,4.65,3.95,4.45,229560,172377,75.09017250392054,-98.53643170432616,-7.799247357905649
2021-04-18,4.45,4.45,3.6,3.95,277051,203517,73.45831633886901,-111.49966399942069,-81.25756369677467
2021-04-25,3.9,4.1,3.35,3.9,341431,244331,71.56087174275329,-78.10459051946913,-152.81843543952795
2021-05-02,4.0,5.25,3.25,4.55,1218619,597316,49.01581216114306,-63.399846871126215,-103.80262327838489
2021-05-09,4.55,4.9,3.8,4.5,353636,239259,67.65685620242283,-44.947976997738195,-171.45947948080772
2021-05-16,4.6,5.8,4.35,5.8,2003188,1017908,50.81440184346152,5.866424845723323,-120.64507763734619
2021-05-23,6.2,6.2,5.05,5.4,1532159,869145,56.72681490628584,-16.331024465431963,-177.37189254363204
2021-05-30,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-06-06,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-06-13,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-06-20,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-06-27,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-07-04,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-07-11,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-07-18,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-07-25,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-08-01,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-08-08,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-08-15,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-08-22,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-08-29,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-09-05,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-09-12,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-09-19,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-09-26,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-10-03,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-10-10,,,,,0,0,,-16.331024465431963,-177.37189254363204
2021-10-17,7.8,7.85,7.1,7.3,277930,217029,78.08764796891303,-52.77192685092467,-177.37189254363204
2021-10-24,7.3,7.6,6.7,6.8,502879,314841,62.607704835556866,-101.46680838969117,-239.9795973791889
2021-10-31,7.05,7.2,6.5,6.65,343687,215818,62.794926779307914,-137.34962369215276,-302.77452415849683
2021-11-07,6.8,7.25,6.6,7.15,181719,140532,77.33478612583164,-83.81015637426921,-225.4397380326652
2021-11-14,7.25,7.35,6.75,6.85,377954,285592,75.56263460632775,-134.18524611182113,-301.00237263899294
2021-11-21,6.75,7.2,6.55,6.85,541640,392356,72.43852005021786,-139.75743996183797,-301.00237263899294
2021-11-28,7.15,7.2,6.65,6.85,298045,220201,73.88179637303092,-159.9070207908466,-301.00237263899294
2021-12-05,6.7,7.85,6.5,7.65,761423,581831,76.41363604724313,-106.13446209093468,-224.5887365917498
2021-12-12,7.5,9.15,7.15,8.65,1371753,871425,63.5263782911355,-74.37127294536693,-161.0623583006143
2021-12-19,8.85,10.6,8.1,10.6,2118333,1304661,61.5890419494952,-12.782230995871728,-99.47331635111911
2021-12-26,10.5,10.5,8.75,9.15,939638,568138,60.463497644837695,-45.60527257449788,-159.9368139959568
2022-01-02,9.35,9.7,8.75,9.1,906225,580803,64.09037490689398,-62.471160707891045,-224.0271889028508
2022-01-09,9.25,9.4,9.0,9.2,255206,183356,71.84627320674278,-62.471160707891364,-152.18091569610803
