Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,379.5,436.0,363.65,425.6,12409990,4474410,36.05490415383091
2020-09-06,427.0,513.9,396.1,464.9,32017441,6115663,19.10103621335634
2020-09-13,467.5,480.0,433.1,445.85,9881961,2086738,21.116638691450007
2020-09-20,451.0,494.4,451.0,469.15,8518051,2338212,27.450082184293095
2020-09-27,470.0,488.3,420.3,474.1,10289984,2326845,22.612717376431295
2020-10-04,478.5,506.0,473.1,484.95,7716001,1498210,19.416923351876186
2020-10-11,486.1,489.65,461.25,464.7,3363334,1099092,32.678645653390355
2020-10-18,465.7,488.4,448.1,453.45,4492285,1516382,33.75524927737221
2020-10-25,455.0,477.8,442.1,460.35,5015956,1529852,30.499709327593784
2020-11-01,465.0,487.95,455.05,483.15,6358563,2032285,31.96138813124915
2020-11-08,486.0,486.95,458.7,464.35,2643852,1008346,38.139275572157594
2020-11-15,467.3,503.8,464.0,498.7,7927257,2208313,27.857214670850205
2020-11-22,500.8,514.85,478.0,488.55,5356561,1813749,33.86032568284016
2020-11-29,491.0,502.7,467.15,489.7,5836302,2748230,47.08855024979859
2020-12-06,493.5,566.4,487.2,547.05,11265619,3450467,30.62829481451485
2020-12-13,544.95,546.0,516.8,523.0,6891299,2528448,36.69044109100476
2020-12-20,526.7,534.3,511.15,518.8,4916103,2029830,41.28941155219897
2020-12-27,518.0,527.5,475.0,517.85,4088104,1403566,34.3329328216699
2021-01-03,522.0,538.5,515.45,531.6,3509793,1253611,35.71751952323115
2021-01-10,534.2,551.0,518.05,538.55,5935806,2054542,34.6126878135842
2021-01-17,539.8,544.0,514.6,516.1,3565355,1493107,41.878214090882956
2021-01-24,515.0,526.6,500.0,505.4,2931511,1195854,40.79309270884537
2021-01-31,509.1,512.6,476.35,482.7,3114871,1366253,43.86226588516828
2021-02-07,484.0,536.0,483.15,509.9,5194441,2061512,39.686888348524896
2021-02-14,515.0,540.0,510.05,538.05,4707878,1679053,35.664751720414166
2021-02-21,553.0,592.9,545.0,571.1,10893986,2679224,24.593606050163825
2021-02-28,575.0,638.0,574.95,624.1,10580756,2939918,27.785519295596643
2021-03-07,632.0,639.3,597.2,599.9,4047748,1969570,48.65841450604139
2021-03-14,602.9,608.95,583.15,586.75,1905152,986944,51.80395055092717
2021-03-21,590.6,647.0,565.5,609.5,8103608,3287025,40.562487721518615
2021-03-28,615.0,656.75,604.4,644.8,5490979,1852124,33.73030565223433
2021-04-04,645.0,674.0,621.35,655.65,2397408,873470,36.433931979871595
2021-04-11,659.0,769.95,639.0,750.85,12620868,2392703,18.958307780415737
2021-04-18,739.95,739.95,691.25,725.2,2672864,1009018,37.750442970536476
2021-04-25,715.2,735.5,696.0,720.65,1754182,741043,42.24436232956443
2021-05-02,725.0,827.0,725.0,806.8,4773182,1535265,32.16439264205723
2021-05-09,806.95,832.0,770.05,798.7,4047645,1659111,40.989538361195216
2021-05-16,808.0,834.0,792.0,829.85,3605840,1634504,45.32935460253367
2021-05-23,840.0,898.0,840.0,871.1,4164685,1590019,38.17861374869888
2021-05-30,877.2,986.9,870.0,971.65,5178803,1670586,32.258149228692425
2021-06-06,995.0,1008.7,945.0,973.55,4146632,1668655,40.24121262750106
2021-06-13,973.6,998.35,962.0,975.7,2095751,994536,47.45487417159768
2021-06-20,979.5,1029.95,950.05,984.9,3439343,1523607,44.29936182579057
2021-06-27,971.0,1005.0,916.15,971.9,5281241,2886733,54.66012628471225
2021-07-04,980.0,1058.9,971.5,1034.75,3320280,1410978,42.49575337019769
2021-07-11,1042.0,1064.0,1010.1,1052.55,3141544,1286385,40.94754044508051
2021-07-18,1061.0,1496.9,1053.45,1449.3,18877248,4026873,21.331885876585403
2021-07-25,1437.95,1579.0,1345.05,1501.7,7365739,1960620,26.618103085107958
2021-08-01,,,,,0,0,
2021-08-08,,,,,0,0,
2021-08-15,,,,,0,0,
2021-08-22,,,,,0,0,
2021-08-29,,,,,0,0,
2021-09-05,,,,,0,0,
2021-09-12,,,,,0,0,
2021-09-19,,,,,0,0,
2021-09-26,,,,,0,0,
2021-10-03,,,,,0,0,
2021-10-10,,,,,0,0,
2021-10-17,,,,,0,0,
2021-10-24,,,,,0,0,
2021-10-31,1375.0,1419.0,1280.0,1353.15,1919922,1222216,63.65966950740707
2021-11-07,1400.0,1482.35,1356.15,1467.9,2813253,1670180,59.36828290950014
2021-11-14,1470.0,1495.0,1430.0,1485.0,2471706,1343597,54.35909448777484
2021-11-21,1510.0,1624.0,1466.95,1502.4,4018234,1680847,41.83049070810709
2021-11-28,1505.1,1509.95,1395.0,1414.65,2587182,1237805,47.84375432420293
2021-12-05,1391.0,1594.0,1293.7,1522.65,6326011,2398535,37.91544150018076
2021-12-12,1522.65,1590.0,1481.0,1529.45,5991731,1979104,33.030588322473086
2021-12-19,1542.25,1734.4,1538.25,1557.7,12209430,3793025,31.0663560870573
2021-12-26,1520.0,1530.0,1445.05,1463.6,4216374,1803573,42.775451134078715
2022-01-02,1461.0,1529.95,1444.0,1499.8,3021302,1329045,43.989147725053634
2022-01-09,1502.0,1540.0,1501.05,1532.85,665708,343489,51.59754727297854
