Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,CEBBCO,14.1,15.45,14.1,15.45,169353,142993
2020-08-27,CEBBCO,16.35,16.95,15.75,16.7,295459,199516
2020-08-28,CEBBCO,17.2,18.0,16.5,17.7,347849,194807
2020-08-31,CEBBCO,18.0,18.3,16.0,16.25,188015,113510
2020-09-01,CEBBCO,16.0,16.0,14.65,15.25,91830,62990
2020-09-02,CEBBCO,14.7,16.0,14.25,15.8,39501,30104
2020-09-03,CEBBCO,16.9,17.35,15.9,16.8,79353,56549
2020-09-04,CEBBCO,16.65,17.95,16.25,17.2,137957,96838
2020-09-07,CEBBCO,17.25,17.95,16.25,16.75,60232,38706
2020-09-08,CEBBCO,16.55,16.7,15.9,16.15,44107,26722
2020-09-09,CEBBCO,15.7,16.5,15.4,16.2,28006,16574
2020-09-10,CEBBCO,16.2,16.75,15.9,15.95,52978,40147
2020-09-11,CEBBCO,16.2,16.2,15.6,15.75,14848,13749
2020-09-14,CEBBCO,16.6,16.85,15.8,16.15,71749,43131
2020-09-15,CEBBCO,16.3,16.3,15.85,16.05,20549,15209
2020-09-16,CEBBCO,16.45,16.45,15.5,15.8,109133,98913
2020-09-17,CEBBCO,15.85,16.0,15.4,15.5,21031,14421
2020-09-18,CEBBCO,16.0,16.1,15.5,15.95,26491,21018
2020-09-21,CEBBCO,16.05,16.1,15.5,15.7,21367,19020
2020-09-22,CEBBCO,15.15,16.1,15.1,15.95,37753,35219
2020-09-23,CEBBCO,15.95,17.0,15.65,16.0,60094,58342
2020-09-24,CEBBCO,16.3,16.3,15.3,15.85,39062,32126
2020-09-25,CEBBCO,15.85,16.0,15.55,15.95,18474,17360
2020-09-28,CEBBCO,16.5,17.5,16.35,17.5,163439,139575
2020-09-29,CEBBCO,17.8,18.6,15.75,15.85,86482,69859
2020-09-30,CEBBCO,16.25,16.45,15.35,15.45,88018,85672
2020-10-01,CEBBCO,15.45,16.0,15.0,15.7,41829,36877
2020-10-05,CEBBCO,15.75,15.8,15.0,15.2,34657,25651
2020-10-06,CEBBCO,15.75,15.75,15.0,15.15,11950,10454
2020-10-07,CEBBCO,15.15,15.7,14.95,15.05,29483,22318
2020-10-08,CEBBCO,15.6,15.6,14.85,15.2,11206,8058
2020-10-09,CEBBCO,15.0,15.5,15.0,15.0,12836,10826
2020-10-12,CEBBCO,15.0,15.4,14.75,14.85,14646,12590
2020-10-13,CEBBCO,15.0,15.2,14.55,15.15,21824,17884
2020-10-14,CEBBCO,15.0,15.0,14.45,14.5,32822,31198
2020-10-15,CEBBCO,15.8,15.8,14.0,14.5,6330,4801
2020-10-16,CEBBCO,14.2,14.7,14.1,14.35,5678,5065
2020-10-19,CEBBCO,14.4,14.5,14.05,14.2,27926,26345
2020-10-20,CEBBCO,14.5,14.75,14.05,14.1,16292,13788
2020-10-21,CEBBCO,15.4,15.4,14.2,14.55,70817,31635
2020-10-22,CEBBCO,14.7,14.7,14.25,14.4,4699,3996
2020-10-23,CEBBCO,14.6,14.8,14.2,14.65,15193,14399
2020-10-26,CEBBCO,14.35,14.5,14.1,14.2,14264,11951
2020-10-27,CEBBCO,14.65,15.5,13.75,14.15,28572,28061
2020-10-28,CEBBCO,14.65,14.7,13.9,14.05,24788,21683
2020-10-29,CEBBCO,14.05,14.25,13.65,13.75,21612,20092
2020-10-30,CEBBCO,13.3,13.9,13.3,13.55,15913,14659
2020-11-02,CEBBCO,13.9,14.25,13.05,13.75,8505,6233
2020-11-03,CEBBCO,13.45,13.9,13.4,13.55,3372,2298
2020-11-04,CEBBCO,13.45,14.0,13.25,13.45,10169,8700
2020-11-05,CEBBCO,13.5,13.75,13.35,13.4,10072,9822
2020-11-06,CEBBCO,13.75,13.85,12.85,13.0,83774,79146
2020-11-09,CEBBCO,13.4,14.3,13.0,13.05,29554,25992
2020-11-10,CEBBCO,12.85,13.25,12.85,13.0,37411,29824
2020-11-11,CEBBCO,13.2,13.2,12.85,12.95,15338,11834
2020-11-12,CEBBCO,13.2,13.7,12.85,13.15,105589,53681
2020-11-13,CEBBCO,13.05,13.5,12.85,13.4,16854,14822
2020-11-14,CEBBCO,13.1,14.35,13.1,13.5,7212,7000
2020-11-17,CEBBCO,13.85,14.3,13.2,14.05,45971,35370
2020-11-18,CEBBCO,14.0,14.35,13.95,14.25,23537,21799
2020-11-19,CEBBCO,14.9,15.05,14.0,14.3,25685,16829
2020-11-20,CEBBCO,15.0,15.0,14.35,14.45,24318,19582
2020-11-23,CEBBCO,14.95,14.95,14.0,14.5,11977,7309
2020-11-24,CEBBCO,14.5,15.0,13.7,14.45,25392,18995
2020-11-25,CEBBCO,15.0,15.7,14.45,14.65,107679,52834
2020-11-26,CEBBCO,14.85,14.85,14.05,14.45,17153,12055
2020-11-27,CEBBCO,13.95,14.75,13.95,14.7,23349,15627
2020-12-01,CEBBCO,14.7,15.45,14.4,15.15,55775,48267
2020-12-02,CEBBCO,15.45,16.6,14.25,16.3,210164,138605
2020-12-03,CEBBCO,16.5,16.55,15.65,16.05,56379,44951
2020-12-04,CEBBCO,16.55,16.7,15.8,16.25,48551,38624
2020-12-07,CEBBCO,18.4,19.25,17.2,18.25,527826,278404
2020-12-08,CEBBCO,18.75,18.8,17.05,18.1,136231,84066
2020-12-09,CEBBCO,18.0,18.5,17.4,17.6,61110,47708
2020-12-10,CEBBCO,17.45,18.1,16.6,17.2,56164,37408
2020-12-11,CEBBCO,17.25,18.0,16.25,16.7,56008,39163
2020-12-14,CEBBCO,16.95,20.0,16.0,19.9,893543,394202
2020-12-15,CEBBCO,19.8,20.4,18.55,18.75,384294,202684
2020-12-16,CEBBCO,19.5,19.5,17.55,17.7,183368,142529
2020-12-17,CEBBCO,17.7,18.0,17.1,17.35,61382,47692
2020-12-18,CEBBCO,17.3,17.35,16.6,17.1,68696,43930
2020-12-21,CEBBCO,17.0,17.35,15.55,15.95,384386,352210
2020-12-22,CEBBCO,16.5,16.85,15.25,16.0,76981,58518
2020-12-23,CEBBCO,15.95,16.85,15.8,16.45,74158,49182
2020-12-24,CEBBCO,16.05,16.8,16.05,16.3,70320,54391
2020-12-28,CEBBCO,16.7,18.45,16.65,18.05,188556,121156
2020-12-29,CEBBCO,18.7,20.25,17.7,20.05,763516,613445
2020-12-30,CEBBCO,20.4,20.9,19.35,20.55,279681,199431
2020-12-31,CEBBCO,20.7,20.9,19.6,20.2,115824,80594
2021-01-01,CEBBCO,19.8,22.0,19.8,21.4,382769,344486
2021-01-04,CEBBCO,22.9,23.5,21.6,23.5,894541,584650
2021-01-05,CEBBCO,25.25,25.25,23.1,23.55,424598,264566
2021-01-06,CEBBCO,23.5,23.8,21.7,22.4,224977,164388
2021-01-07,CEBBCO,23.5,23.7,22.0,22.5,117782,65616
2021-01-08,CEBBCO,22.25,24.75,22.1,24.45,606432,409245
2021-01-11,CEBBCO,28.8,29.0,25.5,26.75,986129,605255
2021-01-12,CEBBCO,26.9,30.4,26.55,29.8,881736,404597
2021-01-13,CEBBCO,29.75,30.4,27.6,27.75,488470,283258
2021-04-27,CEBBCO,17.3,17.4,16.5,17.0,136431,128742
2021-04-28,CEBBCO,16.7,17.35,16.6,16.7,29628,23362
2021-04-29,CEBBCO,16.7,17.0,16.45,16.6,48356,35090
2021-04-30,CEBBCO,16.8,16.85,16.25,16.4,21181,17394
2021-05-03,CEBBCO,16.0,17.05,16.0,16.7,54471,39946
2021-05-04,CEBBCO,16.95,16.95,16.55,16.65,31476,25941
2021-05-05,CEBBCO,16.75,16.9,16.4,16.75,82045,52902
2021-05-06,CEBBCO,16.75,16.75,16.35,16.5,16073,12287
2021-05-07,CEBBCO,16.75,17.25,16.55,17.2,67231,52571
2021-05-10,CEBBCO,17.9,17.9,16.65,16.85,364061,286692
2021-05-11,CEBBCO,16.7,17.1,16.5,16.65,110524,78649
2021-05-12,CEBBCO,16.9,17.45,16.5,17.45,234743,192019
2021-05-14,CEBBCO,18.2,18.3,17.55,18.3,117021,90395
2021-05-17,CEBBCO,18.95,19.2,18.8,19.2,99104,82324
2021-05-18,CEBBCO,20.15,20.15,20.15,20.15,53984,53984
2021-05-19,CEBBCO,20.6,21.15,19.5,21.15,400987,262065
2021-05-20,CEBBCO,21.7,22.2,21.2,22.2,197994,143857
2021-05-21,CEBBCO,22.5,23.1,21.1,22.1,265896,176997
2021-05-24,CEBBCO,22.2,22.95,21.0,21.0,224071,156488
2021-05-25,CEBBCO,20.6,21.1,19.95,19.95,219428,166570
2021-05-26,CEBBCO,20.0,20.9,19.35,20.9,183120,146930
2021-05-27,CEBBCO,21.05,21.9,20.5,20.8,196634,127035
2021-05-28,CEBBCO,21.45,21.45,19.8,19.85,172634,120188
2021-05-31,CEBBCO,20.35,20.35,19.5,19.95,86423,61334
2021-06-01,CEBBCO,20.25,20.25,19.4,19.55,74573,50894
2021-06-02,CEBBCO,20.0,20.5,19.5,20.5,154308,118590
2021-06-03,CEBBCO,20.95,20.95,19.75,19.85,159492,116003
2021-06-04,CEBBCO,19.85,20.2,19.5,19.95,63916,43520
2021-06-07,CEBBCO,20.5,20.9,20.0,20.5,173836,134218
2021-06-08,CEBBCO,20.9,21.35,20.5,20.95,174047,137735
2021-06-09,CEBBCO,21.95,21.95,21.15,21.4,581904,452192
2021-06-10,CEBBCO,21.4,22.45,21.4,22.45,121516,107379
2021-06-11,CEBBCO,23.55,23.55,23.55,23.55,121890,108756
2021-06-14,CEBBCO,24.7,24.7,24.7,24.7,60664,60664
2021-06-15,CEBBCO,25.9,25.9,25.9,25.9,80026,80026
2021-06-16,CEBBCO,27.15,27.15,27.15,27.15,49490,49490
2021-06-17,CEBBCO,28.5,28.5,28.5,28.5,70869,70869
