Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,CHOLAFIN,243.4,248.2,242.15,245.3,7997338,1287405
2020-08-27,CHOLAFIN,246.0,247.15,239.05,240.9,3695410,993526
2020-08-28,CHOLAFIN,240.85,259.0,240.35,249.75,17783814,3580694
2020-08-31,CHOLAFIN,252.0,255.6,230.75,232.2,9080285,1671821
2020-09-01,CHOLAFIN,233.0,242.9,228.85,241.45,7331908,1008983
2020-09-02,CHOLAFIN,242.85,244.0,236.15,242.7,2901774,207511
2020-09-03,CHOLAFIN,243.1,249.75,240.75,244.1,3577745,662895
2020-09-04,CHOLAFIN,236.05,239.45,232.2,234.05,5680924,1256733
2020-09-07,CHOLAFIN,236.1,238.2,222.4,226.45,6325386,1342188
2020-09-08,CHOLAFIN,227.95,230.0,220.8,222.15,3875681,570597
2020-09-09,CHOLAFIN,220.5,223.55,215.6,220.55,4342244,320224
2020-09-10,CHOLAFIN,222.0,225.85,217.05,221.25,3321211,419363
2020-09-11,CHOLAFIN,222.6,226.45,221.35,224.45,3603421,769704
2020-09-14,CHOLAFIN,230.0,236.2,226.5,232.1,10305644,4257244
2020-09-15,CHOLAFIN,234.5,235.2,229.75,232.9,4772035,1176451
2020-09-16,CHOLAFIN,234.7,239.4,232.7,238.6,9428703,3671339
2020-09-17,CHOLAFIN,239.5,243.4,237.1,239.55,7042129,1304572
2020-09-18,CHOLAFIN,240.95,243.95,237.25,240.65,5329430,2513500
2020-09-21,CHOLAFIN,242.9,242.9,228.25,231.25,4128528,1045258
2020-09-22,CHOLAFIN,231.25,234.75,220.75,231.05,4621739,692769
2020-09-23,CHOLAFIN,234.9,236.5,226.5,229.95,4880070,766297
2020-09-24,CHOLAFIN,228.0,239.2,221.95,229.8,9666063,1378690
2020-09-25,CHOLAFIN,232.05,240.0,227.35,238.7,5326944,1174073
2020-09-28,CHOLAFIN,240.5,249.85,238.0,248.85,6419447,944720
2020-09-29,CHOLAFIN,249.6,254.1,246.3,251.8,5355356,732564
2020-09-30,CHOLAFIN,252.0,256.55,247.7,249.15,4977764,757128
2020-10-01,CHOLAFIN,250.3,260.0,249.95,257.5,6258481,1121210
2020-10-05,CHOLAFIN,259.4,263.6,250.85,252.4,5329977,730965
2020-10-06,CHOLAFIN,255.25,265.0,249.5,261.0,7060452,1593884
2020-10-07,CHOLAFIN,261.0,261.6,250.55,254.35,5497957,803079
2020-10-08,CHOLAFIN,255.05,259.45,248.05,251.45,3720720,831321
2020-10-09,CHOLAFIN,252.35,258.2,251.0,253.75,3886632,835927
2020-10-12,CHOLAFIN,255.2,257.05,246.2,248.95,3472273,963024
2020-10-13,CHOLAFIN,249.85,249.9,240.25,242.65,4031503,1238192
2020-10-14,CHOLAFIN,243.45,251.85,239.5,249.55,4851028,1203568
2020-10-15,CHOLAFIN,250.95,251.6,235.3,237.3,4757990,870531
2020-10-16,CHOLAFIN,238.95,240.9,233.0,237.25,5319385,1262350
2020-10-19,CHOLAFIN,237.85,240.95,233.9,239.9,4656147,1228863
2020-10-20,CHOLAFIN,240.0,242.3,236.8,240.2,3580468,565387
2020-10-21,CHOLAFIN,236.65,248.15,236.65,242.55,5203743,823284
2020-10-22,CHOLAFIN,242.55,245.8,241.05,243.1,2637818,293598
2020-10-23,CHOLAFIN,243.35,257.3,243.0,251.5,7921808,1760655
2020-10-26,CHOLAFIN,250.55,251.8,243.5,246.9,2990672,588991
2020-10-27,CHOLAFIN,245.6,250.65,243.15,248.75,2919343,791956
2020-10-28,CHOLAFIN,248.95,250.75,241.05,243.25,2571646,532320
2020-10-29,CHOLAFIN,241.5,251.45,234.5,250.1,3797428,810932
2020-10-30,CHOLAFIN,250.05,280.35,248.0,273.25,24234206,3651133
2020-11-02,CHOLAFIN,271.0,294.9,268.65,293.05,13380533,1596681
2020-11-03,CHOLAFIN,293.05,299.7,287.65,296.55,6956759,560907
